Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1633278426.948714,1633278427.057743,0,109.02905464172363,rsa,10,delay,100ms,5,5,5910,1327,8,5,5834,983,
1633278428.195161,1633278428.306521,1,111.35983467102051,rsa,10,delay,100ms,5,5,5905,1326,9,5,5828,983,
1633278429.81645,1633278429.828074,2,11.623859405517578,rsa,10,delay,100ms,4,0,4663,0,5,0,4495,0,
1633278429.921802,1633278429.924106,3,2.3038387298583984,rsa,10,delay,100ms,2,5,1332,2193,5,5,2248,983,
1633278431.091599,1633278431.203061,4,111.46211624145508,rsa,10,delay,100ms,5,5,5909,1326,8,5,5832,983,
1633278432.347695,1633278432.458051,5,110.35585403442383,rsa,10,delay,100ms,6,5,5991,1326,9,5,5872,983,
1633278433.608071,1633278433.720463,6,112.39194869995117,rsa,10,delay,100ms,5,5,5908,1327,8,5,5832,983,
1633278434.872741,1633278434.982046,7,109.30490493774414,rsa,10,delay,100ms,5,5,5908,1326,9,5,5831,983,
1633278436.115004,1633278436.225469,8,110.46504974365234,rsa,10,delay,100ms,5,5,5902,1326,8,5,5825,983,
1633278437.361371,1633278437.472545,9,111.17386817932129,rsa,10,delay,100ms,5,5,5901,1326,9,5,5824,983,
1633278438.610411,1633278438.722109,10,111.69815063476562,rsa,10,delay,100ms,5,5,5907,1327,8,5,5831,983,
1633278453.50447,1633278453.512688,11,8.217811584472656,rsa,10,delay,100ms,4,0,4658,0,5,0,4490,0,
1633278453.661444,1633278453.713903,12,52.459001541137695,rsa,10,delay,100ms,3,5,2574,1326,5,5,2581,983,
1633278454.954138,1633278454.963512,13,9.373903274536133,rsa,10,delay,100ms,4,0,4665,0,5,0,4497,0,
1633278455.143435,1633278455.144091,14,0.6558895111083984,rsa,10,delay,100ms,2,5,1332,2193,5,5,2248,983,
1633278456.402854,1633278456.410494,15,7.64012336730957,rsa,10,delay,100ms,4,0,4658,0,5,0,4490,0,
1633278456.557392,1633278456.613636,16,56.2441349029541,rsa,10,delay,100ms,3,5,2574,1326,5,5,2581,983,
1633278457.90851,1633278457.91524,17,6.730079650878906,rsa,10,delay,100ms,4,0,4669,0,5,0,4501,0,
1633278458.067518,1633278458.068227,18,0.7090568542480469,rsa,10,delay,100ms,2,5,1332,2193,5,5,2248,983,
1633278459.362109,1633278459.368812,19,6.70313835144043,rsa,10,delay,100ms,4,0,4664,0,5,0,4496,0,
1633278459.50907,1633278459.571642,20,62.57200241088867,rsa,10,delay,100ms,3,5,2574,1326,5,5,2581,983,
1633278460.806567,1633278460.813161,21,6.593942642211914,rsa,10,delay,100ms,4,0,4658,0,5,0,4490,0,
1633278460.958494,1633278460.959302,22,0.8080005645751953,rsa,10,delay,100ms,2,5,1332,2193,5,5,2248,983,
1633278462.252724,1633278462.259999,23,7.275104522705078,rsa,10,delay,100ms,4,0,4663,0,5,0,4495,0,
1633278462.406483,1633278462.461075,24,54.592132568359375,rsa,10,delay,100ms,4,5,2664,1326,6,5,2629,983,
1633278463.705496,1633278463.712677,25,7.180929183959961,rsa,10,delay,100ms,4,0,4664,0,5,0,4496,0,
1633278463.849709,1633278463.914225,26,64.51606750488281,rsa,10,delay,100ms,3,5,2574,1326,5,5,2581,983,
1633278465.156258,1633278465.163175,27,6.916999816894531,rsa,10,delay,100ms,4,0,4657,0,5,0,4489,0,
1633278465.309142,1633278465.365373,28,56.230783462524414,rsa,10,delay,100ms,3,5,2574,1326,5,5,2581,983,
