Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1633291193.890651,1633291193.903397,0,12.746095657348633,rsa,10,duplicate,0%,6,5,5992,1326,10,5,5873,983,
1633291194.947356,1633291194.957959,1,10.602951049804688,rsa,10,duplicate,0%,4,5,4666,2193,8,5,5498,983,
1633291196.016135,1633291196.023907,2,7.771968841552734,rsa,10,duplicate,0%,6,5,6001,1326,9,5,5882,983,
1633291197.058557,1633291197.069959,3,11.401891708374023,rsa,10,duplicate,0%,4,5,4661,2193,8,5,5493,983,
1633291198.126681,1633291198.134042,4,7.360935211181641,rsa,10,duplicate,0%,4,5,4668,2193,8,5,5500,983,
1633291199.1587,1633291199.165819,5,7.118940353393555,rsa,10,duplicate,0%,4,5,4658,2193,8,5,5490,983,
1633291200.213113,1633291200.221433,6,8.319854736328125,rsa,10,duplicate,0%,6,5,5996,1326,9,5,5877,983,
1633291201.259722,1633291201.268982,7,9.259939193725586,rsa,10,duplicate,0%,6,5,5998,1326,9,5,5879,983,
1633291202.306557,1633291202.313891,8,7.333993911743164,rsa,10,duplicate,0%,4,5,4662,2193,8,5,5494,983,
1633291203.362511,1633291203.37049,9,7.979154586791992,rsa,10,duplicate,0%,6,5,5999,1326,10,5,5880,983,
1633291217.506102,1633291217.513175,10,7.072925567626953,rsa,10,duplicate,0%,4,5,4666,2193,8,5,5498,983,
1633291218.559362,1633291218.567298,11,7.936000823974609,rsa,10,duplicate,0%,6,5,5996,1326,9,5,5877,983,
1633291219.619601,1633291219.627462,12,7.860898971557617,rsa,10,duplicate,0%,6,5,5994,1326,9,5,5875,983,
1633291220.666071,1633291220.67258,13,6.509065628051758,rsa,10,duplicate,0%,4,5,4661,2193,8,5,5493,983,
1633291221.751489,1633291221.759105,14,7.6160430908203125,rsa,10,duplicate,0%,6,6,5994,1398,9,6,5875,1013,
1633291222.803384,1633291222.810717,15,7.333040237426758,rsa,10,duplicate,0%,4,5,4657,2193,8,5,5489,983,
1633291223.859139,1633291223.859139,16,0.0,rsa,10,duplicate,0%,1,0,1242,0,1,0,1200,0,
1633291223.859142,1633291223.866581,17,7.438898086547852,rsa,10,duplicate,0%,4,5,4658,2193,8,5,5490,983,
1633291224.90334,1633291224.91361,18,10.269880294799805,rsa,10,duplicate,0%,4,6,4659,3435,10,6,6444,1230,
1633291225.962074,1633291225.969105,19,7.030963897705078,rsa,10,duplicate,0%,4,5,4662,2193,8,5,5494,983,
1633291227.019875,1633291227.027197,20,7.321834564208984,rsa,10,duplicate,0%,4,5,4667,2193,8,5,5499,983,
1633291241.222885,1633291241.230443,21,7.558107376098633,rsa,10,duplicate,0%,4,6,4659,2265,8,6,5491,1013,
