Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1633291312.082739,1633291312.082739,0,0.0,rsa,10,duplicate,25%,1,0,1242,0,1,0,1200,0,
1633291312.082753,1633291312.090433,1,7.679939270019531,rsa,10,duplicate,25%,4,5,4665,2193,8,5,5497,983,
1633291313.134292,1633291313.141486,2,7.194042205810547,rsa,10,duplicate,25%,4,5,4664,2193,8,5,5496,983,
1633291314.177674,1633291314.185158,3,7.483959197998047,rsa,10,duplicate,25%,4,6,4663,2265,8,6,5495,1013,
1633291315.215641,1633291315.215641,4,0.0,rsa,10,duplicate,25%,1,0,1242,0,1,0,1200,0,
1633291315.215654,1633291315.223497,5,7.843017578125,rsa,10,duplicate,25%,6,5,5989,1326,10,5,5870,983,
1633291316.268409,1633291316.276142,6,7.732868194580078,rsa,10,duplicate,25%,6,6,5999,1701,10,6,5966,1230,
1633291317.35104,1633291317.358734,7,7.694005966186523,rsa,10,duplicate,25%,4,9,4666,3653,10,9,6451,1322,
1633291318.414476,1633291318.421589,8,7.112979888916016,rsa,10,duplicate,25%,4,5,4663,2193,8,5,5495,983,
1633291319.456665,1633291319.463247,9,6.582021713256836,rsa,10,duplicate,25%,4,5,4657,2193,8,5,5489,983,
1633291320.507154,1633291320.507154,10,0.0,rsa,10,duplicate,25%,1,0,1242,0,1,0,1200,0,
1633291320.507167,1633291320.515102,11,7.934808731079102,rsa,10,duplicate,25%,7,5,7236,1326,10,5,7075,983,
1633291321.559363,1633291321.566318,12,6.955146789550781,rsa,10,duplicate,25%,4,6,4663,3435,10,6,6448,1230,
1633291335.748743,1633291335.758915,13,10.171890258789062,rsa,10,duplicate,25%,6,6,5999,1398,9,6,5880,1013,
1633291336.808524,1633291336.815275,14,6.751060485839844,rsa,10,duplicate,25%,4,7,4662,2348,8,7,5494,1054,
1633291337.87989,1633291337.87989,15,0.0,rsa,10,duplicate,25%,1,0,1242,0,1,0,1200,0,
1633291337.879903,1633291337.887203,16,7.299900054931641,rsa,10,duplicate,25%,4,6,4668,3435,10,6,6453,1230,
1633291338.926032,1633291338.933917,17,7.884979248046875,rsa,10,duplicate,25%,4,6,4663,3435,10,6,6448,1230,
1633291339.982666,1633291339.994091,18,11.425018310546875,rsa,10,duplicate,25%,4,5,4669,2193,8,5,5501,983,
1633291341.034914,1633291341.041718,19,6.803989410400391,rsa,10,duplicate,25%,4,7,4669,3518,10,7,6454,1271,
1633291342.076278,1633291342.083312,20,7.034063339233398,rsa,10,duplicate,25%,4,7,4662,3518,10,7,6447,1271,
1633291343.129425,1633291343.138461,21,9.036064147949219,rsa,10,duplicate,25%,7,7,7238,1773,11,7,7163,1260,
1633291344.188683,1633291344.188683,22,0.0,rsa,10,duplicate,25%,1,0,1242,0,1,0,1200,0,
1633291344.188697,1633291344.198431,23,9.733915328979492,rsa,10,duplicate,25%,7,6,7234,1398,10,6,7073,1013,
1633291345.232171,1633291345.24238,24,10.208845138549805,rsa,10,duplicate,25%,6,5,5993,1326,9,5,5874,983,
1633291359.40476,1633291359.40476,25,0.0,rsa,10,duplicate,25%,1,0,1242,0,1,0,1200,0,
1633291359.404775,1633291359.414665,26,9.890079498291016,rsa,10,duplicate,25%,7,5,7243,1326,10,5,7082,983,
1633291360.444287,1633291360.444287,27,0.0,rsa,10,duplicate,25%,1,0,1242,0,1,0,1200,0,
