Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1633291383.04443,1633291383.054966,0,10.535955429077148,rsa,10,duplicate,40%,6,7,6001,1481,9,7,5882,1054,
1633291384.108381,1633291384.108381,1,0.0,rsa,10,duplicate,40%,1,0,1242,0,1,0,1200,0,
1633291384.108394,1633291384.118315,2,9.921073913574219,rsa,10,duplicate,40%,7,7,7239,1773,11,7,7164,1260,
1633291385.153233,1633291385.153233,3,0.0,rsa,10,duplicate,40%,1,0,1242,0,1,0,1200,0,
1633291385.153254,1633291385.161213,4,7.958889007568359,rsa,10,duplicate,40%,6,7,5999,1784,10,7,5966,1271,
1633291386.195702,1633291386.202628,5,6.925821304321289,rsa,10,duplicate,40%,4,7,4659,2348,8,7,5491,1054,
1633291387.243501,1633291387.250498,6,6.997108459472656,rsa,10,duplicate,40%,4,7,4660,2340,8,7,5492,1046,
1633291388.300568,1633291388.310111,7,9.54294204711914,rsa,10,duplicate,40%,6,7,5994,1773,10,7,5961,1260,
1633291389.350592,1633291389.350592,8,0.0,rsa,10,duplicate,40%,1,0,1242,0,1,0,1200,0,
1633291389.350612,1633291389.359076,9,8.46409797668457,rsa,10,duplicate,40%,7,7,7237,1784,11,7,7162,1271,
1633291390.40164,1633291390.40164,10,0.0,rsa,10,duplicate,40%,1,0,1242,0,1,0,1200,0,
1633291390.401652,1633291390.409045,11,7.39288330078125,rsa,10,duplicate,40%,4,6,4661,2276,8,6,5493,1024,
1633291391.450715,1633291391.450715,12,0.0,rsa,10,duplicate,40%,1,0,1242,0,1,0,1200,0,
1633291391.450724,1633291391.459341,13,8.617162704467773,rsa,10,duplicate,40%,7,6,7233,1398,10,6,7072,1013,
1633291392.49611,1633291392.50587,14,9.760141372680664,rsa,10,duplicate,40%,7,6,7234,1701,11,6,7159,1230,
1633291412.802312,1633291412.807802,15,5.49006462097168,rsa,10,duplicate,40%,11,5,11040,1329,15,5,10714,983,
1633291413.84356,1633291413.848688,16,5.127906799316406,rsa,10,duplicate,40%,11,5,11035,1329,15,5,10709,983,
1633291414.88933,1633291414.894108,17,4.778146743774414,rsa,10,duplicate,40%,9,5,10862,1329,13,5,10620,983,
1633291415.91942,1633291415.925164,18,5.743980407714844,rsa,10,duplicate,40%,11,5,11034,1329,15,5,10708,983,
1633291416.95751,1633291416.961906,19,4.395961761474609,rsa,10,duplicate,40%,11,5,11094,1329,15,5,10768,983,
1633291417.986147,1633291417.991129,20,4.98199462890625,rsa,10,duplicate,40%,11,5,11042,1329,15,5,10716,983,
1633291419.026605,1633291419.030231,21,3.626108169555664,rsa,10,duplicate,40%,9,6,10860,1404,13,6,10618,1016,
