Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,,CPU utilization,Memory bytes,Disk bytes,
1637581219.094903,1637581219.107347,0,12.444019317626953,dilithium2,100,drop,qwgbLvgDxN.pcap,10,4,7798,264,0,0,0,0,,22.4,0,0,
1637581220.607521,1637581220.615567,1,8.04591178894043,dilithium2,100,drop,qwgbLvgDxN.pcap,8,4,7666,264,0,0,0,0,,22.7,0,0,
1637581221.86863,1637581221.880217,2,11.587142944335938,dilithium2,100,drop,qwgbLvgDxN.pcap,12,5,7930,330,0,0,0,0,,2.3,0,0,
1637581223.159945,1637581223.163918,3,3.9730072021484375,dilithium2,100,drop,qwgbLvgDxN.pcap,8,5,7666,330,0,0,0,0,,20.2,0,0,
1637581224.603651,1637581224.608778,4,5.126953125,dilithium2,100,drop,qwgbLvgDxN.pcap,8,5,7666,330,0,0,0,0,,24.6,0,0,
1637581226.152257,1637581226.165481,5,13.224124908447266,dilithium2,100,drop,qwgbLvgDxN.pcap,8,5,7666,330,0,0,0,0,,22.6,0,0,
1637581227.750615,1637581227.768218,6,17.603158950805664,dilithium2,100,drop,qwgbLvgDxN.pcap,8,5,7666,330,0,0,0,0,,16.3,0,0,
1637581229.144295,1637581229.164109,7,19.814014434814453,dilithium2,100,drop,qwgbLvgDxN.pcap,8,5,7666,330,0,0,0,0,,23.5,0,0,
1637581230.644759,1637581230.652364,8,7.605075836181641,dilithium2,100,drop,qwgbLvgDxN.pcap,8,5,7666,330,0,0,0,0,,28.1,0,0,
1637581232.224847,1637581232.236064,9,11.216878890991211,dilithium2,100,drop,qwgbLvgDxN.pcap,8,5,7666,330,0,0,0,0,,21.5,0,0,
1637581233.619549,1637581233.624208,10,4.658937454223633,dilithium2,100,drop,qwgbLvgDxN.pcap,8,5,7666,330,0,0,0,0,,32.2,0,0,
1637581235.102754,1637581235.107759,11,5.0048828125,dilithium2,100,drop,qwgbLvgDxN.pcap,8,5,7666,330,0,0,0,0,,30.8,0,0,
1637581236.639103,1637581236.642804,12,3.7009716033935547,dilithium2,100,drop,qwgbLvgDxN.pcap,8,5,7666,330,0,0,0,0,,33.4,0,0,
1637581238.236084,1637581238.243278,13,7.194042205810547,dilithium2,100,drop,qwgbLvgDxN.pcap,10,5,7798,330,0,0,0,0,,31.5,0,0,
1637581239.587782,1637581239.596951,14,9.16910171508789,dilithium2,100,drop,qwgbLvgDxN.pcap,8,5,7666,330,0,0,0,0,,42.4,0,0,
1637581240.996338,1637581241.006426,15,10.088205337524414,dilithium2,100,drop,qwgbLvgDxN.pcap,10,4,7798,264,0,0,0,0,,7.2,0,0,
1637581242.37507,1637581242.383801,16,8.730888366699219,dilithium2,100,drop,qwgbLvgDxN.pcap,8,5,7666,330,0,0,0,0,,17.4,0,0,
