Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1637581824.735299,1637581824.756892,0,21.59285545349121,falcon1024,100,drop,GWGjAHcTYI.pcap,8,5,5836,330,0,0,0,0,
1637581826.258575,1637581826.27986,1,21.285057067871094,falcon1024,100,drop,GWGjAHcTYI.pcap,8,5,5829,330,0,0,0,0,
1637581827.557997,1637581827.579303,2,21.30603790283203,falcon1024,100,drop,GWGjAHcTYI.pcap,8,5,5834,330,0,0,0,0,
1637581828.947515,1637581828.963706,3,16.19100570678711,falcon1024,100,drop,GWGjAHcTYI.pcap,10,4,5965,264,0,0,0,0,
1637581830.487319,1637581830.504439,4,17.1201229095459,falcon1024,100,drop,GWGjAHcTYI.pcap,8,5,5835,330,0,0,0,0,
1637581832.033998,1637581832.055267,5,21.26908302307129,falcon1024,100,drop,GWGjAHcTYI.pcap,8,5,5833,330,0,0,0,0,
1637581833.439928,1637581833.462465,6,22.5369930267334,falcon1024,100,drop,GWGjAHcTYI.pcap,8,5,5833,330,0,0,0,0,
1637581835.051076,1637581835.063347,7,12.27116584777832,falcon1024,100,drop,GWGjAHcTYI.pcap,8,5,5836,330,0,0,0,0,
1637581836.369164,1637581836.380924,8,11.75999641418457,falcon1024,100,drop,GWGjAHcTYI.pcap,8,5,5832,330,0,0,0,0,
1637581837.851756,1637581837.871232,9,19.475936889648438,falcon1024,100,drop,GWGjAHcTYI.pcap,8,5,5834,330,0,0,0,0,
1637581839.259852,1637581839.277486,10,17.634153366088867,falcon1024,100,drop,GWGjAHcTYI.pcap,8,5,5835,330,0,0,0,0,
1637581840.671378,1637581840.688562,11,17.184019088745117,falcon1024,100,drop,GWGjAHcTYI.pcap,8,4,5830,264,0,0,0,0,
1637581842.137097,1637581842.164082,12,26.98516845703125,falcon1024,100,drop,GWGjAHcTYI.pcap,8,5,5830,330,0,0,0,0,
1637581843.621524,1637581843.639357,13,17.83299446105957,falcon1024,100,drop,GWGjAHcTYI.pcap,8,5,5836,330,0,0,0,0,
1637581845.208894,1637581845.228289,14,19.394874572753906,falcon1024,100,drop,GWGjAHcTYI.pcap,10,5,5964,330,0,0,0,0,
1637581846.728277,1637581846.755137,15,26.85999870300293,falcon1024,100,drop,GWGjAHcTYI.pcap,10,5,5961,330,0,0,0,0,
1637581848.207602,1637581848.220094,16,12.491941452026367,falcon1024,100,drop,GWGjAHcTYI.pcap,8,5,5834,330,0,0,0,0,
1637581849.739744,1637581849.753815,17,14.070987701416016,falcon1024,100,drop,GWGjAHcTYI.pcap,8,5,5834,330,0,0,0,0,
1637581851.215453,1637581851.253734,18,38.28120231628418,falcon1024,100,drop,GWGjAHcTYI.pcap,10,5,5968,330,0,0,0,0,
1637581852.551495,1637581852.56451,19,13.015031814575195,falcon1024,100,drop,GWGjAHcTYI.pcap,8,5,5832,330,0,0,0,0,
1637581853.967238,1637581853.992025,20,24.786949157714844,falcon1024,100,drop,GWGjAHcTYI.pcap,10,4,5969,264,0,0,0,0,
