FILE NAME,Start timestamp (s) (AVERAGED),(± CI) Start timestamp (s),End timestamp (s) (AVERAGED),(± CI) End timestamp (s),Handshake number (AVERAGED),(± CI) Handshake number,Handshake duration (ms) (AVERAGED),(± CI) Handshake duration (ms),Algorithm (AVERAGED),(± CI) Algorithm,Num Samples (AVERAGED),(± CI) Num Samples,Experiment Type (AVERAGED),(± CI) Experiment Type,Type Value (AVERAGED),(± CI) Type Value,Number of handshake packets (AVERAGED),(± CI) Number of handshake packets,Number of payload packets (AVERAGED),(± CI) Number of payload packets,Number of handshake bytes (AVERAGED),(± CI) Number of handshake bytes,Number of payload bytes (AVERAGED),(± CI) Number of payload bytes,Number of long headers (AVERAGED),(± CI) Number of long headers,Number of short headers (AVERAGED),(± CI) Number of short headers,Bytes for long headers (AVERAGED),(± CI) Bytes for long headers,Bytes for short headers (AVERAGED),(± CI) Bytes for short headers, (AVERAGED),(± CI) 
.\12-06-21_Droprate_Delay_FullyAutomatedLogs\fullyAutomatedLogs_delay_TCPTLS\pending_TCPDUMP_dilithium2_numSamples_1000_delay_0ms_daHMwfbQyw_parsed_handshake.csv,1638474804.7612863,27.788257059017724,1638474804.7705023,27.788266318130386,499.0,17.913666502568915,9.21556493780157,0.365104722226646,dilithium2,,1000.0,0.0,delay,,0ms,,8.436436436436436,0.06750180825396551,4.57957957957958,0.031162332758402175,7694.804804804805,4.455119344761724,303.7757757757758,3.1913727160729617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
.\12-06-21_Droprate_Delay_FullyAutomatedLogs\fullyAutomatedLogs_delay_TCPTLS\pending_TCPDUMP_dilithium2_numSamples_1000_delay_100ms_WybkKGhYGg_parsed_handshake.csv,1638477912.6519547,27.424061290069737,1638477912.880653,27.42406403309053,499.0,17.913666502568915,228.69927723247844,0.4331643663929871,dilithium2,,1000.0,0.0,delay,,100ms,,11.94994994994995,0.017958242125110543,4.563563563563563,0.030806459641938223,7926.696696696697,1.185243980257296,301.1951951951952,2.033226336367923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
.\12-06-21_Droprate_Delay_FullyAutomatedLogs\fullyAutomatedLogs_delay_TCPTLS\pending_TCPDUMP_dilithium2_numSamples_1000_delay_200ms_RFFPtITpbJ_parsed_handshake.csv,1638479448.170188,27.119722629913564,1638479448.5937443,27.11972632006251,499.0,17.913666502568915,423.5591537601597,0.44202622517690193,dilithium2,,1000.0,0.0,delay,,200ms,,11.954954954954955,0.020135658712880998,4.627627627627628,0.030029602896036015,7927.027027027027,1.3289534750501462,305.4234234234234,1.981953791138377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
.\12-06-21_Droprate_Delay_FullyAutomatedLogs\fullyAutomatedLogs_delay_TCPTLS\pending_TCPDUMP_dilithium2_numSamples_1000_delay_400ms_tOKChDRVuE_parsed_handshake.csv,1638480969.4860892,26.948416368009692,1638480970.2992609,26.948458420307162,499.0,17.913666502568915,813.1684011167234,1.798101869753785,dilithium2,,1000.0,0.0,delay,,400ms,,13.765765765765765,0.03985179952413062,3.305305305305305,0.05688771537253566,8023.189189189189,24.00100524850558,244.59659659659658,28.91692148791446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
.\12-06-21_Droprate_Delay_FullyAutomatedLogs\fullyAutomatedLogs_delay_TCPTLS\pending_TCPDUMP_dilithium2_numSamples_1000_delay_50ms_WXEgqLpeML_parsed_handshake.csv,1638476360.0306158,27.67948005600362,1638476360.1605432,27.67950495062307,499.0,17.913666502568915,129.9274223106163,0.4734345127323532,dilithium2,,1000.0,0.0,delay,,50ms,,11.96096096096096,0.01614382765067624,4.5675675675675675,0.030773560834466685,7927.423423423424,1.0654926249446321,301.4594594594595,2.031055015074801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
.\12-06-21_Droprate_Delay_FullyAutomatedLogs\fullyAutomatedLogs_delay_TCPTLS\pending_TCPDUMP_dilithium3_numSamples_1000_delay_0ms_pTNkKMtbcT_parsed_handshake.csv,1638482493.9878993,27.106874787577848,1638482493.9980924,27.10686793213199,499.0,17.913666502568915,10.194391101688236,0.3663360504336441,dilithium3,,1000.0,0.0,delay,,0ms,,10.618618618618619,0.08295519993889514,4.558558558558558,0.03146458468033081,10225.331331331332,5.539618023406698,301.6186186186186,2.3920031785686526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
.\12-06-21_Droprate_Delay_FullyAutomatedLogs\fullyAutomatedLogs_delay_TCPTLS\pending_TCPDUMP_dilithium3_numSamples_1000_delay_100ms_wIuajrANKn_parsed_handshake.csv,1638485590.6466248,27.56636307755695,1638485590.8775666,27.566408736972182,498.5,17.904729234534965,230.9420144629622,3.111361720267333,dilithium3,,1000.0,0.0,delay,,100ms,,13.946893787575151,0.048912757644585025,4.582164328657314,0.030651632499269065,10454.038076152305,21.53016296694508,302.42284569138275,2.0230077449517587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
.\12-06-21_Droprate_Delay_FullyAutomatedLogs\fullyAutomatedLogs_delay_TCPTLS\pending_TCPDUMP_dilithium3_numSamples_1000_delay_200ms_pXCfWznEDG_parsed_handshake.csv,1638487127.273488,27.100861517842354,1638487127.6990237,27.100945547870808,498.5,17.904729234534965,425.53513441869393,3.0496125306490365,dilithium3,,1000.0,0.0,delay,,200ms,,13.955911823647295,0.04697027651604714,4.609218436873747,0.030323659360541124,10454.633266533066,21.282902153388353,304.20841683366734,2.0013615177957145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
.\12-06-21_Droprate_Delay_FullyAutomatedLogs\fullyAutomatedLogs_delay_TCPTLS\pending_TCPDUMP_dilithium3_numSamples_1000_delay_400ms_YPKwNWSyLH_parsed_handshake.csv,1638488650.5470438,26.998449678493902,1638488651.3640504,26.998765340238588,499.0,17.913666502568915,817.0035064399422,3.2916178999405776,dilithium3,,1000.0,0.0,delay,,400ms,,15.627627627627628,0.08224876233930471,3.2122122122122123,0.1018357177067881,10217.75075075075,109.37629501131207,444.72472472472475,109.79124672972807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
.\12-06-21_Droprate_Delay_FullyAutomatedLogs\fullyAutomatedLogs_delay_TCPTLS\pending_TCPDUMP_dilithium3_numSamples_1000_delay_50ms_HtHNIbcavR_parsed_handshake.csv,1638484038.3039188,27.640018183616565,1638484038.4338253,27.640026940926454,499.0,17.913666502568915,129.90667607571865,0.4733402212475904,dilithium3,,1000.0,0.0,delay,,50ms,,13.915915915915916,0.027579772687894178,4.61061061061061,0.0302889394515738,10442.450450450451,1.8202649974010159,304.3003003003003,1.9990700038038711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
