Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1638474039.887925,1638474039.893513,0,5.588054656982422,dilithium2,1000,delay,0ms,8,5,7666,330,0,0,0,0,
1638474041.36162,1638474041.37591,1,14.290094375610352,dilithium2,1000,delay,0ms,8,5,7666,330,0,0,0,0,
1638474042.90379,1638474042.909988,2,6.197929382324219,dilithium2,1000,delay,0ms,8,4,7666,264,0,0,0,0,
1638474044.296545,1638474044.3236,3,27.055025100708008,dilithium2,1000,delay,0ms,9,4,7732,264,0,0,0,0,
1638474045.735103,1638474045.745454,4,10.351181030273438,dilithium2,1000,delay,0ms,8,4,7666,264,0,0,0,0,
1638474047.280097,1638474047.287206,5,7.108926773071289,dilithium2,1000,delay,0ms,8,5,7666,330,0,0,0,0,
1638474048.757273,1638474048.765573,6,8.300065994262695,dilithium2,1000,delay,0ms,8,5,7666,330,0,0,0,0,
1638474050.304425,1638474050.309493,7,5.068063735961914,dilithium2,1000,delay,0ms,8,4,7666,264,0,0,0,0,
1638474051.757003,1638474051.76482,8,7.81702995300293,dilithium2,1000,delay,0ms,8,5,7666,330,0,0,0,0,
1638474053.128077,1638474053.132272,9,4.194974899291992,dilithium2,1000,delay,0ms,8,4,7666,264,0,0,0,0,
1638474054.577388,1638474054.595509,10,18.121004104614258,dilithium2,1000,delay,0ms,8,4,7666,264,0,0,0,0,
1638474056.099844,1638474056.104525,11,4.681110382080078,dilithium2,1000,delay,0ms,8,5,7666,330,0,0,0,0,
1638474057.492639,1638474057.496441,12,3.8018226623535156,dilithium2,1000,delay,0ms,8,4,7666,264,0,0,0,0,
1638474059.000757,1638474059.010103,13,9.34600830078125,dilithium2,1000,delay,0ms,8,4,7666,264,0,0,0,0,
1638474060.572825,1638474060.588002,14,15.177011489868164,dilithium2,1000,delay,0ms,8,4,7666,264,0,0,0,0,
1638474061.969562,1638474061.980836,15,11.273860931396484,dilithium2,1000,delay,0ms,8,5,7666,330,0,0,0,0,
1638474063.475847,1638474063.479866,16,4.019021987915039,dilithium2,1000,delay,0ms,8,4,7666,264,0,0,0,0,
1638474064.880208,1638474064.8844,17,4.191875457763672,dilithium2,1000,delay,0ms,8,5,7666,330,0,0,0,0,
1638474066.271147,1638474066.276946,18,5.799055099487305,dilithium2,1000,delay,0ms,8,4,7666,264,0,0,0,0,
1638474067.542838,1638474067.556243,19,13.40484619140625,dilithium2,1000,delay,0ms,10,4,7798,264,0,0,0,0,
1638474068.960214,1638474068.964733,20,4.518985748291016,dilithium2,1000,delay,0ms,8,5,7666,330,0,0,0,0,
1638474070.530402,1638474070.547797,21,17.39501953125,dilithium2,1000,delay,0ms,8,4,7666,264,0,0,0,0,
1638474072.080897,1638474072.100731,22,19.833803176879883,dilithium2,1000,delay,0ms,10,5,7798,330,0,0,0,0,
1638474073.630635,1638474073.641971,23,11.336088180541992,dilithium2,1000,delay,0ms,9,4,7732,264,0,0,0,0,
1638474075.082844,1638474075.091628,24,8.784055709838867,dilithium2,1000,delay,0ms,8,4,7666,264,0,0,0,0,
