Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1638478693.877882,1638478694.298,0,420.1180934906006,dilithium2,1000,delay,200ms,12,4,7930,264,0,0,0,0,
1638478695.352065,1638478695.76402,1,411.9548797607422,dilithium2,1000,delay,200ms,12,4,7930,264,0,0,0,0,
1638478696.762503,1638478697.185449,2,422.9459762573242,dilithium2,1000,delay,200ms,12,5,7930,330,0,0,0,0,
1638478698.343271,1638478698.761986,3,418.7150001525879,dilithium2,1000,delay,200ms,12,4,7930,264,0,0,0,0,
1638478699.894738,1638478700.314154,4,419.4159507751465,dilithium2,1000,delay,200ms,12,4,7930,264,0,0,0,0,
1638478701.218567,1638478701.637512,5,418.9450740814209,dilithium2,1000,delay,200ms,12,5,7930,330,0,0,0,0,
1638478702.727119,1638478703.159384,6,432.265043258667,dilithium2,1000,delay,200ms,12,4,7930,264,0,0,0,0,
1638478704.285742,1638478704.700381,7,414.6389961242676,dilithium2,1000,delay,200ms,12,5,7930,330,0,0,0,0,
1638478705.759061,1638478706.18283,8,423.7689971923828,dilithium2,1000,delay,200ms,12,5,7930,330,0,0,0,0,
1638478707.313479,1638478707.735557,9,422.07813262939453,dilithium2,1000,delay,200ms,12,5,7930,330,0,0,0,0,
1638478708.926585,1638478709.353999,10,427.4139404296875,dilithium2,1000,delay,200ms,12,4,7930,264,0,0,0,0,
1638478710.456638,1638478710.87086,11,414.22200202941895,dilithium2,1000,delay,200ms,12,4,7930,264,0,0,0,0,
1638478711.865343,1638478712.284873,12,419.52991485595703,dilithium2,1000,delay,200ms,12,5,7930,330,0,0,0,0,
1638478713.323505,1638478713.743345,13,419.84009742736816,dilithium2,1000,delay,200ms,12,4,7930,264,0,0,0,0,
1638478714.763332,1638478715.184037,14,420.70508003234863,dilithium2,1000,delay,200ms,12,4,7930,264,0,0,0,0,
1638478716.280452,1638478716.699163,15,418.71094703674316,dilithium2,1000,delay,200ms,12,4,7930,264,0,0,0,0,
1638478717.763621,1638478718.180317,16,416.69583320617676,dilithium2,1000,delay,200ms,11,4,7864,264,0,0,0,0,
1638478719.344934,1638478719.756196,17,411.26203536987305,dilithium2,1000,delay,200ms,12,5,7930,330,0,0,0,0,
1638478721.005917,1638478721.433556,18,427.6390075683594,dilithium2,1000,delay,200ms,12,4,7930,264,0,0,0,0,
