Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1638484822.789491,1638484823.021103,0,231.611967086792,dilithium3,1000,delay,100ms,14,5,10448,330,0,0,0,0,
1638484824.229712,1638484824.46559,1,235.87799072265625,dilithium3,1000,delay,100ms,14,5,10448,330,0,0,0,0,
1638484825.699405,1638484825.915521,2,216.11595153808594,dilithium3,1000,delay,100ms,14,5,10448,330,0,0,0,0,
1638484827.337958,1638484827.560613,3,222.6548194885254,dilithium3,1000,delay,100ms,14,5,10448,330,0,0,0,0,
1638484828.852335,1638484829.092018,4,239.6829128265381,dilithium3,1000,delay,100ms,14,5,10448,330,0,0,0,0,
1638484830.344714,1638484830.576628,5,231.91404342651367,dilithium3,1000,delay,100ms,14,5,10448,330,0,0,0,0,
1638484831.891923,1638484832.124204,6,232.28096961975098,dilithium3,1000,delay,100ms,14,5,10448,330,0,0,0,0,
1638484833.528873,1638484833.752833,7,223.95992279052734,dilithium3,1000,delay,100ms,14,4,10448,264,0,0,0,0,
1638484835.127767,1638484835.353313,8,225.54588317871094,dilithium3,1000,delay,100ms,14,5,10448,330,0,0,0,0,
1638484836.754206,1638484836.996866,9,242.6600456237793,dilithium3,1000,delay,100ms,14,5,10448,330,0,0,0,0,
1638484838.399025,1638484838.616302,10,217.27705001831055,dilithium3,1000,delay,100ms,14,5,10448,330,0,0,0,0,
1638484839.932093,1638484840.145584,11,213.49120140075684,dilithium3,1000,delay,100ms,14,4,10448,264,0,0,0,0,
1638484841.601116,1638484841.819556,12,218.44005584716797,dilithium3,1000,delay,100ms,14,5,10448,330,0,0,0,0,
1638484843.131459,1638484843.365754,13,234.29489135742188,dilithium3,1000,delay,100ms,13,5,10382,330,0,0,0,0,
1638484844.731465,1638484844.956855,14,225.38995742797852,dilithium3,1000,delay,100ms,14,5,10448,330,0,0,0,0,
1638484846.076956,1638484846.310653,15,233.69693756103516,dilithium3,1000,delay,100ms,14,5,10448,330,0,0,0,0,
1638484847.592641,1638484847.813585,16,220.94392776489258,dilithium3,1000,delay,100ms,14,5,10448,330,0,0,0,0,
1638484849.240456,1638484849.472198,17,231.74190521240234,dilithium3,1000,delay,100ms,13,4,10382,264,0,0,0,0,
1638484850.797764,1638484851.029744,18,231.9798469543457,dilithium3,1000,delay,100ms,14,4,10448,264,0,0,0,0,
1638484852.201547,1638484852.430629,19,229.0821075439453,dilithium3,1000,delay,100ms,14,4,10448,264,0,0,0,0,
1638484853.840447,1638484854.070627,20,230.180025100708,dilithium3,1000,delay,100ms,14,4,10448,264,0,0,0,0,
1638484855.409381,1638484855.640655,21,231.27412796020508,dilithium3,1000,delay,100ms,14,5,10448,330,0,0,0,0,
1638484857.019476,1638484857.236966,22,217.48995780944824,dilithium3,1000,delay,100ms,14,5,10448,330,0,0,0,0,
