Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1638469436.449327,1638469436.677403,0,228.07598114013672,rsa,1000,delay,100ms,8,4,3064,264,0,0,0,0,
1638469437.988269,1638469438.227624,1,239.35484886169434,rsa,1000,delay,100ms,8,5,3064,330,0,0,0,0,
1638469439.533396,1638469439.771302,2,237.90597915649414,rsa,1000,delay,100ms,8,4,3064,264,0,0,0,0,
1638469441.140473,1638469441.366248,3,225.77500343322754,rsa,1000,delay,100ms,8,4,3064,264,0,0,0,0,
1638469442.46055,1638469442.692086,4,231.5359115600586,rsa,1000,delay,100ms,8,4,3064,264,0,0,0,0,
1638469444.051124,1638469444.29338,5,242.25592613220215,rsa,1000,delay,100ms,8,4,3064,264,0,0,0,0,
1638469445.363986,1638469445.591657,6,227.67090797424316,rsa,1000,delay,100ms,8,5,3064,330,0,0,0,0,
1638469446.773381,1638469447.009727,7,236.34600639343262,rsa,1000,delay,100ms,8,5,3064,330,0,0,0,0,
1638469448.133453,1638469448.371523,8,238.07001113891602,rsa,1000,delay,100ms,8,5,3064,330,0,0,0,0,
1638469449.662801,1638469449.896112,9,233.31093788146973,rsa,1000,delay,100ms,8,5,3064,330,0,0,0,0,
1638469451.281751,1638469451.512075,10,230.32402992248535,rsa,1000,delay,100ms,8,5,3064,330,0,0,0,0,
1638469452.939454,1638469453.17182,11,232.36584663391113,rsa,1000,delay,100ms,8,5,3064,330,0,0,0,0,
1638469454.591322,1638469454.816749,12,225.42715072631836,rsa,1000,delay,100ms,8,4,3064,264,0,0,0,0,
1638469456.290119,1638469456.511958,13,221.83895111083984,rsa,1000,delay,100ms,8,5,3064,330,0,0,0,0,
1638469457.82403,1638469458.065809,14,241.77908897399902,rsa,1000,delay,100ms,8,4,3064,264,0,0,0,0,
1638469459.272025,1638469459.514024,15,241.99891090393066,rsa,1000,delay,100ms,8,4,3064,264,0,0,0,0,
1638469460.824061,1638469461.071019,16,246.95801734924316,rsa,1000,delay,100ms,8,5,3064,330,0,0,0,0,
1638469462.508535,1638469462.742346,17,233.8111400604248,rsa,1000,delay,100ms,8,5,3064,330,0,0,0,0,
1638469463.917709,1638469464.152936,18,235.22686958312988,rsa,1000,delay,100ms,8,5,3064,330,0,0,0,0,
1638469465.441059,1638469465.67297,19,231.91094398498535,rsa,1000,delay,100ms,8,4,3064,264,0,0,0,0,
1638469466.996904,1638469467.226663,20,229.75921630859375,rsa,1000,delay,100ms,8,5,3064,330,0,0,0,0,
1638469468.645518,1638469468.892789,21,247.2708225250244,rsa,1000,delay,100ms,8,4,3064,264,0,0,0,0,
1638469470.220761,1638469470.453254,22,232.49292373657227,rsa,1000,delay,100ms,8,4,3064,264,0,0,0,0,
1638469471.6332,1638469471.858141,23,224.94101524353027,rsa,1000,delay,100ms,8,4,3064,264,0,0,0,0,
1638469473.264187,1638469473.49658,24,232.3927879333496,rsa,1000,delay,100ms,8,4,3064,264,0,0,0,0,
1638469474.803836,1638469475.036286,25,232.45000839233398,rsa,1000,delay,100ms,8,5,3064,330,0,0,0,0,
1638469476.329708,1638469476.556402,26,226.69386863708496,rsa,1000,delay,100ms,8,5,3064,330,0,0,0,0,
1638469478.029958,1638469478.263191,27,233.23297500610352,rsa,1000,delay,100ms,8,5,3064,330,0,0,0,0,
1638469479.510936,1638469479.752298,28,241.3620948791504,rsa,1000,delay,100ms,8,4,3064,264,0,0,0,0,
1638469481.071587,1638469481.299053,29,227.46586799621582,rsa,1000,delay,100ms,8,4,3064,264,0,0,0,0,
1638469482.671948,1638469482.905761,30,233.81304740905762,rsa,1000,delay,100ms,8,4,3064,264,0,0,0,0,
1638469484.189479,1638469484.419656,31,230.1769256591797,rsa,1000,delay,100ms,8,5,3064,330,0,0,0,0,
1638469485.825382,1638469486.056546,32,231.16397857666016,rsa,1000,delay,100ms,8,5,3064,330,0,0,0,0,
1638469487.380649,1638469487.618546,33,237.89691925048828,rsa,1000,delay,100ms,8,5,3064,330,0,0,0,0,
1638469489.024393,1638469489.250649,34,226.2558937072754,rsa,1000,delay,100ms,8,4,3064,264,0,0,0,0,
1638469490.60708,1638469490.843767,35,236.68694496154785,rsa,1000,delay,100ms,8,5,3064,330,0,0,0,0,
1638469492.181753,1638469492.420267,36,238.51418495178223,rsa,1000,delay,100ms,8,4,3064,264,0,0,0,0,
1638469493.806926,1638469494.052294,37,245.36800384521484,rsa,1000,delay,100ms,8,4,3064,264,0,0,0,0,
1638469495.123584,1638469495.360199,38,236.61494255065918,rsa,1000,delay,100ms,8,5,3064,330,0,0,0,0,
1638469496.615971,1638469496.85235,39,236.37890815734863,rsa,1000,delay,100ms,8,4,3064,264,0,0,0,0,
1638469498.176576,1638469498.412107,40,235.53109169006348,rsa,1000,delay,100ms,8,4,3064,264,0,0,0,0,
1638469499.693443,1638469499.923101,41,229.6578884124756,rsa,1000,delay,100ms,8,5,3064,330,0,0,0,0,
1638469501.358135,1638469501.584799,42,226.66406631469727,rsa,1000,delay,100ms,8,4,3064,264,0,0,0,0,
1638469502.893228,1638469503.118733,43,225.50487518310547,rsa,1000,delay,100ms,8,5,3064,330,0,0,0,0,
1638469504.404732,1638469504.651634,44,246.9019889831543,rsa,1000,delay,100ms,8,5,3064,330,0,0,0,0,
1638469505.995914,1638469506.23095,45,235.03613471984863,rsa,1000,delay,100ms,8,5,3064,330,0,0,0,0,
1638469507.391322,1638469507.622448,46,231.126070022583,rsa,1000,delay,100ms,8,4,3064,264,0,0,0,0,
1638469508.67555,1638469508.909057,47,233.5069179534912,rsa,1000,delay,100ms,8,5,3064,330,0,0,0,0,
1638469510.217056,1638469510.453853,48,236.79685592651367,rsa,1000,delay,100ms,8,5,3064,330,0,0,0,0,
1638469511.9362,1638469512.175139,49,238.9390468597412,rsa,1000,delay,100ms,8,5,3064,330,0,0,0,0,
1638469513.255358,1638469513.485858,50,230.4999828338623,rsa,1000,delay,100ms,8,4,3064,264,0,0,0,0,
1638469514.79639,1638469515.031541,51,235.1510524749756,rsa,1000,delay,100ms,8,4,3064,264,0,0,0,0,
1638469516.372024,1638469516.597698,52,225.67391395568848,rsa,1000,delay,100ms,8,5,3064,330,0,0,0,0,
1638469517.945374,1638469518.176529,53,231.1549186706543,rsa,1000,delay,100ms,8,4,3064,264,0,0,0,0,
1638469519.321758,1638469519.563851,54,242.09308624267578,rsa,1000,delay,100ms,8,4,3064,264,0,0,0,0,
