Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1638722891.968848,1638722891.977004,0,8.156061172485352,dilithium5,1000,loss,5%,10,4,13428,264,0,0,0,0,
1638722893.415968,1638722893.434177,1,18.208980560302734,dilithium5,1000,loss,5%,10,4,13428,264,0,0,0,0,
1638722894.904187,1638722894.908469,2,4.2819976806640625,dilithium5,1000,loss,5%,10,4,13428,264,0,0,0,0,
1638722896.42391,1638722896.428872,3,4.96220588684082,dilithium5,1000,loss,5%,10,5,13428,330,0,0,0,0,
1638722898.020988,1638722898.031172,4,10.184049606323242,dilithium5,1000,loss,5%,12,5,13560,330,0,0,0,0,
1638722899.63222,1638722899.641379,5,9.159088134765625,dilithium5,1000,loss,5%,10,5,13428,330,0,0,0,0,
1638722901.20611,1638722901.214038,6,7.927894592285156,dilithium5,1000,loss,5%,12,4,13560,264,0,0,0,0,
1638722902.504425,1638722902.510862,7,6.437063217163086,dilithium5,1000,loss,5%,10,4,13428,264,0,0,0,0,
1638722903.903773,1638722903.908552,8,4.778861999511719,dilithium5,1000,loss,5%,9,4,13362,264,0,0,0,0,
1638722905.517553,1638722905.737597,9,220.04389762878418,dilithium5,1000,loss,5%,9,5,13362,330,0,0,0,0,
1638722907.104143,1638722907.112054,10,7.911205291748047,dilithium5,1000,loss,5%,10,4,13428,264,0,0,0,0,
1638722908.485678,1638722908.506434,11,20.756006240844727,dilithium5,1000,loss,5%,10,5,13428,330,0,0,0,0,
1638722910.116652,1638722910.129416,12,12.76397705078125,dilithium5,1000,loss,5%,10,5,13428,330,0,0,0,0,
1638722911.736904,1638722911.758168,13,21.264076232910156,dilithium5,1000,loss,5%,15,0,13770,0,0,0,0,0,
1638722913.248567,1638722913.281361,14,32.79399871826172,dilithium5,1000,loss,5%,16,4,13824,264,0,0,0,0,
1638722914.835642,1638722914.844117,15,8.47482681274414,dilithium5,1000,loss,5%,10,5,13428,330,0,0,0,0,
1638722916.184978,1638722916.192814,16,7.836103439331055,dilithium5,1000,loss,5%,10,5,13428,330,0,0,0,0,
1638722917.754917,1638722917.76112,17,6.203174591064453,dilithium5,1000,loss,5%,10,5,13428,330,0,0,0,0,
1638722919.125298,1638722919.134358,18,9.059906005859375,dilithium5,1000,loss,5%,10,5,13428,330,0,0,0,0,
1638722920.73395,1638722920.741666,19,7.716178894042969,dilithium5,1000,loss,5%,12,5,13560,330,0,0,0,0,
1638722922.033069,1638722922.05369,20,20.621061325073242,dilithium5,1000,loss,5%,12,5,13560,330,0,0,0,0,
1638722923.593722,1638722923.605351,21,11.628866195678711,dilithium5,1000,loss,5%,10,4,13428,264,0,0,0,0,
1638722925.063782,1638722925.073183,22,9.401082992553711,dilithium5,1000,loss,5%,10,5,13428,330,0,0,0,0,
1638722926.657664,1638722926.685129,23,27.464866638183594,dilithium5,1000,loss,5%,16,5,13824,330,0,0,0,0,
1638722928.314179,1638722928.330144,24,15.964984893798828,dilithium5,1000,loss,5%,12,5,13560,330,0,0,0,0,
1638722929.830178,1638722929.845058,25,14.879941940307617,dilithium5,1000,loss,5%,10,5,13428,330,0,0,0,0,
