Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1638741237.728345,1638741237.741227,0,12.881994247436523,falcon1024,1000,loss,20%,8,4,5827,264,0,0,0,0,
1638741239.23837,1638741239.252272,1,13.901948928833008,falcon1024,1000,loss,20%,7,5,5769,330,0,0,0,0,
1638741240.805574,1638741240.830147,2,24.573087692260742,falcon1024,1000,loss,20%,8,4,5837,264,0,0,0,0,
1638741242.415933,1638741242.442453,3,26.5200138092041,falcon1024,1000,loss,20%,8,4,5833,264,0,0,0,0,
1638741244.056093,1638741244.485098,4,429.0049076080322,falcon1024,1000,loss,20%,8,2,5830,132,0,0,0,0,
1638741245.627394,1638741245.641314,5,13.920068740844727,falcon1024,1000,loss,20%,8,5,5830,330,0,0,0,0,
1638741247.240245,1638741247.269461,6,29.21581268310547,falcon1024,1000,loss,20%,9,5,5900,330,0,0,0,0,
1638741249.868028,1638741249.882006,7,13.978004455566406,falcon1024,1000,loss,20%,8,6,5829,396,0,0,0,0,
1638741250.388616,1638741250.405593,8,16.97683334350586,falcon1024,1000,loss,20%,10,4,5961,264,0,0,0,0,
1638741252.064583,1638741252.080662,9,16.078948974609375,falcon1024,1000,loss,20%,8,5,5833,330,0,0,0,0,
1638741253.296379,1638741253.311307,10,14.927864074707031,falcon1024,1000,loss,20%,8,6,5831,396,0,0,0,0,
1638741254.714467,1638741254.728876,11,14.409065246582031,falcon1024,1000,loss,20%,8,6,5830,408,0,0,0,0,
1638741256.111168,1638741256.345958,12,234.79008674621582,falcon1024,1000,loss,20%,8,5,5838,330,0,0,0,0,
1638741257.476497,1638741257.704509,13,228.0120849609375,falcon1024,1000,loss,20%,9,5,5898,330,0,0,0,0,
1638741260.079512,1638741260.297851,14,218.339204788208,falcon1024,1000,loss,20%,9,5,5900,330,0,0,0,0,
1638741260.569466,1638741260.796171,15,226.70483589172363,falcon1024,1000,loss,20%,8,5,5833,330,0,0,0,0,
1638741262.135297,1638741262.160431,16,25.133848190307617,falcon1024,1000,loss,20%,7,6,5767,772,0,0,0,0,
1638741264.657011,1638741264.670987,17,13.975858688354492,falcon1024,1000,loss,20%,8,5,5835,330,0,0,0,0,
1638741266.159137,1638741266.58001,18,420.87292671203613,falcon1024,1000,loss,20%,13,0,6176,0,0,0,0,0,
1638741266.781096,1638741266.798302,19,17.20595359802246,falcon1024,1000,loss,20%,9,4,5899,264,0,0,0,0,
1638741269.266685,1638741269.279872,20,13.186931610107422,falcon1024,1000,loss,20%,8,5,5833,330,0,0,0,0,
1638741269.730536,1638741269.745222,21,14.686107635498047,falcon1024,1000,loss,20%,8,4,5834,264,0,0,0,0,
1638741271.356904,1638741271.377128,22,20.22385597229004,falcon1024,1000,loss,20%,7,5,5766,330,0,0,0,0,
1638741272.915623,1638741273.383172,23,467.54908561706543,falcon1024,1000,loss,20%,14,0,6241,0,0,0,0,0,
1638741274.498802,1638741274.521414,24,22.61209487915039,falcon1024,1000,loss,20%,8,5,5834,330,0,0,0,0,
1638741275.892241,1638741275.904571,25,12.330055236816406,falcon1024,1000,loss,20%,8,5,5836,330,0,0,0,0,
1638741278.379979,1638741278.392005,26,12.026071548461914,falcon1024,1000,loss,20%,7,4,5765,264,0,0,0,0,
1638741278.912506,1638741279.141541,27,229.0349006652832,falcon1024,1000,loss,20%,8,4,5833,264,0,0,0,0,
1638741280.54366,1638741280.557018,28,13.358116149902344,falcon1024,1000,loss,20%,7,6,5764,396,0,0,0,0,
1638741281.967495,1638741282.204459,29,236.96398735046387,falcon1024,1000,loss,20%,8,4,5835,264,0,0,0,0,
1638741283.501808,1638741283.541664,30,39.85595703125,falcon1024,1000,loss,20%,13,0,6179,0,0,0,0,0,
1638741285.100768,1638741285.122352,31,21.58379554748535,falcon1024,1000,loss,20%,8,4,5837,264,0,0,0,0,
1638741286.651077,1638741286.672913,32,21.836042404174805,falcon1024,1000,loss,20%,7,5,5768,330,0,0,0,0,
1638741288.193176,1638741288.217087,33,23.910999298095703,falcon1024,1000,loss,20%,8,4,5832,264,0,0,0,0,
1638741289.684439,1638741289.697639,34,13.200044631958008,falcon1024,1000,loss,20%,8,4,5831,264,0,0,0,0,
1638741291.207928,1638741291.431606,35,223.6781120300293,falcon1024,1000,loss,20%,8,7,5839,474,0,0,0,0,
1638741292.777913,1638741293.232705,36,454.7920227050781,falcon1024,1000,loss,20%,14,0,6242,0,0,0,0,0,
1638741294.123592,1638741294.364562,37,240.97013473510742,falcon1024,1000,loss,20%,9,5,5894,330,0,0,0,0,
1638741296.719393,1638741296.731585,38,12.192010879516602,falcon1024,1000,loss,20%,7,5,5767,330,0,0,0,0,
1638741298.283933,1638741298.295839,39,11.906147003173828,falcon1024,1000,loss,20%,7,4,5772,264,0,0,0,0,
1638741298.724064,1638741298.953703,40,229.63881492614746,falcon1024,1000,loss,20%,8,5,5830,330,0,0,0,0,
1638741300.161455,1638741300.394569,41,233.11400413513184,falcon1024,1000,loss,20%,15,0,6304,0,0,0,0,0,
1638741301.755691,1638741301.772567,42,16.8759822845459,falcon1024,1000,loss,20%,8,5,5836,330,0,0,0,0,
1638741303.424652,1638741303.440814,43,16.16191864013672,falcon1024,1000,loss,20%,7,5,5768,330,0,0,0,0,
1638741305.913121,1638741305.925105,44,11.984109878540039,falcon1024,1000,loss,20%,7,5,5770,330,0,0,0,0,
1638741306.388743,1638741306.409754,45,21.0111141204834,falcon1024,1000,loss,20%,10,5,5967,330,0,0,0,0,
1638741307.853556,1638741307.880557,46,27.001142501831055,falcon1024,1000,loss,20%,8,5,5832,330,0,0,0,0,
1638741309.448139,1638741309.460513,47,12.374162673950195,falcon1024,1000,loss,20%,7,4,5764,264,0,0,0,0,
1638741312.376567,1638741312.403243,48,26.676177978515625,falcon1024,1000,loss,20%,8,5,5834,330,0,0,0,0,
1638741313.80858,1638741313.824659,49,16.079187393188477,falcon1024,1000,loss,20%,8,20,5836,6622,0,0,0,0,
1638741315.276431,1638741315.300025,50,23.593902587890625,falcon1024,1000,loss,20%,9,6,5899,396,0,0,0,0,
1638741316.804351,1638741317.040229,51,235.87799072265625,falcon1024,1000,loss,20%,8,5,5835,330,0,0,0,0,
1638741318.321603,1638741318.365061,52,43.457984924316406,falcon1024,1000,loss,20%,10,5,5965,330,0,0,0,0,
1638741319.756845,1638741319.770353,53,13.508081436157227,falcon1024,1000,loss,20%,8,7,5840,474,0,0,0,0,
1638741321.351382,1638741321.58472,54,233.3378791809082,falcon1024,1000,loss,20%,9,5,5895,330,0,0,0,0,
1638741322.894316,1638741323.358893,55,464.57695960998535,falcon1024,1000,loss,20%,9,5,5904,330,0,0,0,0,
1638741325.418328,1638741325.851158,56,432.8298568725586,falcon1024,1000,loss,20%,15,0,6309,0,0,0,0,0,
1638741325.942349,1638741325.967991,57,25.64215660095215,falcon1024,1000,loss,20%,8,5,5836,330,0,0,0,0,
1638741327.295984,1638741327.313098,58,17.113924026489258,falcon1024,1000,loss,20%,7,6,5770,408,0,0,0,0,
1638741328.736368,1638741328.77167,59,35.302162170410156,falcon1024,1000,loss,20%,9,4,5897,264,0,0,0,0,
