Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1638735118.731082,1638735118.944361,0,213.27900886535645,falcon512,1000,loss,40%,7,2,3642,132,0,0,0,0,
1638735119.150656,1638735121.867377,1,2716.7210578918457,falcon512,1000,loss,40%,8,4,3711,264,0,0,0,0,
1638735122.116127,1638735122.363803,2,247.67589569091797,falcon512,1000,loss,40%,17,10,8571,736,0,0,0,0,
1638735123.735658,1638735123.746075,3,10.416984558105469,falcon512,1000,loss,40%,6,4,3576,264,0,0,0,0,
1638735126.346721,1638735126.353575,4,6.854057312011719,falcon512,1000,loss,40%,8,4,3708,264,0,0,0,0,
1638735128.354601,1638735128.366471,5,11.870145797729492,falcon512,1000,loss,40%,7,5,3643,330,0,0,0,0,
1638735129.851956,1638735129.960681,6,108.72507095336914,falcon512,1000,loss,40%,9,14,3787,4091,0,0,0,0,
1638735131.422407,1638735131.461363,7,38.9561653137207,falcon512,1000,loss,40%,12,0,3985,0,0,0,0,0,
1638735132.956685,1638735133.173436,8,216.7508602142334,falcon512,1000,loss,40%,7,5,3642,330,0,0,0,0,
1638735134.52936,1638735136.043432,9,1514.0719413757324,falcon512,1000,loss,40%,7,2,3640,132,0,0,0,0,
1638735136.069173,1638735136.307984,10,238.81101608276367,falcon512,1000,loss,40%,8,3,3707,198,0,0,0,0,
1638735137.715558,1638735137.723422,11,7.8639984130859375,falcon512,1000,loss,40%,6,4,3579,264,0,0,0,0,
1638735140.271951,1638735140.279139,12,7.188081741333008,falcon512,1000,loss,40%,7,7,3640,462,0,0,0,0,
1638735140.825216,1638735140.836039,13,10.82301139831543,falcon512,1000,loss,40%,7,4,3641,264,0,0,0,0,
1638735142.284985,1638735142.703546,14,418.5609817504883,falcon512,1000,loss,40%,6,5,3579,330,0,0,0,0,
1638735143.937133,1638735144.394696,15,457.5629234313965,falcon512,1000,loss,40%,12,0,3982,0,0,0,0,0,
1638735145.484199,1638735145.907256,16,423.05684089660645,falcon512,1000,loss,40%,8,3,4841,198,0,0,0,0,
1638735148.011906,1638735148.453097,17,441.1911964416504,falcon512,1000,loss,40%,14,0,4119,0,0,0,0,0,
1638735149.516894,1638735149.730648,18,213.75393867492676,falcon512,1000,loss,40%,8,4,3708,264,0,0,0,0,
1638735149.913513,1638735149.924668,19,11.155128479003906,falcon512,1000,loss,40%,7,6,3645,396,0,0,0,0,
1638735152.4954,1638735152.710279,20,214.87903594970703,falcon512,1000,loss,40%,8,4,3708,276,0,0,0,0,
1638735153.131598,1638735155.412145,21,2280.5469036102295,falcon512,1000,loss,40%,9,0,3721,0,0,0,0,0,
1638735155.993453,1638735156.84431,22,850.8570194244385,falcon512,1000,loss,40%,9,0,1660,0,0,0,0,0,
1638735157.593233,1638735157.821795,23,228.5618782043457,falcon512,1000,loss,40%,4,0,797,0,0,0,0,0,
1638735160.654087,1638735161.994057,24,1339.9698734283447,falcon512,1000,loss,40%,12,0,3984,0,0,0,0,0,
1638735162.203812,1638735162.219396,25,15.584230422973633,falcon512,1000,loss,40%,6,36,3112,10858,0,0,0,0,
1638735163.77408,1638735164.423339,26,649.2588520050049,falcon512,1000,loss,40%,13,0,4049,0,0,0,0,0,
1638735166.122485,1638735166.339242,27,216.75705909729004,falcon512,1000,loss,40%,8,6,3712,408,0,0,0,0,
1638735166.66326,1638735166.673905,28,10.644912719726562,falcon512,1000,loss,40%,7,5,3640,330,0,0,0,0,
1638735169.098353,1638735169.10512,29,6.767034530639648,falcon512,1000,loss,40%,8,4,3710,264,0,0,0,0,
1638735169.578837,1638735170.258511,30,679.6741485595703,falcon512,1000,loss,40%,12,0,3982,0,0,0,0,0,
1638735171.148686,1638735171.168762,31,20.07603645324707,falcon512,1000,loss,40%,12,0,3981,0,0,0,0,0,
1638735174.508146,1638735175.761279,32,1253.1330585479736,falcon512,1000,loss,40%,16,5,7361,394,0,0,0,0,
