Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1634046996.766935,1634046996.851672,0,84.73682403564453,dilithium5,10,drop,cKenEtQxHl.pcap,16,4,13824,264,0,0,0,0,
1634046997.831997,1634046997.91429,1,82.29303359985352,dilithium5,10,drop,cKenEtQxHl.pcap,16,5,13824,330,0,0,0,0,
1634046998.898535,1634046998.980159,2,81.62403106689453,dilithium5,10,drop,cKenEtQxHl.pcap,16,5,13824,330,0,0,0,0,
1634046999.968735,1634047000.049401,3,80.66606521606445,dilithium5,10,drop,cKenEtQxHl.pcap,18,4,13956,264,0,0,0,0,
1634047001.04193,1634047001.12449,4,82.56006240844727,dilithium5,10,drop,cKenEtQxHl.pcap,16,5,13824,330,0,0,0,0,
1634047002.104444,1634047002.186803,5,82.35907554626465,dilithium5,10,drop,cKenEtQxHl.pcap,16,5,13824,330,0,0,0,0,
1634047003.171696,1634047003.252703,6,81.00700378417969,dilithium5,10,drop,cKenEtQxHl.pcap,16,5,13824,330,0,0,0,0,
1634047004.237873,1634047004.318224,7,80.35087585449219,dilithium5,10,drop,cKenEtQxHl.pcap,16,5,13824,330,0,0,0,0,
1634047005.30354,1634047005.385524,8,81.98404312133789,dilithium5,10,drop,cKenEtQxHl.pcap,16,5,13824,330,0,0,0,0,
1634047006.375117,1634047006.45647,9,81.35294914245605,dilithium5,10,drop,cKenEtQxHl.pcap,16,5,13824,330,0,0,0,0,
1634047014.400436,1634047014.485085,10,84.64908599853516,dilithium5,10,drop,cKenEtQxHl.pcap,8,4,3708,264,0,0,0,0,
1634047015.468851,1634047015.55134,11,82.489013671875,dilithium5,10,drop,cKenEtQxHl.pcap,8,5,3703,330,0,0,0,0,
1634047016.537638,1634047016.616664,12,79.0259838104248,dilithium5,10,drop,cKenEtQxHl.pcap,8,5,3706,330,0,0,0,0,
1634047017.614196,1634047017.694406,13,80.20997047424316,dilithium5,10,drop,cKenEtQxHl.pcap,8,4,3703,264,0,0,0,0,
1634047018.686507,1634047018.766192,14,79.68497276306152,dilithium5,10,drop,cKenEtQxHl.pcap,8,5,3706,330,0,0,0,0,
1634047019.754361,1634047019.836531,15,82.17000961303711,dilithium5,10,drop,cKenEtQxHl.pcap,8,5,3710,330,0,0,0,0,
1634047020.826662,1634047020.908743,16,82.08084106445312,dilithium5,10,drop,cKenEtQxHl.pcap,8,5,3705,330,0,0,0,0,
1634047021.893926,1634047021.975711,17,81.78520202636719,dilithium5,10,drop,cKenEtQxHl.pcap,8,5,3707,330,0,0,0,0,
1634047022.961907,1634047023.046357,18,84.45000648498535,dilithium5,10,drop,cKenEtQxHl.pcap,8,5,3713,330,0,0,0,0,
1634047024.029536,1634047024.110871,19,81.33506774902344,dilithium5,10,drop,cKenEtQxHl.pcap,8,5,3707,330,0,0,0,0,
1634047032.047651,1634047032.134207,20,86.55595779418945,dilithium5,10,drop,cKenEtQxHl.pcap,10,5,5960,330,0,0,0,0,
1634047033.128877,1634047033.21215,21,83.27317237854004,dilithium5,10,drop,cKenEtQxHl.pcap,10,4,5967,264,0,0,0,0,
1634047034.232066,1634047034.313646,22,81.58016204833984,dilithium5,10,drop,cKenEtQxHl.pcap,10,4,5960,264,0,0,0,0,
1634047035.312751,1634047035.393676,23,80.92498779296875,dilithium5,10,drop,cKenEtQxHl.pcap,10,4,5968,264,0,0,0,0,
1634047036.389378,1634047036.471334,24,81.9559097290039,dilithium5,10,drop,cKenEtQxHl.pcap,10,4,5961,264,0,0,0,0,
1634047037.461351,1634047037.541397,25,80.04617691040039,dilithium5,10,drop,cKenEtQxHl.pcap,10,5,5962,330,0,0,0,0,
1634047038.537776,1634047038.621365,26,83.58907699584961,dilithium5,10,drop,cKenEtQxHl.pcap,10,5,5963,330,0,0,0,0,
1634047039.613359,1634047039.694724,27,81.36510848999023,dilithium5,10,drop,cKenEtQxHl.pcap,10,4,5972,264,0,0,0,0,
1634047040.689301,1634047040.770059,28,80.75809478759766,dilithium5,10,drop,cKenEtQxHl.pcap,10,5,5960,330,0,0,0,0,
