Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1634051195.815932,1634051196.18119,0,365.25797843933105,dilithium5,10,drop,ezMQfnpYKg.pcap,16,4,13824,264,0,0,0,0,
1634051197.01866,1634051197.376106,1,357.44595527648926,dilithium5,10,drop,ezMQfnpYKg.pcap,16,5,13824,330,0,0,0,0,
1634051198.226936,1634051198.578636,2,351.6998291015625,dilithium5,10,drop,ezMQfnpYKg.pcap,16,5,13824,330,0,0,0,0,
1634051199.432213,1634051199.785467,3,353.2538414001465,dilithium5,10,drop,ezMQfnpYKg.pcap,16,5,13824,330,0,0,0,0,
1634051200.642798,1634051200.996828,4,354.0301322937012,dilithium5,10,drop,ezMQfnpYKg.pcap,16,4,13824,264,0,0,0,0,
1634051201.849435,1634051202.200986,5,351.550817489624,dilithium5,10,drop,ezMQfnpYKg.pcap,16,5,13824,330,0,0,0,0,
1634051203.056003,1634051203.407877,6,351.87387466430664,dilithium5,10,drop,ezMQfnpYKg.pcap,18,5,13956,330,0,0,0,0,
1634051204.263749,1634051204.61388,7,350.1310348510742,dilithium5,10,drop,ezMQfnpYKg.pcap,16,4,13824,264,0,0,0,0,
1634051205.471571,1634051205.825325,8,353.75404357910156,dilithium5,10,drop,ezMQfnpYKg.pcap,18,5,13956,330,0,0,0,0,
1634051206.675132,1634051207.028,9,352.86808013916016,dilithium5,10,drop,ezMQfnpYKg.pcap,16,4,13824,264,0,0,0,0,
1634051217.404646,1634051217.759664,10,355.01813888549805,dilithium5,10,drop,ezMQfnpYKg.pcap,10,5,5965,330,0,0,0,0,
1634051218.610666,1634051218.964365,11,353.6989688873291,dilithium5,10,drop,ezMQfnpYKg.pcap,10,5,5961,330,0,0,0,0,
1634051219.818104,1634051220.169082,12,350.97789764404297,dilithium5,10,drop,ezMQfnpYKg.pcap,10,5,5964,330,0,0,0,0,
1634051221.022369,1634051221.378318,13,355.94916343688965,dilithium5,10,drop,ezMQfnpYKg.pcap,10,5,5962,330,0,0,0,0,
1634051222.229452,1634051222.589317,14,359.8651885986328,dilithium5,10,drop,ezMQfnpYKg.pcap,10,5,5967,330,0,0,0,0,
1634051223.437747,1634051223.795832,15,358.08491706848145,dilithium5,10,drop,ezMQfnpYKg.pcap,10,4,5964,264,0,0,0,0,
1634051224.637987,1634051224.995928,16,357.9411506652832,dilithium5,10,drop,ezMQfnpYKg.pcap,10,5,5967,330,0,0,0,0,
1634051225.84942,1634051226.20096,17,351.53985023498535,dilithium5,10,drop,ezMQfnpYKg.pcap,10,5,5964,330,0,0,0,0,
1634051227.057405,1634051227.408609,18,351.20391845703125,dilithium5,10,drop,ezMQfnpYKg.pcap,10,4,5969,264,0,0,0,0,
