Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1634161878.340312,1634161878.830872,0,490.56005477905273,dilithium5,100,drop,XzBfIGYrlR.pcap,16,4,13648,228,0,0,0,0,
1634161883.025732,1634161883.511563,1,485.83102226257324,dilithium5,100,drop,XzBfIGYrlR.pcap,15,4,13594,228,0,0,0,0,
1634161887.486138,1634161887.964603,2,478.46484184265137,dilithium5,100,drop,XzBfIGYrlR.pcap,16,4,13648,228,0,0,0,0,
1634161892.086103,1634161892.563096,3,476.9930839538574,dilithium5,100,drop,XzBfIGYrlR.pcap,16,4,13648,228,0,0,0,0,
1634161896.626978,1634161897.108314,4,481.3361167907715,dilithium5,100,drop,XzBfIGYrlR.pcap,16,4,13648,228,0,0,0,0,
1634161901.205345,1634161901.713821,5,508.47601890563965,dilithium5,100,drop,XzBfIGYrlR.pcap,16,4,13648,228,0,0,0,0,
1634161905.893947,1634161906.393612,6,499.6650218963623,dilithium5,100,drop,XzBfIGYrlR.pcap,16,4,13648,228,0,0,0,0,
1634161910.661309,1634161911.146019,7,484.7099781036377,dilithium5,100,drop,XzBfIGYrlR.pcap,16,4,13648,228,0,0,0,0,
1634161915.26894,1634161915.774567,8,505.626916885376,dilithium5,100,drop,XzBfIGYrlR.pcap,16,4,13648,228,0,0,0,0,
1634161919.929885,1634161920.424631,9,494.74620819091797,dilithium5,100,drop,XzBfIGYrlR.pcap,17,4,13696,228,0,0,0,0,
1634161924.582901,1634161925.100364,10,517.462968826294,dilithium5,100,drop,XzBfIGYrlR.pcap,16,4,13648,228,0,0,0,0,
1634161929.26874,1634161929.753767,11,485.0270748138428,dilithium5,100,drop,XzBfIGYrlR.pcap,18,4,13756,228,0,0,0,0,
1634161933.843062,1634161934.32985,12,486.7880344390869,dilithium5,100,drop,XzBfIGYrlR.pcap,16,4,13648,228,0,0,0,0,
1634161938.497461,1634161939.021516,13,524.055004119873,dilithium5,100,drop,XzBfIGYrlR.pcap,16,4,13648,228,0,0,0,0,
1634161943.234778,1634161943.754144,14,519.3660259246826,dilithium5,100,drop,XzBfIGYrlR.pcap,16,4,13648,228,0,0,0,0,
1634161947.907492,1634161948.419471,15,511.9791030883789,dilithium5,100,drop,XzBfIGYrlR.pcap,16,4,13648,228,0,0,0,0,
1634161952.583468,1634161953.064447,16,480.97896575927734,dilithium5,100,drop,XzBfIGYrlR.pcap,16,4,13648,228,0,0,0,0,
1634161957.084765,1634161957.599968,17,515.2029991149902,dilithium5,100,drop,XzBfIGYrlR.pcap,16,4,13648,228,0,0,0,0,
1634161961.828319,1634161962.331427,18,503.10802459716797,dilithium5,100,drop,XzBfIGYrlR.pcap,16,4,13648,228,0,0,0,0,
1634161966.508865,1634161967.022004,19,513.1387710571289,dilithium5,100,drop,XzBfIGYrlR.pcap,16,4,13648,228,0,0,0,0,
1634161971.172207,1634161971.673595,20,501.3878345489502,dilithium5,100,drop,XzBfIGYrlR.pcap,14,4,13540,228,0,0,0,0,
1634161975.74154,1634161976.22703,21,485.490083694458,dilithium5,100,drop,XzBfIGYrlR.pcap,16,4,13648,228,0,0,0,0,
1634161980.365322,1634161980.876123,22,510.800838470459,dilithium5,100,drop,XzBfIGYrlR.pcap,16,4,13648,228,0,0,0,0,
1634161984.95217,1634161985.433144,23,480.9741973876953,dilithium5,100,drop,XzBfIGYrlR.pcap,16,4,13648,228,0,0,0,0,
1634161989.419896,1634161989.896937,24,477.04100608825684,dilithium5,100,drop,XzBfIGYrlR.pcap,18,4,13756,228,0,0,0,0,
1634161993.769041,1634161994.273738,25,504.6968460083008,dilithium5,100,drop,XzBfIGYrlR.pcap,16,4,13648,228,0,0,0,0,
1634161998.415031,1634161998.901897,26,486.8659973144531,dilithium5,100,drop,XzBfIGYrlR.pcap,18,4,13756,228,0,0,0,0,
1634162003.032536,1634162003.553955,27,521.4190483093262,dilithium5,100,drop,XzBfIGYrlR.pcap,16,4,13648,228,0,0,0,0,
1634162007.737437,1634162008.242743,28,505.3060054779053,dilithium5,100,drop,XzBfIGYrlR.pcap,16,4,13648,228,0,0,0,0,
1634162012.364603,1634162012.844514,29,479.91085052490234,dilithium5,100,drop,XzBfIGYrlR.pcap,16,4,13648,228,0,0,0,0,
1634162016.955943,1634162017.467781,30,511.8379592895508,dilithium5,100,drop,XzBfIGYrlR.pcap,16,4,13648,228,0,0,0,0,
1634162021.617766,1634162022.133227,31,515.4612064361572,dilithium5,100,drop,XzBfIGYrlR.pcap,16,4,13648,228,0,0,0,0,
1634162026.216606,1634162026.699482,32,482.8760623931885,dilithium5,100,drop,XzBfIGYrlR.pcap,16,4,13648,228,0,0,0,0,
1634162030.886934,1634162031.414255,33,527.3208618164062,dilithium5,100,drop,XzBfIGYrlR.pcap,16,4,13648,228,0,0,0,0,
1634162035.604177,1634162036.113811,34,509.63401794433594,dilithium5,100,drop,XzBfIGYrlR.pcap,16,4,13648,228,0,0,0,0,
