Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1634640541.892809,1634640542.225062,0,332.25297927856445,dilithium5,100,drop,XyAFsBixlW.pcap,16,4,13648,228,0,0,0,0,
1634640546.010689,1634640546.324814,1,314.12506103515625,dilithium5,100,drop,XyAFsBixlW.pcap,16,4,13648,228,0,0,0,0,
1634640550.084738,1634640550.365603,2,280.864953994751,dilithium5,100,drop,XyAFsBixlW.pcap,18,4,13756,228,0,0,0,0,
1634640554.036343,1634640554.341785,3,305.44185638427734,dilithium5,100,drop,XyAFsBixlW.pcap,16,4,13648,228,0,0,0,0,
1634640558.401894,1634640558.750438,4,348.5438823699951,dilithium5,100,drop,XyAFsBixlW.pcap,15,4,13588,228,0,0,0,0,
1634640562.443765,1634640562.726244,5,282.47904777526855,dilithium5,100,drop,XyAFsBixlW.pcap,15,4,13588,228,0,0,0,0,
1634640566.679921,1634640566.979944,6,300.02307891845703,dilithium5,100,drop,XyAFsBixlW.pcap,16,4,13648,228,0,0,0,0,
1634640570.996605,1634640571.284972,7,288.36703300476074,dilithium5,100,drop,XyAFsBixlW.pcap,17,4,13696,228,0,0,0,0,
1634640575.08379,1634640575.521177,8,437.38698959350586,dilithium5,100,drop,XyAFsBixlW.pcap,15,4,13588,228,0,0,0,0,
1634640579.177284,1634640579.516721,9,339.43700790405273,dilithium5,100,drop,XyAFsBixlW.pcap,16,4,13648,228,0,0,0,0,
1634640583.152789,1634640583.45693,10,304.1408061981201,dilithium5,100,drop,XyAFsBixlW.pcap,16,4,13648,228,0,0,0,0,
1634640587.199385,1634640587.488391,11,289.00599479675293,dilithium5,100,drop,XyAFsBixlW.pcap,15,4,13588,228,0,0,0,0,
1634640591.187738,1634640591.504322,12,316.58411026000977,dilithium5,100,drop,XyAFsBixlW.pcap,15,4,13588,228,0,0,0,0,
1634640595.32648,1634640595.617922,13,291.4421558380127,dilithium5,100,drop,XyAFsBixlW.pcap,16,4,13648,228,0,0,0,0,
1634640599.587927,1634640599.88148,14,293.5528755187988,dilithium5,100,drop,XyAFsBixlW.pcap,16,4,13648,228,0,0,0,0,
1634640603.645985,1634640603.949629,15,303.64418029785156,dilithium5,100,drop,XyAFsBixlW.pcap,16,4,13648,228,0,0,0,0,
1634640607.591802,1634640607.893794,16,301.99217796325684,dilithium5,100,drop,XyAFsBixlW.pcap,16,4,13648,228,0,0,0,0,
1634640611.452759,1634640611.749585,17,296.8258857727051,dilithium5,100,drop,XyAFsBixlW.pcap,16,4,13648,228,0,0,0,0,
1634640615.628501,1634640615.944931,18,316.43009185791016,dilithium5,100,drop,XyAFsBixlW.pcap,16,4,13648,228,0,0,0,0,
1634640619.716289,1634640620.00472,19,288.43092918395996,dilithium5,100,drop,XyAFsBixlW.pcap,16,4,13648,228,0,0,0,0,
1634640623.871317,1634640624.149565,20,278.2480716705322,dilithium5,100,drop,XyAFsBixlW.pcap,15,4,13588,228,0,0,0,0,
1634640628.009108,1634640628.332461,21,323.3530521392822,dilithium5,100,drop,XyAFsBixlW.pcap,16,4,13648,228,0,0,0,0,
1634640632.043483,1634640632.365856,22,322.3729133605957,dilithium5,100,drop,XyAFsBixlW.pcap,16,4,13648,228,0,0,0,0,
1634640636.053185,1634640636.344883,23,291.6979789733887,dilithium5,100,drop,XyAFsBixlW.pcap,16,4,13648,228,0,0,0,0,
1634640640.220924,1634640640.500849,24,279.9251079559326,dilithium5,100,drop,XyAFsBixlW.pcap,15,4,13588,228,0,0,0,0,
1634640644.438,1634640644.730799,25,292.7989959716797,dilithium5,100,drop,XyAFsBixlW.pcap,15,4,13588,228,0,0,0,0,
1634640648.540653,1634640648.828645,26,287.992000579834,dilithium5,100,drop,XyAFsBixlW.pcap,15,4,13588,228,0,0,0,0,
1634640652.726302,1634640653.038088,27,311.7861747741699,dilithium5,100,drop,XyAFsBixlW.pcap,15,4,13588,228,0,0,0,0,
1634640656.986141,1634640657.27774,28,291.5990352630615,dilithium5,100,drop,XyAFsBixlW.pcap,15,4,13588,228,0,0,0,0,
1634640661.006636,1634640661.313073,29,306.43701553344727,dilithium5,100,drop,XyAFsBixlW.pcap,15,4,13588,228,0,0,0,0,
1634640664.945214,1634640665.231387,30,286.17286682128906,dilithium5,100,drop,XyAFsBixlW.pcap,16,4,13648,228,0,0,0,0,
1634640668.967196,1634640669.252774,31,285.57801246643066,dilithium5,100,drop,XyAFsBixlW.pcap,16,4,13648,228,0,0,0,0,
1634640672.984355,1634640673.272629,32,288.27404975891113,dilithium5,100,drop,XyAFsBixlW.pcap,16,4,13648,228,0,0,0,0,
1634640677.010801,1634640677.292657,33,281.85582160949707,dilithium5,100,drop,XyAFsBixlW.pcap,16,4,13648,228,0,0,0,0,
1634640681.232277,1634640681.515726,34,283.4491729736328,dilithium5,100,drop,XyAFsBixlW.pcap,16,4,13648,228,0,0,0,0,
1634640685.485125,1634640685.780894,35,295.76897621154785,dilithium5,100,drop,XyAFsBixlW.pcap,15,4,13588,228,0,0,0,0,
1634640689.677447,1634640689.977808,36,300.36091804504395,dilithium5,100,drop,XyAFsBixlW.pcap,13,4,13480,228,0,0,0,0,
1634640693.912749,1634640694.184748,37,271.9988822937012,dilithium5,100,drop,XyAFsBixlW.pcap,16,4,13648,228,0,0,0,0,
1634640698.16519,1634640698.46312,38,297.9300022125244,dilithium5,100,drop,XyAFsBixlW.pcap,16,4,13648,228,0,0,0,0,
1634640702.348527,1634640702.648268,39,299.7410297393799,dilithium5,100,drop,XyAFsBixlW.pcap,16,4,13648,228,0,0,0,0,
1634640706.310995,1634640706.620961,40,309.9658489227295,dilithium5,100,drop,XyAFsBixlW.pcap,15,5,13588,288,0,0,0,0,
