Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1633216047.444107,1633216047.455344,0,11.236906051635742,dilithium2,10,corrupt,0%,8,5,7666,330,0,0,0,0,
1633216049.012415,1633216049.023729,1,11.314153671264648,dilithium2,10,corrupt,0%,8,5,7666,330,0,0,0,0,
1633216050.518052,1633216050.539876,2,21.823883056640625,dilithium2,10,corrupt,0%,8,4,7666,264,0,0,0,0,
1633216051.815037,1633216051.819899,3,4.862070083618164,dilithium2,10,corrupt,0%,8,4,7666,264,0,0,0,0,
1633216053.142485,1633216053.151745,4,9.260177612304688,dilithium2,10,corrupt,0%,10,5,7798,330,0,0,0,0,
1633216054.803597,1633216054.816441,5,12.844085693359375,dilithium2,10,corrupt,0%,8,5,7666,330,0,0,0,0,
1633216056.231013,1633216056.240521,6,9.507894515991211,dilithium2,10,corrupt,0%,8,5,7666,330,0,0,0,0,
1633216057.53828,1633216057.543535,7,5.254983901977539,dilithium2,10,corrupt,0%,8,4,7666,264,0,0,0,0,
1633216059.045211,1633216059.051187,8,5.975961685180664,dilithium2,10,corrupt,0%,8,5,7666,330,0,0,0,0,
1633216060.611627,1633216060.623891,9,12.264013290405273,dilithium2,10,corrupt,0%,8,4,7666,264,0,0,0,0,
1633216075.075509,1633216075.087396,10,11.886835098266602,dilithium2,10,corrupt,0%,8,4,7666,264,0,0,0,0,
1633216076.402189,1633216076.408689,11,6.500005722045898,dilithium2,10,corrupt,0%,8,5,7666,330,0,0,0,0,
1633216077.881144,1633216077.896704,12,15.559911727905273,dilithium2,10,corrupt,0%,8,4,7666,264,0,0,0,0,
1633216079.303891,1633216079.311571,13,7.679939270019531,dilithium2,10,corrupt,0%,8,4,7666,264,0,0,0,0,
1633216080.607459,1633216080.613509,14,6.049871444702148,dilithium2,10,corrupt,0%,8,5,7666,330,0,0,0,0,
1633216081.997679,1633216082.00232,15,4.641056060791016,dilithium2,10,corrupt,0%,8,7,7666,602,0,0,0,0,
1633216083.303946,1633216084.603878,16,1299.9320030212402,dilithium2,10,corrupt,0%,10,5,7814,330,0,0,0,0,
1633216086.166599,1633216086.171622,17,5.023002624511719,dilithium2,10,corrupt,0%,8,21,7666,8524,0,0,0,0,
1633216087.41057,1633216087.420541,18,9.971141815185547,dilithium2,10,corrupt,0%,9,4,7732,264,0,0,0,0,
1633216102.048461,1633216102.271773,19,223.3121395111084,dilithium2,10,corrupt,0%,9,10,8249,684,0,0,0,0,
1633216103.26006,1633216103.490819,20,230.7589054107666,dilithium2,10,corrupt,0%,9,4,8249,264,0,0,0,0,
1633216104.639372,1633216106.211849,21,1572.476863861084,dilithium2,10,corrupt,0%,15,4,8661,264,0,0,0,0,
1633216107.352244,1633216107.368269,22,16.025066375732422,dilithium2,10,corrupt,0%,8,24,7666,9687,0,0,0,0,
1633216108.680873,1633216110.96904,23,2288.1669998168945,dilithium2,10,corrupt,0%,9,0,1271,0,0,0,0,0,
1633216111.395745,1633216114.459494,24,3063.749074935913,dilithium2,10,corrupt,0%,19,60,8496,35061,0,0,0,0,
1633216134.971757,1633216134.979326,25,7.569074630737305,dilithium2,10,corrupt,0%,10,4,10184,264,0,0,0,0,
1633216136.558582,1633216136.563372,26,4.789829254150391,dilithium2,10,corrupt,0%,10,4,10184,264,0,0,0,0,
1633216137.828806,1633216137.839747,27,10.941028594970703,dilithium2,10,corrupt,0%,10,4,10184,264,0,0,0,0,
1633216139.150023,1633216139.167117,28,17.094135284423828,dilithium2,10,corrupt,0%,10,5,10184,330,0,0,0,0,
1633216140.530861,1633216140.534997,29,4.136085510253906,dilithium2,10,corrupt,0%,10,5,10184,330,0,0,0,0,
1633216142.071466,1633216142.093773,30,22.30691909790039,dilithium2,10,corrupt,0%,14,4,10448,264,0,0,0,0,
1633216143.645999,1633216143.667521,31,21.522045135498047,dilithium2,10,corrupt,0%,10,5,10184,330,0,0,0,0,
1633216145.107052,1633216145.119401,32,12.34889030456543,dilithium2,10,corrupt,0%,10,5,10184,330,0,0,0,0,
1633216146.688107,1633216146.694201,33,6.0939788818359375,dilithium2,10,corrupt,0%,10,4,10184,264,0,0,0,0,
1633216148.038862,1633216148.043465,34,4.602909088134766,dilithium2,10,corrupt,0%,10,5,10184,330,0,0,0,0,
1633216162.638295,1633216162.657038,35,18.743038177490234,dilithium2,10,corrupt,0%,10,4,10184,264,0,0,0,0,
1633216163.987858,1633216163.996701,36,8.842945098876953,dilithium2,10,corrupt,0%,10,7,10184,474,0,0,0,0,
1633216165.427406,1633216165.435234,37,7.827997207641602,dilithium2,10,corrupt,0%,10,4,10184,264,0,0,0,0,
1633216167.014352,1633216167.019083,38,4.730939865112305,dilithium2,10,corrupt,0%,10,4,10184,264,0,0,0,0,
1633216168.401665,1633216169.463502,39,1061.8369579315186,dilithium2,10,corrupt,0%,15,0,10522,0,0,0,0,0,
1633216169.916826,1633216169.923505,40,6.679058074951172,dilithium2,10,corrupt,0%,9,5,10118,330,0,0,0,0,
1633216171.376386,1633216171.381338,41,4.951953887939453,dilithium2,10,corrupt,0%,10,5,10184,330,0,0,0,0,
1633216172.820261,1633216172.826888,42,6.627082824707031,dilithium2,10,corrupt,0%,10,5,10184,330,0,0,0,0,
1633216174.23958,1633216174.24746,43,7.879972457885742,dilithium2,10,corrupt,0%,10,5,10184,330,0,0,0,0,
1633216175.844075,1633216175.852065,44,7.990121841430664,dilithium2,10,corrupt,0%,10,5,10184,330,0,0,0,0,
1633216190.382769,1633216191.233346,45,850.5768775939941,dilithium2,10,corrupt,0%,13,4,11933,404,0,0,0,0,
1633216191.866516,1633216192.103134,46,236.6178035736084,dilithium2,10,corrupt,0%,19,7,11359,602,0,0,0,0,
1633216193.368208,1633216194.241755,47,873.5470771789551,dilithium2,10,corrupt,0%,19,0,10982,0,0,0,0,0,
1633216194.852759,1633216194.859439,48,6.680011749267578,dilithium2,10,corrupt,0%,10,5,10184,330,0,0,0,0,
1633216196.14128,1633216196.956666,49,815.3860569000244,dilithium2,10,corrupt,0%,13,7,11933,538,0,0,0,0,
1633216197.460418,1633216197.710626,50,250.20790100097656,dilithium2,10,corrupt,0%,14,6,10965,396,0,0,0,0,
1633216198.952624,1633216200.171895,51,1219.270944595337,dilithium2,10,corrupt,0%,12,5,10841,330,0,0,0,0,
1633216200.440129,1633216201.133412,52,693.2828426361084,dilithium2,10,corrupt,0%,20,0,11942,0,0,0,0,0,
1633216201.930643,1633216201.943306,53,12.662887573242188,dilithium2,10,corrupt,0%,10,7,10184,602,0,0,0,0,
1633216203.314953,1633216203.743316,54,428.3628463745117,dilithium2,10,corrupt,0%,12,4,11350,264,0,0,0,0,
1633216224.480021,1633216224.501607,55,21.585941314697266,dilithium2,10,corrupt,0%,16,4,13824,264,0,0,0,0,
1633216226.018398,1633216226.028854,56,10.455846786499023,dilithium2,10,corrupt,0%,10,5,13428,330,0,0,0,0,
1633216227.489715,1633216227.502294,57,12.578964233398438,dilithium2,10,corrupt,0%,10,5,13428,330,0,0,0,0,
1633216228.992563,1633216229.00724,58,14.677047729492188,dilithium2,10,corrupt,0%,12,4,13560,264,0,0,0,0,
1633216230.551598,1633216230.559242,59,7.643938064575195,dilithium2,10,corrupt,0%,10,4,13428,264,0,0,0,0,
1633216231.899976,1633216231.911885,60,11.909008026123047,dilithium2,10,corrupt,0%,12,5,13560,330,0,0,0,0,
1633216233.33592,1633216233.350672,61,14.751911163330078,dilithium2,10,corrupt,0%,16,4,13824,264,0,0,0,0,
1633216234.914128,1633216234.922079,62,7.951021194458008,dilithium2,10,corrupt,0%,10,4,13428,264,0,0,0,0,
1633216236.327676,1633216236.334319,63,6.643056869506836,dilithium2,10,corrupt,0%,10,5,13428,330,0,0,0,0,
1633216237.683478,1633216237.699646,64,16.167879104614258,dilithium2,10,corrupt,0%,16,5,13824,330,0,0,0,0,
1633216252.326605,1633216252.340903,65,14.297962188720703,dilithium2,10,corrupt,0%,10,4,13428,264,0,0,0,0,
1633216253.678917,1633216253.688773,66,9.855985641479492,dilithium2,10,corrupt,0%,11,4,13494,264,0,0,0,0,
1633216255.067253,1633216255.076592,67,9.338855743408203,dilithium2,10,corrupt,0%,11,5,13494,330,0,0,0,0,
1633216256.478771,1633216256.482928,68,4.157066345214844,dilithium2,10,corrupt,0%,10,7,13428,462,0,0,0,0,
1633216257.967405,1633216257.971666,69,4.261016845703125,dilithium2,10,corrupt,0%,10,5,13428,330,0,0,0,0,
1633216259.291007,1633216259.299798,70,8.790969848632812,dilithium2,10,corrupt,0%,11,5,13494,330,0,0,0,0,
1633216260.899922,1633216262.123955,71,1224.0331172943115,dilithium2,10,corrupt,0%,12,4,14085,264,0,0,0,0,
1633216262.485584,1633216263.524324,72,1038.7399196624756,dilithium2,10,corrupt,0%,11,5,13502,330,0,0,0,0,
1633216263.877278,1633216264.893939,73,1016.6609287261963,dilithium2,10,corrupt,0%,11,5,13502,330,0,0,0,0,
1633216265.090913,1633216265.10517,74,14.256954193115234,dilithium2,10,corrupt,0%,10,4,13428,264,0,0,0,0,
1633216279.589903,1633216280.613699,75,1023.7958431243896,dilithium2,10,corrupt,0%,11,8,13502,540,0,0,0,0,
1633216281.29242,1633216282.301658,76,1009.2380046844482,dilithium2,10,corrupt,0%,11,7,13502,474,0,0,0,0,
1633216282.751575,1633216283.170482,77,418.90692710876465,dilithium2,10,corrupt,0%,11,6,13494,472,0,0,0,0,
1633216284.075072,1633216284.295272,78,220.2000617980957,dilithium2,10,corrupt,0%,11,6,14011,1059,0,0,0,0,
1633216285.506564,1633216286.533957,79,1027.393102645874,dilithium2,10,corrupt,0%,11,4,13502,264,0,0,0,0,
1633216286.747615,1633216286.776132,80,28.51700782775879,dilithium2,10,corrupt,0%,14,10,13692,864,0,0,0,0,
1633216289.156646,1633216289.162862,81,6.2160491943359375,dilithium2,10,corrupt,0%,9,6,13362,396,0,0,0,0,
1633216289.674864,1633216289.680032,82,5.167961120605469,dilithium2,10,corrupt,0%,10,6,13428,472,0,0,0,0,
1633216291.267339,1633216291.296304,83,28.964996337890625,dilithium2,10,corrupt,0%,13,12,13626,2118,0,0,0,0,
1633216292.638707,1633216293.873368,84,1234.6611022949219,dilithium2,10,corrupt,0%,16,7,14349,474,0,0,0,0,
1633216313.86906,1633216313.880585,85,11.52491569519043,dilithium2,10,corrupt,0%,8,5,3707,330,0,0,0,0,
1633216315.35327,1633216315.363668,86,10.397911071777344,dilithium2,10,corrupt,0%,8,5,3707,330,0,0,0,0,
1633216316.782804,1633216316.790567,87,7.762908935546875,dilithium2,10,corrupt,0%,8,4,3708,264,0,0,0,0,
1633216318.283148,1633216318.294771,88,11.622905731201172,dilithium2,10,corrupt,0%,8,5,3706,330,0,0,0,0,
1633216319.783216,1633216319.80812,89,24.90401268005371,dilithium2,10,corrupt,0%,8,5,3709,330,0,0,0,0,
1633216321.237303,1633216321.256244,90,18.94092559814453,dilithium2,10,corrupt,0%,8,4,3707,264,0,0,0,0,
1633216322.635321,1633216322.653269,91,17.948150634765625,dilithium2,10,corrupt,0%,8,5,3707,330,0,0,0,0,
1633216323.957671,1633216323.974264,92,16.592979431152344,dilithium2,10,corrupt,0%,8,5,3709,330,0,0,0,0,
1633216325.2399,1633216325.252542,93,12.64190673828125,dilithium2,10,corrupt,0%,8,4,3707,264,0,0,0,0,
1633216326.614155,1633216326.622695,94,8.539915084838867,dilithium2,10,corrupt,0%,8,4,3709,264,0,0,0,0,
1633216341.382758,1633216341.392754,95,9.996175765991211,dilithium2,10,corrupt,0%,8,4,3710,264,0,0,0,0,
1633216342.880833,1633216342.891989,96,11.156082153320312,dilithium2,10,corrupt,0%,8,4,3705,264,0,0,0,0,
1633216344.319308,1633216344.328789,97,9.480953216552734,dilithium2,10,corrupt,0%,8,6,3707,472,0,0,0,0,
1633216345.62701,1633216345.856059,98,229.0489673614502,dilithium2,10,corrupt,0%,9,5,4290,330,0,0,0,0,
1633216347.218934,1633216347.234817,99,15.88296890258789,dilithium2,10,corrupt,0%,8,7,3706,602,0,0,0,0,
1633216348.712803,1633216348.728082,100,15.279054641723633,dilithium2,10,corrupt,0%,8,4,3707,264,0,0,0,0,
1633216350.051012,1633216351.075258,101,1024.2459774017334,dilithium2,10,corrupt,0%,9,4,3782,264,0,0,0,0,
1633216351.43502,1633216351.447918,102,12.897968292236328,dilithium2,10,corrupt,0%,8,7,3705,462,0,0,0,0,
1633216352.979485,1633216352.991405,103,11.919975280761719,dilithium2,10,corrupt,0%,8,6,3704,396,0,0,0,0,
1633216354.384135,1633216354.394036,104,9.901046752929688,dilithium2,10,corrupt,0%,8,5,3710,330,0,0,0,0,
1633216368.978785,1633216369.859328,105,880.5429935455322,dilithium2,10,corrupt,0%,11,7,5461,462,0,0,0,0,
1633216370.459421,1633216370.474347,106,14.92619514465332,dilithium2,10,corrupt,0%,8,5,3709,330,0,0,0,0,
1633216372.099278,1633216372.326287,107,227.00905799865723,dilithium2,10,corrupt,0%,9,7,4290,474,0,0,0,0,
1633216373.556163,1633216373.77918,108,223.01697731018066,dilithium2,10,corrupt,0%,9,7,4290,474,0,0,0,0,
1633216375.005364,1633216376.242284,109,1236.9201183319092,dilithium2,10,corrupt,0%,11,0,4428,0,0,0,0,0,
1633216376.396744,1633216377.722486,110,1325.7420063018799,dilithium2,10,corrupt,0%,11,0,1976,0,0,0,0,0,
1633216377.755608,1633216377.776204,111,20.596027374267578,dilithium2,10,corrupt,0%,8,20,3702,4494,0,0,0,0,
1633216379.091529,1633216380.339271,112,1247.7421760559082,dilithium2,10,corrupt,0%,10,4,4364,264,0,0,0,0,
1633216380.456119,1633216380.694052,113,237.93292045593262,dilithium2,10,corrupt,0%,9,6,4288,396,0,0,0,0,
1633216381.761591,1633216382.195288,114,433.696985244751,dilithium2,10,corrupt,0%,8,5,4223,330,0,0,0,0,
1633216402.674073,1633216402.691548,115,17.475128173828125,dilithium2,10,corrupt,0%,8,5,5837,330,0,0,0,0,
1633216404.255973,1633216404.289435,116,33.461809158325195,dilithium2,10,corrupt,0%,10,5,5963,330,0,0,0,0,
1633216405.663051,1633216405.687585,117,24.534225463867188,dilithium2,10,corrupt,0%,8,4,5832,264,0,0,0,0,
1633216407.130402,1633216407.143964,118,13.56196403503418,dilithium2,10,corrupt,0%,8,5,5836,330,0,0,0,0,
1633216408.563806,1633216408.58742,119,23.613929748535156,dilithium2,10,corrupt,0%,10,5,5963,330,0,0,0,0,
1633216410.148617,1633216410.180186,120,31.56900405883789,dilithium2,10,corrupt,0%,10,4,5969,264,0,0,0,0,
1633216411.507687,1633216411.523739,121,16.0520076751709,dilithium2,10,corrupt,0%,10,4,5967,264,0,0,0,0,
1633216412.895959,1633216412.920688,122,24.729013442993164,dilithium2,10,corrupt,0%,8,5,5828,330,0,0,0,0,
1633216414.275905,1633216414.292414,123,16.509056091308594,dilithium2,10,corrupt,0%,8,4,5832,264,0,0,0,0,
1633216415.703604,1633216415.731475,124,27.871131896972656,dilithium2,10,corrupt,0%,10,5,5968,330,0,0,0,0,
1633216430.125879,1633216430.13988,125,14.000892639160156,dilithium2,10,corrupt,0%,8,4,5831,264,0,0,0,0,
1633216431.488062,1633216431.51157,126,23.508071899414062,dilithium2,10,corrupt,0%,8,7,5836,462,0,0,0,0,
