Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1633216102.048458,1633216102.27177,0,223.3119010925293,dilithium2,10,corrupt,40%,9,10,8249,684,0,0,0,0,
1633216103.260058,1633216103.490815,1,230.7569980621338,dilithium2,10,corrupt,40%,9,4,8249,264,0,0,0,0,
1633216104.639369,1633216106.211848,2,1572.479009628296,dilithium2,10,corrupt,40%,15,4,8661,264,0,0,0,0,
1633216107.352241,1633216107.368267,3,16.026020050048828,dilithium2,10,corrupt,40%,8,24,7666,9687,0,0,0,0,
1633216108.68087,1633216110.969036,4,2288.166046142578,dilithium2,10,corrupt,40%,9,0,1271,0,0,0,0,0,
1633216111.395744,1633216114.459491,5,3063.746929168701,dilithium2,10,corrupt,40%,19,60,8496,35061,0,0,0,0,
1633216134.971754,1633216134.979325,6,7.570981979370117,dilithium2,10,corrupt,40%,10,4,10184,264,0,0,0,0,
1633216136.558579,1633216136.563371,7,4.791975021362305,dilithium2,10,corrupt,40%,10,4,10184,264,0,0,0,0,
1633216137.828803,1633216137.839746,8,10.942935943603516,dilithium2,10,corrupt,40%,10,4,10184,264,0,0,0,0,
1633216139.150021,1633216139.167114,9,17.09294319152832,dilithium2,10,corrupt,40%,10,5,10184,330,0,0,0,0,
1633216140.530859,1633216140.534995,10,4.136085510253906,dilithium2,10,corrupt,40%,10,5,10184,330,0,0,0,0,
1633216142.071465,1633216142.093771,11,22.305965423583984,dilithium2,10,corrupt,40%,14,4,10448,264,0,0,0,0,
1633216143.645997,1633216143.66752,12,21.522998809814453,dilithium2,10,corrupt,40%,10,5,10184,330,0,0,0,0,
1633216145.107049,1633216145.119401,13,12.35198974609375,dilithium2,10,corrupt,40%,10,5,10184,330,0,0,0,0,
1633216146.688106,1633216146.6942,14,6.0939788818359375,dilithium2,10,corrupt,40%,10,4,10184,264,0,0,0,0,
1633216148.038859,1633216148.043464,15,4.60505485534668,dilithium2,10,corrupt,40%,10,5,10184,330,0,0,0,0,
1633216162.638294,1633216162.657036,16,18.742084503173828,dilithium2,10,corrupt,40%,10,4,10184,264,0,0,0,0,
1633216163.987855,1633216163.9967,17,8.845090866088867,dilithium2,10,corrupt,40%,10,7,10184,474,0,0,0,0,
1633216165.427403,1633216165.435233,18,7.830142974853516,dilithium2,10,corrupt,40%,10,4,10184,264,0,0,0,0,
1633216167.01435,1633216167.019082,19,4.7321319580078125,dilithium2,10,corrupt,40%,10,4,10184,264,0,0,0,0,
1633216168.401662,1633216169.463501,20,1061.8388652801514,dilithium2,10,corrupt,40%,15,0,10522,0,0,0,0,0,
1633216169.916822,1633216169.923504,21,6.682157516479492,dilithium2,10,corrupt,40%,9,5,10118,330,0,0,0,0,
1633216171.376384,1633216171.381337,22,4.952907562255859,dilithium2,10,corrupt,40%,10,5,10184,330,0,0,0,0,
1633216172.820258,1633216172.826887,23,6.628990173339844,dilithium2,10,corrupt,40%,10,5,10184,330,0,0,0,0,
1633216174.239579,1633216174.247459,24,7.879972457885742,dilithium2,10,corrupt,40%,10,5,10184,330,0,0,0,0,
1633216175.844072,1633216175.852064,25,7.991790771484375,dilithium2,10,corrupt,40%,10,5,10184,330,0,0,0,0,
1633216190.382766,1633216191.233342,26,850.5759239196777,dilithium2,10,corrupt,40%,13,4,11933,404,0,0,0,0,
1633216191.866515,1633216192.103129,27,236.61398887634277,dilithium2,10,corrupt,40%,19,7,11359,602,0,0,0,0,
1633216193.368206,1633216194.241755,28,873.5489845275879,dilithium2,10,corrupt,40%,19,0,10982,0,0,0,0,0,
1633216194.852755,1633216194.859438,29,6.682872772216797,dilithium2,10,corrupt,40%,10,5,10184,330,0,0,0,0,
1633216196.141277,1633216196.956665,30,815.3879642486572,dilithium2,10,corrupt,40%,13,7,11933,538,0,0,0,0,
1633216197.460415,1633216197.710625,31,250.21004676818848,dilithium2,10,corrupt,40%,14,6,10965,396,0,0,0,0,
1633216198.952621,1633216200.171894,32,1219.2730903625488,dilithium2,10,corrupt,40%,12,5,10841,330,0,0,0,0,
1633216200.440127,1633216201.133411,33,693.2840347290039,dilithium2,10,corrupt,40%,20,0,11942,0,0,0,0,0,
1633216201.93064,1633216201.943303,34,12.663125991821289,dilithium2,10,corrupt,40%,10,7,10184,602,0,0,0,0,
1633216203.314951,1633216203.743315,35,428.3640384674072,dilithium2,10,corrupt,40%,12,4,11350,264,0,0,0,0,
1633216224.480018,1633216224.501606,36,21.58808708190918,dilithium2,10,corrupt,40%,16,4,13824,264,0,0,0,0,
1633216226.018397,1633216226.028852,37,10.454893112182617,dilithium2,10,corrupt,40%,10,5,13428,330,0,0,0,0,
