Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1633201931.867524,1633201931.878742,0,11.218070983886719,dilithium3,10,delay,0ms,10,5,10184,330,0,0,0,0,
1633201933.312169,1633201933.328089,1,15.919923782348633,dilithium3,10,delay,0ms,10,5,10184,330,0,0,0,0,
1633201934.646254,1633201934.652935,2,6.680965423583984,dilithium3,10,delay,0ms,10,5,10184,330,0,0,0,0,
1633201936.136649,1633201936.147256,3,10.607004165649414,dilithium3,10,delay,0ms,10,4,10184,264,0,0,0,0,
1633201937.484147,1633201937.497062,4,12.914896011352539,dilithium3,10,delay,0ms,14,5,10448,330,0,0,0,0,
1633201939.070927,1633201939.076015,5,5.088090896606445,dilithium3,10,delay,0ms,10,5,10184,330,0,0,0,0,
1633201940.438061,1633201940.447572,6,9.510993957519531,dilithium3,10,delay,0ms,10,4,10184,264,0,0,0,0,
1633201941.998468,1633201942.00337,7,4.902124404907227,dilithium3,10,delay,0ms,10,4,10184,264,0,0,0,0,
1633201943.623506,1633201943.63888,8,15.373945236206055,dilithium3,10,delay,0ms,10,4,10184,264,0,0,0,0,
1633201944.975702,1633201944.985436,9,9.733915328979492,dilithium3,10,delay,0ms,12,4,10316,264,0,0,0,0,
1633201959.659462,1633201959.876263,10,216.80092811584473,dilithium3,10,delay,0ms,14,5,10448,330,0,0,0,0,
1633201960.940353,1633201961.168103,11,227.75006294250488,dilithium3,10,delay,0ms,14,4,10448,264,0,0,0,0,
1633201962.487903,1633201962.723446,12,235.54277420043945,dilithium3,10,delay,0ms,14,5,10448,330,0,0,0,0,
1633201963.716952,1633201963.945768,13,228.81603240966797,dilithium3,10,delay,0ms,14,4,10448,264,0,0,0,0,
1633201965.244412,1633201965.467158,14,222.7461338043213,dilithium3,10,delay,0ms,14,5,10448,330,0,0,0,0,
1633201966.474864,1633201966.695861,15,220.99709510803223,dilithium3,10,delay,0ms,14,4,10448,264,0,0,0,0,
1633201967.73899,1633201967.963389,16,224.39885139465332,dilithium3,10,delay,0ms,14,4,10448,264,0,0,0,0,
1633201969.452187,1633201969.68501,17,232.82289505004883,dilithium3,10,delay,0ms,14,4,10448,264,0,0,0,0,
1633201970.937494,1633201971.173433,18,235.93902587890625,dilithium3,10,delay,0ms,14,4,10448,264,0,0,0,0,
1633201972.417211,1633201972.643837,19,226.62591934204102,dilithium3,10,delay,0ms,14,5,10448,330,0,0,0,0,
1633201987.617409,1633201988.037235,20,419.8260307312012,dilithium3,10,delay,0ms,14,4,10448,264,0,0,0,0,
1633201988.859243,1633201989.291527,21,432.2841167449951,dilithium3,10,delay,0ms,14,5,10448,330,0,0,0,0,
1633201990.34648,1633201990.789344,22,442.86417961120605,dilithium3,10,delay,0ms,14,5,10448,330,0,0,0,0,
1633201991.807415,1633201992.234388,23,426.9731044769287,dilithium3,10,delay,0ms,14,5,10448,330,0,0,0,0,
1633201993.404135,1633201993.826274,24,422.13892936706543,dilithium3,10,delay,0ms,14,4,10448,264,0,0,0,0,
1633201994.903918,1633201995.316335,25,412.416934967041,dilithium3,10,delay,0ms,14,4,10448,264,0,0,0,0,
1633201996.268001,1633201996.695174,26,427.1728992462158,dilithium3,10,delay,0ms,14,5,10448,330,0,0,0,0,
1633201997.81986,1633201998.256334,27,436.474084854126,dilithium3,10,delay,0ms,13,5,10382,330,0,0,0,0,
1633201999.267509,1633201999.677763,28,410.25400161743164,dilithium3,10,delay,0ms,14,5,10448,330,0,0,0,0,
1633202000.589397,1633202001.005094,29,415.6970977783203,dilithium3,10,delay,0ms,14,4,10448,264,0,0,0,0,
1633202016.156774,1633202016.771925,30,615.1509284973145,dilithium3,10,delay,0ms,14,3,10448,198,0,0,0,0,
1633202017.391604,1633202018.005553,31,613.9490604400635,dilithium3,10,delay,0ms,16,4,10580,264,0,0,0,0,
1633202018.808654,1633202019.429514,32,620.8598613739014,dilithium3,10,delay,0ms,14,4,10448,264,0,0,0,0,
1633202020.233949,1633202020.841204,33,607.2549819946289,dilithium3,10,delay,0ms,14,3,10448,198,0,0,0,0,
1633202021.437942,1633202022.066943,34,629.0009021759033,dilithium3,10,delay,0ms,16,4,10580,264,0,0,0,0,
1633202022.843211,1633202023.459473,35,616.2619590759277,dilithium3,10,delay,0ms,14,4,10448,264,0,0,0,0,
1633202024.195874,1633202024.829184,36,633.310079574585,dilithium3,10,delay,0ms,14,4,10448,264,0,0,0,0,
1633202025.767518,1633202026.391322,37,623.8038539886475,dilithium3,10,delay,0ms,14,4,10448,264,0,0,0,0,
1633202027.161691,1633202027.774784,38,613.0931377410889,dilithium3,10,delay,0ms,14,4,10448,264,0,0,0,0,
1633202028.536239,1633202029.151151,39,614.9120330810547,dilithium3,10,delay,0ms,14,4,10448,264,0,0,0,0,
1633202044.592861,1633202045.433989,40,841.1281108856201,dilithium3,10,delay,0ms,14,3,10448,198,0,0,0,0,
1633202046.033983,1633202046.852864,41,818.8810348510742,dilithium3,10,delay,0ms,15,3,10514,198,0,0,0,0,
1633202047.328948,1633202048.14657,42,817.6219463348389,dilithium3,10,delay,0ms,16,4,10580,264,0,0,0,0,
1633202048.710646,1633202049.530702,43,820.0562000274658,dilithium3,10,delay,0ms,16,5,10580,330,0,0,0,0,
1633202050.325295,1633202051.148572,44,823.2769966125488,dilithium3,10,delay,0ms,16,3,10580,198,0,0,0,0,
1633202051.854515,1633202052.664838,45,810.3229999542236,dilithium3,10,delay,0ms,16,3,10580,198,0,0,0,0,
1633202053.227763,1633202054.03328,46,805.5169582366943,dilithium3,10,delay,0ms,17,4,10646,264,0,0,0,0,
1633202054.493994,1633202055.312276,47,818.281888961792,dilithium3,10,delay,0ms,16,5,10580,330,0,0,0,0,
1633202056.0313,1633202056.848474,48,817.173957824707,dilithium3,10,delay,0ms,16,3,10580,198,0,0,0,0,
1633202057.462623,1633202058.278016,49,815.3932094573975,dilithium3,10,delay,0ms,16,4,10580,264,0,0,0,0,
1633202078.482932,1633202078.496562,50,13.629913330078125,dilithium3,10,delay,0ms,15,5,13758,330,0,0,0,0,
1633202079.81951,1633202079.831702,51,12.192010879516602,dilithium3,10,delay,0ms,10,5,13428,330,0,0,0,0,
1633202081.00884,1633202081.02025,52,11.409997940063477,dilithium3,10,delay,0ms,12,5,13560,330,0,0,0,0,
1633202082.498846,1633202082.504112,53,5.265951156616211,dilithium3,10,delay,0ms,10,5,13428,330,0,0,0,0,
1633202084.066261,1633202084.075443,54,9.181976318359375,dilithium3,10,delay,0ms,10,4,13428,264,0,0,0,0,
1633202085.662177,1633202085.671803,55,9.625911712646484,dilithium3,10,delay,0ms,10,5,13428,330,0,0,0,0,
1633202087.063646,1633202087.069701,56,6.054878234863281,dilithium3,10,delay,0ms,10,5,13428,330,0,0,0,0,
1633202088.297774,1633202088.304805,57,7.030963897705078,dilithium3,10,delay,0ms,10,4,13428,264,0,0,0,0,
1633202089.622969,1633202089.635393,58,12.423992156982422,dilithium3,10,delay,0ms,10,5,13428,330,0,0,0,0,
1633202091.081337,1633202091.102049,59,20.71213722229004,dilithium3,10,delay,0ms,10,5,13428,330,0,0,0,0,
1633202105.561024,1633202105.799033,60,238.00897598266602,dilithium3,10,delay,0ms,16,5,13824,330,0,0,0,0,
1633202106.873388,1633202107.102507,61,229.11906242370605,dilithium3,10,delay,0ms,16,4,13824,264,0,0,0,0,
1633202108.444882,1633202108.665763,62,220.88098526000977,dilithium3,10,delay,0ms,16,5,13824,330,0,0,0,0,
1633202110.069446,1633202110.309898,63,240.45181274414062,dilithium3,10,delay,0ms,16,5,13824,330,0,0,0,0,
1633202111.596001,1633202111.825453,64,229.45213317871094,dilithium3,10,delay,0ms,16,5,13824,330,0,0,0,0,
1633202113.173495,1633202113.406788,65,233.2930564880371,dilithium3,10,delay,0ms,16,4,13824,264,0,0,0,0,
1633202114.408572,1633202114.644407,66,235.83507537841797,dilithium3,10,delay,0ms,16,4,13824,264,0,0,0,0,
1633202115.852296,1633202116.099315,67,247.01881408691406,dilithium3,10,delay,0ms,16,4,13824,264,0,0,0,0,
