Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1633201987.617405,1633201988.037235,0,419.8300838470459,dilithium3,10,delay,200ms,14,4,10448,264,0,0,0,0,
1633201988.859239,1633201989.291526,1,432.28697776794434,dilithium3,10,delay,200ms,14,5,10448,330,0,0,0,0,
1633201990.346476,1633201990.789342,2,442.86584854125977,dilithium3,10,delay,200ms,14,5,10448,330,0,0,0,0,
1633201991.807412,1633201992.234385,3,426.9731044769287,dilithium3,10,delay,200ms,14,5,10448,330,0,0,0,0,
1633201993.404131,1633201993.826273,4,422.14202880859375,dilithium3,10,delay,200ms,14,4,10448,264,0,0,0,0,
1633201994.903914,1633201995.316334,5,412.42003440856934,dilithium3,10,delay,200ms,14,4,10448,264,0,0,0,0,
1633201996.267997,1633201996.695172,6,427.17504501342773,dilithium3,10,delay,200ms,14,5,10448,330,0,0,0,0,
1633201997.819856,1633201998.256333,7,436.4771842956543,dilithium3,10,delay,200ms,13,5,10382,330,0,0,0,0,
1633201999.267505,1633201999.677758,8,410.25304794311523,dilithium3,10,delay,200ms,14,5,10448,330,0,0,0,0,
1633202000.589393,1633202001.005092,9,415.6990051269531,dilithium3,10,delay,200ms,14,4,10448,264,0,0,0,0,
1633202016.15677,1633202016.771925,10,615.1549816131592,dilithium3,10,delay,200ms,14,3,10448,198,0,0,0,0,
1633202017.3916,1633202018.005552,11,613.9521598815918,dilithium3,10,delay,200ms,16,4,10580,264,0,0,0,0,
1633202018.80865,1633202019.429514,12,620.8639144897461,dilithium3,10,delay,200ms,14,4,10448,264,0,0,0,0,
1633202020.233945,1633202020.841204,13,607.2590351104736,dilithium3,10,delay,200ms,14,3,10448,198,0,0,0,0,
1633202021.437939,1633202022.066942,14,629.0030479431152,dilithium3,10,delay,200ms,16,4,10580,264,0,0,0,0,
1633202022.843207,1633202023.459472,15,616.265058517456,dilithium3,10,delay,200ms,14,4,10448,264,0,0,0,0,
1633202024.195869,1633202024.82918,16,633.3110332489014,dilithium3,10,delay,200ms,14,4,10448,264,0,0,0,0,
1633202025.767514,1633202026.391322,17,623.8079071044922,dilithium3,10,delay,200ms,14,4,10448,264,0,0,0,0,
1633202027.161687,1633202027.774783,18,613.0959987640381,dilithium3,10,delay,200ms,14,4,10448,264,0,0,0,0,
1633202028.536235,1633202029.15115,19,614.9148941040039,dilithium3,10,delay,200ms,14,4,10448,264,0,0,0,0,
1633202044.592857,1633202045.433989,20,841.1321640014648,dilithium3,10,delay,200ms,14,3,10448,198,0,0,0,0,
1633202046.033978,1633202046.852863,21,818.885087966919,dilithium3,10,delay,200ms,15,3,10514,198,0,0,0,0,
1633202047.328945,1633202048.146569,22,817.6240921020508,dilithium3,10,delay,200ms,16,4,10580,264,0,0,0,0,
1633202048.710642,1633202049.530701,23,820.0588226318359,dilithium3,10,delay,200ms,16,5,10580,330,0,0,0,0,
1633202050.325291,1633202051.148571,24,823.2800960540771,dilithium3,10,delay,200ms,16,3,10580,198,0,0,0,0,
1633202051.854512,1633202052.664837,25,810.3249073028564,dilithium3,10,delay,200ms,16,3,10580,198,0,0,0,0,
1633202053.227759,1633202054.033279,26,805.5200576782227,dilithium3,10,delay,200ms,17,4,10646,264,0,0,0,0,
1633202054.49399,1633202055.312273,27,818.2830810546875,dilithium3,10,delay,200ms,16,5,10580,330,0,0,0,0,
1633202056.031297,1633202056.848473,28,817.176103591919,dilithium3,10,delay,200ms,16,3,10580,198,0,0,0,0,
1633202057.462619,1633202058.278015,29,815.3958320617676,dilithium3,10,delay,200ms,16,4,10580,264,0,0,0,0,
1633202078.482931,1633202078.496561,30,13.630151748657227,dilithium3,10,delay,200ms,15,5,13758,330,0,0,0,0,
1633202079.819509,1633202079.831701,31,12.192010879516602,dilithium3,10,delay,200ms,10,5,13428,330,0,0,0,0,
1633202081.008839,1633202081.020247,32,11.408090591430664,dilithium3,10,delay,200ms,12,5,13560,330,0,0,0,0,
1633202082.498843,1633202082.504112,33,5.269050598144531,dilithium3,10,delay,200ms,10,5,13428,330,0,0,0,0,
1633202084.066258,1633202084.075442,34,9.184122085571289,dilithium3,10,delay,200ms,10,4,13428,264,0,0,0,0,
1633202085.662174,1633202085.671802,35,9.628057479858398,dilithium3,10,delay,200ms,10,5,13428,330,0,0,0,0,
1633202087.063644,1633202087.069699,36,6.055116653442383,dilithium3,10,delay,200ms,10,5,13428,330,0,0,0,0,
1633202088.297771,1633202088.304805,37,7.034063339233398,dilithium3,10,delay,200ms,10,4,13428,264,0,0,0,0,
1633202089.622966,1633202089.635392,38,12.425899505615234,dilithium3,10,delay,200ms,10,5,13428,330,0,0,0,0,
1633202091.081336,1633202091.102048,39,20.711898803710938,dilithium3,10,delay,200ms,10,5,13428,330,0,0,0,0,
1633202105.56102,1633202105.799032,40,238.01207542419434,dilithium3,10,delay,200ms,16,5,13824,330,0,0,0,0,
1633202106.873384,1633202107.102506,41,229.12192344665527,dilithium3,10,delay,200ms,16,4,13824,264,0,0,0,0,
1633202108.444878,1633202108.66576,42,220.88193893432617,dilithium3,10,delay,200ms,16,5,13824,330,0,0,0,0,
