Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1633216341.382743,1633216341.392747,0,10.004043579101562,falcon512,10,corrupt,10%,8,4,3710,264,0,0,0,0,
1633216342.880818,1633216342.891979,1,11.161088943481445,falcon512,10,corrupt,10%,8,4,3705,264,0,0,0,0,
1633216344.319298,1633216344.328784,2,9.485960006713867,falcon512,10,corrupt,10%,8,6,3707,472,0,0,0,0,
1633216345.626996,1633216345.856042,3,229.04586791992188,falcon512,10,corrupt,10%,9,5,4290,330,0,0,0,0,
1633216347.218919,1633216347.234811,4,15.89202880859375,falcon512,10,corrupt,10%,8,7,3706,602,0,0,0,0,
1633216348.712786,1633216348.728074,5,15.288114547729492,falcon512,10,corrupt,10%,8,4,3707,264,0,0,0,0,
1633216350.050997,1633216351.075251,6,1024.2540836334229,falcon512,10,corrupt,10%,9,4,3782,264,0,0,0,0,
1633216351.435009,1633216351.447908,7,12.898921966552734,falcon512,10,corrupt,10%,8,7,3705,462,0,0,0,0,
1633216352.979471,1633216352.991398,8,11.927127838134766,falcon512,10,corrupt,10%,8,6,3704,396,0,0,0,0,
1633216354.384124,1633216354.394032,9,9.907960891723633,falcon512,10,corrupt,10%,8,5,3710,330,0,0,0,0,
1633216368.97877,1633216369.859321,10,880.5510997772217,falcon512,10,corrupt,10%,11,7,5461,462,0,0,0,0,
1633216370.459411,1633216370.474343,11,14.93215560913086,falcon512,10,corrupt,10%,8,5,3709,330,0,0,0,0,
1633216372.099264,1633216372.326283,12,227.0190715789795,falcon512,10,corrupt,10%,9,7,4290,474,0,0,0,0,
1633216373.556147,1633216373.779158,13,223.01101684570312,falcon512,10,corrupt,10%,9,7,4290,474,0,0,0,0,
1633216375.005349,1633216376.24228,14,1236.9310855865479,falcon512,10,corrupt,10%,11,0,4428,0,0,0,0,0,
1633216376.396734,1633216377.722483,15,1325.7489204406738,falcon512,10,corrupt,10%,11,0,1976,0,0,0,0,0,
1633216377.755592,1633216377.776189,16,20.596981048583984,falcon512,10,corrupt,10%,8,20,3702,4494,0,0,0,0,
1633216379.091514,1633216380.339267,17,1247.7529048919678,falcon512,10,corrupt,10%,10,4,4364,264,0,0,0,0,
1633216380.456104,1633216380.694036,18,237.9319667816162,falcon512,10,corrupt,10%,9,6,4288,396,0,0,0,0,
1633216381.761581,1633216382.195271,19,433.69007110595703,falcon512,10,corrupt,10%,8,5,4223,330,0,0,0,0,
1633216402.674057,1633216402.691541,20,17.483949661254883,falcon512,10,corrupt,10%,8,5,5837,330,0,0,0,0,
1633216404.255958,1633216404.289427,21,33.46896171569824,falcon512,10,corrupt,10%,10,5,5963,330,0,0,0,0,
1633216405.663046,1633216405.68758,22,24.534225463867188,falcon512,10,corrupt,10%,8,4,5832,264,0,0,0,0,
1633216407.130388,1633216407.14396,23,13.571977615356445,falcon512,10,corrupt,10%,8,5,5836,330,0,0,0,0,
1633216408.563792,1633216408.587416,24,23.623943328857422,falcon512,10,corrupt,10%,10,5,5963,330,0,0,0,0,
1633216410.148543,1633216410.180181,25,31.638145446777344,falcon512,10,corrupt,10%,10,4,5969,264,0,0,0,0,
1633216411.507681,1633216411.523735,26,16.054153442382812,falcon512,10,corrupt,10%,10,4,5967,264,0,0,0,0,
1633216412.895954,1633216412.920683,27,24.729013442993164,falcon512,10,corrupt,10%,8,5,5828,330,0,0,0,0,
1633216414.275901,1633216414.29241,28,16.508817672729492,falcon512,10,corrupt,10%,8,4,5832,264,0,0,0,0,
1633216415.703599,1633216415.73147,29,27.871131896972656,falcon512,10,corrupt,10%,10,5,5968,330,0,0,0,0,
1633216430.125864,1633216430.139876,30,14.011859893798828,falcon512,10,corrupt,10%,8,4,5831,264,0,0,0,0,
1633216431.488047,1633216431.511558,31,23.511171340942383,falcon512,10,corrupt,10%,8,7,5836,462,0,0,0,0,
1633216432.819868,1633216432.85447,32,34.60192680358887,falcon512,10,corrupt,10%,8,5,5838,330,0,0,0,0,
1633216434.226741,1633216434.249798,33,23.056983947753906,falcon512,10,corrupt,10%,10,4,5967,264,0,0,0,0,
1633216435.691206,1633216436.71241,34,1021.2039947509766,falcon512,10,corrupt,10%,9,5,5905,330,0,0,0,0,
1633216437.106144,1633216437.140509,35,34.364938735961914,falcon512,10,corrupt,10%,10,5,5964,330,0,0,0,0,
1633216438.495075,1633216439.525505,36,1030.4300785064697,falcon512,10,corrupt,10%,9,5,5903,330,0,0,0,0,
1633216439.986202,1633216440.013695,37,27.493000030517578,falcon512,10,corrupt,10%,8,7,5837,842,0,0,0,0,
1633216441.464793,1633216441.49236,38,27.567148208618164,falcon512,10,corrupt,10%,10,5,5966,330,0,0,0,0,
1633216442.935638,1633216442.967801,39,32.163143157958984,falcon512,10,corrupt,10%,8,8,5830,901,0,0,0,0,
1633216457.734964,1633216459.175488,40,1440.5241012573242,falcon512,10,corrupt,10%,15,0,6320,0,0,0,0,0,
1633216460.580158,1633216461.000365,41,420.20702362060547,falcon512,10,corrupt,10%,12,11,6624,1852,0,0,0,0,
1633216461.957653,1633216461.971487,42,13.833999633789062,falcon512,10,corrupt,10%,8,24,5836,6960,0,0,0,0,
1633216463.460053,1633216463.698002,43,237.94913291931152,falcon512,10,corrupt,10%,9,5,6413,330,0,0,0,0,
1633216464.878529,1633216465.326771,44,448.2419490814209,falcon512,10,corrupt,10%,10,5,6997,330,0,0,0,0,
1633216466.411106,1633216467.643808,45,1232.7017784118652,falcon512,10,corrupt,10%,11,4,6553,264,0,0,0,0,
1633216467.851597,1633216467.871764,46,20.166873931884766,falcon512,10,corrupt,10%,10,11,5966,1179,0,0,0,0,
1633216469.27507,1633216469.298693,47,23.622989654541016,falcon512,10,corrupt,10%,8,6,5836,396,0,0,0,0,
