Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1633202224.268475,1633202224.310048,0,41.57304763793945,falcon512,10,delay,0ms,8,4,3709,264,0,0,0,0,
1633202225.762173,1633202225.770894,1,8.721113204956055,falcon512,10,delay,0ms,8,5,3708,330,0,0,0,0,
1633202227.254112,1633202227.267476,2,13.364076614379883,falcon512,10,delay,0ms,8,5,3707,330,0,0,0,0,
1633202228.644799,1633202228.654892,3,10.092973709106445,falcon512,10,delay,0ms,8,5,3710,330,0,0,0,0,
1633202230.135809,1633202230.153766,4,17.956972122192383,falcon512,10,delay,0ms,8,4,3707,264,0,0,0,0,
1633202231.691225,1633202231.704707,5,13.481855392456055,falcon512,10,delay,0ms,8,5,3707,330,0,0,0,0,
1633202233.036523,1633202233.04579,6,9.266853332519531,falcon512,10,delay,0ms,8,5,3711,330,0,0,0,0,
1633202234.487768,1633202234.499297,7,11.528968811035156,falcon512,10,delay,0ms,8,5,3704,330,0,0,0,0,
1633202235.850554,1633202235.872409,8,21.85511589050293,falcon512,10,delay,0ms,8,5,3708,330,0,0,0,0,
1633202237.353258,1633202237.364131,9,10.873079299926758,falcon512,10,delay,0ms,8,5,3706,330,0,0,0,0,
1633202251.963921,1633202252.203213,10,239.29190635681152,falcon512,10,delay,0ms,8,5,3706,330,0,0,0,0,
1633202253.238241,1633202253.475212,11,236.9711399078369,falcon512,10,delay,0ms,8,4,3704,264,0,0,0,0,
1633202254.835773,1633202255.062984,12,227.21099853515625,falcon512,10,delay,0ms,8,4,3711,264,0,0,0,0,
1633202256.116994,1633202256.352466,13,235.4722023010254,falcon512,10,delay,0ms,8,5,3708,330,0,0,0,0,
1633202257.610827,1633202257.835648,14,224.8210906982422,falcon512,10,delay,0ms,8,5,3706,330,0,0,0,0,
1633202259.288914,1633202259.526431,15,237.5171184539795,falcon512,10,delay,0ms,8,5,3709,330,0,0,0,0,
1633202260.70335,1633202260.944217,16,240.86689949035645,falcon512,10,delay,0ms,8,5,3706,330,0,0,0,0,
1633202262.038373,1633202262.279045,17,240.67211151123047,falcon512,10,delay,0ms,8,4,3705,264,0,0,0,0,
1633202263.55922,1633202263.794321,18,235.10098457336426,falcon512,10,delay,0ms,8,4,3708,264,0,0,0,0,
1633202264.902872,1633202265.137188,19,234.3158721923828,falcon512,10,delay,0ms,8,5,3708,330,0,0,0,0,
1633202279.901506,1633202280.329888,20,428.38215827941895,falcon512,10,delay,0ms,8,4,3706,264,0,0,0,0,
1633202281.256167,1633202281.678664,21,422.497034072876,falcon512,10,delay,0ms,8,4,3709,264,0,0,0,0,
1633202282.515834,1633202282.948612,22,432.77788162231445,falcon512,10,delay,0ms,8,5,3708,330,0,0,0,0,
1633202283.953594,1633202284.371982,23,418.38812828063965,falcon512,10,delay,0ms,8,4,3706,264,0,0,0,0,
1633202285.190532,1633202285.614386,24,423.85411262512207,falcon512,10,delay,0ms,8,4,3706,264,0,0,0,0,
1633202286.558213,1633202286.98172,25,423.5069751739502,falcon512,10,delay,0ms,8,4,3706,264,0,0,0,0,
1633202287.881868,1633202288.307363,26,425.4951477050781,falcon512,10,delay,0ms,8,4,3708,264,0,0,0,0,
1633202289.196478,1633202289.618378,27,421.90003395080566,falcon512,10,delay,0ms,8,5,3708,330,0,0,0,0,
1633202290.471349,1633202290.901128,28,429.779052734375,falcon512,10,delay,0ms,8,5,3706,330,0,0,0,0,
1633202291.7737,1633202292.211786,29,438.08603286743164,falcon512,10,delay,0ms,8,4,3706,264,0,0,0,0,
1633202307.3582,1633202307.977013,30,618.8130378723145,falcon512,10,delay,0ms,8,4,3712,264,0,0,0,0,
1633202308.610203,1633202309.234017,31,623.8138675689697,falcon512,10,delay,0ms,8,4,3710,264,0,0,0,0,
1633202310.038148,1633202310.66432,32,626.1720657348633,falcon512,10,delay,0ms,8,4,3709,264,0,0,0,0,
1633202311.5521,1633202312.173737,33,621.6371059417725,falcon512,10,delay,0ms,8,4,3706,264,0,0,0,0,
1633202312.886847,1633202313.506331,34,619.4839477539062,falcon512,10,delay,0ms,8,4,3710,264,0,0,0,0,
1633202314.197198,1633202314.830511,35,633.3131790161133,falcon512,10,delay,0ms,8,4,3705,264,0,0,0,0,
1633202315.641879,1633202316.262508,36,620.628833770752,falcon512,10,delay,0ms,8,4,3709,264,0,0,0,0,
1633202317.101992,1633202317.725129,37,623.1369972229004,falcon512,10,delay,0ms,8,4,3707,264,0,0,0,0,
1633202318.481701,1633202319.108063,38,626.3620853424072,falcon512,10,delay,0ms,8,4,3704,264,0,0,0,0,
