Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1633216013.528408,1633216014.011355,0,482.94687271118164,rsa,10,corrupt,40%,9,5,4164,330,0,0,0,0,
1633216015.091659,1633216015.567053,1,475.39401054382324,rsa,10,corrupt,40%,10,4,4230,264,0,0,0,0,
1633216016.560135,1633216017.782563,2,1222.4280834197998,rsa,10,corrupt,40%,10,5,3721,330,0,0,0,0,
1633216018.984197,1633216019.203464,3,219.2671298980713,rsa,10,corrupt,40%,5,0,1380,0,0,0,0,0,
1633216019.429603,1633216019.443533,4,13.92984390258789,rsa,10,corrupt,40%,9,17,3647,3201,0,0,0,0,
1633216021.0297,1633216021.055447,5,25.747060775756836,rsa,10,corrupt,40%,8,4,3064,264,0,0,0,0,
1633216022.366775,1633216022.386226,6,19.450902938842773,rsa,10,corrupt,40%,8,5,3064,330,0,0,0,0,
1633216023.747175,1633216023.761446,7,14.271020889282227,rsa,10,corrupt,40%,8,8,3064,604,0,0,0,0,
1633216025.361534,1633216025.596197,8,234.6627712249756,rsa,10,corrupt,40%,9,4,3647,264,0,0,0,0,
1633216026.678579,1633216026.698782,9,20.2028751373291,rsa,10,corrupt,40%,7,4,2998,264,0,0,0,0,
1633216047.444108,1633216047.455344,10,11.235952377319336,rsa,10,corrupt,40%,8,5,7666,330,0,0,0,0,
1633216049.012417,1633216049.023729,11,11.312007904052734,rsa,10,corrupt,40%,8,5,7666,330,0,0,0,0,
1633216050.518052,1633216050.539876,12,21.823883056640625,rsa,10,corrupt,40%,8,4,7666,264,0,0,0,0,
1633216051.815039,1633216051.819899,13,4.860162734985352,rsa,10,corrupt,40%,8,4,7666,264,0,0,0,0,
1633216053.142486,1633216053.151746,14,9.259939193725586,rsa,10,corrupt,40%,10,5,7798,330,0,0,0,0,
1633216054.803599,1633216054.816442,15,12.842893600463867,rsa,10,corrupt,40%,8,5,7666,330,0,0,0,0,
