Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1633223030.672642,1633223030.694203,0,21.5609073638916,dilithium2,10,corrupt,15%,12,5,7930,330,0,0,0,0,
1633223032.010731,1633223032.022571,1,11.840105056762695,dilithium2,10,corrupt,15%,10,6,7798,472,0,0,0,0,
1633223033.374937,1633223033.380152,2,5.214929580688477,dilithium2,10,corrupt,15%,8,7,7666,462,0,0,0,0,
1633223034.86501,1633223035.876192,3,1011.1820697784424,dilithium2,10,corrupt,15%,9,6,7740,408,0,0,0,0,
1633223036.169298,1633223036.303445,4,134.14716720581055,dilithium2,10,corrupt,15%,10,4,7798,264,0,0,0,0,
1633223037.623516,1633223037.628181,5,4.664897918701172,dilithium2,10,corrupt,15%,8,5,7666,330,0,0,0,0,
1633223038.964239,1633223038.976182,6,11.94310188293457,dilithium2,10,corrupt,15%,12,4,7930,264,0,0,0,0,
1633223040.326236,1633223040.331244,7,5.00798225402832,dilithium2,10,corrupt,15%,8,6,7666,472,0,0,0,0,
1633223041.574193,1633223041.803542,8,229.34889793395996,dilithium2,10,corrupt,15%,9,6,8249,472,0,0,0,0,
1633223042.862554,1633223042.872972,9,10.417938232421875,dilithium2,10,corrupt,15%,10,6,7798,472,0,0,0,0,
1633223057.723644,1633223057.727632,10,3.988027572631836,dilithium2,10,corrupt,15%,8,4,7666,264,0,0,0,0,
1633223059.118696,1633223059.123285,11,4.589080810546875,dilithium2,10,corrupt,15%,8,4,7666,264,0,0,0,0,
1633223060.424538,1633223062.243032,12,1818.4940814971924,dilithium2,10,corrupt,15%,16,9,9244,594,0,0,0,0,
1633223063.22304,1633223063.241726,13,18.68581771850586,dilithium2,10,corrupt,15%,10,21,7798,8524,0,0,0,0,
1633223064.888718,1633223065.916135,14,1027.4171829223633,dilithium2,10,corrupt,15%,9,4,7740,264,0,0,0,0,
1633223066.178677,1633223066.403965,15,225.28791427612305,dilithium2,10,corrupt,15%,9,7,8249,462,0,0,0,0,
1633223067.59045,1633223067.81882,16,228.36995124816895,dilithium2,10,corrupt,15%,9,7,8249,602,0,0,0,0,
1633223068.922706,1633223069.154613,17,231.90712928771973,dilithium2,10,corrupt,15%,15,0,8268,0,0,0,0,0,
1633223070.453112,1633223070.460018,18,6.906032562255859,dilithium2,10,corrupt,15%,8,5,7666,330,0,0,0,0,
1633223084.946596,1633223084.951666,19,5.070209503173828,dilithium2,10,corrupt,15%,10,5,7798,330,0,0,0,0,
1633223086.454938,1633223087.492102,20,1037.1639728546143,dilithium2,10,corrupt,15%,9,8,7740,540,0,0,0,0,
1633223087.945945,1633223088.173123,21,227.17785835266113,dilithium2,10,corrupt,15%,16,0,8270,0,0,0,0,0,
1633223089.512581,1633223089.743559,22,230.97777366638184,dilithium2,10,corrupt,15%,13,5,8513,330,0,0,0,0,
1633223090.959658,1633223090.967358,23,7.700204849243164,dilithium2,10,corrupt,15%,10,4,7798,264,0,0,0,0,
1633223092.300065,1633223093.522967,24,1222.9020595550537,dilithium2,10,corrupt,15%,10,5,8323,330,0,0,0,0,
1633223093.62442,1633223093.672256,25,47.8360652923584,dilithium2,10,corrupt,15%,18,0,8402,0,0,0,0,0,
1633223095.010476,1633223095.014352,26,3.8759708404541016,dilithium2,10,corrupt,15%,8,6,7666,472,0,0,0,0,
1633223096.47581,1633223096.711812,27,236.00196838378906,dilithium2,10,corrupt,15%,15,0,8140,0,0,0,0,0,
1633223097.755674,1633223098.189281,28,433.6071014404297,dilithium2,10,corrupt,15%,14,7,9096,538,0,0,0,0,
1633223112.308307,1633223112.534871,29,226.5641689300537,dilithium2,10,corrupt,15%,11,6,8381,472,0,0,0,0,
1633223113.555296,1633223113.562624,30,7.328033447265625,dilithium2,10,corrupt,15%,8,8,7666,528,0,0,0,0,
1633223115.020413,1633223115.046781,31,26.368141174316406,dilithium2,10,corrupt,15%,8,5,7666,330,0,0,0,0,
1633223116.389855,1633223116.613161,32,223.30617904663086,dilithium2,10,corrupt,15%,9,8,8249,604,0,0,0,0,
1633223117.811816,1633223117.827248,33,15.432119369506836,dilithium2,10,corrupt,15%,10,4,7798,264,0,0,0,0,
1633223119.171166,1633223120.407191,34,1236.025094985962,dilithium2,10,corrupt,15%,11,0,8389,0,0,0,0,0,
1633223120.531798,1633223120.634699,35,102.90122032165527,dilithium2,10,corrupt,15%,10,6,7862,472,0,0,0,0,
1633223121.979573,1633223121.986817,36,7.243871688842773,dilithium2,10,corrupt,15%,8,6,7666,472,0,0,0,0,
1633223123.279717,1633223123.286484,37,6.767034530639648,dilithium2,10,corrupt,15%,10,8,7798,540,0,0,0,0,
1633223124.757338,1633223125.788944,38,1031.6059589385986,dilithium2,10,corrupt,15%,9,6,7740,472,0,0,0,0,
1633223139.319321,1633223139.742816,39,423.4950542449951,dilithium2,10,corrupt,15%,12,4,8964,264,0,0,0,0,
1633223140.678568,1633223140.683254,40,4.686117172241211,dilithium2,10,corrupt,15%,8,7,7666,474,0,0,0,0,
1633223142.300348,1633223143.329975,41,1029.6268463134766,dilithium2,10,corrupt,15%,9,5,7740,330,0,0,0,0,
1633223143.722607,1633223143.727301,42,4.6939849853515625,dilithium2,10,corrupt,15%,8,5,7666,330,0,0,0,0,
1633223145.004789,1633223145.015523,43,10.733842849731445,dilithium2,10,corrupt,15%,12,4,7930,264,0,0,0,0,
1633223146.528637,1633223149.077489,44,2548.85196685791,dilithium2,10,corrupt,15%,19,0,9009,0,0,0,0,0,
1633223149.125757,1633223149.302497,45,176.73993110656738,dilithium2,10,corrupt,15%,12,9,7994,614,0,0,0,0,
1633223150.575484,1633223150.584428,46,8.944034576416016,dilithium2,10,corrupt,15%,9,4,7732,264,0,0,0,0,
1633223151.909941,1633223154.945856,47,3035.9151363372803,dilithium2,10,corrupt,15%,24,6,15888,460,0,0,0,0,
1633223166.760191,1633223166.767144,48,6.953001022338867,dilithium2,10,corrupt,15%,9,4,7732,264,0,0,0,0,
1633223168.048991,1633223168.731427,49,682.4359893798828,dilithium2,10,corrupt,15%,22,0,9700,0,0,0,0,0,
1633223169.630515,1633223169.642053,50,11.537790298461914,dilithium2,10,corrupt,15%,10,5,7798,330,0,0,0,0,
1633223171.087701,1633223171.099987,51,12.285947799682617,dilithium2,10,corrupt,15%,9,10,7732,684,0,0,0,0,
1633223172.482186,1633223173.332937,52,850.7509231567383,dilithium2,10,corrupt,15%,20,0,9492,0,0,0,0,0,
1633223173.950889,1633223174.974366,53,1023.4768390655518,dilithium2,10,corrupt,15%,9,4,7740,264,0,0,0,0,
1633223175.360663,1633223175.586619,54,225.95596313476562,dilithium2,10,corrupt,15%,13,6,8513,472,0,0,0,0,
1633223177.65928,1633223177.662909,55,3.628969192504883,dilithium2,10,corrupt,15%,7,6,7600,396,0,0,0,0,
1633223178.047418,1633223178.267177,56,219.7589874267578,dilithium2,10,corrupt,15%,9,8,8249,592,0,0,0,0,
1633223179.389994,1633223179.395513,57,5.51915168762207,dilithium2,10,corrupt,15%,8,4,7666,264,0,0,0,0,
