Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1633223084.946592,1633223084.951664,0,5.071878433227539,dilithium2,10,corrupt,25%,10,5,7798,330,0,0,0,0,
1633223086.454936,1633223087.492101,1,1037.1649265289307,dilithium2,10,corrupt,25%,9,8,7740,540,0,0,0,0,
1633223087.945943,1633223088.173123,2,227.17976570129395,dilithium2,10,corrupt,25%,16,0,8270,0,0,0,0,0,
1633223089.512578,1633223089.743557,3,230.97896575927734,dilithium2,10,corrupt,25%,13,5,8513,330,0,0,0,0,
1633223090.959654,1633223090.967357,4,7.702827453613281,dilithium2,10,corrupt,25%,10,4,7798,264,0,0,0,0,
1633223092.300061,1633223093.522965,5,1222.9039669036865,dilithium2,10,corrupt,25%,10,5,8323,330,0,0,0,0,
1633223093.624418,1633223093.672254,6,47.8360652923584,dilithium2,10,corrupt,25%,18,0,8402,0,0,0,0,0,
1633223095.010472,1633223095.014349,7,3.876924514770508,dilithium2,10,corrupt,25%,8,6,7666,472,0,0,0,0,
1633223096.475808,1633223096.711811,8,236.00316047668457,dilithium2,10,corrupt,25%,15,0,8140,0,0,0,0,0,
1633223097.755672,1633223098.18928,9,433.6080551147461,dilithium2,10,corrupt,25%,14,7,9096,538,0,0,0,0,
1633223112.308303,1633223112.534867,10,226.5639305114746,dilithium2,10,corrupt,25%,11,6,8381,472,0,0,0,0,
1633223113.555294,1633223113.562621,11,7.327079772949219,dilithium2,10,corrupt,25%,8,8,7666,528,0,0,0,0,
1633223115.020409,1633223115.046779,12,26.369810104370117,dilithium2,10,corrupt,25%,8,5,7666,330,0,0,0,0,
1633223116.389853,1633223116.61316,13,223.30689430236816,dilithium2,10,corrupt,25%,9,8,8249,604,0,0,0,0,
1633223117.811812,1633223117.827244,14,15.432119369506836,dilithium2,10,corrupt,25%,10,4,7798,264,0,0,0,0,
1633223119.171163,1633223120.40719,15,1236.0270023345947,dilithium2,10,corrupt,25%,11,0,8389,0,0,0,0,0,
1633223120.531795,1633223120.634698,16,102.90288925170898,dilithium2,10,corrupt,25%,10,6,7862,472,0,0,0,0,
1633223121.97957,1633223121.986816,17,7.2460174560546875,dilithium2,10,corrupt,25%,8,6,7666,472,0,0,0,0,
1633223123.279714,1633223123.286482,18,6.767988204956055,dilithium2,10,corrupt,25%,10,8,7798,540,0,0,0,0,
1633223124.757335,1633223125.788942,19,1031.6071510314941,dilithium2,10,corrupt,25%,9,6,7740,472,0,0,0,0,
1633223139.319318,1633223139.742812,20,423.4938621520996,dilithium2,10,corrupt,25%,12,4,8964,264,0,0,0,0,
1633223140.678565,1633223140.683253,21,4.688024520874023,dilithium2,10,corrupt,25%,8,7,7666,474,0,0,0,0,
1633223142.300346,1633223143.329971,22,1029.6251773834229,dilithium2,10,corrupt,25%,9,5,7740,330,0,0,0,0,
1633223143.722606,1633223143.727299,23,4.693031311035156,dilithium2,10,corrupt,25%,8,5,7666,330,0,0,0,0,
1633223145.004787,1633223145.015522,24,10.735034942626953,dilithium2,10,corrupt,25%,12,4,7930,264,0,0,0,0,
1633223146.528635,1633223149.077489,25,2548.853874206543,dilithium2,10,corrupt,25%,19,0,9009,0,0,0,0,0,
1633223149.125755,1633223149.302495,26,176.73993110656738,dilithium2,10,corrupt,25%,12,9,7994,614,0,0,0,0,
1633223150.575481,1633223150.584427,27,8.94618034362793,dilithium2,10,corrupt,25%,9,4,7732,264,0,0,0,0,
1633223151.909938,1633223154.945854,28,3035.9158515930176,dilithium2,10,corrupt,25%,24,6,15888,460,0,0,0,0,
1633223166.760188,1633223166.767141,29,6.953001022338867,dilithium2,10,corrupt,25%,9,4,7732,264,0,0,0,0,
1633223168.048988,1633223168.731426,30,682.4378967285156,dilithium2,10,corrupt,25%,22,0,9700,0,0,0,0,0,
1633223169.630513,1633223169.642052,31,11.538982391357422,dilithium2,10,corrupt,25%,10,5,7798,330,0,0,0,0,
1633223171.087699,1633223171.099986,32,12.287139892578125,dilithium2,10,corrupt,25%,9,10,7732,684,0,0,0,0,
1633223172.482183,1633223173.332937,33,850.7540225982666,dilithium2,10,corrupt,25%,20,0,9492,0,0,0,0,0,
1633223173.950887,1633223174.974365,34,1023.4780311584473,dilithium2,10,corrupt,25%,9,4,7740,264,0,0,0,0,
1633223175.36066,1633223175.586618,35,225.95787048339844,dilithium2,10,corrupt,25%,13,6,8513,472,0,0,0,0,
1633223177.659276,1633223177.662908,36,3.632068634033203,dilithium2,10,corrupt,25%,7,6,7600,396,0,0,0,0,
1633223178.047417,1633223178.267176,37,219.7589874267578,dilithium2,10,corrupt,25%,9,8,8249,592,0,0,0,0,
1633223179.389993,1633223179.395512,38,5.51915168762207,dilithium2,10,corrupt,25%,8,4,7666,264,0,0,0,0,
1633223200.92326,1633223200.934349,39,11.089086532592773,dilithium2,10,corrupt,25%,10,4,10184,264,0,0,0,0,
1633223202.226816,1633223202.23608,40,9.263992309570312,dilithium2,10,corrupt,25%,11,4,10250,264,0,0,0,0,
1633223203.663045,1633223203.667268,41,4.223108291625977,dilithium2,10,corrupt,25%,10,5,10184,330,0,0,0,0,
1633223204.893777,1633223204.898341,42,4.564046859741211,dilithium2,10,corrupt,25%,10,5,10184,330,0,0,0,0,
1633223206.496036,1633223206.516452,43,20.4160213470459,dilithium2,10,corrupt,25%,13,4,10382,264,0,0,0,0,
1633223207.925087,1633223207.931605,44,6.518125534057617,dilithium2,10,corrupt,25%,10,5,10184,330,0,0,0,0,
1633223209.362762,1633223209.367324,45,4.562139511108398,dilithium2,10,corrupt,25%,10,5,10184,330,0,0,0,0,
1633223210.75578,1633223210.762471,46,6.69097900390625,dilithium2,10,corrupt,25%,10,4,10184,264,0,0,0,0,
1633223211.999286,1633223212.007692,47,8.40616226196289,dilithium2,10,corrupt,25%,12,5,10316,330,0,0,0,0,
1633223213.451543,1633223213.477818,48,26.274919509887695,dilithium2,10,corrupt,25%,14,5,10448,330,0,0,0,0,
1633223227.918667,1633223227.927856,49,9.18889045715332,dilithium2,10,corrupt,25%,10,4,10184,264,0,0,0,0,
1633223229.298434,1633223229.522023,50,223.5889434814453,dilithium2,10,corrupt,25%,11,5,10767,330,0,0,0,0,
1633223230.743087,1633223231.774823,51,1031.735897064209,dilithium2,10,corrupt,25%,11,5,10258,330,0,0,0,0,
1633223232.248586,1633223232.252793,52,4.207134246826172,dilithium2,10,corrupt,25%,10,6,10184,396,0,0,0,0,
1633223233.601778,1633223233.618616,53,16.83807373046875,dilithium2,10,corrupt,25%,10,5,10184,330,0,0,0,0,
1633223235.014528,1633223235.2322,54,217.67187118530273,dilithium2,10,corrupt,25%,11,6,10767,472,0,0,0,0,
1633223236.360844,1633223236.375312,55,14.468193054199219,dilithium2,10,corrupt,25%,10,5,10184,330,0,0,0,0,
1633223237.93627,1633223237.956301,56,20.030975341796875,dilithium2,10,corrupt,25%,12,5,10316,330,0,0,0,0,
1633223239.307321,1633223240.326983,57,1019.6619033813477,dilithium2,10,corrupt,25%,11,5,10258,330,0,0,0,0,
1633223240.730784,1633223240.742795,58,12.011051177978516,dilithium2,10,corrupt,25%,10,4,10184,264,0,0,0,0,
1633223255.15643,1633223255.179768,59,23.33807945251465,dilithium2,10,corrupt,25%,14,5,10448,330,0,0,0,0,
1633223256.719596,1633223256.7284,60,8.804082870483398,dilithium2,10,corrupt,25%,10,6,10184,472,0,0,0,0,
1633223258.104354,1633223258.117894,61,13.540029525756836,dilithium2,10,corrupt,25%,9,5,10118,330,0,0,0,0,
1633223259.315927,1633223259.320998,62,5.070924758911133,dilithium2,10,corrupt,25%,10,7,10184,462,0,0,0,0,
1633223260.784117,1633223261.008442,63,224.32494163513184,dilithium2,10,corrupt,25%,11,6,10767,396,0,0,0,0,
1633223262.322181,1633223262.327561,64,5.379915237426758,dilithium2,10,corrupt,25%,10,5,10184,330,0,0,0,0,
1633223263.716606,1633223263.727594,65,10.987997055053711,dilithium2,10,corrupt,25%,13,5,10382,330,0,0,0,0,
1633223265.287765,1633223265.297148,66,9.382963180541992,dilithium2,10,corrupt,25%,10,4,10184,264,0,0,0,0,
1633223266.831704,1633223268.046162,67,1214.4579887390137,dilithium2,10,corrupt,25%,17,0,11171,0,0,0,0,0,
1633223268.118824,1633223268.12937,68,10.545969009399414,dilithium2,10,corrupt,25%,12,5,10316,330,0,0,0,0,
1633223282.775584,1633223282.80089,69,25.305986404418945,dilithium2,10,corrupt,25%,14,4,10448,264,0,0,0,0,
1633223284.032354,1633223284.047756,70,15.401840209960938,dilithium2,10,corrupt,25%,13,5,10382,330,0,0,0,0,
1633223285.573038,1633223285.798334,71,225.2957820892334,dilithium2,10,corrupt,25%,11,5,10767,330,0,0,0,0,
1633223286.959448,1633223286.964049,72,4.601001739501953,dilithium2,10,corrupt,25%,10,5,10184,330,0,0,0,0,
1633223288.420153,1633223289.439415,73,1019.2620754241943,dilithium2,10,corrupt,25%,11,4,10258,264,0,0,0,0,
1633223289.992251,1633223290.001424,74,9.173154830932617,dilithium2,10,corrupt,25%,9,4,10118,264,0,0,0,0,
1633223291.643348,1633223291.656437,75,13.08894157409668,dilithium2,10,corrupt,25%,14,5,10448,330,0,0,0,0,
1633223293.024179,1633223293.027858,76,3.679037094116211,dilithium2,10,corrupt,25%,10,4,10184,264,0,0,0,0,
1633223294.571855,1633223294.800707,77,228.8520336151123,dilithium2,10,corrupt,25%,11,5,10767,330,0,0,0,0,
1633223295.782471,1633223299.028872,78,3246.401071548462,dilithium2,10,corrupt,25%,13,6,10915,472,0,0,0,0,
1633223310.791521,1633223310.799802,79,8.28099250793457,dilithium2,10,corrupt,25%,10,6,10184,472,0,0,0,0,
1633223312.143188,1633223312.147769,80,4.580974578857422,dilithium2,10,corrupt,25%,10,4,10184,264,0,0,0,0,
1633223313.731898,1633223313.738824,81,6.925821304321289,dilithium2,10,corrupt,25%,12,6,10316,396,0,0,0,0,
1633223315.22569,1633223315.235885,82,10.195016860961914,dilithium2,10,corrupt,25%,10,7,10184,474,0,0,0,0,
1633223316.690948,1633223316.92292,83,231.97197914123535,dilithium2,10,corrupt,25%,17,0,11239,0,0,0,0,0,
1633223318.143021,1633223319.374542,84,1231.5208911895752,dilithium2,10,corrupt,25%,12,5,10841,330,0,0,0,0,
1633223319.537019,1633223319.550805,85,13.786077499389648,dilithium2,10,corrupt,25%,9,6,10118,472,0,0,0,0,
1633223320.912474,1633223320.919683,86,7.209062576293945,dilithium2,10,corrupt,25%,10,5,10184,330,0,0,0,0,
1633223322.407169,1633223323.425413,87,1018.2437896728516,dilithium2,10,corrupt,25%,11,4,10258,264,0,0,0,0,
1633223323.632439,1633223323.659737,88,27.2982120513916,dilithium2,10,corrupt,25%,13,6,10382,396,0,0,0,0,
1633223338.498355,1633223339.520024,89,1021.6691493988037,dilithium2,10,corrupt,25%,10,4,10192,264,0,0,0,0,
1633223339.88238,1633223340.096616,90,214.23602104187012,dilithium2,10,corrupt,25%,15,6,11031,472,0,0,0,0,
1633223341.259735,1633223341.267599,91,7.8639984130859375,dilithium2,10,corrupt,25%,12,4,10316,264,0,0,0,0,
1633223342.540056,1633223342.556819,92,16.762971878051758,dilithium2,10,corrupt,25%,14,4,10448,264,0,0,0,0,
1633223344.068795,1633223344.312085,93,243.28994750976562,dilithium2,10,corrupt,25%,16,0,11109,0,0,0,0,0,
1633223345.550039,1633223345.77121,94,221.17090225219727,dilithium2,10,corrupt,25%,11,7,10767,474,0,0,0,0,
1633223346.903568,1633223346.916041,95,12.472867965698242,dilithium2,10,corrupt,25%,10,9,10184,594,0,0,0,0,
1633223349.213839,1633223349.218705,96,4.865884780883789,dilithium2,10,corrupt,25%,9,5,10118,330,0,0,0,0,
1633223349.639752,1633223349.647511,97,7.75909423828125,dilithium2,10,corrupt,25%,11,5,10250,330,0,0,0,0,
1633223351.139153,1633223352.163518,98,1024.364948272705,dilithium2,10,corrupt,25%,11,5,10258,330,0,0,0,0,
1633223365.707453,1633223366.928678,99,1221.2250232696533,dilithium2,10,corrupt,25%,6,0,1454,0,0,0,0,0,
1633223367.098119,1633223367.110627,100,12.507915496826172,dilithium2,10,corrupt,25%,9,23,10118,11178,0,0,0,0,
1633223368.448302,1633223368.460879,101,12.577056884765625,dilithium2,10,corrupt,25%,10,6,10184,472,0,0,0,0,
1633223369.928007,1633223370.167398,102,239.39108848571777,dilithium2,10,corrupt,25%,21,0,10922,0,0,0,0,0,
1633223371.263611,1633223373.039078,103,1775.4669189453125,dilithium2,10,corrupt,25%,14,5,11498,330,0,0,0,0,
1633223374.034843,1633223374.746201,104,711.3580703735352,dilithium2,10,corrupt,25%,22,16,15439,7227,0,0,0,0,
1633223375.526135,1633223378.351607,105,2825.472116470337,dilithium2,10,corrupt,25%,14,4,10989,264,0,0,0,0,
1633223378.552726,1633223378.788328,106,235.60190200805664,dilithium2,10,corrupt,25%,20,24,11894,11244,0,0,0,0,
1633223393.579632,1633223394.959315,107,1379.683017730713,dilithium2,10,corrupt,25%,12,7,10332,602,0,0,0,0,
1633223396.527912,1633223396.6276,108,99.68805313110352,dilithium2,10,corrupt,25%,15,23,10522,11559,0,0,0,0,
1633223397.895429,1633223397.903299,109,7.870197296142578,dilithium2,10,corrupt,25%,10,7,10184,474,0,0,0,0,
1633223399.463253,1633223399.471651,110,8.398056030273438,dilithium2,10,corrupt,25%,10,6,10184,396,0,0,0,0,
1633223400.862682,1633223401.304079,111,441.39695167541504,dilithium2,10,corrupt,25%,16,7,11614,602,0,0,0,0,
1633223402.51602,1633223402.531721,112,15.701055526733398,dilithium2,10,corrupt,25%,18,0,10788,0,0,0,0,0,
1633223404.068877,1633223404.074854,113,5.97691535949707,dilithium2,10,corrupt,25%,10,9,10184,606,0,0,0,0,
1633223405.484233,1633223405.489916,114,5.683183670043945,dilithium2,10,corrupt,25%,10,7,10184,474,0,0,0,0,
1633223406.742347,1633223410.667742,115,3925.3950119018555,dilithium2,10,corrupt,25%,15,6,12081,396,0,0,0,0,
1633223421.894655,1633223421.903571,116,8.915901184082031,dilithium2,10,corrupt,25%,11,7,10250,474,0,0,0,0,
1633223424.37974,1633223424.386629,117,6.889104843139648,dilithium2,10,corrupt,25%,15,0,10590,0,0,0,0,0,
1633223424.963841,1633223424.971018,118,7.177114486694336,dilithium2,10,corrupt,25%,11,5,10250,330,0,0,0,0,
1633223426.482417,1633223426.496977,119,14.55998420715332,dilithium2,10,corrupt,25%,10,6,10184,472,0,0,0,0,
1633223428.024556,1633223428.044062,120,19.505977630615234,dilithium2,10,corrupt,25%,15,0,10526,0,0,0,0,0,
1633223429.407446,1633223429.635625,121,228.1789779663086,dilithium2,10,corrupt,25%,15,5,11031,330,0,0,0,0,
1633223430.926985,1633223430.943333,122,16.347885131835938,dilithium2,10,corrupt,25%,16,0,10656,0,0,0,0,0,
1633223432.434708,1633223432.446492,123,11.783838272094727,dilithium2,10,corrupt,25%,13,4,10382,392,0,0,0,0,
1633223433.790324,1633223433.998113,124,207.78894424438477,dilithium2,10,corrupt,25%,12,9,10380,845,0,0,0,0,
1633223435.334973,1633223435.557693,125,222.71990776062012,dilithium2,10,corrupt,25%,15,7,11031,602,0,0,0,0,
1633223457.062198,1633223457.07153,126,9.33218002319336,dilithium2,10,corrupt,25%,10,4,13428,264,0,0,0,0,
1633223458.372042,1633223458.380195,127,8.152961730957031,dilithium2,10,corrupt,25%,11,4,13494,264,0,0,0,0,
1633223459.919114,1633223459.925367,128,6.25300407409668,dilithium2,10,corrupt,25%,10,5,13428,330,0,0,0,0,
1633223461.483682,1633223461.491524,129,7.842063903808594,dilithium2,10,corrupt,25%,11,4,13494,264,0,0,0,0,
1633223462.838773,1633223462.855539,130,16.766071319580078,dilithium2,10,corrupt,25%,10,4,13428,264,0,0,0,0,
1633223464.359017,1633223464.364254,131,5.237102508544922,dilithium2,10,corrupt,25%,10,5,13428,330,0,0,0,0,
1633223465.894611,1633223465.906164,132,11.553049087524414,dilithium2,10,corrupt,25%,10,5,13428,330,0,0,0,0,
1633223467.28371,1633223467.296137,133,12.427091598510742,dilithium2,10,corrupt,25%,10,5,13428,330,0,0,0,0,
1633223468.699456,1633223468.712013,134,12.557029724121094,dilithium2,10,corrupt,25%,11,5,13494,330,0,0,0,0,
1633223470.111861,1633223470.131909,135,20.047903060913086,dilithium2,10,corrupt,25%,15,5,13758,330,0,0,0,0,
1633223484.751455,1633223484.767365,136,15.909910202026367,dilithium2,10,corrupt,25%,12,4,13560,264,0,0,0,0,
1633223486.271442,1633223486.281155,137,9.713172912597656,dilithium2,10,corrupt,25%,12,5,13560,330,0,0,0,0,
1633223487.842489,1633223487.84753,138,5.040884017944336,dilithium2,10,corrupt,25%,10,4,13428,264,0,0,0,0,
1633223489.254444,1633223489.264876,139,10.432004928588867,dilithium2,10,corrupt,25%,11,5,13494,330,0,0,0,0,
1633223490.564052,1633223490.572637,140,8.584976196289062,dilithium2,10,corrupt,25%,10,5,13428,330,0,0,0,0,
1633223492.194082,1633223493.219642,141,1025.559902191162,dilithium2,10,corrupt,25%,11,4,13502,264,0,0,0,0,
1633223493.432383,1633223493.440043,142,7.659912109375,dilithium2,10,corrupt,25%,10,5,13428,330,0,0,0,0,
1633223495.070711,1633223495.09628,143,25.56920051574707,dilithium2,10,corrupt,25%,12,4,13560,264,0,0,0,0,
1633223496.511969,1633223496.540119,144,28.149843215942383,dilithium2,10,corrupt,25%,13,4,13626,264,0,0,0,0,
1633223497.915272,1633223497.932291,145,17.019033432006836,dilithium2,10,corrupt,25%,12,6,13560,396,0,0,0,0,
1633223512.640287,1633223512.859817,146,219.5301055908203,dilithium2,10,corrupt,25%,11,5,14011,330,0,0,0,0,
1633223514.139311,1633223514.147534,147,8.222818374633789,dilithium2,10,corrupt,25%,12,4,13560,264,0,0,0,0,
1633223515.412435,1633223515.423089,148,10.653972625732422,dilithium2,10,corrupt,25%,10,6,13428,472,0,0,0,0,
1633223516.785311,1633223516.811915,149,26.60393714904785,dilithium2,10,corrupt,25%,16,5,13824,330,0,0,0,0,
1633223518.309181,1633223518.330083,150,20.901918411254883,dilithium2,10,corrupt,25%,12,6,13560,396,0,0,0,0,
1633223519.828315,1633223519.834579,151,6.263971328735352,dilithium2,10,corrupt,25%,9,4,13362,264,0,0,0,0,
1633223521.225941,1633223522.24438,152,1018.4390544891357,dilithium2,10,corrupt,25%,11,4,13502,264,0,0,0,0,
1633223522.826979,1633223522.838537,153,11.558055877685547,dilithium2,10,corrupt,25%,10,5,13428,330,0,0,0,0,
1633223524.227704,1633223524.235444,154,7.740020751953125,dilithium2,10,corrupt,25%,12,4,13560,264,0,0,0,0,
1633223525.623096,1633223525.629578,155,6.482124328613281,dilithium2,10,corrupt,25%,10,4,13428,264,0,0,0,0,
1633223540.023293,1633223540.251115,156,227.82206535339355,dilithium2,10,corrupt,25%,13,4,14143,264,0,0,0,0,
1633223541.326697,1633223542.334387,157,1007.6899528503418,dilithium2,10,corrupt,25%,11,4,13502,264,0,0,0,0,
1633223542.787207,1633223543.018449,158,231.24217987060547,dilithium2,10,corrupt,25%,17,4,14407,264,0,0,0,0,
1633223544.206987,1633223545.216889,159,1009.9020004272461,dilithium2,10,corrupt,25%,11,5,13502,330,0,0,0,0,
1633223545.583406,1633223545.589186,160,5.77998161315918,dilithium2,10,corrupt,25%,10,5,13428,330,0,0,0,0,
1633223546.987429,1633223547.419217,161,431.78820610046387,dilithium2,10,corrupt,25%,12,5,14594,330,0,0,0,0,
1633223548.487621,1633223548.511783,162,24.161815643310547,dilithium2,10,corrupt,25%,12,4,13560,264,0,0,0,0,
1633223549.911821,1633223549.928628,163,16.807079315185547,dilithium2,10,corrupt,25%,15,5,13758,330,0,0,0,0,
1633223551.320323,1633223551.327951,164,7.627964019775391,dilithium2,10,corrupt,25%,12,7,13560,462,0,0,0,0,
1633223552.781228,1633223552.795425,165,14.19687271118164,dilithium2,10,corrupt,25%,12,6,13560,396,0,0,0,0,
1633223567.295209,1633223567.530947,166,235.73803901672363,dilithium2,10,corrupt,25%,11,8,14011,540,0,0,0,0,
1633223568.591383,1633223568.602609,167,11.22593879699707,dilithium2,10,corrupt,25%,10,4,13428,264,0,0,0,0,
1633223570.064623,1633223571.420514,168,1355.8909893035889,dilithium2,10,corrupt,25%,11,5,13502,330,0,0,0,0,
1633223572.855803,1633223572.866908,169,11.105060577392578,dilithium2,10,corrupt,25%,15,27,13758,14550,0,0,0,0,
1633223574.281909,1633223574.294895,170,12.985944747924805,dilithium2,10,corrupt,25%,10,5,13428,330,0,0,0,0,
1633223575.677973,1633223575.684308,171,6.335020065307617,dilithium2,10,corrupt,25%,10,5,13428,330,0,0,0,0,
1633223577.094417,1633223577.099942,172,5.524873733520508,dilithium2,10,corrupt,25%,10,8,13428,528,0,0,0,0,
1633223578.51682,1633223578.739975,173,223.15502166748047,dilithium2,10,corrupt,25%,11,4,14011,264,0,0,0,0,
1633223579.984041,1633223580.215703,174,231.66203498840332,dilithium2,10,corrupt,25%,17,5,14407,458,0,0,0,0,
1633223594.504908,1633223594.513915,175,9.006977081298828,dilithium2,10,corrupt,25%,10,5,13428,330,0,0,0,0,
1633223595.952004,1633223596.183704,176,231.69994354248047,dilithium2,10,corrupt,25%,17,7,14407,462,0,0,0,0,
1633223597.464494,1633223597.687622,177,223.128080368042,dilithium2,10,corrupt,25%,11,5,14011,330,0,0,0,0,
1633223599.051633,1633223599.063373,178,11.74020767211914,dilithium2,10,corrupt,25%,9,4,13362,264,0,0,0,0,
1633223600.687269,1633223600.691434,179,4.164934158325195,dilithium2,10,corrupt,25%,10,4,13428,264,0,0,0,0,
1633223602.03007,1633223602.03916,180,9.089946746826172,dilithium2,10,corrupt,25%,10,7,13428,462,0,0,0,0,
1633223603.692361,1633223603.707779,181,15.417814254760742,dilithium2,10,corrupt,25%,10,9,13428,606,0,0,0,0,
1633223605.176391,1633223605.391606,182,215.21520614624023,dilithium2,10,corrupt,25%,11,5,14011,330,0,0,0,0,
1633223606.412059,1633223606.433221,183,21.162033081054688,dilithium2,10,corrupt,25%,13,4,13626,264,0,0,0,0,
1633223607.898972,1633223607.907532,184,8.559942245483398,dilithium2,10,corrupt,25%,10,6,13428,396,0,0,0,0,
1633223622.272301,1633223623.294201,185,1021.899938583374,dilithium2,10,corrupt,25%,11,4,13502,264,0,0,0,0,
1633223624.858223,1633223624.863325,186,5.1021575927734375,dilithium2,10,corrupt,25%,10,6,13428,396,0,0,0,0,
1633223625.147673,1633223625.152022,187,4.348993301391602,dilithium2,10,corrupt,25%,10,6,13428,396,0,0,0,0,
1633223626.555617,1633223626.796078,188,240.46087265014648,dilithium2,10,corrupt,25%,17,8,14407,540,0,0,0,0,
1633223629.216719,1633223629.223224,189,6.505012512207031,dilithium2,10,corrupt,25%,10,6,13428,396,0,0,0,0,
1633223629.643933,1633223630.65622,190,1012.286901473999,dilithium2,10,corrupt,25%,11,8,13502,668,0,0,0,0,
1633223631.082497,1633223632.131887,191,1049.3900775909424,dilithium2,10,corrupt,25%,11,4,13502,264,0,0,0,0,
1633223632.595003,1633223632.600171,192,5.16819953918457,dilithium2,10,corrupt,25%,10,4,13428,264,0,0,0,0,
1633223633.962727,1633223633.972637,193,9.909868240356445,dilithium2,10,corrupt,25%,10,5,13428,330,0,0,0,0,
1633223635.40604,1633223636.426229,194,1020.1890468597412,dilithium2,10,corrupt,25%,11,7,13502,462,0,0,0,0,
1633223650.294628,1633223650.300695,195,6.067037582397461,dilithium2,10,corrupt,25%,10,7,13428,538,0,0,0,0,
