Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1633223112.308301,1633223112.534865,0,226.5639305114746,dilithium2,10,corrupt,30%,11,6,8381,472,0,0,0,0,
1633223113.555293,1633223113.562619,1,7.325887680053711,dilithium2,10,corrupt,30%,8,8,7666,528,0,0,0,0,
1633223115.020408,1633223115.046778,2,26.37004852294922,dilithium2,10,corrupt,30%,8,5,7666,330,0,0,0,0,
1633223116.389851,1633223116.61316,3,223.30880165100098,dilithium2,10,corrupt,30%,9,8,8249,604,0,0,0,0,
1633223117.811811,1633223117.827242,4,15.430927276611328,dilithium2,10,corrupt,30%,10,4,7798,264,0,0,0,0,
1633223119.171162,1633223120.40719,5,1236.0281944274902,dilithium2,10,corrupt,30%,11,0,8389,0,0,0,0,0,
1633223120.531793,1633223120.634697,6,102.90384292602539,dilithium2,10,corrupt,30%,10,6,7862,472,0,0,0,0,
1633223121.979568,1633223121.986815,7,7.246971130371094,dilithium2,10,corrupt,30%,8,6,7666,472,0,0,0,0,
1633223123.279712,1633223123.286482,8,6.770133972167969,dilithium2,10,corrupt,30%,10,8,7798,540,0,0,0,0,
1633223124.757334,1633223125.788942,9,1031.6081047058105,dilithium2,10,corrupt,30%,9,6,7740,472,0,0,0,0,
1633223139.319317,1633223139.74281,10,423.4929084777832,dilithium2,10,corrupt,30%,12,4,8964,264,0,0,0,0,
1633223140.678564,1633223140.683252,11,4.688024520874023,dilithium2,10,corrupt,30%,8,7,7666,474,0,0,0,0,
1633223142.300345,1633223143.329969,12,1029.6239852905273,dilithium2,10,corrupt,30%,9,5,7740,330,0,0,0,0,
1633223143.722606,1633223143.727299,13,4.693031311035156,dilithium2,10,corrupt,30%,8,5,7666,330,0,0,0,0,
1633223145.004785,1633223145.015521,14,10.73598861694336,dilithium2,10,corrupt,30%,12,4,7930,264,0,0,0,0,
1633223146.528635,1633223149.077489,15,2548.853874206543,dilithium2,10,corrupt,30%,19,0,9009,0,0,0,0,0,
1633223149.125754,1633223149.302494,16,176.73993110656738,dilithium2,10,corrupt,30%,12,9,7994,614,0,0,0,0,
1633223150.575479,1633223150.584426,17,8.946895599365234,dilithium2,10,corrupt,30%,9,4,7732,264,0,0,0,0,
1633223151.909936,1633223154.945853,18,3035.917043685913,dilithium2,10,corrupt,30%,24,6,15888,460,0,0,0,0,
1633223166.760186,1633223166.767139,19,6.953001022338867,dilithium2,10,corrupt,30%,9,4,7732,264,0,0,0,0,
1633223168.048986,1633223168.731426,20,682.4400424957275,dilithium2,10,corrupt,30%,22,0,9700,0,0,0,0,0,
1633223169.630511,1633223169.642052,21,11.540889739990234,dilithium2,10,corrupt,30%,10,5,7798,330,0,0,0,0,
1633223171.087698,1633223171.099985,22,12.286901473999023,dilithium2,10,corrupt,30%,9,10,7732,684,0,0,0,0,
1633223172.482182,1633223173.332936,23,850.7540225982666,dilithium2,10,corrupt,30%,20,0,9492,0,0,0,0,0,
1633223173.950886,1633223174.974364,24,1023.4780311584473,dilithium2,10,corrupt,30%,9,4,7740,264,0,0,0,0,
1633223175.360658,1633223175.586618,25,225.96001625061035,dilithium2,10,corrupt,30%,13,6,8513,472,0,0,0,0,
1633223177.659274,1633223177.662908,26,3.6339759826660156,dilithium2,10,corrupt,30%,7,6,7600,396,0,0,0,0,
1633223178.047416,1633223178.267175,27,219.7589874267578,dilithium2,10,corrupt,30%,9,8,8249,592,0,0,0,0,
1633223179.389992,1633223179.395511,28,5.518913269042969,dilithium2,10,corrupt,30%,8,4,7666,264,0,0,0,0,
1633223200.923259,1633223200.934349,29,11.09004020690918,dilithium2,10,corrupt,30%,10,4,10184,264,0,0,0,0,
1633223202.226815,1633223202.236079,30,9.263992309570312,dilithium2,10,corrupt,30%,11,4,10250,264,0,0,0,0,
1633223203.663044,1633223203.667267,31,4.223108291625977,dilithium2,10,corrupt,30%,10,5,10184,330,0,0,0,0,
1633223204.893776,1633223204.89834,32,4.564046859741211,dilithium2,10,corrupt,30%,10,5,10184,330,0,0,0,0,
1633223206.496034,1633223206.516452,33,20.418167114257812,dilithium2,10,corrupt,30%,13,4,10382,264,0,0,0,0,
1633223207.925086,1633223207.931605,34,6.519079208374023,dilithium2,10,corrupt,30%,10,5,10184,330,0,0,0,0,
1633223209.362761,1633223209.367324,35,4.563093185424805,dilithium2,10,corrupt,30%,10,5,10184,330,0,0,0,0,
1633223210.755779,1633223210.762471,36,6.691932678222656,dilithium2,10,corrupt,30%,10,4,10184,264,0,0,0,0,
1633223211.999285,1633223212.007692,37,8.407115936279297,dilithium2,10,corrupt,30%,12,5,10316,330,0,0,0,0,
1633223213.451541,1633223213.477818,38,26.27706527709961,dilithium2,10,corrupt,30%,14,5,10448,330,0,0,0,0,
1633223227.918666,1633223227.927856,39,9.190082550048828,dilithium2,10,corrupt,30%,10,4,10184,264,0,0,0,0,
1633223229.298434,1633223229.522021,40,223.5870361328125,dilithium2,10,corrupt,30%,11,5,10767,330,0,0,0,0,
1633223230.743086,1633223231.774823,41,1031.7368507385254,dilithium2,10,corrupt,30%,11,5,10258,330,0,0,0,0,
1633223232.248584,1633223232.252793,42,4.209041595458984,dilithium2,10,corrupt,30%,10,6,10184,396,0,0,0,0,
1633223233.601777,1633223233.618616,43,16.839027404785156,dilithium2,10,corrupt,30%,10,5,10184,330,0,0,0,0,
1633223235.014527,1633223235.2322,44,217.67282485961914,dilithium2,10,corrupt,30%,11,6,10767,472,0,0,0,0,
1633223236.360843,1633223236.375311,45,14.467954635620117,dilithium2,10,corrupt,30%,10,5,10184,330,0,0,0,0,
1633223237.936269,1633223237.9563,46,20.030975341796875,dilithium2,10,corrupt,30%,12,5,10316,330,0,0,0,0,
1633223239.307319,1633223240.326981,47,1019.6621417999268,dilithium2,10,corrupt,30%,11,5,10258,330,0,0,0,0,
1633223240.730784,1633223240.742795,48,12.011051177978516,dilithium2,10,corrupt,30%,10,4,10184,264,0,0,0,0,
1633223255.156429,1633223255.179767,49,23.337841033935547,dilithium2,10,corrupt,30%,14,5,10448,330,0,0,0,0,
1633223256.719594,1633223256.728399,50,8.805036544799805,dilithium2,10,corrupt,30%,10,6,10184,472,0,0,0,0,
1633223258.104353,1633223258.117894,51,13.540983200073242,dilithium2,10,corrupt,30%,9,5,10118,330,0,0,0,0,
1633223259.315925,1633223259.320997,52,5.072116851806641,dilithium2,10,corrupt,30%,10,7,10184,462,0,0,0,0,
1633223260.784115,1633223261.008441,53,224.32589530944824,dilithium2,10,corrupt,30%,11,6,10767,396,0,0,0,0,
1633223262.32218,1633223262.32756,54,5.379915237426758,dilithium2,10,corrupt,30%,10,5,10184,330,0,0,0,0,
1633223263.716605,1633223263.727593,55,10.987997055053711,dilithium2,10,corrupt,30%,13,5,10382,330,0,0,0,0,
1633223265.287764,1633223265.297147,56,9.382963180541992,dilithium2,10,corrupt,30%,10,4,10184,264,0,0,0,0,
1633223266.831703,1633223268.046162,57,1214.45894241333,dilithium2,10,corrupt,30%,17,0,11171,0,0,0,0,0,
1633223268.118822,1633223268.129369,58,10.54692268371582,dilithium2,10,corrupt,30%,12,5,10316,330,0,0,0,0,
1633223282.775584,1633223282.80089,59,25.305986404418945,dilithium2,10,corrupt,30%,14,4,10448,264,0,0,0,0,
1633223284.032352,1633223284.047755,60,15.403032302856445,dilithium2,10,corrupt,30%,13,5,10382,330,0,0,0,0,
1633223285.573037,1633223285.798333,61,225.2960205078125,dilithium2,10,corrupt,30%,11,5,10767,330,0,0,0,0,
1633223286.959446,1633223286.964048,62,4.601955413818359,dilithium2,10,corrupt,30%,10,5,10184,330,0,0,0,0,
1633223288.420151,1633223289.439414,63,1019.2630290985107,dilithium2,10,corrupt,30%,11,4,10258,264,0,0,0,0,
1633223289.992249,1633223290.001424,64,9.17506217956543,dilithium2,10,corrupt,30%,9,4,10118,264,0,0,0,0,
1633223291.643347,1633223291.656436,65,13.08894157409668,dilithium2,10,corrupt,30%,14,5,10448,330,0,0,0,0,
