Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1633298906.770719,1633298906.783839,0,13.119935989379883,dilithium2,10,duplicate,10%,8,6,7666,396,0,0,0,0,
1633298908.234048,1633298908.252016,1,17.968177795410156,dilithium2,10,duplicate,10%,9,7,7732,474,0,0,0,0,
1633298909.721249,1633298909.73226,2,11.010885238647461,dilithium2,10,duplicate,10%,11,4,7864,264,0,0,0,0,
1633298911.119065,1633298911.122287,3,3.2219886779785156,dilithium2,10,duplicate,10%,8,7,7666,474,0,0,0,0,
1633298912.453819,1633298912.463627,4,9.808063507080078,dilithium2,10,duplicate,10%,8,7,7666,538,0,0,0,0,
1633298913.746834,1633298913.76313,5,16.295909881591797,dilithium2,10,duplicate,10%,13,5,7996,330,0,0,0,0,
1633298914.973433,1633298914.979559,6,6.125926971435547,dilithium2,10,duplicate,10%,10,4,7798,264,0,0,0,0,
1633298916.427067,1633298916.438664,7,11.596918106079102,dilithium2,10,duplicate,10%,11,5,7864,330,0,0,0,0,
1633298917.758695,1633298917.764513,8,5.81812858581543,dilithium2,10,duplicate,10%,10,5,7798,330,0,0,0,0,
1633298919.238684,1633298919.243611,9,4.927158355712891,dilithium2,10,duplicate,10%,9,4,7732,264,0,0,0,0,
1633298933.798895,1633298933.803397,10,4.502058029174805,dilithium2,10,duplicate,10%,9,7,7732,538,0,0,0,0,
1633298935.226654,1633298935.232039,11,5.384922027587891,dilithium2,10,duplicate,10%,8,4,7666,264,0,0,0,0,
1633298936.787327,1633298936.795527,12,8.199930191040039,dilithium2,10,duplicate,10%,12,4,7946,264,0,0,0,0,
1633298938.077468,1633298938.082635,13,5.1670074462890625,dilithium2,10,duplicate,10%,8,4,7666,264,0,0,0,0,
1633298939.342926,1633298939.346937,14,4.010915756225586,dilithium2,10,duplicate,10%,8,4,7666,264,0,0,0,0,
1633298940.777057,1633298940.782678,15,5.6209564208984375,dilithium2,10,duplicate,10%,12,5,7946,330,0,0,0,0,
1633298942.279427,1633298942.284149,16,4.721879959106445,dilithium2,10,duplicate,10%,8,5,7666,330,0,0,0,0,
1633298943.764252,1633298943.772713,17,8.46099853515625,dilithium2,10,duplicate,10%,8,4,7666,264,0,0,0,0,
1633298945.230922,1633298945.241268,18,10.345935821533203,dilithium2,10,duplicate,10%,13,7,7996,474,0,0,0,0,
1633298946.680568,1633298946.707083,19,26.51500701904297,dilithium2,10,duplicate,10%,19,8,8937,604,0,0,0,0,
1633298961.375859,1633298961.383247,20,7.387876510620117,dilithium2,10,duplicate,10%,12,5,7930,330,0,0,0,0,
1633298962.747917,1633298962.752543,21,4.626035690307617,dilithium2,10,duplicate,10%,10,4,8327,264,0,0,0,0,
1633298964.21462,1633298964.232031,22,17.410993576049805,dilithium2,10,duplicate,10%,12,5,7930,330,0,0,0,0,
1633298965.550489,1633298965.559206,23,8.717060089111328,dilithium2,10,duplicate,10%,14,4,8591,264,0,0,0,0,
1633298967.070447,1633298967.075054,24,4.606962203979492,dilithium2,10,duplicate,10%,9,5,7732,330,0,0,0,0,
1633298968.439334,1633298968.452178,25,12.844085693359375,dilithium2,10,duplicate,10%,13,7,7996,474,0,0,0,0,
1633298969.949086,1633298969.963425,26,14.338970184326172,dilithium2,10,duplicate,10%,8,5,7666,330,0,0,0,0,
1633298971.252358,1633298971.26351,27,11.152029037475586,dilithium2,10,duplicate,10%,10,7,7798,474,0,0,0,0,
1633298972.500079,1633298972.507779,28,7.6999664306640625,dilithium2,10,duplicate,10%,12,4,8459,264,0,0,0,0,
1633298973.898502,1633298973.903275,29,4.77290153503418,dilithium2,10,duplicate,10%,9,6,7732,396,0,0,0,0,
1633298988.356613,1633298988.360304,30,3.6911964416503906,dilithium2,10,duplicate,10%,8,5,7666,330,0,0,0,0,
1633298989.595273,1633298989.603695,31,8.421897888183594,dilithium2,10,duplicate,10%,8,7,7666,474,0,0,0,0,
1633298991.214557,1633298991.219059,32,4.502058029174805,dilithium2,10,duplicate,10%,13,7,8541,538,0,0,0,0,
1633298992.550969,1633298992.555953,33,4.984140396118164,dilithium2,10,duplicate,10%,8,8,7666,604,0,0,0,0,
1633298993.914598,1633298993.919288,34,4.689931869506836,dilithium2,10,duplicate,10%,8,8,7666,604,0,0,0,0,
1633298995.28353,1633298995.291915,35,8.384943008422852,dilithium2,10,duplicate,10%,11,9,7864,682,0,0,0,0,
1633298996.554601,1633298996.56558,36,10.978937149047852,dilithium2,10,duplicate,10%,15,5,8128,330,0,0,0,0,
1633298998.068173,1633298998.078895,37,10.722160339355469,dilithium2,10,duplicate,10%,9,5,7732,330,0,0,0,0,
1633298999.36111,1633298999.383837,38,22.727012634277344,dilithium2,10,duplicate,10%,13,5,7996,330,0,0,0,0,
1633299000.827946,1633299000.835031,39,7.085084915161133,dilithium2,10,duplicate,10%,10,6,7798,472,0,0,0,0,
1633299015.342809,1633299015.347501,40,4.69207763671875,dilithium2,10,duplicate,10%,8,4,7666,264,0,0,0,0,
1633299016.887948,1633299016.896281,41,8.332967758178711,dilithium2,10,duplicate,10%,12,4,8459,264,0,0,0,0,
