Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1633298933.798893,1633298933.803396,0,4.503011703491211,dilithium2,10,duplicate,15%,9,7,7732,538,0,0,0,0,
1633298935.226653,1633298935.232038,1,5.384922027587891,dilithium2,10,duplicate,15%,8,4,7666,264,0,0,0,0,
1633298936.787325,1633298936.795527,2,8.202075958251953,dilithium2,10,duplicate,15%,12,4,7946,264,0,0,0,0,
1633298938.077466,1633298938.082634,3,5.167961120605469,dilithium2,10,duplicate,15%,8,4,7666,264,0,0,0,0,
1633298939.342925,1633298939.346937,4,4.011869430541992,dilithium2,10,duplicate,15%,8,4,7666,264,0,0,0,0,
1633298940.777055,1633298940.782678,5,5.62286376953125,dilithium2,10,duplicate,15%,12,5,7946,330,0,0,0,0,
1633298942.279426,1633298942.284148,6,4.721879959106445,dilithium2,10,duplicate,15%,8,5,7666,330,0,0,0,0,
1633298943.764252,1633298943.772712,7,8.460044860839844,dilithium2,10,duplicate,15%,8,4,7666,264,0,0,0,0,
1633298945.230919,1633298945.241268,8,10.349035263061523,dilithium2,10,duplicate,15%,13,7,7996,474,0,0,0,0,
1633298946.680566,1633298946.707082,9,26.515960693359375,dilithium2,10,duplicate,15%,19,8,8937,604,0,0,0,0,
1633298961.375858,1633298961.383246,10,7.387876510620117,dilithium2,10,duplicate,15%,12,5,7930,330,0,0,0,0,
1633298962.747915,1633298962.752542,11,4.626989364624023,dilithium2,10,duplicate,15%,10,4,8327,264,0,0,0,0,
1633298964.214618,1633298964.232031,12,17.41313934326172,dilithium2,10,duplicate,15%,12,5,7930,330,0,0,0,0,
1633298965.550487,1633298965.559205,13,8.718013763427734,dilithium2,10,duplicate,15%,14,4,8591,264,0,0,0,0,
1633298967.070446,1633298967.075053,14,4.606962203979492,dilithium2,10,duplicate,15%,9,5,7732,330,0,0,0,0,
1633298968.439333,1633298968.452178,15,12.845039367675781,dilithium2,10,duplicate,15%,13,7,7996,474,0,0,0,0,
1633298969.949085,1633298969.963424,16,14.338970184326172,dilithium2,10,duplicate,15%,8,5,7666,330,0,0,0,0,
1633298971.252356,1633298971.26351,17,11.153936386108398,dilithium2,10,duplicate,15%,10,7,7798,474,0,0,0,0,
1633298972.500078,1633298972.507779,18,7.700920104980469,dilithium2,10,duplicate,15%,12,4,8459,264,0,0,0,0,
1633298973.898501,1633298973.903274,19,4.773139953613281,dilithium2,10,duplicate,15%,9,6,7732,396,0,0,0,0,
1633298988.356611,1633298988.360304,20,3.693103790283203,dilithium2,10,duplicate,15%,8,5,7666,330,0,0,0,0,
1633298989.595271,1633298989.603694,21,8.4228515625,dilithium2,10,duplicate,15%,8,7,7666,474,0,0,0,0,
1633298991.214556,1633298991.219058,22,4.502058029174805,dilithium2,10,duplicate,15%,13,7,8541,538,0,0,0,0,
1633298992.550968,1633298992.555953,23,4.98509407043457,dilithium2,10,duplicate,15%,8,8,7666,604,0,0,0,0,
1633298993.914596,1633298993.919287,24,4.690885543823242,dilithium2,10,duplicate,15%,8,8,7666,604,0,0,0,0,
1633298995.283528,1633298995.291914,25,8.385896682739258,dilithium2,10,duplicate,15%,11,9,7864,682,0,0,0,0,
1633298996.554599,1633298996.565579,26,10.979890823364258,dilithium2,10,duplicate,15%,15,5,8128,330,0,0,0,0,
1633298998.068171,1633298998.078894,27,10.722875595092773,dilithium2,10,duplicate,15%,9,5,7732,330,0,0,0,0,
1633298999.36111,1633298999.383836,28,22.726058959960938,dilithium2,10,duplicate,15%,13,5,7996,330,0,0,0,0,
1633299000.827946,1633299000.835031,29,7.085084915161133,dilithium2,10,duplicate,15%,10,6,7798,472,0,0,0,0,
1633299015.342807,1633299015.3475,30,4.693031311035156,dilithium2,10,duplicate,15%,8,4,7666,264,0,0,0,0,
1633299016.887947,1633299016.89628,31,8.332967758178711,dilithium2,10,duplicate,15%,12,4,8459,264,0,0,0,0,
1633299018.441896,1633299018.454071,32,12.17508316040039,dilithium2,10,duplicate,15%,10,5,8327,330,0,0,0,0,
1633299020.009077,1633299020.019776,33,10.699033737182617,dilithium2,10,duplicate,15%,17,7,8276,538,0,0,0,0,
1633299021.326528,1633299021.336287,34,9.758949279785156,dilithium2,10,duplicate,15%,8,4,7666,264,0,0,0,0,
1633299022.710598,1633299022.730645,35,20.04694938659668,dilithium2,10,duplicate,15%,16,4,8210,264,0,0,0,0,
1633299024.288553,1633299024.299741,36,11.188030242919922,dilithium2,10,duplicate,15%,15,4,8144,264,0,0,0,0,
1633299025.833578,1633299025.844352,37,10.773897171020508,dilithium2,10,duplicate,15%,15,7,8673,474,0,0,0,0,
1633299027.231018,1633299027.239565,38,8.546829223632812,dilithium2,10,duplicate,15%,11,7,8393,538,0,0,0,0,
1633299028.712847,1633299028.721411,39,8.563995361328125,dilithium2,10,duplicate,15%,16,7,8210,538,0,0,0,0,
1633299043.421259,1633299043.442786,40,21.52705192565918,dilithium2,10,duplicate,15%,18,7,8342,538,0,0,0,0,
1633299044.710376,1633299044.71923,41,8.853912353515625,dilithium2,10,duplicate,15%,11,5,8393,330,0,0,0,0,
1633299046.255003,1633299046.259431,42,4.427909851074219,dilithium2,10,duplicate,15%,12,6,7946,472,0,0,0,0,
1633299047.723233,1633299047.727672,43,4.439115524291992,dilithium2,10,duplicate,15%,10,9,8327,682,0,0,0,0,
1633299049.107454,1633299049.125163,44,17.709016799926758,dilithium2,10,duplicate,15%,15,7,8144,538,0,0,0,0,
1633299050.455432,1633299050.460937,45,5.505084991455078,dilithium2,10,duplicate,15%,8,6,7666,472,0,0,0,0,
1633299051.835255,1633299051.838827,46,3.5719871520996094,dilithium2,10,duplicate,15%,12,7,7946,538,0,0,0,0,
1633299053.350629,1633299053.355534,47,4.904985427856445,dilithium2,10,duplicate,15%,14,5,8607,330,0,0,0,0,
1633299054.743761,1633299054.755642,48,11.880874633789062,dilithium2,10,duplicate,15%,16,8,8723,540,0,0,0,0,
1633299056.115726,1633299056.135623,49,19.896984100341797,dilithium2,10,duplicate,15%,15,7,8144,538,0,0,0,0,
1633299070.779919,1633299070.786843,50,6.924152374267578,dilithium2,10,duplicate,15%,10,4,8327,264,0,0,0,0,
1633299072.235364,1633299072.239389,51,4.024982452392578,dilithium2,10,duplicate,15%,10,9,8327,682,0,0,0,0,
1633299073.578101,1633299073.582104,52,4.003047943115234,dilithium2,10,duplicate,15%,13,7,8012,474,0,0,0,0,
1633299074.945731,1633299074.959158,53,13.427019119262695,dilithium2,10,duplicate,15%,11,7,7864,538,0,0,0,0,
1633299076.374113,1633299076.381691,54,7.5778961181640625,dilithium2,10,duplicate,15%,9,8,7732,604,0,0,0,0,
1633299077.743941,1633299077.755913,55,11.97195053100586,dilithium2,10,duplicate,15%,11,6,8393,396,0,0,0,0,
1633299079.061386,1633299079.066765,56,5.378961563110352,dilithium2,10,duplicate,15%,15,6,8673,472,0,0,0,0,
1633299080.506388,1633299080.511432,57,5.043983459472656,dilithium2,10,duplicate,15%,13,5,8012,330,0,0,0,0,
1633299082.01188,1633299082.024207,58,12.327194213867188,dilithium2,10,duplicate,15%,20,7,9003,538,0,0,0,0,
1633299083.271019,1633299083.275489,59,4.470109939575195,dilithium2,10,duplicate,15%,13,7,8541,538,0,0,0,0,
1633299103.970364,1633299103.977856,60,7.491827011108398,dilithium2,10,duplicate,15%,9,4,10118,264,0,0,0,0,
1633299105.573452,1633299105.578622,61,5.170106887817383,dilithium2,10,duplicate,15%,10,4,10184,264,0,0,0,0,
1633299107.044467,1633299107.051587,62,7.1201324462890625,dilithium2,10,duplicate,15%,10,5,10184,330,0,0,0,0,
1633299108.312984,1633299108.318806,63,5.821943283081055,dilithium2,10,duplicate,15%,10,5,10184,330,0,0,0,0,
1633299109.599168,1633299109.611631,64,12.462854385375977,dilithium2,10,duplicate,15%,9,4,10118,264,0,0,0,0,
1633299110.810274,1633299110.82152,65,11.246204376220703,dilithium2,10,duplicate,15%,10,5,10184,330,0,0,0,0,
1633299112.007844,1633299112.019298,66,11.454105377197266,dilithium2,10,duplicate,15%,12,5,10316,330,0,0,0,0,
1633299113.347789,1633299113.357269,67,9.479999542236328,dilithium2,10,duplicate,15%,14,5,10448,330,0,0,0,0,
1633299114.72431,1633299114.740411,68,16.10112190246582,dilithium2,10,duplicate,15%,10,4,10184,264,0,0,0,0,
1633299116.226013,1633299116.239232,69,13.219118118286133,dilithium2,10,duplicate,15%,10,4,10184,264,0,0,0,0,
1633299130.824487,1633299130.83931,70,14.822959899902344,dilithium2,10,duplicate,15%,10,5,10184,330,0,0,0,0,
1633299132.224836,1633299132.231908,71,7.071971893310547,dilithium2,10,duplicate,15%,10,5,10184,330,0,0,0,0,
1633299133.464134,1633299133.476099,72,11.965036392211914,dilithium2,10,duplicate,15%,10,5,10184,330,0,0,0,0,
1633299134.856428,1633299134.863582,73,7.153987884521484,dilithium2,10,duplicate,15%,10,4,10184,264,0,0,0,0,
1633299136.271145,1633299136.280383,74,9.238004684448242,dilithium2,10,duplicate,15%,14,5,10448,330,0,0,0,0,
1633299137.747345,1633299137.753586,75,6.241083145141602,dilithium2,10,duplicate,15%,11,5,10250,330,0,0,0,0,
1633299139.247226,1633299139.271137,76,23.910999298095703,dilithium2,10,duplicate,15%,11,5,10250,330,0,0,0,0,
1633299140.724248,1633299140.743022,77,18.774032592773438,dilithium2,10,duplicate,15%,17,4,11191,264,0,0,0,0,
1633299142.242669,1633299142.248224,78,5.554914474487305,dilithium2,10,duplicate,15%,10,5,10184,330,0,0,0,0,
1633299143.714735,1633299143.719098,79,4.363059997558594,dilithium2,10,duplicate,15%,10,4,10184,264,0,0,0,0,
1633299158.2901,1633299158.301607,80,11.506795883178711,dilithium2,10,duplicate,15%,11,5,10250,330,0,0,0,0,
1633299159.747523,1633299159.766855,81,19.331932067871094,dilithium2,10,duplicate,15%,12,4,10316,264,0,0,0,0,
1633299161.143715,1633299161.163691,82,19.976139068603516,dilithium2,10,duplicate,15%,12,7,10316,474,0,0,0,0,
1633299162.542101,1633299162.547466,83,5.365133285522461,dilithium2,10,duplicate,15%,10,5,10184,330,0,0,0,0,
1633299164.035225,1633299164.039013,84,3.787994384765625,dilithium2,10,duplicate,15%,14,4,10464,264,0,0,0,0,
1633299165.486474,1633299165.494396,85,7.921934127807617,dilithium2,10,duplicate,15%,10,4,10184,264,0,0,0,0,
1633299166.865812,1633299166.871718,86,5.905866622924805,dilithium2,10,duplicate,15%,10,6,10184,472,0,0,0,0,
1633299168.357421,1633299168.372615,87,15.194177627563477,dilithium2,10,duplicate,15%,10,5,10184,330,0,0,0,0,
1633299169.975215,1633299169.988164,88,12.948989868164062,dilithium2,10,duplicate,15%,11,4,10250,264,0,0,0,0,
1633299171.364177,1633299171.374559,89,10.381937026977539,dilithium2,10,duplicate,15%,12,5,10316,330,0,0,0,0,
1633299185.855219,1633299185.867435,90,12.21609115600586,dilithium2,10,duplicate,15%,13,7,10382,474,0,0,0,0,
1633299187.340715,1633299187.363347,91,22.632122039794922,dilithium2,10,duplicate,15%,15,5,10514,330,0,0,0,0,
1633299188.744824,1633299188.768011,92,23.18716049194336,dilithium2,10,duplicate,15%,12,6,10316,472,0,0,0,0,
1633299190.261771,1633299190.272101,93,10.329961776733398,dilithium2,10,duplicate,15%,10,4,10184,264,0,0,0,0,
1633299191.747386,1633299191.762737,94,15.351057052612305,dilithium2,10,duplicate,15%,11,4,10250,264,0,0,0,0,
1633299193.398494,1633299193.404127,95,5.632877349853516,dilithium2,10,duplicate,15%,14,4,10464,264,0,0,0,0,
1633299194.774345,1633299194.788044,96,13.699054718017578,dilithium2,10,duplicate,15%,13,5,10911,330,0,0,0,0,
1633299196.229913,1633299196.237592,97,7.678985595703125,dilithium2,10,duplicate,15%,16,5,11125,330,0,0,0,0,
1633299197.89903,1633299197.903826,98,4.796028137207031,dilithium2,10,duplicate,15%,11,4,10250,264,0,0,0,0,
1633299199.274255,1633299199.288243,99,13.988018035888672,dilithium2,10,duplicate,15%,10,6,10184,472,0,0,0,0,
1633299213.864378,1633299213.879976,100,15.598058700561523,dilithium2,10,duplicate,15%,10,7,10184,538,0,0,0,0,
1633299215.350091,1633299215.375642,101,25.55108070373535,dilithium2,10,duplicate,15%,13,8,10398,540,0,0,0,0,
1633299216.854853,1633299216.866063,102,11.210203170776367,dilithium2,10,duplicate,15%,13,4,10382,264,0,0,0,0,
1633299218.232745,1633299218.251144,103,18.39900016784668,dilithium2,10,duplicate,15%,13,7,10398,474,0,0,0,0,
1633299219.640367,1633299219.65309,104,12.722969055175781,dilithium2,10,duplicate,15%,17,5,10662,330,0,0,0,0,
1633299221.106885,1633299221.12659,105,19.70505714416504,dilithium2,10,duplicate,15%,11,4,10250,264,0,0,0,0,
1633299222.483889,1633299222.49983,106,15.94090461730957,dilithium2,10,duplicate,15%,12,6,10316,472,0,0,0,0,
