Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1633234053.150885,1633234053.168104,0,17.218828201293945,dilithium2,10,loss,15%,10,5,7798,330,0,0,0,0,
1633234054.620722,1633234054.631859,1,11.137008666992188,dilithium2,10,loss,15%,10,5,7798,330,0,0,0,0,
1633234055.826906,1633234055.832068,2,5.16200065612793,dilithium2,10,loss,15%,8,6,7666,396,0,0,0,0,
1633234058.298792,1633234058.302513,3,3.720998764038086,dilithium2,10,loss,15%,8,4,7666,264,0,0,0,0,
1633234058.658589,1633234058.666869,4,8.280038833618164,dilithium2,10,loss,15%,8,6,7666,396,0,0,0,0,
1633234060.000632,1633234060.026476,5,25.84385871887207,dilithium2,10,loss,15%,13,0,8008,0,0,0,0,0,
1633234061.342171,1633234061.376961,6,34.7900390625,dilithium2,10,loss,15%,13,0,8008,0,0,0,0,0,
1633234062.625913,1633234062.848661,7,222.7480411529541,dilithium2,10,loss,15%,8,7,7666,1223,0,0,0,0,
1633234063.921534,1633234063.93492,8,13.386011123657227,dilithium2,10,loss,15%,8,4,7666,264,0,0,0,0,
1633234065.26221,1633234065.287697,9,25.487184524536133,dilithium2,10,loss,15%,8,4,7666,264,0,0,0,0,
1633234080.927021,1633234080.930642,10,3.6208629608154297,dilithium2,10,loss,15%,6,5,7534,330,0,0,0,0,
1633234081.122693,1633234081.128481,11,5.787849426269531,dilithium2,10,loss,15%,8,6,7666,396,0,0,0,0,
1633234082.338976,1633234082.346866,12,7.889986038208008,dilithium2,10,loss,15%,9,4,7732,264,0,0,0,0,
1633234083.819973,1633234084.071258,13,251.28507614135742,dilithium2,10,loss,15%,12,0,7942,0,0,0,0,0,
1633234086.394426,1633234086.398098,14,3.671884536743164,dilithium2,10,loss,15%,8,5,7666,330,0,0,0,0,
1633234086.876107,1633234086.883147,15,7.0400238037109375,dilithium2,10,loss,15%,7,5,7600,330,0,0,0,0,
1633234088.291016,1633234088.295582,16,4.565954208374023,dilithium2,10,loss,15%,8,4,7666,264,0,0,0,0,
1633234089.595714,1633234089.606419,17,10.704994201660156,dilithium2,10,loss,15%,8,5,7666,330,0,0,0,0,
1633234091.226145,1633234091.444864,18,218.7190055847168,dilithium2,10,loss,15%,10,4,7798,264,0,0,0,0,
1633234092.628105,1633234093.045688,19,417.5829887390137,dilithium2,10,loss,15%,8,5,7666,330,0,0,0,0,
1633234107.330756,1633234107.54374,20,212.9840850830078,dilithium2,10,loss,15%,8,4,7666,264,0,0,0,0,
