Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1633234107.330752,1633234107.543739,0,212.98718452453613,dilithium2,10,loss,25%,8,4,7666,264,0,0,0,0,
1633234109.790027,1633234109.794058,1,4.031181335449219,dilithium2,10,loss,25%,8,5,7666,330,0,0,0,0,
1633234110.21515,1633234110.226271,2,11.120796203613281,dilithium2,10,loss,25%,8,5,7666,330,0,0,0,0,
1633234111.586355,1633234111.591323,3,4.967927932739258,dilithium2,10,loss,25%,7,4,7600,264,0,0,0,0,
1633234112.951592,1633234113.172025,4,220.43299674987793,dilithium2,10,loss,25%,8,5,7666,330,0,0,0,0,
1633234114.223258,1633234114.232199,5,8.940935134887695,dilithium2,10,loss,25%,9,5,7732,330,0,0,0,0,
1633234115.639818,1633234115.647083,6,7.2650909423828125,dilithium2,10,loss,25%,8,5,7666,330,0,0,0,0,
1633234117.1875,1633234118.667103,7,1479.6030521392822,dilithium2,10,loss,25%,25,5,15926,330,0,0,0,0,
1633234123.100666,1633234123.104292,8,3.6258697509765625,dilithium2,10,loss,25%,8,5,7666,330,0,0,0,0,
1633234135.640449,1633234135.662554,9,22.104978561401367,dilithium2,10,loss,25%,12,0,7942,0,0,0,0,0,
1633234135.942807,1633234135.950845,10,8.038043975830078,dilithium2,10,loss,25%,7,5,7600,330,0,0,0,0,
1633234137.439362,1633234137.675855,11,236.49287223815918,dilithium2,10,loss,25%,13,0,8008,0,0,0,0,0,
1633234138.887808,1633234138.89375,12,5.941867828369141,dilithium2,10,loss,25%,7,5,7600,330,0,0,0,0,
1633234140.137228,1633234140.145566,13,8.337974548339844,dilithium2,10,loss,25%,9,6,7732,408,0,0,0,0,
1633234141.559093,1633234141.564732,14,5.639076232910156,dilithium2,10,loss,25%,8,4,7666,264,0,0,0,0,
1633234142.932682,1633234143.152481,15,219.79904174804688,dilithium2,10,loss,25%,13,0,8008,0,0,0,0,0,
1633234146.180346,1633234146.639856,16,459.51008796691895,dilithium2,10,loss,25%,14,0,8074,0,0,0,0,0,
1633234147.706402,1633234147.738407,17,32.00483322143555,dilithium2,10,loss,25%,10,20,7798,8458,0,0,0,0,
1633234163.449504,1633234163.456125,18,6.621122360229492,dilithium2,10,loss,25%,8,5,7666,330,0,0,0,0,
1633234163.831255,1633234163.839837,19,8.582115173339844,dilithium2,10,loss,25%,7,4,7600,264,0,0,0,0,
1633234165.056528,1633234166.01617,20,959.6419334411621,dilithium2,10,loss,25%,20,0,9231,0,0,0,0,0,
1633234166.421699,1633234166.436282,21,14.58287239074707,dilithium2,10,loss,25%,10,5,7798,330,0,0,0,0,
1633234169.159514,1633234169.589,22,429.4860363006592,dilithium2,10,loss,25%,8,5,7666,330,0,0,0,0,
1633234173.087965,1633234173.484014,23,396.04902267456055,dilithium2,10,loss,25%,19,11,12594,4435,0,0,0,0,
