Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1633233998.159103,1633233998.170972,0,11.869192123413086,dilithium2,10,loss,5%,8,5,7666,330,0,0,0,0,
1633233999.577384,1633233999.582775,1,5.391120910644531,dilithium2,10,loss,5%,8,4,7666,264,0,0,0,0,
1633234001.01161,1633234001.019191,2,7.580995559692383,dilithium2,10,loss,5%,8,4,7666,264,0,0,0,0,
1633234002.550593,1633234002.562588,3,11.995077133178711,dilithium2,10,loss,5%,8,5,7666,330,0,0,0,0,
1633234003.967238,1633234003.970857,4,3.618955612182617,dilithium2,10,loss,5%,8,4,7666,264,0,0,0,0,
1633234005.408315,1633234005.426426,5,18.110990524291992,dilithium2,10,loss,5%,8,5,7666,330,0,0,0,0,
1633234006.840953,1633234006.85019,6,9.236812591552734,dilithium2,10,loss,5%,8,4,7666,264,0,0,0,0,
1633234009.368388,1633234009.374415,7,6.026983261108398,dilithium2,10,loss,5%,8,5,7666,330,0,0,0,0,
1633234009.634683,1633234009.663649,8,28.966188430786133,dilithium2,10,loss,5%,12,4,7930,264,0,0,0,0,
1633234011.09121,1633234011.096912,9,5.702018737792969,dilithium2,10,loss,5%,8,5,7666,330,0,0,0,0,
1633234026.048265,1633234026.061804,10,13.53907585144043,dilithium2,10,loss,5%,8,4,7666,264,0,0,0,0,
1633234027.478027,1633234027.487541,11,9.51385498046875,dilithium2,10,loss,5%,8,5,7666,330,0,0,0,0,
1633234028.875003,1633234028.881301,12,6.297826766967773,dilithium2,10,loss,5%,8,5,7666,330,0,0,0,0,
1633234030.419051,1633234030.427292,13,8.24117660522461,dilithium2,10,loss,5%,7,4,7600,264,0,0,0,0,
1633234031.639468,1633234031.652021,14,12.552976608276367,dilithium2,10,loss,5%,12,5,7930,330,0,0,0,0,
1633234032.962304,1633234032.967243,15,4.938840866088867,dilithium2,10,loss,5%,8,5,7666,330,0,0,0,0,
1633234034.220237,1633234034.228683,16,8.445978164672852,dilithium2,10,loss,5%,8,4,7666,264,0,0,0,0,
1633234035.510391,1633234035.515695,17,5.304098129272461,dilithium2,10,loss,5%,8,5,7666,330,0,0,0,0,
1633234036.797809,1633234036.811628,18,13.819217681884766,dilithium2,10,loss,5%,7,4,7600,264,0,0,0,0,
1633234038.404661,1633234038.410726,19,6.065130233764648,dilithium2,10,loss,5%,8,5,7666,330,0,0,0,0,
1633234053.150887,1633234053.168105,20,17.21787452697754,dilithium2,10,loss,5%,10,5,7798,330,0,0,0,0,
1633234054.620724,1633234054.63186,21,11.136054992675781,dilithium2,10,loss,5%,10,5,7798,330,0,0,0,0,
1633234055.826909,1633234055.832069,22,5.159854888916016,dilithium2,10,loss,5%,8,6,7666,396,0,0,0,0,
1633234058.298796,1633234058.302514,23,3.718137741088867,dilithium2,10,loss,5%,8,4,7666,264,0,0,0,0,
1633234058.658593,1633234058.666871,24,8.278131484985352,dilithium2,10,loss,5%,8,6,7666,396,0,0,0,0,
1633234060.000644,1633234060.026476,25,25.831937789916992,dilithium2,10,loss,5%,13,0,8008,0,0,0,0,0,
1633234061.342173,1633234061.376962,26,34.78884696960449,dilithium2,10,loss,5%,13,0,8008,0,0,0,0,0,
1633234062.625914,1633234062.848662,27,222.747802734375,dilithium2,10,loss,5%,8,7,7666,1223,0,0,0,0,
1633234063.921538,1633234063.934923,28,13.384819030761719,dilithium2,10,loss,5%,8,4,7666,264,0,0,0,0,
1633234065.262211,1633234065.287698,29,25.48694610595703,dilithium2,10,loss,5%,8,4,7666,264,0,0,0,0,
1633234080.927025,1633234080.930646,30,3.6208629608154297,dilithium2,10,loss,5%,6,5,7534,330,0,0,0,0,
1633234081.122694,1633234081.128482,31,5.788087844848633,dilithium2,10,loss,5%,8,6,7666,396,0,0,0,0,
1633234082.338978,1633234082.346867,32,7.889032363891602,dilithium2,10,loss,5%,9,4,7732,264,0,0,0,0,
1633234083.819974,1633234084.071259,33,251.28507614135742,dilithium2,10,loss,5%,12,0,7942,0,0,0,0,0,
1633234086.394429,1633234086.398099,34,3.6699771881103516,dilithium2,10,loss,5%,8,5,7666,330,0,0,0,0,
1633234086.876109,1633234086.883148,35,7.039070129394531,dilithium2,10,loss,5%,7,5,7600,330,0,0,0,0,
1633234088.291018,1633234088.295583,36,4.565000534057617,dilithium2,10,loss,5%,8,4,7666,264,0,0,0,0,
1633234089.595716,1633234089.606421,37,10.704994201660156,dilithium2,10,loss,5%,8,5,7666,330,0,0,0,0,
1633234091.226147,1633234091.444866,38,218.7190055847168,dilithium2,10,loss,5%,10,4,7798,264,0,0,0,0,
1633234092.628106,1633234093.045692,39,417.5858497619629,dilithium2,10,loss,5%,8,5,7666,330,0,0,0,0,
1633234107.330758,1633234107.543742,40,212.9838466644287,dilithium2,10,loss,5%,8,4,7666,264,0,0,0,0,
