Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1633234222.504418,1633234222.518381,0,13.96322250366211,dilithium3,10,loss,0%,10,4,10184,264,0,0,0,0,
1633234224.007974,1633234224.02457,1,16.596078872680664,dilithium3,10,loss,0%,10,4,10184,264,0,0,0,0,
1633234225.267422,1633234225.275051,2,7.629156112670898,dilithium3,10,loss,0%,10,5,10184,330,0,0,0,0,
1633234226.666824,1633234226.672086,3,5.261898040771484,dilithium3,10,loss,0%,10,5,10184,330,0,0,0,0,
1633234228.037017,1633234228.042524,4,5.506992340087891,dilithium3,10,loss,0%,10,4,10184,264,0,0,0,0,
1633234229.419393,1633234229.424601,5,5.208015441894531,dilithium3,10,loss,0%,10,5,10184,330,0,0,0,0,
1633234230.896489,1633234230.906736,6,10.246992111206055,dilithium3,10,loss,0%,10,5,10184,330,0,0,0,0,
1633234232.152438,1633234232.16028,7,7.842063903808594,dilithium3,10,loss,0%,10,5,10184,330,0,0,0,0,
1633234233.671249,1633234233.677792,8,6.543159484863281,dilithium3,10,loss,0%,9,4,10118,264,0,0,0,0,
1633234235.119148,1633234235.133336,9,14.188051223754883,dilithium3,10,loss,0%,10,4,10184,264,0,0,0,0,
1633234249.662532,1633234249.671013,10,8.481025695800781,dilithium3,10,loss,0%,10,4,10184,264,0,0,0,0,
1633234250.916245,1633234250.926501,11,10.256052017211914,dilithium3,10,loss,0%,10,4,10184,264,0,0,0,0,
1633234252.35764,1633234252.363807,12,6.166934967041016,dilithium3,10,loss,0%,10,5,10184,330,0,0,0,0,
1633234253.738737,1633234253.743974,13,5.23686408996582,dilithium3,10,loss,0%,10,4,10184,264,0,0,0,0,
1633234255.181971,1633234255.191608,14,9.636878967285156,dilithium3,10,loss,0%,10,5,10184,330,0,0,0,0,
1633234256.534799,1633234256.540252,15,5.452871322631836,dilithium3,10,loss,0%,10,4,10184,264,0,0,0,0,
1633234257.972466,1633234258.210475,16,238.00897598266602,dilithium3,10,loss,0%,12,5,10316,330,0,0,0,0,
1633234259.383339,1633234259.390098,17,6.759166717529297,dilithium3,10,loss,0%,10,4,10184,264,0,0,0,0,
1633234260.707989,1633234260.928066,18,220.0770378112793,dilithium3,10,loss,0%,10,5,10184,330,0,0,0,0,
1633234261.911854,1633234261.918658,19,6.803989410400391,dilithium3,10,loss,0%,10,4,10184,264,0,0,0,0,
1633234276.414881,1633234276.424284,20,9.402990341186523,dilithium3,10,loss,0%,9,5,10118,330,0,0,0,0,
1633234277.844672,1633234278.07582,21,231.14800453186035,dilithium3,10,loss,0%,10,5,10184,330,0,0,0,0,
1633234279.206608,1633234279.220164,22,13.55600357055664,dilithium3,10,loss,0%,10,4,10184,264,0,0,0,0,
1633234280.679419,1633234280.694411,23,14.991998672485352,dilithium3,10,loss,0%,10,5,10184,330,0,0,0,0,
1633234282.096014,1633234282.102329,24,6.314992904663086,dilithium3,10,loss,0%,10,4,10184,264,0,0,0,0,
1633234283.487518,1633234283.496539,25,9.02104377746582,dilithium3,10,loss,0%,10,4,10184,264,0,0,0,0,
1633234285.097116,1633234285.108291,26,11.174917221069336,dilithium3,10,loss,0%,9,5,10118,330,0,0,0,0,
1633234286.645346,1633234286.652043,27,6.697177886962891,dilithium3,10,loss,0%,10,5,10184,330,0,0,0,0,
1633234289.252215,1633234289.256354,28,4.139184951782227,dilithium3,10,loss,0%,10,4,10184,264,0,0,0,0,
1633234289.699125,1633234289.704592,29,5.466938018798828,dilithium3,10,loss,0%,9,4,10118,264,0,0,0,0,
1633234304.671632,1633234304.68374,30,12.10784912109375,dilithium3,10,loss,0%,10,6,10184,396,0,0,0,0,
1633234306.118239,1633234306.126166,31,7.927179336547852,dilithium3,10,loss,0%,9,4,10118,264,0,0,0,0,
1633234308.651488,1633234308.665431,32,13.942956924438477,dilithium3,10,loss,0%,8,5,10052,330,0,0,0,0,
1633234310.427148,1633234310.431979,33,4.830837249755859,dilithium3,10,loss,0%,9,8,10118,544,0,0,0,0,
1633234311.230652,1633234311.284371,34,53.71880531311035,dilithium3,10,loss,0%,11,15,10767,9981,0,0,0,0,
1633234312.438137,1633234312.463235,35,25.09784698486328,dilithium3,10,loss,0%,15,0,10526,0,0,0,0,0,
1633234315.000942,1633234315.211502,36,210.56008338928223,dilithium3,10,loss,0%,13,3,10382,198,0,0,0,0,
1633234315.326796,1633234315.331445,37,4.648923873901367,dilithium3,10,loss,0%,10,8,10184,528,0,0,0,0,
1633234316.80212,1633234316.815426,38,13.306140899658203,dilithium3,10,loss,0%,12,5,10316,330,0,0,0,0,
1633234331.226095,1633234331.230366,39,4.271030426025391,dilithium3,10,loss,0%,8,4,10052,264,0,0,0,0,
