Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1633234358.569407,1633234359.01096,0,441.55311584472656,dilithium3,10,loss,25%,10,5,10184,330,0,0,0,0,
1633234360.042498,1633234360.047718,1,5.219936370849609,dilithium3,10,loss,25%,10,5,10184,330,0,0,0,0,
1633234361.335533,1633234361.556778,2,221.24505043029785,dilithium3,10,loss,25%,13,4,10382,264,0,0,0,0,
1633234362.755193,1633234362.772277,3,17.084121704101562,dilithium3,10,loss,25%,9,5,10118,330,0,0,0,0,
1633234364.055997,1633234364.06457,4,8.573055267333984,dilithium3,10,loss,25%,10,5,10184,330,0,0,0,0,
1633234365.540356,1633234365.54806,5,7.704019546508789,dilithium3,10,loss,25%,8,6,10052,396,0,0,0,0,
1633234366.98156,1633234366.987268,6,5.707979202270508,dilithium3,10,loss,25%,10,5,10184,330,0,0,0,0,
1633234369.648469,1633234369.671374,7,22.90511131286621,dilithium3,10,loss,25%,8,5,10052,330,0,0,0,0,
1633234371.242629,1633234371.2754,8,32.77087211608887,dilithium3,10,loss,25%,19,15,15667,5649,0,0,0,0,
1633234387.193344,1633234387.197982,9,4.637956619262695,dilithium3,10,loss,25%,9,4,10118,264,0,0,0,0,
1633234387.556594,1633234387.565537,10,8.94308090209961,dilithium3,10,loss,25%,10,5,10184,330,0,0,0,0,
1633234389.120412,1633234389.356059,11,235.64696311950684,dilithium3,10,loss,25%,15,0,10526,0,0,0,0,0,
1633234390.332918,1633234390.551083,12,218.16515922546387,dilithium3,10,loss,25%,10,5,10184,330,0,0,0,0,
1633234392.73617,1633234393.354994,13,618.8240051269531,dilithium3,10,loss,25%,13,11,10915,9892,0,0,0,0,
1633234394.563694,1633234394.888056,14,324.36203956604004,dilithium3,10,loss,25%,8,9,8365,2357,0,0,0,0,
1633234396.454682,1633234396.930314,15,475.6319522857666,dilithium3,10,loss,25%,10,5,10184,330,0,0,0,0,
