Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1633234387.193342,1633234387.19798,0,4.637956619262695,dilithium3,10,loss,30%,9,4,10118,264,0,0,0,0,
1633234387.556592,1633234387.565536,1,8.944034576416016,dilithium3,10,loss,30%,10,5,10184,330,0,0,0,0,
1633234389.12041,1633234389.356058,2,235.64791679382324,dilithium3,10,loss,30%,15,0,10526,0,0,0,0,0,
1633234390.332916,1633234390.551082,3,218.16587448120117,dilithium3,10,loss,30%,10,5,10184,330,0,0,0,0,
1633234392.736167,1633234393.354994,4,618.8271045684814,dilithium3,10,loss,30%,13,11,10915,9892,0,0,0,0,
1633234394.563693,1633234394.888055,5,324.36203956604004,dilithium3,10,loss,30%,8,9,8365,2357,0,0,0,0,
1633234396.454679,1633234396.930313,6,475.6340980529785,dilithium3,10,loss,30%,10,5,10184,330,0,0,0,0,
1633234397.241249,1633234397.252291,7,11.041879653930664,dilithium3,10,loss,30%,8,4,10052,264,0,0,0,0,
1633234398.775612,1633234406.175882,8,7400.269985198975,dilithium3,10,loss,30%,17,0,10658,0,0,0,0,0,
1633234415.259727,1633234415.470196,9,210.46900749206543,dilithium3,10,loss,30%,14,0,10460,0,0,0,0,0,
1633234415.679626,1633234416.606286,10,926.6600608825684,dilithium3,10,loss,30%,16,0,10592,0,0,0,0,0,
1633234417.375942,1633234417.789035,11,413.09309005737305,dilithium3,10,loss,30%,11,7,10250,462,0,0,0,0,
1633234418.721135,1633234420.174337,12,1453.2020092010498,dilithium3,10,loss,30%,11,0,10198,0,0,0,0,0,
1633234420.261131,1633234421.488233,13,1227.1020412445068,dilithium3,10,loss,30%,21,0,11225,0,0,0,0,0,
1633234421.666089,1633234421.671771,14,5.6819915771484375,dilithium3,10,loss,30%,10,4,10184,264,0,0,0,0,
1633234425.121188,1633234425.645677,15,524.489164352417,dilithium3,10,loss,30%,10,5,10184,330,0,0,0,0,
1633234426.074562,1633234426.120442,16,45.87984085083008,dilithium3,10,loss,30%,18,0,10724,0,0,0,0,0,
1633234427.135871,1633234427.14023,17,4.359006881713867,dilithium3,10,loss,30%,9,19,10118,10790,0,0,0,0,
1633234441.701925,1633234442.779655,18,1077.7299404144287,dilithium3,10,loss,30%,12,0,10567,0,0,0,0,0,
1633234443.206593,1633234443.436032,19,229.43902015686035,dilithium3,10,loss,30%,12,7,10316,462,0,0,0,0,
1633234444.705836,1633234444.731632,20,25.795936584472656,dilithium3,10,loss,30%,12,9,10316,594,0,0,0,0,
1633234446.141575,1633234446.581703,21,440.1278495788574,dilithium3,10,loss,30%,13,4,10382,264,0,0,0,0,
1633234448.66477,1633234448.667506,22,2.7360916137695312,dilithium3,10,loss,30%,9,0,10054,0,0,0,0,0,
1633234448.898428,1633234450.096068,23,1197.6399421691895,dilithium3,10,loss,30%,11,11,4219,6821,0,0,0,0,
1633234450.369317,1633234450.448966,24,79.64897155761719,dilithium3,10,loss,30%,16,0,10592,0,0,0,0,0,
1633234453.096771,1633234453.585407,25,488.6360168457031,dilithium3,10,loss,30%,15,0,10765,0,0,0,0,0,
1633234454.872522,1633234458.305941,26,3433.4189891815186,dilithium3,10,loss,30%,15,16,11047,10071,0,0,0,0,
1633234474.904288,1633234474.915913,27,11.625051498413086,dilithium3,10,loss,30%,10,4,13428,264,0,0,0,0,
1633234476.226164,1633234476.231281,28,5.116939544677734,dilithium3,10,loss,30%,10,4,13428,264,0,0,0,0,
1633234477.648951,1633234477.669885,29,20.933866500854492,dilithium3,10,loss,30%,16,5,13824,330,0,0,0,0,
1633234479.089614,1633234479.108236,30,18.622159957885742,dilithium3,10,loss,30%,10,5,13428,330,0,0,0,0,
1633234480.586263,1633234480.61847,31,32.20701217651367,dilithium3,10,loss,30%,10,4,13428,264,0,0,0,0,
1633234482.104012,1633234482.128218,32,24.205923080444336,dilithium3,10,loss,30%,13,4,13626,264,0,0,0,0,
1633234483.531406,1633234483.537001,33,5.594968795776367,dilithium3,10,loss,30%,10,5,13428,330,0,0,0,0,
1633234485.085254,1633234485.091378,34,6.124019622802734,dilithium3,10,loss,30%,10,4,13428,264,0,0,0,0,
