Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1633234441.701923,1633234442.779653,0,1077.7301788330078,dilithium3,10,loss,40%,12,0,10567,0,0,0,0,0,
1633234443.206591,1633234443.436031,1,229.44021224975586,dilithium3,10,loss,40%,12,7,10316,462,0,0,0,0,
1633234444.705833,1633234444.731631,2,25.79808235168457,dilithium3,10,loss,40%,12,9,10316,594,0,0,0,0,
1633234446.141571,1633234446.581702,3,440.13094902038574,dilithium3,10,loss,40%,13,4,10382,264,0,0,0,0,
1633234448.664766,1633234448.667505,4,2.73895263671875,dilithium3,10,loss,40%,9,0,10054,0,0,0,0,0,
1633234448.898425,1633234450.096066,5,1197.6408958435059,dilithium3,10,loss,40%,11,11,4219,6821,0,0,0,0,
1633234450.369315,1633234450.448964,6,79.64920997619629,dilithium3,10,loss,40%,16,0,10592,0,0,0,0,0,
1633234453.096768,1633234453.585407,7,488.63911628723145,dilithium3,10,loss,40%,15,0,10765,0,0,0,0,0,
1633234454.872517,1633234458.30594,8,3433.422803878784,dilithium3,10,loss,40%,15,16,11047,10071,0,0,0,0,
1633234474.904287,1633234474.915912,9,11.624813079833984,dilithium3,10,loss,40%,10,4,13428,264,0,0,0,0,
1633234476.226162,1633234476.23128,10,5.118131637573242,dilithium3,10,loss,40%,10,4,13428,264,0,0,0,0,
1633234477.648948,1633234477.669884,11,20.936012268066406,dilithium3,10,loss,40%,16,5,13824,330,0,0,0,0,
1633234479.089612,1633234479.108234,12,18.62192153930664,dilithium3,10,loss,40%,10,5,13428,330,0,0,0,0,
1633234480.586259,1633234480.618469,13,32.21011161804199,dilithium3,10,loss,40%,10,4,13428,264,0,0,0,0,
1633234482.104011,1633234482.128217,14,24.205923080444336,dilithium3,10,loss,40%,13,4,13626,264,0,0,0,0,
