Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1633234249.66253,1633234249.671013,0,8.483171463012695,dilithium3,10,loss,5%,10,4,10184,264,0,0,0,0,
1633234250.916242,1633234250.926501,1,10.259151458740234,dilithium3,10,loss,5%,10,4,10184,264,0,0,0,0,
1633234252.357639,1633234252.363806,2,6.166934967041016,dilithium3,10,loss,5%,10,5,10184,330,0,0,0,0,
1633234253.738734,1633234253.743974,3,5.239963531494141,dilithium3,10,loss,5%,10,4,10184,264,0,0,0,0,
1633234255.18197,1633234255.191607,4,9.637117385864258,dilithium3,10,loss,5%,10,5,10184,330,0,0,0,0,
1633234256.534797,1633234256.540251,5,5.454063415527344,dilithium3,10,loss,5%,10,4,10184,264,0,0,0,0,
1633234257.972464,1633234258.210474,6,238.00992965698242,dilithium3,10,loss,5%,12,5,10316,330,0,0,0,0,
1633234259.383337,1633234259.390097,7,6.759881973266602,dilithium3,10,loss,5%,10,4,10184,264,0,0,0,0,
1633234260.707987,1633234260.928066,8,220.0789451599121,dilithium3,10,loss,5%,10,5,10184,330,0,0,0,0,
1633234261.911853,1633234261.918657,9,6.803989410400391,dilithium3,10,loss,5%,10,4,10184,264,0,0,0,0,
1633234276.41488,1633234276.424283,10,9.402990341186523,dilithium3,10,loss,5%,9,5,10118,330,0,0,0,0,
1633234277.84467,1633234278.075819,11,231.14895820617676,dilithium3,10,loss,5%,10,5,10184,330,0,0,0,0,
1633234279.206607,1633234279.220163,12,13.55600357055664,dilithium3,10,loss,5%,10,4,10184,264,0,0,0,0,
1633234280.679417,1633234280.69441,13,14.99319076538086,dilithium3,10,loss,5%,10,5,10184,330,0,0,0,0,
1633234282.096013,1633234282.102327,14,6.31403923034668,dilithium3,10,loss,5%,10,4,10184,264,0,0,0,0,
1633234283.487517,1633234283.496539,15,9.021997451782227,dilithium3,10,loss,5%,10,4,10184,264,0,0,0,0,
1633234285.097114,1633234285.10829,16,11.175870895385742,dilithium3,10,loss,5%,9,5,10118,330,0,0,0,0,
1633234286.645345,1633234286.652043,17,6.698131561279297,dilithium3,10,loss,5%,10,5,10184,330,0,0,0,0,
1633234289.252214,1633234289.256354,18,4.140138626098633,dilithium3,10,loss,5%,10,4,10184,264,0,0,0,0,
1633234289.699123,1633234289.704591,19,5.468130111694336,dilithium3,10,loss,5%,9,4,10118,264,0,0,0,0,
1633234304.67163,1633234304.683738,20,12.108087539672852,dilithium3,10,loss,5%,10,6,10184,396,0,0,0,0,
1633234306.118237,1633234306.126165,21,7.927894592285156,dilithium3,10,loss,5%,9,4,10118,264,0,0,0,0,
1633234308.651487,1633234308.66543,22,13.942956924438477,dilithium3,10,loss,5%,8,5,10052,330,0,0,0,0,
1633234310.427147,1633234310.431978,23,4.831075668334961,dilithium3,10,loss,5%,9,8,10118,544,0,0,0,0,
1633234311.230651,1633234311.284369,24,53.71809005737305,dilithium3,10,loss,5%,11,15,10767,9981,0,0,0,0,
1633234312.438136,1633234312.463234,25,25.09784698486328,dilithium3,10,loss,5%,15,0,10526,0,0,0,0,0,
1633234315.00094,1633234315.211502,26,210.56199073791504,dilithium3,10,loss,5%,13,3,10382,198,0,0,0,0,
1633234315.326795,1633234315.331444,27,4.648923873901367,dilithium3,10,loss,5%,10,8,10184,528,0,0,0,0,
1633234316.802119,1633234316.815425,28,13.305902481079102,dilithium3,10,loss,5%,12,5,10316,330,0,0,0,0,
1633234331.226094,1633234331.230365,29,4.271030426025391,dilithium3,10,loss,5%,8,4,10052,264,0,0,0,0,
1633234332.663245,1633234332.667263,30,4.018068313598633,dilithium3,10,loss,5%,8,5,10052,330,0,0,0,0,
1633234334.247749,1633234334.257934,31,10.185003280639648,dilithium3,10,loss,5%,9,6,10118,408,0,0,0,0,
1633234335.61556,1633234335.627866,32,12.305974960327148,dilithium3,10,loss,5%,9,5,10118,330,0,0,0,0,
1633234336.960645,1633234336.968854,33,8.208990097045898,dilithium3,10,loss,5%,10,5,10184,330,0,0,0,0,
1633234338.348435,1633234338.56288,34,214.4451141357422,dilithium3,10,loss,5%,10,4,10184,264,0,0,0,0,
1633234339.665347,1633234339.669823,35,4.475831985473633,dilithium3,10,loss,5%,8,5,10052,330,0,0,0,0,
1633234341.109809,1633234341.119192,36,9.382963180541992,dilithium3,10,loss,5%,9,4,10118,264,0,0,0,0,
1633234342.573945,1633234342.57956,37,5.614995956420898,dilithium3,10,loss,5%,9,6,10118,408,0,0,0,0,
1633234343.914026,1633234344.132012,38,217.9858684539795,dilithium3,10,loss,5%,10,6,10184,408,0,0,0,0,
1633234358.569413,1633234359.010963,39,441.55001640319824,dilithium3,10,loss,5%,10,5,10184,330,0,0,0,0,
1633234360.042502,1633234360.047724,40,5.222082138061523,dilithium3,10,loss,5%,10,5,10184,330,0,0,0,0,
1633234361.335538,1633234361.55678,41,221.24218940734863,dilithium3,10,loss,5%,13,4,10382,264,0,0,0,0,
1633234362.7552,1633234362.772281,42,17.081022262573242,dilithium3,10,loss,5%,9,5,10118,330,0,0,0,0,
1633234364.056004,1633234364.064572,43,8.568048477172852,dilithium3,10,loss,5%,10,5,10184,330,0,0,0,0,
1633234365.540359,1633234365.548062,44,7.703065872192383,dilithium3,10,loss,5%,8,6,10052,396,0,0,0,0,
1633234366.981564,1633234366.98727,45,5.706071853637695,dilithium3,10,loss,5%,10,5,10184,330,0,0,0,0,
1633234369.648476,1633234369.671376,46,22.900104522705078,dilithium3,10,loss,5%,8,5,10052,330,0,0,0,0,
1633234371.242633,1633234371.275405,47,32.77182579040527,dilithium3,10,loss,5%,19,15,15667,5649,0,0,0,0,
1633234387.193351,1633234387.19799,48,4.638910293579102,dilithium3,10,loss,5%,9,4,10118,264,0,0,0,0,
1633234387.556601,1633234387.565539,49,8.937835693359375,dilithium3,10,loss,5%,10,5,10184,330,0,0,0,0,
1633234389.120418,1633234389.356066,50,235.64791679382324,dilithium3,10,loss,5%,15,0,10526,0,0,0,0,0,
1633234390.332922,1633234390.551086,51,218.16396713256836,dilithium3,10,loss,5%,10,5,10184,330,0,0,0,0,
1633234392.736178,1633234393.354996,52,618.8180446624756,dilithium3,10,loss,5%,13,11,10915,9892,0,0,0,0,
1633234394.563699,1633234394.888059,53,324.3598937988281,dilithium3,10,loss,5%,8,9,8365,2357,0,0,0,0,
1633234396.454692,1633234396.930317,54,475.62503814697266,dilithium3,10,loss,5%,10,5,10184,330,0,0,0,0,
1633234397.241253,1633234397.252295,55,11.042118072509766,dilithium3,10,loss,5%,8,4,10052,264,0,0,0,0,
1633234398.775618,1633234406.175891,56,7400.272846221924,dilithium3,10,loss,5%,17,0,10658,0,0,0,0,0,
1633234415.259738,1633234415.4702,57,210.46209335327148,dilithium3,10,loss,5%,14,0,10460,0,0,0,0,0,
1633234415.679635,1633234416.606295,58,926.6600608825684,dilithium3,10,loss,5%,16,0,10592,0,0,0,0,0,
1633234417.375947,1633234417.789038,59,413.09094429016113,dilithium3,10,loss,5%,11,7,10250,462,0,0,0,0,
1633234418.721138,1633234420.174346,60,1453.2079696655273,dilithium3,10,loss,5%,11,0,10198,0,0,0,0,0,
1633234420.26114,1633234421.488235,61,1227.0948886871338,dilithium3,10,loss,5%,21,0,11225,0,0,0,0,0,
1633234421.666099,1633234421.671773,62,5.673885345458984,dilithium3,10,loss,5%,10,4,10184,264,0,0,0,0,
1633234425.121194,1633234425.64568,63,524.4860649108887,dilithium3,10,loss,5%,10,5,10184,330,0,0,0,0,
1633234426.074573,1633234426.120443,64,45.870065689086914,dilithium3,10,loss,5%,18,0,10724,0,0,0,0,0,
1633234427.135878,1633234427.140232,65,4.354000091552734,dilithium3,10,loss,5%,9,19,10118,10790,0,0,0,0,
