Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1633299465.933244,1633299465.949955,0,16.710996627807617,dilithium5,10,duplicate,20%,10,4,13428,264,0,0,0,0,
1633299467.311648,1633299467.319873,1,8.225202560424805,dilithium5,10,duplicate,20%,12,5,13560,330,0,0,0,0,
1633299468.790255,1633299468.80348,2,13.22484016418457,dilithium5,10,duplicate,20%,13,7,13642,538,0,0,0,0,
1633299470.503922,1633299470.515352,3,11.430025100708008,dilithium5,10,duplicate,20%,15,5,13758,330,0,0,0,0,
1633299471.775244,1633299471.815997,4,40.75288772583008,dilithium5,10,duplicate,20%,17,4,13906,264,0,0,0,0,
1633299473.119524,1633299473.130768,5,11.244058609008789,dilithium5,10,duplicate,20%,11,4,13494,264,0,0,0,0,
1633299474.465623,1633299474.487403,6,21.780014038085938,dilithium5,10,duplicate,20%,19,5,14038,330,0,0,0,0,
1633299475.822174,1633299475.828402,7,6.227970123291016,dilithium5,10,duplicate,20%,13,4,14155,264,0,0,0,0,
1633299477.231342,1633299477.284745,8,53.40290069580078,dilithium5,10,duplicate,20%,15,5,13758,330,0,0,0,0,
1633299478.758134,1633299478.775759,9,17.625093460083008,dilithium5,10,duplicate,20%,20,6,14104,472,0,0,0,0,
1633299493.333692,1633299493.371216,10,37.52398490905762,dilithium5,10,duplicate,20%,18,4,13972,264,0,0,0,0,
1633299494.690627,1633299494.698353,11,7.725954055786133,dilithium5,10,duplicate,20%,11,6,13494,396,0,0,0,0,
1633299496.123587,1633299496.131701,12,8.114099502563477,dilithium5,10,duplicate,20%,11,7,13494,474,0,0,0,0,
1633299497.402306,1633299497.41174,13,9.433984756469727,dilithium5,10,duplicate,20%,13,8,14155,604,0,0,0,0,
1633299498.754612,1633299498.760387,14,5.774974822998047,dilithium5,10,duplicate,20%,16,7,14369,474,0,0,0,0,
1633299500.10685,1633299500.135336,15,28.486013412475586,dilithium5,10,duplicate,20%,20,5,14617,330,0,0,0,0,
1633299501.625081,1633299501.636368,16,11.28697395324707,dilithium5,10,duplicate,20%,13,5,13626,330,0,0,0,0,
1633299503.267556,1633299503.279373,17,11.816978454589844,dilithium5,10,duplicate,20%,12,4,13560,264,0,0,0,0,
1633299504.691795,1633299504.724865,18,33.06984901428223,dilithium5,10,duplicate,20%,17,6,13890,472,0,0,0,0,
1633299506.274219,1633299506.287882,19,13.663053512573242,dilithium5,10,duplicate,20%,16,7,13824,474,0,0,0,0,
1633299520.829343,1633299520.839997,20,10.653972625732422,dilithium5,10,duplicate,20%,23,6,14831,396,0,0,0,0,
1633299522.268828,1633299522.280614,21,11.78598403930664,dilithium5,10,duplicate,20%,15,4,13774,264,0,0,0,0,
1633299523.730829,1633299523.74551,22,14.681100845336914,dilithium5,10,duplicate,20%,16,5,13824,330,0,0,0,0,
1633299525.230578,1633299525.235654,23,5.076169967651367,dilithium5,10,duplicate,20%,10,7,13428,538,0,0,0,0,
1633299526.748088,1633299526.775262,24,27.17423439025879,dilithium5,10,duplicate,20%,13,4,13642,264,0,0,0,0,
1633299528.322041,1633299528.32888,25,6.83903694152832,dilithium5,10,duplicate,20%,14,6,14221,472,0,0,0,0,
1633299529.759217,1633299529.823696,26,64.47887420654297,dilithium5,10,duplicate,20%,18,4,13956,264,0,0,0,0,
1633299531.25675,1633299531.284213,27,27.46295928955078,dilithium5,10,duplicate,20%,18,7,13956,538,0,0,0,0,
1633299532.762052,1633299532.784465,28,22.413015365600586,dilithium5,10,duplicate,20%,18,5,13956,330,0,0,0,0,
1633299534.254788,1633299534.258891,29,4.103183746337891,dilithium5,10,duplicate,20%,13,7,13642,538,0,0,0,0,
1633299548.893504,1633299548.904492,30,10.987997055053711,dilithium5,10,duplicate,20%,13,4,14155,264,0,0,0,0,
1633299550.236328,1633299550.276012,31,39.68405723571777,dilithium5,10,duplicate,20%,24,6,14897,472,0,0,0,0,
1633299551.706959,1633299551.753134,32,46.17500305175781,dilithium5,10,duplicate,20%,20,7,14104,538,0,0,0,0,
1633299553.26352,1633299553.271131,33,7.61103630065918,dilithium5,10,duplicate,20%,11,4,14023,264,0,0,0,0,
1633299554.596749,1633299554.607178,34,10.428905487060547,dilithium5,10,duplicate,20%,16,5,14353,330,0,0,0,0,
1633299556.17101,1633299556.200764,35,29.753923416137695,dilithium5,10,duplicate,20%,21,8,14170,604,0,0,0,0,
1633299557.775834,1633299557.792075,36,16.240835189819336,dilithium5,10,duplicate,20%,15,5,14287,330,0,0,0,0,
1633299559.244423,1633299559.272305,37,27.882099151611328,dilithium5,10,duplicate,20%,19,9,14551,682,0,0,0,0,
1633299560.855424,1633299560.87927,38,23.846149444580078,dilithium5,10,duplicate,20%,14,4,13692,264,0,0,0,0,
1633299562.243538,1633299562.254717,39,11.179208755493164,dilithium5,10,duplicate,20%,14,7,14221,538,0,0,0,0,
1633299576.768123,1633299576.775686,40,7.563114166259766,dilithium5,10,duplicate,20%,11,4,13494,264,0,0,0,0,
