Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1633299493.333691,1633299493.371216,0,37.525177001953125,dilithium5,10,duplicate,25%,18,4,13972,264,0,0,0,0,
1633299494.690625,1633299494.698353,1,7.728099822998047,dilithium5,10,duplicate,25%,11,6,13494,396,0,0,0,0,
1633299496.123586,1633299496.1317,2,8.114099502563477,dilithium5,10,duplicate,25%,11,7,13494,474,0,0,0,0,
1633299497.402304,1633299497.41174,3,9.43613052368164,dilithium5,10,duplicate,25%,13,8,14155,604,0,0,0,0,
1633299498.75461,1633299498.760386,4,5.775928497314453,dilithium5,10,duplicate,25%,16,7,14369,474,0,0,0,0,
1633299500.106848,1633299500.135335,5,28.486967086791992,dilithium5,10,duplicate,25%,20,5,14617,330,0,0,0,0,
1633299501.625079,1633299501.636367,6,11.288166046142578,dilithium5,10,duplicate,25%,13,5,13626,330,0,0,0,0,
1633299503.267556,1633299503.279373,7,11.816978454589844,dilithium5,10,duplicate,25%,12,4,13560,264,0,0,0,0,
1633299504.691793,1633299504.724864,8,33.071041107177734,dilithium5,10,duplicate,25%,17,6,13890,472,0,0,0,0,
1633299506.274217,1633299506.287882,9,13.665199279785156,dilithium5,10,duplicate,25%,16,7,13824,474,0,0,0,0,
1633299520.829342,1633299520.839996,10,10.654211044311523,dilithium5,10,duplicate,25%,23,6,14831,396,0,0,0,0,
1633299522.268826,1633299522.280612,11,11.78598403930664,dilithium5,10,duplicate,25%,15,4,13774,264,0,0,0,0,
1633299523.730828,1633299523.745509,12,14.680862426757812,dilithium5,10,duplicate,25%,16,5,13824,330,0,0,0,0,
1633299525.230577,1633299525.235654,13,5.077123641967773,dilithium5,10,duplicate,25%,10,7,13428,538,0,0,0,0,
1633299526.748086,1633299526.775261,14,27.174949645996094,dilithium5,10,duplicate,25%,13,4,13642,264,0,0,0,0,
1633299528.32204,1633299528.32888,15,6.839990615844727,dilithium5,10,duplicate,25%,14,6,14221,472,0,0,0,0,
1633299529.759216,1633299529.823696,16,64.47982788085938,dilithium5,10,duplicate,25%,18,4,13956,264,0,0,0,0,
1633299531.256749,1633299531.284212,17,27.463197708129883,dilithium5,10,duplicate,25%,18,7,13956,538,0,0,0,0,
1633299532.76205,1633299532.784465,18,22.4151611328125,dilithium5,10,duplicate,25%,18,5,13956,330,0,0,0,0,
1633299534.254786,1633299534.258891,19,4.105091094970703,dilithium5,10,duplicate,25%,13,7,13642,538,0,0,0,0,
1633299548.893502,1633299548.904492,20,10.989904403686523,dilithium5,10,duplicate,25%,13,4,14155,264,0,0,0,0,
1633299550.236327,1633299550.276012,21,39.68501091003418,dilithium5,10,duplicate,25%,24,6,14897,472,0,0,0,0,
1633299551.706957,1633299551.753133,22,46.17595672607422,dilithium5,10,duplicate,25%,20,7,14104,538,0,0,0,0,
1633299553.263519,1633299553.27113,23,7.61103630065918,dilithium5,10,duplicate,25%,11,4,14023,264,0,0,0,0,
1633299554.596748,1633299554.607177,24,10.428905487060547,dilithium5,10,duplicate,25%,16,5,14353,330,0,0,0,0,
1633299556.171008,1633299556.200763,25,29.7548770904541,dilithium5,10,duplicate,25%,21,8,14170,604,0,0,0,0,
1633299557.775832,1633299557.792075,26,16.24298095703125,dilithium5,10,duplicate,25%,15,5,14287,330,0,0,0,0,
1633299559.244421,1633299559.272304,27,27.883052825927734,dilithium5,10,duplicate,25%,19,9,14551,682,0,0,0,0,
1633299560.855423,1633299560.87927,28,23.847103118896484,dilithium5,10,duplicate,25%,14,4,13692,264,0,0,0,0,
1633299562.243537,1633299562.254716,29,11.178970336914062,dilithium5,10,duplicate,25%,14,7,14221,538,0,0,0,0,
1633299576.768121,1633299576.775686,30,7.565021514892578,dilithium5,10,duplicate,25%,11,4,13494,264,0,0,0,0,
1633299578.28802,1633299578.302792,31,14.772176742553711,dilithium5,10,duplicate,25%,19,7,14551,474,0,0,0,0,
1633299579.7596,1633299579.765931,32,6.330966949462891,dilithium5,10,duplicate,25%,16,7,13840,538,0,0,0,0,
1633299581.11468,1633299581.125181,33,10.500907897949219,dilithium5,10,duplicate,25%,14,5,13708,330,0,0,0,0,
1633299582.74715,1633299582.774348,34,27.198076248168945,dilithium5,10,duplicate,25%,20,5,14088,330,0,0,0,0,
1633299584.326778,1633299584.33529,35,8.512020111083984,dilithium5,10,duplicate,25%,20,5,14088,330,0,0,0,0,
1633299585.723485,1633299585.727579,36,4.094123840332031,dilithium5,10,duplicate,25%,18,9,14501,682,0,0,0,0,
1633299587.231736,1633299587.239069,37,7.333040237426758,dilithium5,10,duplicate,25%,20,9,14104,682,0,0,0,0,
1633299588.571654,1633299588.576656,38,5.002021789550781,dilithium5,10,duplicate,25%,11,8,13494,540,0,0,0,0,
1633299589.80975,1633299589.826656,39,16.906023025512695,dilithium5,10,duplicate,25%,17,8,13890,604,0,0,0,0,
1633299610.614399,1633299610.624655,40,10.256052017211914,dilithium5,10,duplicate,25%,8,5,3711,330,0,0,0,0,
1633299612.075407,1633299612.092759,41,17.351865768432617,dilithium5,10,duplicate,25%,8,4,3715,264,0,0,0,0,
1633299613.351446,1633299613.364748,42,13.302087783813477,dilithium5,10,duplicate,25%,8,4,3708,264,0,0,0,0,
1633299614.96326,1633299614.982713,43,19.453048706054688,dilithium5,10,duplicate,25%,8,5,3709,330,0,0,0,0,
1633299616.436136,1633299616.459295,44,23.159027099609375,dilithium5,10,duplicate,25%,8,5,3708,330,0,0,0,0,
1633299617.802924,1633299617.810404,45,7.480144500732422,dilithium5,10,duplicate,25%,8,5,3705,330,0,0,0,0,
1633299619.425859,1633299619.438199,46,12.340068817138672,dilithium5,10,duplicate,25%,8,4,3706,264,0,0,0,0,
1633299620.888234,1633299620.911009,47,22.77517318725586,dilithium5,10,duplicate,25%,8,4,3708,264,0,0,0,0,
1633299622.183706,1633299622.215462,48,31.755924224853516,dilithium5,10,duplicate,25%,8,4,3711,264,0,0,0,0,
1633299623.711496,1633299623.723603,49,12.106895446777344,dilithium5,10,duplicate,25%,8,5,3712,330,0,0,0,0,
1633299638.32005,1633299638.331412,50,11.362075805664062,dilithium5,10,duplicate,25%,8,7,3706,538,0,0,0,0,
1633299639.631197,1633299639.643302,51,12.104988098144531,dilithium5,10,duplicate,25%,8,5,3704,330,0,0,0,0,
1633299641.002825,1633299641.013525,52,10.699987411499023,dilithium5,10,duplicate,25%,8,5,3707,330,0,0,0,0,
1633299642.732272,1633299642.74391,53,11.638164520263672,dilithium5,10,duplicate,25%,8,6,3706,472,0,0,0,0,
1633299644.130758,1633299644.141337,54,10.57887077331543,dilithium5,10,duplicate,25%,8,5,3706,330,0,0,0,0,
1633299645.646421,1633299645.659809,55,13.38815689086914,dilithium5,10,duplicate,25%,8,5,3712,330,0,0,0,0,
1633299647.044179,1633299647.056614,56,12.434959411621094,dilithium5,10,duplicate,25%,8,6,3707,396,0,0,0,0,
1633299648.399452,1633299648.425759,57,26.307106018066406,dilithium5,10,duplicate,25%,8,7,3707,538,0,0,0,0,
1633299649.861681,1633299649.871073,58,9.392023086547852,dilithium5,10,duplicate,25%,8,4,3707,264,0,0,0,0,
1633299651.458501,1633299651.485561,59,27.05979347229004,dilithium5,10,duplicate,25%,8,5,3711,330,0,0,0,0,
1633299666.07984,1633299666.100252,60,20.411968231201172,dilithium5,10,duplicate,25%,8,5,3707,330,0,0,0,0,
1633299667.460995,1633299667.476938,61,15.943050384521484,dilithium5,10,duplicate,25%,12,4,3985,264,0,0,0,0,
1633299668.892189,1633299668.913246,62,21.0568904876709,dilithium5,10,duplicate,25%,8,7,3711,474,0,0,0,0,
1633299670.453088,1633299670.473756,63,20.66802978515625,dilithium5,10,duplicate,25%,11,4,3921,264,0,0,0,0,
1633299671.776098,1633299671.784779,64,8.681058883666992,dilithium5,10,duplicate,25%,8,4,3705,264,0,0,0,0,
1633299673.000319,1633299673.012084,65,11.765003204345703,dilithium5,10,duplicate,25%,9,5,3774,330,0,0,0,0,
1633299674.33083,1633299674.348638,66,17.807960510253906,dilithium5,10,duplicate,25%,9,5,3776,330,0,0,0,0,
1633299675.775241,1633299675.787786,67,12.545108795166016,dilithium5,10,duplicate,25%,8,5,3708,330,0,0,0,0,
1633299677.157678,1633299677.199214,68,41.53609275817871,dilithium5,10,duplicate,25%,11,5,3918,330,0,0,0,0,
1633299678.387446,1633299678.406481,69,19.03510093688965,dilithium5,10,duplicate,25%,8,5,3705,330,0,0,0,0,
1633299692.850822,1633299692.872993,70,22.1710205078125,dilithium5,10,duplicate,25%,8,4,3709,264,0,0,0,0,
1633299694.219048,1633299694.226847,71,7.798910140991211,dilithium5,10,duplicate,25%,9,4,3776,264,0,0,0,0,
1633299695.716846,1633299695.736123,72,19.277095794677734,dilithium5,10,duplicate,25%,8,4,3707,264,0,0,0,0,
1633299697.221123,1633299697.240101,73,18.978118896484375,dilithium5,10,duplicate,25%,8,4,3711,264,0,0,0,0,
1633299698.502847,1633299698.510582,74,7.735013961791992,dilithium5,10,duplicate,25%,8,7,3711,474,0,0,0,0,
1633299700.006113,1633299700.020936,75,14.822959899902344,dilithium5,10,duplicate,25%,12,5,3986,330,0,0,0,0,
1633299701.380277,1633299701.388976,76,8.699178695678711,dilithium5,10,duplicate,25%,9,5,3774,330,0,0,0,0,
1633299702.765607,1633299702.783667,77,18.059968948364258,dilithium5,10,duplicate,25%,11,5,3920,330,0,0,0,0,
1633299704.222833,1633299704.23602,78,13.187170028686523,dilithium5,10,duplicate,25%,8,6,3705,396,0,0,0,0,
1633299705.531637,1633299705.538965,79,7.328033447265625,dilithium5,10,duplicate,25%,8,5,3705,330,0,0,0,0,
1633299720.128338,1633299720.140044,80,11.705875396728516,dilithium5,10,duplicate,25%,8,4,3704,264,0,0,0,0,
1633299721.340105,1633299721.349833,81,9.727954864501953,dilithium5,10,duplicate,25%,8,4,3706,264,0,0,0,0,
1633299722.64475,1633299722.672274,82,27.52399444580078,dilithium5,10,duplicate,25%,8,4,3707,264,0,0,0,0,
1633299723.964369,1633299723.974788,83,10.418891906738281,dilithium5,10,duplicate,25%,11,7,3923,538,0,0,0,0,
1633299725.323767,1633299725.337373,84,13.606071472167969,dilithium5,10,duplicate,25%,8,7,3707,538,0,0,0,0,
1633299726.562622,1633299726.571443,85,8.82101058959961,dilithium5,10,duplicate,25%,9,5,3771,330,0,0,0,0,
1633299728.15164,1633299728.171038,86,19.397974014282227,dilithium5,10,duplicate,25%,11,5,4433,330,0,0,0,0,
1633299729.643397,1633299729.655188,87,11.790990829467773,dilithium5,10,duplicate,25%,13,5,4053,330,0,0,0,0,
1633299731.114793,1633299731.124063,88,9.269952774047852,dilithium5,10,duplicate,25%,8,4,3704,264,0,0,0,0,
1633299732.386742,1633299732.394172,89,7.429838180541992,dilithium5,10,duplicate,25%,9,5,3773,330,0,0,0,0,
1633299747.123903,1633299747.132346,90,8.442878723144531,dilithium5,10,duplicate,25%,10,7,4371,538,0,0,0,0,
1633299748.560832,1633299748.57912,91,18.28789710998535,dilithium5,10,duplicate,25%,12,5,3985,330,0,0,0,0,
1633299749.964363,1633299749.974911,92,10.547876358032227,dilithium5,10,duplicate,25%,8,5,3711,330,0,0,0,0,
1633299751.339921,1633299751.350396,93,10.474920272827148,dilithium5,10,duplicate,25%,8,8,3711,604,0,0,0,0,
1633299752.749772,1633299752.759596,94,9.824037551879883,dilithium5,10,duplicate,25%,9,8,3772,540,0,0,0,0,
1633299754.3112,1633299754.328835,95,17.635107040405273,dilithium5,10,duplicate,25%,8,7,3709,474,0,0,0,0,
1633299755.791594,1633299755.812162,96,20.567893981933594,dilithium5,10,duplicate,25%,13,6,4056,472,0,0,0,0,
1633299757.214667,1633299757.224024,97,9.356975555419922,dilithium5,10,duplicate,25%,13,7,4047,538,0,0,0,0,
1633299758.839047,1633299758.850181,98,11.134147644042969,dilithium5,10,duplicate,25%,8,6,3708,396,0,0,0,0,
1633299760.135247,1633299760.151249,99,16.00193977355957,dilithium5,10,duplicate,25%,8,5,3707,330,0,0,0,0,
1633299774.849138,1633299774.868581,100,19.443035125732422,dilithium5,10,duplicate,25%,10,5,4367,330,0,0,0,0,
1633299776.122501,1633299776.134083,101,11.582136154174805,dilithium5,10,duplicate,25%,8,5,3707,330,0,0,0,0,
1633299777.583078,1633299777.613532,102,30.454158782958984,dilithium5,10,duplicate,25%,12,5,4502,330,0,0,0,0,
1633299778.811256,1633299778.827718,103,16.462087631225586,dilithium5,10,duplicate,25%,11,7,4434,538,0,0,0,0,
1633299780.294543,1633299780.310079,104,15.536069869995117,dilithium5,10,duplicate,25%,8,4,3709,264,0,0,0,0,
1633299781.738207,1633299781.76324,105,25.032997131347656,dilithium5,10,duplicate,25%,12,5,4501,330,0,0,0,0,
1633299783.10814,1633299783.122613,106,14.47296142578125,dilithium5,10,duplicate,25%,8,4,3711,264,0,0,0,0,
1633299784.551777,1633299784.562982,107,11.205196380615234,dilithium5,10,duplicate,25%,8,7,3705,538,0,0,0,0,
1633299786.053577,1633299786.072697,108,19.119977951049805,dilithium5,10,duplicate,25%,10,5,4367,330,0,0,0,0,
1633299787.552502,1633299787.567933,109,15.43116569519043,dilithium5,10,duplicate,25%,9,4,3777,264,0,0,0,0,
1633299802.011863,1633299802.039812,110,27.949094772338867,dilithium5,10,duplicate,25%,11,4,4437,264,0,0,0,0,
1633299803.355354,1633299803.371838,111,16.48402214050293,dilithium5,10,duplicate,25%,11,7,4433,538,0,0,0,0,
1633299804.935118,1633299804.948304,112,13.185977935791016,dilithium5,10,duplicate,25%,10,4,4373,264,0,0,0,0,
1633299806.196049,1633299806.210517,113,14.467954635620117,dilithium5,10,duplicate,25%,10,10,3842,748,0,0,0,0,
1633299807.526237,1633299807.535299,114,9.062051773071289,dilithium5,10,duplicate,25%,9,7,3774,474,0,0,0,0,
1633299809.036106,1633299809.044546,115,8.439779281616211,dilithium5,10,duplicate,25%,14,5,4652,330,0,0,0,0,
1633299810.359135,1633299810.370355,116,11.219978332519531,dilithium5,10,duplicate,25%,12,5,4505,330,0,0,0,0,
1633299811.751688,1633299811.767348,117,15.66004753112793,dilithium5,10,duplicate,25%,13,6,4055,396,0,0,0,0,
1633299813.217737,1633299813.233906,118,16.169071197509766,dilithium5,10,duplicate,25%,12,6,3986,408,0,0,0,0,
1633299814.791955,1633299814.800144,119,8.188962936401367,dilithium5,10,duplicate,25%,11,6,4435,396,0,0,0,0,
1633299829.312824,1633299829.329706,120,16.881942749023438,dilithium5,10,duplicate,25%,11,7,4435,538,0,0,0,0,
1633299830.707664,1633299830.73501,121,27.345895767211914,dilithium5,10,duplicate,25%,12,6,4497,396,0,0,0,0,
1633299832.070127,1633299832.08059,122,10.46299934387207,dilithium5,10,duplicate,25%,14,8,4647,540,0,0,0,0,
1633299833.316852,1633299833.325231,123,8.378982543945312,dilithium5,10,duplicate,25%,11,6,3916,472,0,0,0,0,
1633299834.636025,1633299834.652093,124,16.067981719970703,dilithium5,10,duplicate,25%,9,4,3771,264,0,0,0,0,
1633299836.084111,1633299836.096742,125,12.630939483642578,dilithium5,10,duplicate,25%,9,4,3771,264,0,0,0,0,
1633299837.326951,1633299837.338401,126,11.450052261352539,dilithium5,10,duplicate,25%,8,8,3705,604,0,0,0,0,
1633299838.702323,1633299838.714448,127,12.125015258789062,dilithium5,10,duplicate,25%,10,7,4367,474,0,0,0,0,
1633299840.111583,1633299840.122162,128,10.579109191894531,dilithium5,10,duplicate,25%,9,6,3775,396,0,0,0,0,
1633299841.363032,1633299841.372168,129,9.135961532592773,dilithium5,10,duplicate,25%,12,7,3989,474,0,0,0,0,
1633299862.379523,1633299862.411544,130,32.02104568481445,dilithium5,10,duplicate,25%,8,7,5837,842,0,0,0,0,
1633299863.853532,1633299863.876925,131,23.392915725708008,dilithium5,10,duplicate,25%,8,4,5835,264,0,0,0,0,
1633299865.209666,1633299865.227285,132,17.618894577026367,dilithium5,10,duplicate,25%,8,4,5832,264,0,0,0,0,
1633299866.730326,1633299866.747787,133,17.461061477661133,dilithium5,10,duplicate,25%,8,5,5837,330,0,0,0,0,
1633299868.115681,1633299868.132625,134,16.944169998168945,dilithium5,10,duplicate,25%,8,5,5836,330,0,0,0,0,
1633299869.40956,1633299869.430045,135,20.48492431640625,dilithium5,10,duplicate,25%,10,5,5963,330,0,0,0,0,
1633299870.716418,1633299870.742793,136,26.37505531311035,dilithium5,10,duplicate,25%,8,5,5834,330,0,0,0,0,
1633299872.070184,1633299872.087082,137,16.897916793823242,dilithium5,10,duplicate,25%,8,5,5835,330,0,0,0,0,
1633299873.25826,1633299873.270946,138,12.686014175415039,dilithium5,10,duplicate,25%,8,5,5835,330,0,0,0,0,
1633299874.703488,1633299874.723565,139,20.076990127563477,dilithium5,10,duplicate,25%,10,4,5966,264,0,0,0,0,
1633299889.107675,1633299889.127109,140,19.433975219726562,dilithium5,10,duplicate,25%,10,5,5960,330,0,0,0,0,
1633299890.630778,1633299890.652477,141,21.698951721191406,dilithium5,10,duplicate,25%,10,5,5968,330,0,0,0,0,
1633299892.230495,1633299892.262559,142,32.063961029052734,dilithium5,10,duplicate,25%,10,6,5970,472,0,0,0,0,
1633299893.46667,1633299893.493818,143,27.148008346557617,dilithium5,10,duplicate,25%,8,4,5835,264,0,0,0,0,
1633299895.152264,1633299895.182848,144,30.583858489990234,dilithium5,10,duplicate,25%,10,4,5963,264,0,0,0,0,
1633299896.725612,1633299896.760192,145,34.57999229431152,dilithium5,10,duplicate,25%,10,5,5965,330,0,0,0,0,
1633299898.300051,1633299898.32363,146,23.579120635986328,dilithium5,10,duplicate,25%,8,4,5832,264,0,0,0,0,
1633299899.758297,1633299899.780382,147,22.084951400756836,dilithium5,10,duplicate,25%,8,5,5836,330,0,0,0,0,
1633299901.267901,1633299901.295629,148,27.72808074951172,dilithium5,10,duplicate,25%,8,4,5837,264,0,0,0,0,
1633299902.590928,1633299902.603538,149,12.60995864868164,dilithium5,10,duplicate,25%,8,6,5833,396,0,0,0,0,
1633299917.178557,1633299917.203784,150,25.227069854736328,dilithium5,10,duplicate,25%,8,4,5829,264,0,0,0,0,
1633299918.630502,1633299918.663886,151,33.384084701538086,dilithium5,10,duplicate,25%,12,4,6101,264,0,0,0,0,
1633299919.94475,1633299919.972493,152,27.742862701416016,dilithium5,10,duplicate,25%,10,4,5964,264,0,0,0,0,
1633299921.227708,1633299921.256787,153,29.078960418701172,dilithium5,10,duplicate,25%,10,6,5964,472,0,0,0,0,
1633299922.613574,1633299922.630163,154,16.588926315307617,dilithium5,10,duplicate,25%,8,5,5836,330,0,0,0,0,
1633299924.141187,1633299924.164801,155,23.613929748535156,dilithium5,10,duplicate,25%,8,5,5827,330,0,0,0,0,
1633299925.484414,1633299925.499796,156,15.381813049316406,dilithium5,10,duplicate,25%,8,5,5833,330,0,0,0,0,
1633299926.951924,1633299926.970954,157,19.029855728149414,dilithium5,10,duplicate,25%,8,4,5833,264,0,0,0,0,
1633299928.331703,1633299928.356207,158,24.50394630432129,dilithium5,10,duplicate,25%,8,5,5834,330,0,0,0,0,
1633299929.614147,1633299929.643501,159,29.354095458984375,dilithium5,10,duplicate,25%,10,4,6339,264,0,0,0,0,
1633299944.29349,1633299944.309955,160,16.464948654174805,dilithium5,10,duplicate,25%,9,5,5899,330,0,0,0,0,
1633299945.724823,1633299945.747428,161,22.604942321777344,dilithium5,10,duplicate,25%,8,6,5836,396,0,0,0,0,
1633299947.202267,1633299947.223005,162,20.73812484741211,dilithium5,10,duplicate,25%,15,5,6313,330,0,0,0,0,
1633299948.717635,1633299948.742092,163,24.45697784423828,dilithium5,10,duplicate,25%,10,5,6490,330,0,0,0,0,
1633299950.263626,1633299950.2765,164,12.87388801574707,dilithium5,10,duplicate,25%,9,5,5901,330,0,0,0,0,
1633299951.758566,1633299951.776253,165,17.687082290649414,dilithium5,10,duplicate,25%,11,4,6034,264,0,0,0,0,
1633299953.249435,1633299953.29047,166,41.03493690490723,dilithium5,10,duplicate,25%,11,5,6024,330,0,0,0,0,
1633299954.716207,1633299954.736762,167,20.55501937866211,dilithium5,10,duplicate,25%,12,5,6625,330,0,0,0,0,
1633299956.083902,1633299956.107755,168,23.853063583374023,dilithium5,10,duplicate,25%,10,5,5961,330,0,0,0,0,
1633299957.354406,1633299957.379684,169,25.27785301208496,dilithium5,10,duplicate,25%,10,4,5968,264,0,0,0,0,
1633299971.905344,1633299971.9269,170,21.55590057373047,dilithium5,10,duplicate,25%,11,6,6029,472,0,0,0,0,
1633299973.31848,1633299973.335528,171,17.047882080078125,dilithium5,10,duplicate,25%,11,4,6046,264,0,0,0,0,
1633299974.628029,1633299974.646762,172,18.732786178588867,dilithium5,10,duplicate,25%,10,4,6492,264,0,0,0,0,
1633299975.846941,1633299975.859713,173,12.772083282470703,dilithium5,10,duplicate,25%,11,7,6048,538,0,0,0,0,
1633299977.297012,1633299977.314163,174,17.15087890625,dilithium5,10,duplicate,25%,11,4,6041,264,0,0,0,0,
1633299978.723974,1633299978.747685,175,23.710966110229492,dilithium5,10,duplicate,25%,12,5,6628,330,0,0,0,0,
1633299980.237425,1633299980.265463,176,28.03802490234375,dilithium5,10,duplicate,25%,8,5,5835,330,0,0,0,0,
1633299981.724071,1633299981.747309,177,23.237943649291992,dilithium5,10,duplicate,25%,8,7,5832,538,0,0,0,0,
1633299983.319604,1633299983.347719,178,28.115034103393555,dilithium5,10,duplicate,25%,11,5,6029,330,0,0,0,0,
1633299984.58553,1633299984.606738,179,21.20804786682129,dilithium5,10,duplicate,25%,8,5,5833,330,0,0,0,0,
1633299999.083869,1633299999.100209,180,16.340017318725586,dilithium5,10,duplicate,25%,11,7,6033,474,0,0,0,0,
1633300000.478357,1633300000.498605,181,20.247936248779297,dilithium5,10,duplicate,25%,11,5,6565,330,0,0,0,0,
1633300001.81649,1633300001.844474,182,27.984142303466797,dilithium5,10,duplicate,25%,12,4,6102,264,0,0,0,0,
1633300003.240814,1633300003.278454,183,37.64009475708008,dilithium5,10,duplicate,25%,14,4,6771,264,0,0,0,0,
1633300004.742264,1633300004.760761,184,18.496990203857422,dilithium5,10,duplicate,25%,8,7,5834,538,0,0,0,0,
