Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1633299548.893498,1633299548.90449,0,10.992050170898438,dilithium5,10,duplicate,35%,13,4,14155,264,0,0,0,0,
1633299550.236325,1633299550.27601,1,39.68501091003418,dilithium5,10,duplicate,35%,24,6,14897,472,0,0,0,0,
1633299551.706954,1633299551.753132,2,46.17810249328613,dilithium5,10,duplicate,35%,20,7,14104,538,0,0,0,0,
1633299553.263515,1633299553.271128,3,7.612943649291992,dilithium5,10,duplicate,35%,11,4,14023,264,0,0,0,0,
1633299554.596744,1633299554.607176,4,10.432004928588867,dilithium5,10,duplicate,35%,16,5,14353,330,0,0,0,0,
1633299556.171004,1633299556.200762,5,29.757976531982422,dilithium5,10,duplicate,35%,21,8,14170,604,0,0,0,0,
1633299557.77583,1633299557.792073,6,16.24298095703125,dilithium5,10,duplicate,35%,15,5,14287,330,0,0,0,0,
1633299559.244417,1633299559.272303,7,27.886152267456055,dilithium5,10,duplicate,35%,19,9,14551,682,0,0,0,0,
1633299560.85542,1633299560.879268,8,23.84781837463379,dilithium5,10,duplicate,35%,14,4,13692,264,0,0,0,0,
1633299562.243534,1633299562.254715,9,11.180877685546875,dilithium5,10,duplicate,35%,14,7,14221,538,0,0,0,0,
1633299576.768118,1633299576.775684,10,7.566213607788086,dilithium5,10,duplicate,35%,11,4,13494,264,0,0,0,0,
1633299578.288019,1633299578.302772,11,14.753103256225586,dilithium5,10,duplicate,35%,19,7,14551,474,0,0,0,0,
1633299579.759596,1633299579.76593,12,6.333827972412109,dilithium5,10,duplicate,35%,16,7,13840,538,0,0,0,0,
1633299581.114679,1633299581.125179,13,10.499954223632812,dilithium5,10,duplicate,35%,14,5,13708,330,0,0,0,0,
1633299582.747148,1633299582.774347,14,27.19902992248535,dilithium5,10,duplicate,35%,20,5,14088,330,0,0,0,0,
1633299584.326776,1633299584.335289,15,8.51297378540039,dilithium5,10,duplicate,35%,20,5,14088,330,0,0,0,0,
1633299585.723483,1633299585.727578,16,4.094839096069336,dilithium5,10,duplicate,35%,18,9,14501,682,0,0,0,0,
1633299587.231731,1633299587.239068,17,7.337093353271484,dilithium5,10,duplicate,35%,20,9,14104,682,0,0,0,0,
1633299588.57165,1633299588.576655,18,5.0048828125,dilithium5,10,duplicate,35%,11,8,13494,540,0,0,0,0,
1633299589.809745,1633299589.826655,19,16.90983772277832,dilithium5,10,duplicate,35%,17,8,13890,604,0,0,0,0,
1633299610.614395,1633299610.624651,20,10.256052017211914,dilithium5,10,duplicate,35%,8,5,3711,330,0,0,0,0,
1633299612.075405,1633299612.092758,21,17.353057861328125,dilithium5,10,duplicate,35%,8,4,3715,264,0,0,0,0,
1633299613.351444,1633299613.364746,22,13.302087783813477,dilithium5,10,duplicate,35%,8,4,3708,264,0,0,0,0,
1633299614.963259,1633299614.982711,23,19.45209503173828,dilithium5,10,duplicate,35%,8,5,3709,330,0,0,0,0,
1633299616.436135,1633299616.459293,24,23.157835006713867,dilithium5,10,duplicate,35%,8,5,3708,330,0,0,0,0,
1633299617.802922,1633299617.810402,25,7.47990608215332,dilithium5,10,duplicate,35%,8,5,3705,330,0,0,0,0,
1633299619.425857,1633299619.438198,26,12.341022491455078,dilithium5,10,duplicate,35%,8,4,3706,264,0,0,0,0,
1633299620.88823,1633299620.911008,27,22.777795791625977,dilithium5,10,duplicate,35%,8,4,3708,264,0,0,0,0,
1633299622.183703,1633299622.215461,28,31.75806999206543,dilithium5,10,duplicate,35%,8,4,3711,264,0,0,0,0,
1633299623.711494,1633299623.723602,29,12.108087539672852,dilithium5,10,duplicate,35%,8,5,3712,330,0,0,0,0,
1633299638.320048,1633299638.331411,30,11.362791061401367,dilithium5,10,duplicate,35%,8,7,3706,538,0,0,0,0,
1633299639.631193,1633299639.643301,31,12.108087539672852,dilithium5,10,duplicate,35%,8,5,3704,330,0,0,0,0,
1633299641.002821,1633299641.013524,32,10.703086853027344,dilithium5,10,duplicate,35%,8,5,3707,330,0,0,0,0,
1633299642.732269,1633299642.743909,33,11.639833450317383,dilithium5,10,duplicate,35%,8,6,3706,472,0,0,0,0,
1633299644.130754,1633299644.141335,34,10.581016540527344,dilithium5,10,duplicate,35%,8,5,3706,330,0,0,0,0,
1633299645.64642,1633299645.659808,35,13.387918472290039,dilithium5,10,duplicate,35%,8,5,3712,330,0,0,0,0,
1633299647.044177,1633299647.056613,36,12.4359130859375,dilithium5,10,duplicate,35%,8,6,3707,396,0,0,0,0,
1633299648.399449,1633299648.425758,37,26.308774948120117,dilithium5,10,duplicate,35%,8,7,3707,538,0,0,0,0,
1633299649.861678,1633299649.871072,38,9.394168853759766,dilithium5,10,duplicate,35%,8,4,3707,264,0,0,0,0,
1633299651.458498,1633299651.485558,39,27.06003189086914,dilithium5,10,duplicate,35%,8,5,3711,330,0,0,0,0,
1633299666.079838,1633299666.100251,40,20.412921905517578,dilithium5,10,duplicate,35%,8,5,3707,330,0,0,0,0,
1633299667.460992,1633299667.476938,41,15.945911407470703,dilithium5,10,duplicate,35%,12,4,3985,264,0,0,0,0,
1633299668.892186,1633299668.913244,42,21.058082580566406,dilithium5,10,duplicate,35%,8,7,3711,474,0,0,0,0,
1633299670.453085,1633299670.473755,43,20.669937133789062,dilithium5,10,duplicate,35%,11,4,3921,264,0,0,0,0,
1633299671.776095,1633299671.784778,44,8.683204650878906,dilithium5,10,duplicate,35%,8,4,3705,264,0,0,0,0,
1633299673.000317,1633299673.012083,45,11.76595687866211,dilithium5,10,duplicate,35%,9,5,3774,330,0,0,0,0,
1633299674.330827,1633299674.348637,46,17.81010627746582,dilithium5,10,duplicate,35%,9,5,3776,330,0,0,0,0,
1633299675.775238,1633299675.787784,47,12.546062469482422,dilithium5,10,duplicate,35%,8,5,3708,330,0,0,0,0,
1633299677.157676,1633299677.199213,48,41.53704643249512,dilithium5,10,duplicate,35%,11,5,3918,330,0,0,0,0,
1633299678.387444,1633299678.406478,49,19.03390884399414,dilithium5,10,duplicate,35%,8,5,3705,330,0,0,0,0,
1633299692.850819,1633299692.872991,50,22.171974182128906,dilithium5,10,duplicate,35%,8,4,3709,264,0,0,0,0,
1633299694.219045,1633299694.226846,51,7.801055908203125,dilithium5,10,duplicate,35%,9,4,3776,264,0,0,0,0,
1633299695.716843,1633299695.73612,52,19.277095794677734,dilithium5,10,duplicate,35%,8,4,3707,264,0,0,0,0,
1633299697.22112,1633299697.2401,53,18.979787826538086,dilithium5,10,duplicate,35%,8,4,3711,264,0,0,0,0,
1633299698.502843,1633299698.510579,54,7.7362060546875,dilithium5,10,duplicate,35%,8,7,3711,474,0,0,0,0,
1633299700.00611,1633299700.020935,55,14.825105667114258,dilithium5,10,duplicate,35%,12,5,3986,330,0,0,0,0,
1633299701.380275,1633299701.388972,56,8.697032928466797,dilithium5,10,duplicate,35%,9,5,3774,330,0,0,0,0,
1633299702.765604,1633299702.783666,57,18.06187629699707,dilithium5,10,duplicate,35%,11,5,3920,330,0,0,0,0,
1633299704.22283,1633299704.236019,58,13.188838958740234,dilithium5,10,duplicate,35%,8,6,3705,396,0,0,0,0,
1633299705.531634,1633299705.538964,59,7.3299407958984375,dilithium5,10,duplicate,35%,8,5,3705,330,0,0,0,0,
1633299720.128336,1633299720.140043,60,11.707067489624023,dilithium5,10,duplicate,35%,8,4,3704,264,0,0,0,0,
1633299721.340103,1633299721.349832,61,9.729146957397461,dilithium5,10,duplicate,35%,8,4,3706,264,0,0,0,0,
1633299722.644747,1633299722.672273,62,27.525901794433594,dilithium5,10,duplicate,35%,8,4,3707,264,0,0,0,0,
1633299723.964365,1633299723.974787,63,10.421991348266602,dilithium5,10,duplicate,35%,11,7,3923,538,0,0,0,0,
1633299725.323765,1633299725.337372,64,13.607025146484375,dilithium5,10,duplicate,35%,8,7,3707,538,0,0,0,0,
1633299726.56262,1633299726.571442,65,8.821964263916016,dilithium5,10,duplicate,35%,9,5,3771,330,0,0,0,0,
1633299728.151639,1633299728.171037,66,19.397974014282227,dilithium5,10,duplicate,35%,11,5,4433,330,0,0,0,0,
1633299729.643394,1633299729.655187,67,11.792898178100586,dilithium5,10,duplicate,35%,13,5,4053,330,0,0,0,0,
1633299731.11479,1633299731.12406,68,9.269952774047852,dilithium5,10,duplicate,35%,8,4,3704,264,0,0,0,0,
1633299732.386739,1633299732.394168,69,7.428884506225586,dilithium5,10,duplicate,35%,9,5,3773,330,0,0,0,0,
1633299747.123901,1633299747.132345,70,8.444070816040039,dilithium5,10,duplicate,35%,10,7,4371,538,0,0,0,0,
1633299748.56083,1633299748.579119,71,18.288850784301758,dilithium5,10,duplicate,35%,12,5,3985,330,0,0,0,0,
1633299749.96436,1633299749.97491,72,10.55002212524414,dilithium5,10,duplicate,35%,8,5,3711,330,0,0,0,0,
1633299751.339918,1633299751.350394,73,10.476112365722656,dilithium5,10,duplicate,35%,8,8,3711,604,0,0,0,0,
1633299752.74977,1633299752.759593,74,9.823083877563477,dilithium5,10,duplicate,35%,9,8,3772,540,0,0,0,0,
1633299754.311197,1633299754.328834,75,17.637014389038086,dilithium5,10,duplicate,35%,8,7,3709,474,0,0,0,0,
1633299755.791591,1633299755.812161,76,20.570039749145508,dilithium5,10,duplicate,35%,13,6,4056,472,0,0,0,0,
1633299757.214664,1633299757.224023,77,9.359121322631836,dilithium5,10,duplicate,35%,13,7,4047,538,0,0,0,0,
1633299758.839045,1633299758.85018,78,11.134862899780273,dilithium5,10,duplicate,35%,8,6,3708,396,0,0,0,0,
1633299760.135244,1633299760.151249,79,16.00503921508789,dilithium5,10,duplicate,35%,8,5,3707,330,0,0,0,0,
1633299774.849135,1633299774.868577,80,19.442081451416016,dilithium5,10,duplicate,35%,10,5,4367,330,0,0,0,0,
1633299776.122498,1633299776.134081,81,11.58285140991211,dilithium5,10,duplicate,35%,8,5,3707,330,0,0,0,0,
1633299777.583075,1633299777.613531,82,30.456066131591797,dilithium5,10,duplicate,35%,12,5,4502,330,0,0,0,0,
1633299778.811252,1633299778.827717,83,16.464948654174805,dilithium5,10,duplicate,35%,11,7,4434,538,0,0,0,0,
1633299780.294541,1633299780.310078,84,15.537023544311523,dilithium5,10,duplicate,35%,8,4,3709,264,0,0,0,0,
1633299781.738204,1633299781.763226,85,25.022029876708984,dilithium5,10,duplicate,35%,12,5,4501,330,0,0,0,0,
1633299783.108136,1633299783.122612,86,14.47606086730957,dilithium5,10,duplicate,35%,8,4,3711,264,0,0,0,0,
1633299784.551773,1633299784.562981,87,11.207818984985352,dilithium5,10,duplicate,35%,8,7,3705,538,0,0,0,0,
1633299786.053574,1633299786.072695,88,19.12093162536621,dilithium5,10,duplicate,35%,10,5,4367,330,0,0,0,0,
1633299787.552501,1633299787.567931,89,15.429973602294922,dilithium5,10,duplicate,35%,9,4,3777,264,0,0,0,0,
1633299802.011861,1633299802.039811,90,27.949810028076172,dilithium5,10,duplicate,35%,11,4,4437,264,0,0,0,0,
1633299803.355352,1633299803.371837,91,16.484975814819336,dilithium5,10,duplicate,35%,11,7,4433,538,0,0,0,0,
1633299804.935114,1633299804.948303,92,13.189077377319336,dilithium5,10,duplicate,35%,10,4,4373,264,0,0,0,0,
1633299806.196046,1633299806.210516,93,14.46986198425293,dilithium5,10,duplicate,35%,10,10,3842,748,0,0,0,0,
1633299807.526233,1633299807.535298,94,9.06515121459961,dilithium5,10,duplicate,35%,9,7,3774,474,0,0,0,0,
1633299809.036103,1633299809.044543,95,8.440017700195312,dilithium5,10,duplicate,35%,14,5,4652,330,0,0,0,0,
1633299810.359132,1633299810.370354,96,11.221885681152344,dilithium5,10,duplicate,35%,12,5,4505,330,0,0,0,0,
1633299811.751686,1633299811.767347,97,15.661001205444336,dilithium5,10,duplicate,35%,13,6,4055,396,0,0,0,0,
1633299813.217734,1633299813.233904,98,16.16978645324707,dilithium5,10,duplicate,35%,12,6,3986,408,0,0,0,0,
1633299814.791952,1633299814.800143,99,8.191108703613281,dilithium5,10,duplicate,35%,11,6,4435,396,0,0,0,0,
1633299829.312821,1633299829.329705,100,16.88408851623535,dilithium5,10,duplicate,35%,11,7,4435,538,0,0,0,0,
1633299830.707661,1633299830.735009,101,27.348041534423828,dilithium5,10,duplicate,35%,12,6,4497,396,0,0,0,0,
1633299832.070124,1633299832.080586,102,10.462045669555664,dilithium5,10,duplicate,35%,14,8,4647,540,0,0,0,0,
1633299833.316849,1633299833.32523,103,8.380889892578125,dilithium5,10,duplicate,35%,11,6,3916,472,0,0,0,0,
1633299834.636024,1633299834.652092,104,16.067981719970703,dilithium5,10,duplicate,35%,9,4,3771,264,0,0,0,0,
1633299836.084108,1633299836.096741,105,12.63284683227539,dilithium5,10,duplicate,35%,9,4,3771,264,0,0,0,0,
1633299837.326947,1633299837.3384,106,11.452913284301758,dilithium5,10,duplicate,35%,8,8,3705,604,0,0,0,0,
1633299838.70232,1633299838.714447,107,12.126922607421875,dilithium5,10,duplicate,35%,10,7,4367,474,0,0,0,0,
1633299840.111579,1633299840.122162,108,10.583162307739258,dilithium5,10,duplicate,35%,9,6,3775,396,0,0,0,0,
1633299841.363028,1633299841.372168,109,9.1400146484375,dilithium5,10,duplicate,35%,12,7,3989,474,0,0,0,0,
1633299862.379521,1633299862.411543,110,32.02199935913086,dilithium5,10,duplicate,35%,8,7,5837,842,0,0,0,0,
1633299863.853531,1633299863.876924,111,23.39315414428711,dilithium5,10,duplicate,35%,8,4,5835,264,0,0,0,0,
