Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1633299383.492073,1633299383.511852,0,19.778966903686523,dilithium5,10,duplicate,5%,16,7,13824,538,0,0,0,0,
1633299385.218839,1633299385.226655,1,7.816076278686523,dilithium5,10,duplicate,5%,12,4,13560,264,0,0,0,0,
1633299386.746896,1633299386.767743,2,20.847082138061523,dilithium5,10,duplicate,5%,20,5,14104,330,0,0,0,0,
1633299388.24293,1633299388.252018,3,9.08803939819336,dilithium5,10,duplicate,5%,12,5,13560,330,0,0,0,0,
1633299389.556473,1633299389.565879,4,9.406089782714844,dilithium5,10,duplicate,5%,10,5,13428,330,0,0,0,0,
1633299390.808508,1633299390.829552,5,21.044015884399414,dilithium5,10,duplicate,5%,16,5,13824,330,0,0,0,0,
1633299392.222072,1633299392.232551,6,10.479211807250977,dilithium5,10,duplicate,5%,10,5,13428,330,0,0,0,0,
1633299393.728662,1633299393.755039,7,26.376962661743164,dilithium5,10,duplicate,5%,18,4,13956,264,0,0,0,0,
1633299395.288376,1633299395.3046,8,16.223907470703125,dilithium5,10,duplicate,5%,12,5,13560,330,0,0,0,0,
1633299396.761084,1633299396.787344,9,26.259899139404297,dilithium5,10,duplicate,5%,16,4,13824,264,0,0,0,0,
1633299411.32962,1633299411.335654,10,6.034135818481445,dilithium5,10,duplicate,5%,10,7,13428,538,0,0,0,0,
1633299412.882455,1633299412.892548,11,10.092973709106445,dilithium5,10,duplicate,5%,10,5,13428,330,0,0,0,0,
1633299414.238104,1633299414.263864,12,25.75993537902832,dilithium5,10,duplicate,5%,16,5,13824,330,0,0,0,0,
1633299415.64252,1633299415.648763,13,6.242990493774414,dilithium5,10,duplicate,5%,12,5,14089,330,0,0,0,0,
1633299416.927111,1633299416.936194,14,9.083032608032227,dilithium5,10,duplicate,5%,10,5,13428,330,0,0,0,0,
1633299418.278027,1633299418.287452,15,9.424924850463867,dilithium5,10,duplicate,5%,16,5,13824,330,0,0,0,0,
1633299419.631644,1633299419.644739,16,13.094902038574219,dilithium5,10,duplicate,5%,16,4,13824,264,0,0,0,0,
1633299421.231004,1633299421.23687,17,5.866050720214844,dilithium5,10,duplicate,5%,10,9,13428,682,0,0,0,0,
1633299422.633842,1633299422.645777,18,11.934995651245117,dilithium5,10,duplicate,5%,15,6,13758,472,0,0,0,0,
1633299424.078172,1633299424.083261,19,5.089044570922852,dilithium5,10,duplicate,5%,11,4,13494,264,0,0,0,0,
1633299438.579002,1633299438.599325,20,20.32303810119629,dilithium5,10,duplicate,5%,16,7,13824,474,0,0,0,0,
1633299440.222743,1633299440.278789,21,56.0460090637207,dilithium5,10,duplicate,5%,13,4,13626,264,0,0,0,0,
1633299441.635137,1633299441.642986,22,7.848978042602539,dilithium5,10,duplicate,5%,14,7,14221,538,0,0,0,0,
1633299442.914639,1633299442.924596,23,9.957075119018555,dilithium5,10,duplicate,5%,15,5,13774,330,0,0,0,0,
1633299444.374572,1633299444.395876,24,21.303892135620117,dilithium5,10,duplicate,5%,17,5,13890,330,0,0,0,0,
1633299445.771541,1633299445.783768,25,12.22681999206543,dilithium5,10,duplicate,5%,18,7,13956,538,0,0,0,0,
1633299447.229842,1633299447.238687,26,8.845090866088867,dilithium5,10,duplicate,5%,12,4,14089,264,0,0,0,0,
1633299448.713546,1633299448.733937,27,20.390987396240234,dilithium5,10,duplicate,5%,10,6,13428,396,0,0,0,0,
1633299450.098997,1633299450.103854,28,4.85682487487793,dilithium5,10,duplicate,5%,11,6,13494,396,0,0,0,0,
1633299451.502465,1633299451.508299,29,5.834102630615234,dilithium5,10,duplicate,5%,10,4,13428,264,0,0,0,0,
1633299465.93325,1633299465.949957,30,16.70694351196289,dilithium5,10,duplicate,5%,10,4,13428,264,0,0,0,0,
1633299467.311652,1633299467.319875,31,8.22305679321289,dilithium5,10,duplicate,5%,12,5,13560,330,0,0,0,0,
1633299468.790258,1633299468.803482,32,13.224124908447266,dilithium5,10,duplicate,5%,13,7,13642,538,0,0,0,0,
1633299470.503928,1633299470.515357,33,11.429071426391602,dilithium5,10,duplicate,5%,15,5,13758,330,0,0,0,0,
1633299471.775249,1633299471.815999,34,40.75002670288086,dilithium5,10,duplicate,5%,17,4,13906,264,0,0,0,0,
1633299473.119528,1633299473.13077,35,11.241912841796875,dilithium5,10,duplicate,5%,11,4,13494,264,0,0,0,0,
1633299474.465629,1633299474.487405,36,21.77596092224121,dilithium5,10,duplicate,5%,19,5,14038,330,0,0,0,0,
1633299475.822177,1633299475.828404,37,6.227016448974609,dilithium5,10,duplicate,5%,13,4,14155,264,0,0,0,0,
1633299477.231348,1633299477.284747,38,53.398847579956055,dilithium5,10,duplicate,5%,15,5,13758,330,0,0,0,0,
1633299478.758139,1633299478.775761,39,17.621994018554688,dilithium5,10,duplicate,5%,20,6,14104,472,0,0,0,0,
1633299493.333696,1633299493.371219,40,37.52303123474121,dilithium5,10,duplicate,5%,18,4,13972,264,0,0,0,0,
1633299494.690633,1633299494.698355,41,7.721900939941406,dilithium5,10,duplicate,5%,11,6,13494,396,0,0,0,0,
1633299496.12359,1633299496.131702,42,8.111953735351562,dilithium5,10,duplicate,5%,11,7,13494,474,0,0,0,0,
1633299497.402309,1633299497.411742,43,9.43303108215332,dilithium5,10,duplicate,5%,13,8,14155,604,0,0,0,0,
1633299498.754617,1633299498.760389,44,5.772113800048828,dilithium5,10,duplicate,5%,16,7,14369,474,0,0,0,0,
1633299500.106855,1633299500.135338,45,28.483152389526367,dilithium5,10,duplicate,5%,20,5,14617,330,0,0,0,0,
1633299501.625086,1633299501.63637,46,11.28387451171875,dilithium5,10,duplicate,5%,13,5,13626,330,0,0,0,0,
1633299503.267558,1633299503.279375,47,11.816978454589844,dilithium5,10,duplicate,5%,12,4,13560,264,0,0,0,0,
1633299504.6918,1633299504.724867,48,33.06698799133301,dilithium5,10,duplicate,5%,17,6,13890,472,0,0,0,0,
1633299506.274222,1633299506.287885,49,13.663053512573242,dilithium5,10,duplicate,5%,16,7,13824,474,0,0,0,0,
1633299520.829347,1633299520.839999,50,10.65206527709961,dilithium5,10,duplicate,5%,23,6,14831,396,0,0,0,0,
1633299522.268832,1633299522.280616,51,11.784076690673828,dilithium5,10,duplicate,5%,15,4,13774,264,0,0,0,0,
1633299523.730834,1633299523.745512,52,14.678001403808594,dilithium5,10,duplicate,5%,16,5,13824,330,0,0,0,0,
1633299525.230582,1633299525.235656,53,5.074024200439453,dilithium5,10,duplicate,5%,10,7,13428,538,0,0,0,0,
1633299526.748091,1633299526.775264,54,27.17304229736328,dilithium5,10,duplicate,5%,13,4,13642,264,0,0,0,0,
1633299528.322045,1633299528.328882,55,6.836891174316406,dilithium5,10,duplicate,5%,14,6,14221,472,0,0,0,0,
1633299529.75922,1633299529.823698,56,64.47815895080566,dilithium5,10,duplicate,5%,18,4,13956,264,0,0,0,0,
1633299531.256752,1633299531.284214,57,27.462005615234375,dilithium5,10,duplicate,5%,18,7,13956,538,0,0,0,0,
1633299532.762057,1633299532.784467,58,22.409915924072266,dilithium5,10,duplicate,5%,18,5,13956,330,0,0,0,0,
1633299534.254793,1633299534.258893,59,4.10008430480957,dilithium5,10,duplicate,5%,13,7,13642,538,0,0,0,0,
1633299548.893509,1633299548.904494,60,10.985136032104492,dilithium5,10,duplicate,5%,13,4,14155,264,0,0,0,0,
1633299550.236331,1633299550.276014,61,39.68310356140137,dilithium5,10,duplicate,5%,24,6,14897,472,0,0,0,0,
1633299551.706965,1633299551.753136,62,46.170949935913086,dilithium5,10,duplicate,5%,20,7,14104,538,0,0,0,0,
1633299553.263523,1633299553.271133,63,7.609844207763672,dilithium5,10,duplicate,5%,11,4,14023,264,0,0,0,0,
1633299554.596754,1633299554.60718,64,10.426044464111328,dilithium5,10,duplicate,5%,16,5,14353,330,0,0,0,0,
1633299556.171014,1633299556.200766,65,29.752016067504883,dilithium5,10,duplicate,5%,21,8,14170,604,0,0,0,0,
1633299557.775838,1633299557.792077,66,16.239166259765625,dilithium5,10,duplicate,5%,15,5,14287,330,0,0,0,0,
1633299559.244428,1633299559.272307,67,27.878999710083008,dilithium5,10,duplicate,5%,19,9,14551,682,0,0,0,0,
1633299560.855428,1633299560.879273,68,23.84495735168457,dilithium5,10,duplicate,5%,14,4,13692,264,0,0,0,0,
1633299562.243542,1633299562.254719,69,11.17706298828125,dilithium5,10,duplicate,5%,14,7,14221,538,0,0,0,0,
1633299576.768128,1633299576.775688,70,7.560014724731445,dilithium5,10,duplicate,5%,11,4,13494,264,0,0,0,0,
1633299578.288022,1633299578.302794,71,14.77193832397461,dilithium5,10,duplicate,5%,19,7,14551,474,0,0,0,0,
1633299579.759606,1633299579.765933,72,6.327152252197266,dilithium5,10,duplicate,5%,16,7,13840,538,0,0,0,0,
1633299581.114682,1633299581.125183,73,10.50114631652832,dilithium5,10,duplicate,5%,14,5,13708,330,0,0,0,0,
1633299582.747155,1633299582.77435,74,27.194976806640625,dilithium5,10,duplicate,5%,20,5,14088,330,0,0,0,0,
1633299584.326783,1633299584.335293,75,8.510112762451172,dilithium5,10,duplicate,5%,20,5,14088,330,0,0,0,0,
1633299585.723489,1633299585.727581,76,4.091978073120117,dilithium5,10,duplicate,5%,18,9,14501,682,0,0,0,0,
1633299587.231742,1633299587.239072,77,7.330179214477539,dilithium5,10,duplicate,5%,20,9,14104,682,0,0,0,0,
1633299588.571658,1633299588.576658,78,5.000114440917969,dilithium5,10,duplicate,5%,11,8,13494,540,0,0,0,0,
1633299589.809756,1633299589.826659,79,16.902923583984375,dilithium5,10,duplicate,5%,17,8,13890,604,0,0,0,0,
1633299610.614406,1633299610.624661,80,10.254859924316406,dilithium5,10,duplicate,5%,8,5,3711,330,0,0,0,0,
1633299612.075411,1633299612.092761,81,17.349958419799805,dilithium5,10,duplicate,5%,8,4,3715,264,0,0,0,0,
1633299613.351449,1633299613.364752,82,13.303041458129883,dilithium5,10,duplicate,5%,8,4,3708,264,0,0,0,0,
1633299614.963263,1633299614.982716,83,19.453048706054688,dilithium5,10,duplicate,5%,8,5,3709,330,0,0,0,0,
1633299616.436139,1633299616.459297,84,23.157835006713867,dilithium5,10,duplicate,5%,8,5,3708,330,0,0,0,0,
1633299617.802926,1633299617.810408,85,7.482051849365234,dilithium5,10,duplicate,5%,8,5,3705,330,0,0,0,0,
1633299619.425862,1633299619.438201,86,12.338876724243164,dilithium5,10,duplicate,5%,8,4,3706,264,0,0,0,0,
1633299620.888242,1633299620.911011,87,22.76897430419922,dilithium5,10,duplicate,5%,8,4,3708,264,0,0,0,0,
1633299622.183711,1633299622.215466,88,31.75497055053711,dilithium5,10,duplicate,5%,8,4,3711,264,0,0,0,0,
1633299623.711498,1633299623.723606,89,12.108087539672852,dilithium5,10,duplicate,5%,8,5,3712,330,0,0,0,0,
1633299638.320054,1633299638.331416,90,11.361837387084961,dilithium5,10,duplicate,5%,8,7,3706,538,0,0,0,0,
1633299639.631205,1633299639.643304,91,12.099027633666992,dilithium5,10,duplicate,5%,8,5,3704,330,0,0,0,0,
1633299641.002831,1633299641.013527,92,10.695934295654297,dilithium5,10,duplicate,5%,8,5,3707,330,0,0,0,0,
1633299642.732279,1633299642.743912,93,11.632919311523438,dilithium5,10,duplicate,5%,8,6,3706,472,0,0,0,0,
1633299644.130765,1633299644.141339,94,10.574102401733398,dilithium5,10,duplicate,5%,8,5,3706,330,0,0,0,0,
1633299645.646424,1633299645.659812,95,13.387918472290039,dilithium5,10,duplicate,5%,8,5,3712,330,0,0,0,0,
