Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1633234474.904286,1633234474.915911,0,11.625051498413086,dilithium5,10,loss,0%,10,4,13428,264,0,0,0,0,
1633234476.226162,1633234476.231279,1,5.116939544677734,dilithium5,10,loss,0%,10,4,13428,264,0,0,0,0,
1633234477.648946,1633234477.669883,2,20.936965942382812,dilithium5,10,loss,0%,16,5,13824,330,0,0,0,0,
1633234479.089611,1633234479.108232,3,18.620967864990234,dilithium5,10,loss,0%,10,5,13428,330,0,0,0,0,
1633234480.586256,1633234480.618468,4,32.212018966674805,dilithium5,10,loss,0%,10,4,13428,264,0,0,0,0,
1633234482.104011,1633234482.128216,5,24.20496940612793,dilithium5,10,loss,0%,13,4,13626,264,0,0,0,0,
1633234483.531401,1633234483.536998,6,5.597114562988281,dilithium5,10,loss,0%,10,5,13428,330,0,0,0,0,
1633234485.085249,1633234485.091376,7,6.127119064331055,dilithium5,10,loss,0%,10,4,13428,264,0,0,0,0,
1633234486.455232,1633234486.460554,8,5.321979522705078,dilithium5,10,loss,0%,10,5,13428,330,0,0,0,0,
1633234487.702403,1633234487.727269,9,24.86586570739746,dilithium5,10,loss,0%,16,5,13824,330,0,0,0,0,
1633234502.190836,1633234502.197847,10,7.010936737060547,dilithium5,10,loss,0%,9,4,13362,264,0,0,0,0,
1633234503.666647,1633234503.702231,11,35.5839729309082,dilithium5,10,loss,0%,15,0,13770,0,0,0,0,0,
1633234505.242319,1633234505.247802,12,5.482912063598633,dilithium5,10,loss,0%,10,5,13428,330,0,0,0,0,
1633234506.586497,1633234506.594356,13,7.858991622924805,dilithium5,10,loss,0%,10,4,13428,264,0,0,0,0,
1633234508.120641,1633234508.137047,14,16.40605926513672,dilithium5,10,loss,0%,12,4,13560,264,0,0,0,0,
1633234509.58256,1633234509.591991,15,9.430885314941406,dilithium5,10,loss,0%,10,5,13428,330,0,0,0,0,
1633234511.093565,1633234511.103055,16,9.490013122558594,dilithium5,10,loss,0%,10,5,13428,330,0,0,0,0,
1633234512.468951,1633234512.48398,17,15.028953552246094,dilithium5,10,loss,0%,16,5,13824,330,0,0,0,0,
1633234513.682918,1633234513.687715,18,4.7969818115234375,dilithium5,10,loss,0%,10,5,13428,330,0,0,0,0,
1633234515.031667,1633234515.054787,19,23.11992645263672,dilithium5,10,loss,0%,15,5,13758,330,0,0,0,0,
1633234529.520512,1633234529.530918,20,10.405778884887695,dilithium5,10,loss,0%,10,4,13428,264,0,0,0,0,
1633234532.026115,1633234532.030069,21,3.954172134399414,dilithium5,10,loss,0%,10,5,13428,330,0,0,0,0,
1633234533.372871,1633234533.377884,22,5.012989044189453,dilithium5,10,loss,0%,10,5,13428,330,0,0,0,0,
1633234533.779402,1633234534.003555,23,224.1530418395996,dilithium5,10,loss,0%,10,5,13428,330,0,0,0,0,
1633234534.95436,1633234534.962756,24,8.395910263061523,dilithium5,10,loss,0%,10,5,13428,330,0,0,0,0,
1633234536.5823,1633234536.589901,25,7.601022720336914,dilithium5,10,loss,0%,10,4,13428,264,0,0,0,0,
1633234539.007058,1633234539.029653,26,22.59516716003418,dilithium5,10,loss,0%,14,0,13704,0,0,0,0,0,
1633234539.360523,1633234539.395346,27,34.822940826416016,dilithium5,10,loss,0%,15,0,13770,0,0,0,0,0,
1633234541.786276,1633234541.790947,28,4.670858383178711,dilithium5,10,loss,0%,10,5,13428,330,0,0,0,0,
1633234542.190511,1633234542.202661,29,12.150049209594727,dilithium5,10,loss,0%,14,5,13692,330,0,0,0,0,
1633234557.142589,1633234557.147174,30,4.584789276123047,dilithium5,10,loss,0%,9,5,13362,330,0,0,0,0,
1633234561.241425,1633234561.246137,31,4.71186637878418,dilithium5,10,loss,0%,10,5,13428,330,0,0,0,0,
1633234561.68835,1633234561.708503,32,20.153045654296875,dilithium5,10,loss,0%,14,20,13692,14088,0,0,0,0,
1633234563.965751,1633234563.986418,33,20.667076110839844,dilithium5,10,loss,0%,15,0,13770,0,0,0,0,0,
1633234564.506485,1633234564.51506,34,8.574962615966797,dilithium5,10,loss,0%,10,4,13428,264,0,0,0,0,
1633234565.903186,1633234565.912837,35,9.650945663452148,dilithium5,10,loss,0%,9,6,13362,396,0,0,0,0,
1633234567.368569,1633234567.380293,36,11.723995208740234,dilithium5,10,loss,0%,12,4,13560,264,0,0,0,0,
1633234568.694156,1633234568.700283,37,6.127119064331055,dilithium5,10,loss,0%,10,5,13428,330,0,0,0,0,
1633234571.130266,1633234571.134892,38,4.626035690307617,dilithium5,10,loss,0%,10,5,13428,330,0,0,0,0,
1633234584.850329,1633234584.855448,39,5.119085311889648,dilithium5,10,loss,0%,9,5,13362,330,0,0,0,0,
1633234586.556382,1633234586.990584,40,434.2019557952881,dilithium5,10,loss,0%,9,4,13362,264,0,0,0,0,
1633234589.180805,1633234589.186695,41,5.890130996704102,dilithium5,10,loss,0%,10,4,13428,264,0,0,0,0,
1633234589.722958,1633234589.958562,42,235.60380935668945,dilithium5,10,loss,0%,15,5,13758,330,0,0,0,0,
1633234591.16203,1633234591.170412,43,8.382081985473633,dilithium5,10,loss,0%,10,5,13428,330,0,0,0,0,
1633234593.626293,1633234593.631634,44,5.341053009033203,dilithium5,10,loss,0%,9,5,13362,330,0,0,0,0,
1633234594.126023,1633234594.132941,45,6.9179534912109375,dilithium5,10,loss,0%,10,5,13428,330,0,0,0,0,
1633234595.710962,1633234595.715667,46,4.704952239990234,dilithium5,10,loss,0%,10,5,13428,330,0,0,0,0,
1633234597.14221,1633234597.14813,47,5.919933319091797,dilithium5,10,loss,0%,9,4,13362,264,0,0,0,0,
1633234598.528685,1633234598.775734,48,247.04885482788086,dilithium5,10,loss,0%,16,0,13836,0,0,0,0,0,
1633234613.133491,1633234613.144053,49,10.561943054199219,dilithium5,10,loss,0%,9,5,13362,330,0,0,0,0,
1633234614.475122,1633234614.480528,50,5.40614128112793,dilithium5,10,loss,0%,10,4,13428,264,0,0,0,0,
1633234616.112149,1633234616.12371,51,11.560916900634766,dilithium5,10,loss,0%,15,6,13758,396,0,0,0,0,
1633234617.586615,1633234617.807776,52,221.160888671875,dilithium5,10,loss,0%,10,5,13428,330,0,0,0,0,
1633234619.055074,1633234619.284157,53,229.08306121826172,dilithium5,10,loss,0%,10,4,13428,264,0,0,0,0,
1633234621.758814,1633234621.786918,54,28.10382843017578,dilithium5,10,loss,0%,13,4,13626,264,0,0,0,0,
1633234623.182943,1633234623.187734,55,4.790782928466797,dilithium5,10,loss,0%,9,23,13362,14286,0,0,0,0,
1633234624.759631,1633234624.767893,56,8.262157440185547,dilithium5,10,loss,0%,15,5,13758,330,0,0,0,0,
1633234626.291911,1633234626.31718,57,25.269031524658203,dilithium5,10,loss,0%,13,5,13626,330,0,0,0,0,
1633234641.111977,1633234641.36846,58,256.4828395843506,dilithium5,10,loss,0%,19,0,14034,0,0,0,0,0,
1633234642.740564,1633234642.749724,59,9.15980339050293,dilithium5,10,loss,0%,9,5,13362,330,0,0,0,0,
1633234644.267333,1633234644.284777,60,17.44389533996582,dilithium5,10,loss,0%,12,6,13560,396,0,0,0,0,
1633234645.651254,1633234645.655912,61,4.657983779907227,dilithium5,10,loss,0%,9,5,13362,330,0,0,0,0,
1633234647.050473,1633234647.059848,62,9.37509536743164,dilithium5,10,loss,0%,10,4,13428,264,0,0,0,0,
1633234648.571668,1633234648.584094,63,12.426137924194336,dilithium5,10,loss,0%,10,4,13428,264,0,0,0,0,
1633234650.103929,1633234650.335577,64,231.64796829223633,dilithium5,10,loss,0%,14,6,13692,396,0,0,0,0,
1633234651.576645,1633234651.58469,65,8.045196533203125,dilithium5,10,loss,0%,12,5,13560,330,0,0,0,0,
1633234652.898608,1633234653.35267,66,454.06198501586914,dilithium5,10,loss,0%,16,0,13836,0,0,0,0,0,
1633234655.547689,1633234655.551908,67,4.21905517578125,dilithium5,10,loss,0%,8,4,13296,264,0,0,0,0,
1633234669.518588,1633234670.370045,68,851.456880569458,dilithium5,10,loss,0%,13,4,13626,264,0,0,0,0,
1633234670.990772,1633234671.258678,69,267.90595054626465,dilithium5,10,loss,0%,15,0,14357,0,0,0,0,0,
1633234673.280793,1633234673.517344,70,236.55104637145996,dilithium5,10,loss,0%,13,0,13638,0,0,0,0,0,
1633234673.659762,1633234673.67127,71,11.507987976074219,dilithium5,10,loss,0%,9,7,13362,462,0,0,0,0,
1633234675.199963,1633234675.214171,72,14.207839965820312,dilithium5,10,loss,0%,8,5,13296,330,0,0,0,0,
1633234677.731582,1633234677.735953,73,4.371166229248047,dilithium5,10,loss,0%,10,6,13428,408,0,0,0,0,
1633234679.508635,1633234679.527724,74,19.0889835357666,dilithium5,10,loss,0%,11,0,13442,0,0,0,0,0,
1633234680.987457,1633234681.303133,75,315.6759738922119,dilithium5,10,loss,0%,18,5,14020,330,0,0,0,0,
1633234684.002592,1633234685.498088,76,1495.4957962036133,dilithium5,10,loss,0%,22,8,22005,5523,0,0,0,0,
1633234697.298536,1633234697.514605,77,216.06898307800293,dilithium5,10,loss,0%,10,5,13428,330,0,0,0,0,
1633234698.520059,1633234698.947531,78,427.4718761444092,dilithium5,10,loss,0%,9,5,13362,330,0,0,0,0,
1633234699.757788,1633234699.975974,79,218.1861400604248,dilithium5,10,loss,0%,11,5,13494,330,0,0,0,0,
1633234702.813265,1633234702.883723,80,70.45793533325195,dilithium5,10,loss,0%,17,0,13902,0,0,0,0,0,
1633234704.547325,1633234704.553366,81,6.041049957275391,dilithium5,10,loss,0%,8,5,13296,330,0,0,0,0,
1633234707.073999,1633234707.079186,82,5.187034606933594,dilithium5,10,loss,0%,8,5,13296,330,0,0,0,0,
1633234707.663605,1633234707.897137,83,233.53195190429688,dilithium5,10,loss,0%,12,18,14159,13956,0,0,0,0,
1633234708.899503,1633234708.912467,84,12.964010238647461,dilithium5,10,loss,0%,10,4,13428,264,0,0,0,0,
1633234710.511301,1633234710.516549,85,5.248069763183594,dilithium5,10,loss,0%,9,6,13362,408,0,0,0,0,
1633234731.43577,1633234731.445625,86,9.855031967163086,dilithium5,10,loss,0%,8,5,3704,330,0,0,0,0,
1633234733.036041,1633234733.047319,87,11.277914047241211,dilithium5,10,loss,0%,8,5,3708,330,0,0,0,0,
1633234734.228314,1633234734.247344,88,19.030094146728516,dilithium5,10,loss,0%,8,4,3707,264,0,0,0,0,
1633234735.722574,1633234735.733307,89,10.732889175415039,dilithium5,10,loss,0%,8,4,3706,264,0,0,0,0,
1633234736.933826,1633234736.948725,90,14.899015426635742,dilithium5,10,loss,0%,8,5,3708,330,0,0,0,0,
1633234738.239269,1633234738.25683,91,17.560958862304688,dilithium5,10,loss,0%,8,5,3707,330,0,0,0,0,
1633234739.524368,1633234739.538582,92,14.214038848876953,dilithium5,10,loss,0%,8,5,3704,330,0,0,0,0,
1633234740.859806,1633234740.871615,93,11.80887222290039,dilithium5,10,loss,0%,8,4,3711,264,0,0,0,0,
1633234742.331173,1633234742.34311,94,11.937141418457031,dilithium5,10,loss,0%,8,5,3709,330,0,0,0,0,
1633234743.890584,1633234743.906524,95,15.939950942993164,dilithium5,10,loss,0%,8,4,3710,264,0,0,0,0,
