Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1633234502.190834,1633234502.197847,0,7.012844085693359,dilithium5,10,loss,5%,9,4,13362,264,0,0,0,0,
1633234503.666646,1633234503.70223,1,35.5839729309082,dilithium5,10,loss,5%,15,0,13770,0,0,0,0,0,
1633234505.242317,1633234505.247801,2,5.484104156494141,dilithium5,10,loss,5%,10,5,13428,330,0,0,0,0,
1633234506.586495,1633234506.594355,3,7.8601837158203125,dilithium5,10,loss,5%,10,4,13428,264,0,0,0,0,
1633234508.120639,1633234508.137046,4,16.407012939453125,dilithium5,10,loss,5%,12,4,13560,264,0,0,0,0,
1633234509.582559,1633234509.59199,5,9.430885314941406,dilithium5,10,loss,5%,10,5,13428,330,0,0,0,0,
1633234511.093563,1633234511.103055,6,9.491920471191406,dilithium5,10,loss,5%,10,5,13428,330,0,0,0,0,
1633234512.46895,1633234512.483978,7,15.027999877929688,dilithium5,10,loss,5%,16,5,13824,330,0,0,0,0,
1633234513.682916,1633234513.687714,8,4.798173904418945,dilithium5,10,loss,5%,10,5,13428,330,0,0,0,0,
1633234515.031665,1633234515.054786,9,23.120880126953125,dilithium5,10,loss,5%,15,5,13758,330,0,0,0,0,
1633234529.52051,1633234529.530917,10,10.406970977783203,dilithium5,10,loss,5%,10,4,13428,264,0,0,0,0,
1633234532.026113,1633234532.030068,11,3.9548873901367188,dilithium5,10,loss,5%,10,5,13428,330,0,0,0,0,
1633234533.37287,1633234533.377882,12,5.012035369873047,dilithium5,10,loss,5%,10,5,13428,330,0,0,0,0,
1633234533.779401,1633234534.003555,13,224.15399551391602,dilithium5,10,loss,5%,10,5,13428,330,0,0,0,0,
1633234534.954359,1633234534.962755,14,8.395910263061523,dilithium5,10,loss,5%,10,5,13428,330,0,0,0,0,
1633234536.582298,1633234536.589901,15,7.602930068969727,dilithium5,10,loss,5%,10,4,13428,264,0,0,0,0,
1633234539.007056,1633234539.029653,16,22.597074508666992,dilithium5,10,loss,5%,14,0,13704,0,0,0,0,0,
1633234539.360521,1633234539.395345,17,34.82389450073242,dilithium5,10,loss,5%,15,0,13770,0,0,0,0,0,
1633234541.786275,1633234541.790946,18,4.6710968017578125,dilithium5,10,loss,5%,10,5,13428,330,0,0,0,0,
1633234542.19051,1633234542.202661,19,12.151002883911133,dilithium5,10,loss,5%,14,5,13692,330,0,0,0,0,
1633234557.142588,1633234557.147173,20,4.585027694702148,dilithium5,10,loss,5%,9,5,13362,330,0,0,0,0,
1633234561.241423,1633234561.246136,21,4.7130584716796875,dilithium5,10,loss,5%,10,5,13428,330,0,0,0,0,
1633234561.688348,1633234561.708502,22,20.15399932861328,dilithium5,10,loss,5%,14,20,13692,14088,0,0,0,0,
1633234563.965749,1633234563.986417,23,20.66802978515625,dilithium5,10,loss,5%,15,0,13770,0,0,0,0,0,
1633234564.506483,1633234564.51506,24,8.57686996459961,dilithium5,10,loss,5%,10,4,13428,264,0,0,0,0,
1633234565.903185,1633234565.912837,25,9.652137756347656,dilithium5,10,loss,5%,9,6,13362,396,0,0,0,0,
1633234567.368567,1633234567.380293,26,11.725902557373047,dilithium5,10,loss,5%,12,4,13560,264,0,0,0,0,
1633234568.694155,1633234568.700282,27,6.127119064331055,dilithium5,10,loss,5%,10,5,13428,330,0,0,0,0,
1633234571.130264,1633234571.134891,28,4.626989364624023,dilithium5,10,loss,5%,10,5,13428,330,0,0,0,0,
1633234584.850328,1633234584.855448,29,5.120038986206055,dilithium5,10,loss,5%,9,5,13362,330,0,0,0,0,
1633234586.55638,1633234586.990582,30,434.2019557952881,dilithium5,10,loss,5%,9,4,13362,264,0,0,0,0,
1633234589.180803,1633234589.186695,31,5.892038345336914,dilithium5,10,loss,5%,10,4,13428,264,0,0,0,0,
1633234589.722957,1633234589.958561,32,235.60404777526855,dilithium5,10,loss,5%,15,5,13758,330,0,0,0,0,
1633234591.162028,1633234591.170411,33,8.383035659790039,dilithium5,10,loss,5%,10,5,13428,330,0,0,0,0,
1633234593.626291,1633234593.631634,34,5.342960357666016,dilithium5,10,loss,5%,9,5,13362,330,0,0,0,0,
1633234594.126022,1633234594.13294,35,6.9179534912109375,dilithium5,10,loss,5%,10,5,13428,330,0,0,0,0,
1633234595.710962,1633234595.715666,36,4.703998565673828,dilithium5,10,loss,5%,10,5,13428,330,0,0,0,0,
1633234597.142209,1633234597.14813,37,5.920886993408203,dilithium5,10,loss,5%,9,4,13362,264,0,0,0,0,
1633234598.528684,1633234598.775734,38,247.05004692077637,dilithium5,10,loss,5%,16,0,13836,0,0,0,0,0,
1633234613.13349,1633234613.144052,39,10.561943054199219,dilithium5,10,loss,5%,9,5,13362,330,0,0,0,0,
1633234614.475121,1633234614.480527,40,5.405902862548828,dilithium5,10,loss,5%,10,4,13428,264,0,0,0,0,
1633234616.112148,1633234616.12371,41,11.561870574951172,dilithium5,10,loss,5%,15,6,13758,396,0,0,0,0,
1633234617.586613,1633234617.807775,42,221.1620807647705,dilithium5,10,loss,5%,10,5,13428,330,0,0,0,0,
1633234619.055074,1633234619.284156,43,229.0821075439453,dilithium5,10,loss,5%,10,4,13428,264,0,0,0,0,
1633234621.758812,1633234621.786917,44,28.10502052307129,dilithium5,10,loss,5%,13,4,13626,264,0,0,0,0,
1633234623.182942,1633234623.187732,45,4.790067672729492,dilithium5,10,loss,5%,9,23,13362,14286,0,0,0,0,
1633234624.759629,1633234624.767893,46,8.26406478881836,dilithium5,10,loss,5%,15,5,13758,330,0,0,0,0,
1633234626.29191,1633234626.317179,47,25.269031524658203,dilithium5,10,loss,5%,13,5,13626,330,0,0,0,0,
1633234641.111975,1633234641.36846,48,256.4849853515625,dilithium5,10,loss,5%,19,0,14034,0,0,0,0,0,
1633234642.740563,1633234642.749722,49,9.159088134765625,dilithium5,10,loss,5%,9,5,13362,330,0,0,0,0,
1633234644.267332,1633234644.284777,50,17.444849014282227,dilithium5,10,loss,5%,12,6,13560,396,0,0,0,0,
1633234645.651253,1633234645.655912,51,4.658937454223633,dilithium5,10,loss,5%,9,5,13362,330,0,0,0,0,
1633234647.050472,1633234647.059847,52,9.37509536743164,dilithium5,10,loss,5%,10,4,13428,264,0,0,0,0,
1633234648.571667,1633234648.584093,53,12.426137924194336,dilithium5,10,loss,5%,10,4,13428,264,0,0,0,0,
1633234650.103928,1633234650.335576,54,231.64796829223633,dilithium5,10,loss,5%,14,6,13692,396,0,0,0,0,
1633234651.576643,1633234651.584689,55,8.04591178894043,dilithium5,10,loss,5%,12,5,13560,330,0,0,0,0,
1633234652.898607,1633234653.352669,56,454.06198501586914,dilithium5,10,loss,5%,16,0,13836,0,0,0,0,0,
1633234655.547687,1633234655.551907,57,4.220008850097656,dilithium5,10,loss,5%,8,4,13296,264,0,0,0,0,
1633234669.518587,1633234670.370044,58,851.456880569458,dilithium5,10,loss,5%,13,4,13626,264,0,0,0,0,
1633234670.990771,1633234671.258678,59,267.90690422058105,dilithium5,10,loss,5%,15,0,14357,0,0,0,0,0,
1633234673.280791,1633234673.517343,60,236.55200004577637,dilithium5,10,loss,5%,13,0,13638,0,0,0,0,0,
1633234673.659761,1633234673.67127,61,11.508941650390625,dilithium5,10,loss,5%,9,7,13362,462,0,0,0,0,
