Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1633224160.34492,1633224160.360702,0,15.78211784362793,falcon1024,10,corrupt,35%,8,6,5832,472,0,0,0,0,
1633224161.586678,1633224161.606723,1,20.045042037963867,falcon1024,10,corrupt,35%,8,5,5832,330,0,0,0,0,
1633224162.834334,1633224164.285682,2,1451.348066329956,falcon1024,10,corrupt,35%,22,0,7274,0,0,0,0,0,
1633224164.342629,1633224164.574117,3,231.48798942565918,falcon1024,10,corrupt,35%,11,7,6553,602,0,0,0,0,
1633224165.69208,1633224165.70725,4,15.170097351074219,falcon1024,10,corrupt,35%,8,4,5835,264,0,0,0,0,
1633224167.307864,1633224167.332774,5,24.90997314453125,falcon1024,10,corrupt,35%,8,6,5830,396,0,0,0,0,
1633224168.866421,1633224169.113588,6,247.16711044311523,falcon1024,10,corrupt,35%,11,5,6543,330,0,0,0,0,
1633224170.250987,1633224170.267413,7,16.42584800720215,falcon1024,10,corrupt,35%,10,10,5962,660,0,0,0,0,
1633224171.717219,1633224171.739784,8,22.56488800048828,falcon1024,10,corrupt,35%,9,7,5904,462,0,0,0,0,
1633224173.134568,1633224173.173608,9,39.04008865356445,falcon1024,10,corrupt,35%,10,7,5966,462,0,0,0,0,
1633224188.88948,1633224189.111665,10,222.1848964691162,falcon1024,10,corrupt,35%,9,4,6422,264,0,0,0,0,
1633224189.146749,1633224190.377801,11,1231.0519218444824,falcon1024,10,corrupt,35%,6,0,1454,0,0,0,0,0,
1633224190.446613,1633224190.46064,12,14.026880264282227,falcon1024,10,corrupt,35%,7,22,5765,6882,0,0,0,0,
1633224191.906175,1633224192.147075,13,240.90003967285156,falcon1024,10,corrupt,35%,9,6,6415,396,0,0,0,0,
1633224193.571459,1633224193.5962,14,24.740934371948242,falcon1024,10,corrupt,35%,8,10,5832,672,0,0,0,0,
1633224194.896241,1633224195.944046,15,1047.8050708770752,falcon1024,10,corrupt,35%,9,7,5901,462,0,0,0,0,
1633224196.33418,1633224197.560103,16,1225.9228229522705,falcon1024,10,corrupt,35%,12,3,6616,198,0,0,0,0,
1633224197.683266,1633224200.607983,17,2924.7171878814697,falcon1024,10,corrupt,35%,18,7,7572,1007,0,0,0,0,
