Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1633299971.905325,1633299971.926889,0,21.564006805419922,falcon1024,10,duplicate,20%,11,6,6029,472,0,0,0,0,
1633299973.31845,1633299973.33552,1,17.07005500793457,falcon1024,10,duplicate,20%,11,4,6046,264,0,0,0,0,
1633299974.628,1633299974.646733,2,18.73302459716797,falcon1024,10,duplicate,20%,10,4,6492,264,0,0,0,0,
1633299975.846928,1633299975.859697,3,12.769222259521484,falcon1024,10,duplicate,20%,11,7,6048,538,0,0,0,0,
1633299977.296991,1633299977.314137,4,17.145872116088867,falcon1024,10,duplicate,20%,11,4,6041,264,0,0,0,0,
1633299978.723947,1633299978.747676,5,23.72884750366211,falcon1024,10,duplicate,20%,12,5,6628,330,0,0,0,0,
1633299980.237405,1633299980.265453,6,28.048038482666016,falcon1024,10,duplicate,20%,8,5,5835,330,0,0,0,0,
1633299981.724051,1633299981.747302,7,23.251056671142578,falcon1024,10,duplicate,20%,8,7,5832,538,0,0,0,0,
1633299983.319588,1633299983.347684,8,28.09596061706543,falcon1024,10,duplicate,20%,11,5,6029,330,0,0,0,0,
1633299984.585483,1633299984.606726,9,21.242856979370117,falcon1024,10,duplicate,20%,8,5,5833,330,0,0,0,0,
1633299999.083845,1633299999.100199,10,16.354084014892578,falcon1024,10,duplicate,20%,11,7,6033,474,0,0,0,0,
1633300000.47834,1633300000.49858,11,20.240068435668945,falcon1024,10,duplicate,20%,11,5,6565,330,0,0,0,0,
1633300001.816461,1633300001.844464,12,28.00297737121582,falcon1024,10,duplicate,20%,12,4,6102,264,0,0,0,0,
1633300003.240787,1633300003.278442,13,37.654876708984375,falcon1024,10,duplicate,20%,14,4,6771,264,0,0,0,0,
1633300004.742244,1633300004.760752,14,18.507957458496094,falcon1024,10,duplicate,20%,8,7,5834,538,0,0,0,0,
1633300006.254275,1633300006.280971,15,26.695966720581055,falcon1024,10,duplicate,20%,8,8,5837,540,0,0,0,0,
1633300007.78292,1633300007.796267,16,13.347148895263672,falcon1024,10,duplicate,20%,8,6,5837,472,0,0,0,0,
1633300009.220294,1633300009.24076,17,20.466089248657227,falcon1024,10,duplicate,20%,10,5,5963,330,0,0,0,0,
1633300010.784336,1633300010.808007,18,23.67091178894043,falcon1024,10,duplicate,20%,15,7,6316,538,0,0,0,0,
1633300012.15129,1633300012.183828,19,32.53817558288574,falcon1024,10,duplicate,20%,11,6,6559,771,0,0,0,0,
1633300026.890226,1633300026.918025,20,27.799129486083984,falcon1024,10,duplicate,20%,12,9,7008,682,0,0,0,0,
1633300028.244238,1633300028.272109,21,27.871131896972656,falcon1024,10,duplicate,20%,12,4,6630,264,0,0,0,0,
1633300029.604149,1633300029.627613,22,23.463964462280273,falcon1024,10,duplicate,20%,17,6,6443,472,0,0,0,0,
1633300030.832728,1633300030.852404,23,19.67620849609375,falcon1024,10,duplicate,20%,12,5,6113,330,0,0,0,0,
1633300032.283982,1633300032.306699,24,22.716999053955078,falcon1024,10,duplicate,20%,14,5,6247,330,0,0,0,0,
1633300033.752007,1633300033.782782,25,30.775070190429688,falcon1024,10,duplicate,20%,8,7,5835,474,0,0,0,0,
1633300035.287246,1633300035.310762,26,23.515939712524414,falcon1024,10,duplicate,20%,12,8,6625,604,0,0,0,0,
1633300036.66816,1633300036.695113,27,26.95298194885254,falcon1024,10,duplicate,20%,10,6,5960,396,0,0,0,0,
1633300038.007656,1633300038.03611,28,28.453826904296875,falcon1024,10,duplicate,20%,16,4,6905,264,0,0,0,0,
1633300039.40455,1633300039.42483,29,20.279884338378906,falcon1024,10,duplicate,20%,11,4,6041,264,0,0,0,0,
1633300053.823956,1633300053.847826,30,23.869991302490234,falcon1024,10,duplicate,20%,13,5,6164,330,0,0,0,0,
1633300055.268098,1633300055.291661,31,23.562908172607422,falcon1024,10,duplicate,20%,12,4,6629,264,0,0,0,0,
1633300056.792424,1633300056.819409,32,26.98493003845215,falcon1024,10,duplicate,20%,12,4,6092,264,0,0,0,0,
1633300058.093458,1633300058.111334,33,17.876148223876953,falcon1024,10,duplicate,20%,8,5,5831,330,0,0,0,0,
1633300059.406278,1633300059.435233,34,28.95522117614746,falcon1024,10,duplicate,20%,10,5,5962,330,0,0,0,0,
1633300060.894166,1633300060.907623,35,13.457059860229492,falcon1024,10,duplicate,20%,9,5,5903,330,0,0,0,0,
1633300062.299259,1633300062.313814,36,14.554977416992188,falcon1024,10,duplicate,20%,11,5,6556,330,0,0,0,0,
1633300063.755838,1633300063.772461,37,16.62302017211914,falcon1024,10,duplicate,20%,18,7,7036,538,0,0,0,0,
1633300065.458835,1633300065.47637,38,17.53520965576172,falcon1024,10,duplicate,20%,10,7,6501,538,0,0,0,0,
1633300066.878324,1633300066.895183,39,16.859054565429688,falcon1024,10,duplicate,20%,10,4,6492,264,0,0,0,0,
1633300081.40812,1633300081.42565,40,17.529964447021484,falcon1024,10,duplicate,20%,11,9,6560,682,0,0,0,0,
1633300082.896223,1633300082.91174,41,15.516996383666992,falcon1024,10,duplicate,20%,12,9,6114,682,0,0,0,0,
1633300084.331862,1633300084.354896,42,23.034095764160156,falcon1024,10,duplicate,20%,8,7,5836,538,0,0,0,0,
1633300085.815953,1633300085.840706,43,24.753093719482422,falcon1024,10,duplicate,20%,15,7,6308,538,0,0,0,0,
1633300087.346676,1633300087.379626,44,32.94992446899414,falcon1024,10,duplicate,20%,14,7,6760,538,0,0,0,0,
1633300088.722808,1633300088.752024,45,29.21605110168457,falcon1024,10,duplicate,20%,15,7,6310,474,0,0,0,0,
1633300090.104372,1633300090.127171,46,22.799015045166016,falcon1024,10,duplicate,20%,14,4,6234,264,0,0,0,0,
1633300091.647228,1633300091.678665,47,31.436920166015625,falcon1024,10,duplicate,20%,8,7,5835,840,0,0,0,0,
1633300093.111591,1633300093.14586,48,34.268856048583984,falcon1024,10,duplicate,20%,11,5,6029,330,0,0,0,0,
