Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1633234986.339728,1633234986.364372,0,24.643898010253906,falcon1024,10,loss,0%,8,4,5831,264,0,0,0,0,
1633234987.746,1633234987.761644,1,15.643835067749023,falcon1024,10,loss,0%,8,5,5828,330,0,0,0,0,
1633234989.173935,1633234989.189561,2,15.625953674316406,falcon1024,10,loss,0%,8,4,5829,264,0,0,0,0,
1633234990.475019,1633234990.491652,3,16.633033752441406,falcon1024,10,loss,0%,8,4,5831,264,0,0,0,0,
1633234991.998633,1633234992.015158,4,16.5250301361084,falcon1024,10,loss,0%,8,4,5829,264,0,0,0,0,
1633234993.55151,1633234993.576283,5,24.77288246154785,falcon1024,10,loss,0%,8,4,5840,264,0,0,0,0,
1633234995.004904,1633234995.019276,6,14.371871948242188,falcon1024,10,loss,0%,8,4,5831,264,0,0,0,0,
1633234996.510419,1633234996.524899,7,14.480113983154297,falcon1024,10,loss,0%,8,4,5836,264,0,0,0,0,
1633234997.911703,1633234997.933362,8,21.658897399902344,falcon1024,10,loss,0%,8,5,5829,330,0,0,0,0,
1633234999.294785,1633234999.315893,9,21.107912063598633,falcon1024,10,loss,0%,10,5,5967,330,0,0,0,0,
1633235013.904333,1633235014.136649,10,232.3157787322998,falcon1024,10,loss,0%,8,5,5832,330,0,0,0,0,
1633235015.378664,1633235015.403488,11,24.823904037475586,falcon1024,10,loss,0%,8,5,5832,330,0,0,0,0,
1633235016.85824,1633235016.879284,12,21.044015884399414,falcon1024,10,loss,0%,10,5,5967,330,0,0,0,0,
1633235018.312608,1633235018.544859,13,232.25092887878418,falcon1024,10,loss,0%,8,5,5835,330,0,0,0,0,
1633235019.59876,1633235019.611211,14,12.451171875,falcon1024,10,loss,0%,8,5,5836,330,0,0,0,0,
1633235020.976472,1633235020.996169,15,19.697189331054688,falcon1024,10,loss,0%,9,4,5898,264,0,0,0,0,
1633235022.481381,1633235022.506415,16,25.033950805664062,falcon1024,10,loss,0%,8,4,5832,264,0,0,0,0,
1633235023.764789,1633235023.793878,17,29.088973999023438,falcon1024,10,loss,0%,8,4,5831,264,0,0,0,0,
1633235025.243345,1633235025.259843,18,16.498088836669922,falcon1024,10,loss,0%,9,4,5897,264,0,0,0,0,
1633235026.712103,1633235026.739292,19,27.189016342163086,falcon1024,10,loss,0%,10,4,5967,264,0,0,0,0,
1633235042.219541,1633235042.451614,20,232.0728302001953,falcon1024,10,loss,0%,8,4,5832,264,0,0,0,0,
1633235043.747283,1633235043.759947,21,12.664079666137695,falcon1024,10,loss,0%,8,5,5830,330,0,0,0,0,
1633235045.131837,1633235045.160285,22,28.448104858398438,falcon1024,10,loss,0%,10,4,5974,264,0,0,0,0,
1633235046.555569,1633235046.58324,23,27.671098709106445,falcon1024,10,loss,0%,10,6,5962,396,0,0,0,0,
1633235048.115896,1633235048.343936,24,228.03997993469238,falcon1024,10,loss,0%,8,5,5829,330,0,0,0,0,
1633235049.594726,1633235049.639684,25,44.957876205444336,falcon1024,10,loss,0%,13,0,6174,0,0,0,0,0,
1633235051.063487,1633235051.088376,26,24.888992309570312,falcon1024,10,loss,0%,10,4,5963,264,0,0,0,0,
1633235052.680211,1633235052.711118,27,30.90691566467285,falcon1024,10,loss,0%,9,4,5897,264,0,0,0,0,
1633235054.272645,1633235054.314947,28,42.30189323425293,falcon1024,10,loss,0%,13,0,6174,0,0,0,0,0,
1633235055.734301,1633235055.75664,29,22.3388671875,falcon1024,10,loss,0%,7,5,5768,330,0,0,0,0,
