Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1633235180.128115,1633235180.367065,0,238.95001411437988,falcon1024,10,loss,35%,10,5,5964,330,0,0,0,0,
1633235181.626391,1633235181.66246,1,36.06915473937988,falcon1024,10,loss,35%,8,6,5834,408,0,0,0,0,
1633235183.131314,1633235183.147858,2,16.543865203857422,falcon1024,10,loss,35%,8,6,5838,396,0,0,0,0,
1633235184.585027,1633235184.627374,3,42.346954345703125,falcon1024,10,loss,35%,9,5,5896,330,0,0,0,0,
1633235186.227319,1633235186.283587,4,56.26797676086426,falcon1024,10,loss,35%,13,0,6177,0,0,0,0,0,
1633235188.700917,1633235188.924513,5,223.59609603881836,falcon1024,10,loss,35%,8,4,5834,264,0,0,0,0,
1633235189.033937,1633235189.051206,6,17.269134521484375,falcon1024,10,loss,35%,6,5,5705,330,0,0,0,0,
1633235192.030128,1633235192.101808,7,71.68006896972656,falcon1024,10,loss,35%,12,0,6473,0,0,0,0,0,
1633235193.690448,1633235198.244344,8,4553.895950317383,falcon1024,10,loss,35%,19,8,11816,604,0,0,0,0,
1633235209.436954,1633235209.663122,9,226.1679172515869,falcon1024,10,loss,35%,13,0,6175,0,0,0,0,0,
1633235209.743295,1633235209.990224,10,246.92893028259277,falcon1024,10,loss,35%,14,0,6617,0,0,0,0,0,
1633235211.359156,1633235211.408396,11,49.2401123046875,falcon1024,10,loss,35%,13,0,6171,0,0,0,0,0,
1633235213.068496,1633235213.100371,12,31.874895095825195,falcon1024,10,loss,35%,10,6,5963,408,0,0,0,0,
1633235216.930703,1633235216.943725,13,13.022184371948242,falcon1024,10,loss,35%,8,5,5835,330,0,0,0,0,
1633235217.235334,1633235217.25395,14,18.616199493408203,falcon1024,10,loss,35%,8,18,5827,6492,0,0,0,0,
1633235219.710745,1633235219.723054,15,12.308835983276367,falcon1024,10,loss,35%,7,4,5769,264,0,0,0,0,
