Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1633222722.646524,1633222722.656283,0,9.758949279785156,rsa,10,corrupt,5%,8,4,3064,264,0,0,0,0,
1633222724.06547,1633222724.076138,1,10.668039321899414,rsa,10,corrupt,5%,8,5,3064,330,0,0,0,0,
1633222725.532124,1633222725.542983,2,10.859012603759766,rsa,10,corrupt,5%,8,5,3064,330,0,0,0,0,
1633222726.755423,1633222726.775015,3,19.5920467376709,rsa,10,corrupt,5%,8,4,3064,264,0,0,0,0,
1633222728.179033,1633222729.437549,4,1258.5160732269287,rsa,10,corrupt,5%,10,5,3721,330,0,0,0,0,
1633222729.613839,1633222729.626065,5,12.226104736328125,rsa,10,corrupt,5%,8,5,3064,330,0,0,0,0,
1633222731.055919,1633222731.067179,6,11.260032653808594,rsa,10,corrupt,5%,8,4,3064,264,0,0,0,0,
1633222732.710921,1633222732.727753,7,16.83187484741211,rsa,10,corrupt,5%,8,5,3064,330,0,0,0,0,
1633222734.012034,1633222734.023874,8,11.840105056762695,rsa,10,corrupt,5%,8,5,3064,330,0,0,0,0,
1633222735.349784,1633222735.359106,9,9.322166442871094,rsa,10,corrupt,5%,8,5,3064,330,0,0,0,0,
1633222749.946341,1633222749.955688,10,9.346961975097656,rsa,10,corrupt,5%,8,4,3064,264,0,0,0,0,
1633222751.252034,1633222751.263062,11,11.028051376342773,rsa,10,corrupt,5%,8,5,3064,330,0,0,0,0,
1633222752.594993,1633222752.612628,12,17.634868621826172,rsa,10,corrupt,5%,8,4,3064,264,0,0,0,0,
1633222753.907803,1633222754.128004,13,220.2010154724121,rsa,10,corrupt,5%,9,5,3647,330,0,0,0,0,
1633222755.226133,1633222755.234525,14,8.391857147216797,rsa,10,corrupt,5%,8,5,3064,330,0,0,0,0,
1633222756.632709,1633222756.861796,15,229.08687591552734,rsa,10,corrupt,5%,9,5,3647,330,0,0,0,0,
1633222758.033071,1633222758.048901,16,15.830039978027344,rsa,10,corrupt,5%,8,5,3064,330,0,0,0,0,
1633222759.290657,1633222759.298876,17,8.219003677368164,rsa,10,corrupt,5%,8,4,3064,264,0,0,0,0,
1633222760.542363,1633222760.553227,18,10.864019393920898,rsa,10,corrupt,5%,8,5,3064,330,0,0,0,0,
1633222761.930965,1633222761.939235,19,8.270025253295898,rsa,10,corrupt,5%,8,6,3064,396,0,0,0,0,
1633222776.634861,1633222776.64726,20,12.398958206176758,rsa,10,corrupt,5%,8,9,3064,670,0,0,0,0,
1633222777.811207,1633222778.854468,21,1043.2610511779785,rsa,10,corrupt,5%,9,5,3138,330,0,0,0,0,
1633222779.160584,1633222779.304207,22,143.62311363220215,rsa,10,corrupt,5%,10,5,3196,330,0,0,0,0,
1633222780.636337,1633222780.644616,23,8.278846740722656,rsa,10,corrupt,5%,7,5,2998,330,0,0,0,0,
