Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1633298736.809214,1633298736.828464,0,19.249916076660156,rsa,10,duplicate,25%,8,5,3064,330,0,0,0,0,
1633298738.390257,1633298738.403665,1,13.408184051513672,rsa,10,duplicate,25%,8,7,3064,474,0,0,0,0,
1633298739.719091,1633298739.73497,2,15.879154205322266,rsa,10,duplicate,25%,9,6,3130,396,0,0,0,0,
1633298741.228421,1633298741.247964,3,19.542932510375977,rsa,10,duplicate,25%,10,5,3725,330,0,0,0,0,
1633298742.614653,1633298742.635645,4,20.991802215576172,rsa,10,duplicate,25%,8,4,3064,264,0,0,0,0,
1633298743.843327,1633298743.851776,5,8.44883918762207,rsa,10,duplicate,25%,10,5,3196,330,0,0,0,0,
1633298745.219091,1633298745.236092,6,17.00115203857422,rsa,10,duplicate,25%,12,7,3344,538,0,0,0,0,
1633298746.479307,1633298746.496499,7,17.19212532043457,rsa,10,duplicate,25%,13,5,3410,330,0,0,0,0,
1633298747.863016,1633298747.874247,8,11.231184005737305,rsa,10,duplicate,25%,8,5,3064,330,0,0,0,0,
1633298749.386812,1633298749.398928,9,12.115955352783203,rsa,10,duplicate,25%,10,4,3725,264,0,0,0,0,
1633298763.783991,1633298763.796408,10,12.416839599609375,rsa,10,duplicate,25%,8,5,3064,330,0,0,0,0,
1633298765.218322,1633298765.229277,11,10.954856872558594,rsa,10,duplicate,25%,8,7,3064,474,0,0,0,0,
1633298766.856026,1633298766.86712,12,11.094093322753906,rsa,10,duplicate,25%,8,6,3064,472,0,0,0,0,
1633298768.233332,1633298768.246496,13,13.164043426513672,rsa,10,duplicate,25%,8,6,3064,396,0,0,0,0,
1633298769.542447,1633298769.571978,14,29.531002044677734,rsa,10,duplicate,25%,11,4,3278,264,0,0,0,0,
1633298770.79511,1633298770.803598,15,8.487939834594727,rsa,10,duplicate,25%,10,5,3196,330,0,0,0,0,
1633298772.39961,1633298772.411448,16,11.837959289550781,rsa,10,duplicate,25%,12,5,3857,330,0,0,0,0,
1633298773.71512,1633298773.723784,17,8.66389274597168,rsa,10,duplicate,25%,9,5,3130,330,0,0,0,0,
1633298775.22236,1633298775.231041,18,8.681058883666992,rsa,10,duplicate,25%,8,5,3064,330,0,0,0,0,
1633298776.738824,1633298776.766987,19,28.16319465637207,rsa,10,duplicate,25%,9,4,3130,264,0,0,0,0,
1633298791.28571,1633298791.294351,20,8.64100456237793,rsa,10,duplicate,25%,8,4,3064,264,0,0,0,0,
1633298792.731663,1633298792.747618,21,15.954971313476562,rsa,10,duplicate,25%,10,8,3725,604,0,0,0,0,
1633298794.081644,1633298794.091717,22,10.072946548461914,rsa,10,duplicate,25%,8,8,3064,604,0,0,0,0,
1633298795.666921,1633298795.705516,23,38.59519958496094,rsa,10,duplicate,25%,11,7,3278,538,0,0,0,0,
1633298797.071565,1633298797.08345,24,11.88516616821289,rsa,10,duplicate,25%,14,8,4005,540,0,0,0,0,
1633298798.436409,1633298798.459015,25,22.60589599609375,rsa,10,duplicate,25%,14,8,4005,540,0,0,0,0,
1633298799.798684,1633298799.809015,26,10.331153869628906,rsa,10,duplicate,25%,12,8,3344,604,0,0,0,0,
1633298801.393082,1633298801.406223,27,13.141155242919922,rsa,10,duplicate,25%,13,4,3939,264,0,0,0,0,
1633298802.759225,1633298802.78382,28,24.595022201538086,rsa,10,duplicate,25%,8,10,3064,748,0,0,0,0,
1633298804.311653,1633298804.328929,29,17.27604866027832,rsa,10,duplicate,25%,14,7,3476,474,0,0,0,0,
1633298818.798769,1633298818.811811,30,13.041973114013672,rsa,10,duplicate,25%,10,6,3725,396,0,0,0,0,
1633298820.219926,1633298820.251043,31,31.116962432861328,rsa,10,duplicate,25%,11,6,3791,396,0,0,0,0,
1633298821.768222,1633298821.786653,32,18.43094825744629,rsa,10,duplicate,25%,13,4,3410,264,0,0,0,0,
1633298823.266575,1633298823.279987,33,13.411998748779297,rsa,10,duplicate,25%,12,7,3344,538,0,0,0,0,
1633298824.514461,1633298824.526845,34,12.38393783569336,rsa,10,duplicate,25%,10,4,3196,264,0,0,0,0,
1633298826.027179,1633298826.039852,35,12.672901153564453,rsa,10,duplicate,25%,11,10,3791,748,0,0,0,0,
1633298827.255834,1633298827.265138,36,9.303808212280273,rsa,10,duplicate,25%,10,9,3725,682,0,0,0,0,
1633298828.879272,1633298828.896838,37,17.56596565246582,rsa,10,duplicate,25%,10,6,3196,396,0,0,0,0,
1633298830.422513,1633298830.44212,38,19.607067108154297,rsa,10,duplicate,25%,10,6,3725,472,0,0,0,0,
1633298831.988795,1633298831.999279,39,10.483980178833008,rsa,10,duplicate,25%,10,5,3725,330,0,0,0,0,
