Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1633233884.090954,1633233884.304668,0,213.7138843536377,rsa,10,loss,30%,8,5,3064,330,0,0,0,0,
1633233884.427528,1633233885.03751,1,609.9820137023926,rsa,10,loss,30%,20,7,6340,526,0,0,0,0,
1633233885.797925,1633233886.029375,2,231.45008087158203,rsa,10,loss,30%,12,0,3340,0,0,0,0,0,
1633233888.289059,1633233888.526643,3,237.58411407470703,rsa,10,loss,30%,13,0,3406,0,0,0,0,0,
1633233888.794345,1633233889.01921,4,224.86519813537598,rsa,10,loss,30%,7,4,2998,264,0,0,0,0,
1633233890.272222,1633233891.346019,5,1073.7969875335693,rsa,10,loss,30%,14,0,3472,0,0,0,0,0,
1633233891.935758,1633233891.952116,6,16.357898712158203,rsa,10,loss,30%,8,5,3064,330,0,0,0,0,
1633233893.356049,1633233893.606238,7,250.18882751464844,rsa,10,loss,30%,11,0,3274,0,0,0,0,0,
1633233897.818723,1633233898.038365,8,219.64192390441895,rsa,10,loss,30%,7,4,2998,264,0,0,0,0,
1633233909.239881,1633233909.481445,9,241.5640354156494,rsa,10,loss,30%,7,2,2998,132,0,0,0,0,
1633233911.868325,1633233912.294658,10,426.332950592041,rsa,10,loss,30%,5,0,863,0,0,0,0,0,
1633233912.300699,1633233912.302315,11,1.6160011291503906,rsa,10,loss,30%,3,19,2201,3802,0,0,0,0,
1633233913.890769,1633233913.902676,12,11.907100677490234,rsa,10,loss,30%,8,6,3064,408,0,0,0,0,
1633233915.352546,1633233916.011452,13,658.9059829711914,rsa,10,loss,30%,11,0,3274,0,0,0,0,0,
1633233916.739858,1633233917.01362,14,273.7619876861572,rsa,10,loss,30%,14,0,3472,0,0,0,0,0,
1633233918.18302,1633233918.194245,15,11.224985122680664,rsa,10,loss,30%,7,7,2998,462,0,0,0,0,
1633233920.633482,1633233920.641941,16,8.459091186523438,rsa,10,loss,30%,8,4,3064,264,0,0,0,0,
1633233922.350925,1633233922.373333,17,22.408008575439453,rsa,10,loss,30%,7,20,2998,3868,0,0,0,0,
1633233938.784065,1633233939.012002,18,227.9369831085205,rsa,10,loss,30%,7,7,2998,462,0,0,0,0,
1633233941.342671,1633233941.351479,19,8.808135986328125,rsa,10,loss,30%,6,5,2932,330,0,0,0,0,
1633233941.68681,1633233941.695304,20,8.493900299072266,rsa,10,loss,30%,6,8,2932,528,0,0,0,0,
1633233944.259408,1633233944.268094,21,8.686065673828125,rsa,10,loss,30%,8,14,3064,3460,0,0,0,0,
1633233944.743392,1633233944.84052,22,97.12791442871094,rsa,10,loss,30%,8,5,3064,330,0,0,0,0,
1633233947.081421,1633233947.299286,23,217.864990234375,rsa,10,loss,30%,8,2,3064,132,0,0,0,0,
1633233947.509866,1633233948.933874,24,1424.0078926086426,rsa,10,loss,30%,11,5,3274,330,0,0,0,0,
1633233950.139581,1633233954.595062,25,4455.481052398682,rsa,10,loss,30%,17,6,6142,460,0,0,0,0,
1633233971.032444,1633233971.046717,26,14.272928237915039,rsa,10,loss,30%,8,5,7666,330,0,0,0,0,
1633233972.555393,1633233972.575212,27,19.819021224975586,rsa,10,loss,30%,8,5,7666,330,0,0,0,0,
1633233974.011891,1633233974.016475,28,4.584074020385742,rsa,10,loss,30%,8,5,7666,330,0,0,0,0,
