Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1633233909.239879,1633233909.481443,0,241.5640354156494,rsa,10,loss,35%,7,2,2998,132,0,0,0,0,
1633233911.868323,1633233912.294657,1,426.3339042663574,rsa,10,loss,35%,5,0,863,0,0,0,0,0,
1633233912.300698,1633233912.302313,2,1.6150474548339844,rsa,10,loss,35%,3,19,2201,3802,0,0,0,0,
1633233913.890768,1633233913.902675,3,11.906862258911133,rsa,10,loss,35%,8,6,3064,408,0,0,0,0,
1633233915.352545,1633233916.011452,4,658.9069366455078,rsa,10,loss,35%,11,0,3274,0,0,0,0,0,
1633233916.739857,1633233917.013619,5,273.7619876861572,rsa,10,loss,35%,14,0,3472,0,0,0,0,0,
1633233918.183019,1633233918.194244,6,11.224985122680664,rsa,10,loss,35%,7,7,2998,462,0,0,0,0,
1633233920.63348,1633233920.64194,7,8.460044860839844,rsa,10,loss,35%,8,4,3064,264,0,0,0,0,
1633233922.350923,1633233922.373333,8,22.409915924072266,rsa,10,loss,35%,7,20,2998,3868,0,0,0,0,
1633233938.784064,1633233939.012002,9,227.9379367828369,rsa,10,loss,35%,7,7,2998,462,0,0,0,0,
1633233941.342669,1633233941.351478,10,8.809089660644531,rsa,10,loss,35%,6,5,2932,330,0,0,0,0,
1633233941.686808,1633233941.695304,11,8.495807647705078,rsa,10,loss,35%,6,8,2932,528,0,0,0,0,
1633233944.259406,1633233944.268093,12,8.687019348144531,rsa,10,loss,35%,8,14,3064,3460,0,0,0,0,
1633233944.743391,1633233944.840518,13,97.12696075439453,rsa,10,loss,35%,8,5,3064,330,0,0,0,0,
1633233947.081419,1633233947.299286,14,217.8668975830078,rsa,10,loss,35%,8,2,3064,132,0,0,0,0,
1633233947.509864,1633233948.933872,15,1424.0078926086426,rsa,10,loss,35%,11,5,3274,330,0,0,0,0,
1633233950.13958,1633233954.595061,16,4455.481052398682,rsa,10,loss,35%,17,6,6142,460,0,0,0,0,
1633233971.032442,1633233971.046716,17,14.273881912231445,rsa,10,loss,35%,8,5,7666,330,0,0,0,0,
1633233972.555392,1633233972.575212,18,19.819974899291992,rsa,10,loss,35%,8,5,7666,330,0,0,0,0,
1633233974.01189,1633233974.016475,19,4.585027694702148,rsa,10,loss,35%,8,5,7666,330,0,0,0,0,
1633233975.490687,1633233975.495062,20,4.375219345092773,rsa,10,loss,35%,8,5,7666,330,0,0,0,0,
1633233976.826089,1633233976.836483,21,10.394096374511719,rsa,10,loss,35%,8,5,7666,330,0,0,0,0,
1633233978.135872,1633233978.151362,22,15.490055084228516,rsa,10,loss,35%,10,5,7798,330,0,0,0,0,
1633233979.402037,1633233979.416027,23,13.990163803100586,rsa,10,loss,35%,8,5,7666,330,0,0,0,0,
1633233980.941097,1633233980.946257,24,5.160093307495117,rsa,10,loss,35%,8,4,7666,264,0,0,0,0,
1633233982.355005,1633233982.372726,25,17.720937728881836,rsa,10,loss,35%,8,5,7666,330,0,0,0,0,
1633233983.675362,1633233983.686518,26,11.155843734741211,rsa,10,loss,35%,10,4,7798,264,0,0,0,0,
1633233998.159106,1633233998.170974,27,11.868000030517578,rsa,10,loss,35%,8,5,7666,330,0,0,0,0,
1633233999.577388,1633233999.58278,28,5.391836166381836,rsa,10,loss,35%,8,4,7666,264,0,0,0,0,
1633234001.011615,1633234001.019194,29,7.578849792480469,rsa,10,loss,35%,8,4,7666,264,0,0,0,0,
1633234002.550598,1633234002.56259,30,11.99197769165039,rsa,10,loss,35%,8,5,7666,330,0,0,0,0,
1633234003.967244,1633234003.970861,31,3.6170482635498047,rsa,10,loss,35%,8,4,7666,264,0,0,0,0,
1633234005.408321,1633234005.426428,32,18.107175827026367,rsa,10,loss,35%,8,5,7666,330,0,0,0,0,
1633234006.840956,1633234006.850192,33,9.23609733581543,rsa,10,loss,35%,8,4,7666,264,0,0,0,0,
1633234009.368394,1633234009.374417,34,6.023168563842773,rsa,10,loss,35%,8,5,7666,330,0,0,0,0,
1633234009.634685,1633234009.663652,35,28.966903686523438,rsa,10,loss,35%,12,4,7930,264,0,0,0,0,
1633234011.091217,1633234011.096915,36,5.697965621948242,rsa,10,loss,35%,8,5,7666,330,0,0,0,0,
1633234026.04827,1633234026.061805,37,13.535022735595703,rsa,10,loss,35%,8,4,7666,264,0,0,0,0,
1633234027.47803,1633234027.487543,38,9.513139724731445,rsa,10,loss,35%,8,5,7666,330,0,0,0,0,
1633234028.875008,1633234028.881303,39,6.294965744018555,rsa,10,loss,35%,8,5,7666,330,0,0,0,0,
1633234030.419056,1633234030.427294,40,8.238077163696289,rsa,10,loss,35%,7,4,7600,264,0,0,0,0,
1633234031.63947,1633234031.652023,41,12.552976608276367,rsa,10,loss,35%,12,5,7930,330,0,0,0,0,
1633234032.962309,1633234032.967244,42,4.935026168823242,rsa,10,loss,35%,8,5,7666,330,0,0,0,0,
1633234034.220242,1633234034.228684,43,8.441925048828125,rsa,10,loss,35%,8,4,7666,264,0,0,0,0,
1633234035.510395,1633234035.515697,44,5.301952362060547,rsa,10,loss,35%,8,5,7666,330,0,0,0,0,
1633234036.797812,1633234036.811633,45,13.821125030517578,rsa,10,loss,35%,7,4,7600,264,0,0,0,0,
1633234038.404665,1633234038.410727,46,6.062030792236328,rsa,10,loss,35%,8,5,7666,330,0,0,0,0,
1633234053.15089,1633234053.168107,47,17.216920852661133,rsa,10,loss,35%,10,5,7798,330,0,0,0,0,
1633234054.620727,1633234054.631862,48,11.134862899780273,rsa,10,loss,35%,10,5,7798,330,0,0,0,0,
1633234055.826914,1633234055.832071,49,5.156993865966797,rsa,10,loss,35%,8,6,7666,396,0,0,0,0,
1633234058.298802,1633234058.302516,50,3.7140846252441406,rsa,10,loss,35%,8,4,7666,264,0,0,0,0,
1633234058.658598,1633234058.666873,51,8.275032043457031,rsa,10,loss,35%,8,6,7666,396,0,0,0,0,
1633234060.000649,1633234060.026477,52,25.828123092651367,rsa,10,loss,35%,13,0,8008,0,0,0,0,0,
1633234061.342177,1633234061.376963,53,34.78598594665527,rsa,10,loss,35%,13,0,8008,0,0,0,0,0,
1633234062.625916,1633234062.848663,54,222.7470874786377,rsa,10,loss,35%,8,7,7666,1223,0,0,0,0,
1633234063.921542,1633234063.934926,55,13.384103775024414,rsa,10,loss,35%,8,4,7666,264,0,0,0,0,
1633234065.262213,1633234065.2877,56,25.48694610595703,rsa,10,loss,35%,8,4,7666,264,0,0,0,0,
1633234080.92703,1633234080.930651,57,3.6208629608154297,rsa,10,loss,35%,6,5,7534,330,0,0,0,0,
1633234081.122697,1633234081.128484,58,5.786895751953125,rsa,10,loss,35%,8,6,7666,396,0,0,0,0,
1633234082.338981,1633234082.346869,59,7.888078689575195,rsa,10,loss,35%,9,4,7732,264,0,0,0,0,
1633234083.819978,1633234084.071261,60,251.2829303741455,rsa,10,loss,35%,12,0,7942,0,0,0,0,0,
1633234086.394435,1633234086.3981,61,3.6649703979492188,rsa,10,loss,35%,8,5,7666,330,0,0,0,0,
1633234086.876112,1633234086.88315,62,7.038116455078125,rsa,10,loss,35%,7,5,7600,330,0,0,0,0,
1633234088.29102,1633234088.295585,63,4.565000534057617,rsa,10,loss,35%,8,4,7666,264,0,0,0,0,
1633234089.59572,1633234089.606422,64,10.701894760131836,rsa,10,loss,35%,8,5,7666,330,0,0,0,0,
1633234091.22615,1633234091.44487,65,218.7199592590332,rsa,10,loss,35%,10,4,7798,264,0,0,0,0,
1633234092.628108,1633234093.045697,66,417.5889492034912,rsa,10,loss,35%,8,5,7666,330,0,0,0,0,
1633234107.330762,1633234107.543744,67,212.982177734375,rsa,10,loss,35%,8,4,7666,264,0,0,0,0,
1633234109.790041,1633234109.794062,68,4.020929336547852,rsa,10,loss,35%,8,5,7666,330,0,0,0,0,
1633234110.215161,1633234110.226275,69,11.113882064819336,rsa,10,loss,35%,8,5,7666,330,0,0,0,0,
1633234111.586366,1633234111.591328,70,4.961967468261719,rsa,10,loss,35%,7,4,7600,264,0,0,0,0,
1633234112.951596,1633234113.172037,71,220.44086456298828,rsa,10,loss,35%,8,5,7666,330,0,0,0,0,
1633234114.223268,1633234114.232204,72,8.935928344726562,rsa,10,loss,35%,9,5,7732,330,0,0,0,0,
1633234115.639827,1633234115.647096,73,7.2689056396484375,rsa,10,loss,35%,8,5,7666,330,0,0,0,0,
1633234117.187507,1633234118.667107,74,1479.600191116333,rsa,10,loss,35%,25,5,15926,330,0,0,0,0,
1633234123.100679,1633234123.104295,75,3.6160945892333984,rsa,10,loss,35%,8,5,7666,330,0,0,0,0,
1633234135.640463,1633234135.662556,76,22.092819213867188,rsa,10,loss,35%,12,0,7942,0,0,0,0,0,
1633234135.942818,1633234135.95085,77,8.032083511352539,rsa,10,loss,35%,7,5,7600,330,0,0,0,0,
1633234137.439369,1633234137.675857,78,236.48810386657715,rsa,10,loss,35%,13,0,8008,0,0,0,0,0,
