Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1633127486.833588,1633127486.849101,0,15.513181686401367,dilithium2,1000,loss,10%,10,5,7798,330,0,0,0,0,
1633127489.263937,1633127489.267473,1,3.5359859466552734,dilithium2,1000,loss,10%,7,5,7600,330,0,0,0,0,
1633127489.581676,1633127489.590262,2,8.585929870605469,dilithium2,1000,loss,10%,8,5,7666,330,0,0,0,0,
1633127491.104378,1633127491.110413,3,6.035089492797852,dilithium2,1000,loss,10%,7,5,7600,330,0,0,0,0,
1633127492.438338,1633127492.445036,4,6.697893142700195,dilithium2,1000,loss,10%,8,5,7666,330,0,0,0,0,
1633127493.896426,1633127493.900081,5,3.654956817626953,dilithium2,1000,loss,10%,7,5,7600,330,0,0,0,0,
1633127495.38312,1633127495.388581,6,5.460977554321289,dilithium2,1000,loss,10%,8,5,7666,330,0,0,0,0,
1633127496.741258,1633127496.74941,7,8.152008056640625,dilithium2,1000,loss,10%,9,5,7732,330,0,0,0,0,
1633127498.163935,1633127498.172658,8,8.723020553588867,dilithium2,1000,loss,10%,8,4,7666,264,0,0,0,0,
1633127500.433898,1633127500.660388,9,226.49002075195312,dilithium2,1000,loss,10%,14,0,8074,0,0,0,0,0,
1633127500.682053,1633127500.725314,10,43.260812759399414,dilithium2,1000,loss,10%,13,0,8008,0,0,0,0,0,
1633127501.980112,1633127502.252364,11,272.25184440612793,dilithium2,1000,loss,10%,13,0,8008,0,0,0,0,0,
1633127503.472976,1633127503.481774,12,8.79812240600586,dilithium2,1000,loss,10%,8,5,7666,330,0,0,0,0,
1633127505.071174,1633127505.079942,13,8.768081665039062,dilithium2,1000,loss,10%,12,4,7930,264,0,0,0,0,
1633127506.355835,1633127506.583549,14,227.71406173706055,dilithium2,1000,loss,10%,8,5,7666,330,0,0,0,0,
1633127507.733725,1633127507.750687,15,16.96181297302246,dilithium2,1000,loss,10%,9,4,7732,264,0,0,0,0,
1633127509.059996,1633127509.064362,16,4.366159439086914,dilithium2,1000,loss,10%,8,5,7666,330,0,0,0,0,
1633127510.404,1633127510.409566,17,5.565881729125977,dilithium2,1000,loss,10%,8,6,7666,396,0,0,0,0,
1633127511.96766,1633127511.978416,18,10.75601577758789,dilithium2,1000,loss,10%,8,5,7666,330,0,0,0,0,
1633127513.412847,1633127513.420021,19,7.174015045166016,dilithium2,1000,loss,10%,10,5,7798,330,0,0,0,0,
