Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1633128951.485007,1633128951.492236,0,7.228851318359375,dilithium2,1000,loss,15%,10,5,7798,330,0,0,0,0,
1633128953.065223,1633128953.072608,1,7.385015487670898,dilithium2,1000,loss,15%,8,5,7666,330,0,0,0,0,
1633128954.644483,1633128954.65438,2,9.896993637084961,dilithium2,1000,loss,15%,12,6,7930,408,0,0,0,0,
1633128956.146401,1633128956.164317,3,17.915964126586914,dilithium2,1000,loss,15%,11,4,7864,264,0,0,0,0,
1633128957.574292,1633128957.616723,4,42.43111610412598,dilithium2,1000,loss,15%,16,0,8206,0,0,0,0,0,
1633128958.970397,1633128958.981694,5,11.296987533569336,dilithium2,1000,loss,15%,9,4,7732,264,0,0,0,0,
1633128960.316537,1633128960.324333,6,7.796049118041992,dilithium2,1000,loss,15%,10,4,7798,264,0,0,0,0,
1633128962.766772,1633128962.770479,7,3.7069320678710938,dilithium2,1000,loss,15%,8,5,7666,330,0,0,0,0,
1633128963.21144,1633128963.219215,8,7.774829864501953,dilithium2,1000,loss,15%,8,5,7666,330,0,0,0,0,
1633128964.772745,1633128964.788364,9,15.619039535522461,dilithium2,1000,loss,15%,8,6,7666,408,0,0,0,0,
1633128967.186796,1633128967.398551,10,211.75503730773926,dilithium2,1000,loss,15%,8,4,7666,264,0,0,0,0,
1633128967.617118,1633128967.625527,11,8.40902328491211,dilithium2,1000,loss,15%,9,5,7732,330,0,0,0,0,
1633128969.117689,1633128969.123257,12,5.568027496337891,dilithium2,1000,loss,15%,8,4,7666,264,0,0,0,0,
1633128970.563273,1633128970.821778,13,258.50510597229004,dilithium2,1000,loss,15%,17,0,8272,0,0,0,0,0,
1633128972.056337,1633128972.065874,14,9.536981582641602,dilithium2,1000,loss,15%,12,4,7930,264,0,0,0,0,
1633128974.384765,1633128974.597112,15,212.34703063964844,dilithium2,1000,loss,15%,8,4,7666,276,0,0,0,0,
1633128975.019759,1633128976.104111,16,1084.3520164489746,dilithium2,1000,loss,15%,9,4,7732,264,0,0,0,0,
1633128976.422702,1633128976.646148,17,223.44589233398438,dilithium2,1000,loss,15%,8,5,7666,330,0,0,0,0,
1633128977.916368,1633128978.133809,18,217.44108200073242,dilithium2,1000,loss,15%,8,4,7666,264,0,0,0,0,
1633128979.485974,1633128979.49348,19,7.505893707275391,dilithium2,1000,loss,15%,7,6,7600,396,0,0,0,0,
1633128980.953279,1633128980.966425,20,13.145923614501953,dilithium2,1000,loss,15%,12,4,7930,264,0,0,0,0,
1633128982.318516,1633128982.554336,21,235.82005500793457,dilithium2,1000,loss,15%,11,5,7864,330,0,0,0,0,
1633128983.681177,1633128983.692951,22,11.774063110351562,dilithium2,1000,loss,15%,8,4,7666,264,0,0,0,0,
1633128985.200262,1633128985.217314,23,17.05193519592285,dilithium2,1000,loss,15%,8,4,7666,264,0,0,0,0,
1633128986.654793,1633128986.896512,24,241.71900749206543,dilithium2,1000,loss,15%,15,0,8140,0,0,0,0,0,
1633128988.170344,1633128988.177673,25,7.328987121582031,dilithium2,1000,loss,15%,10,5,7798,330,0,0,0,0,
1633128989.641809,1633128989.647877,26,6.067991256713867,dilithium2,1000,loss,15%,9,5,7732,330,0,0,0,0,
1633128991.041283,1633128991.261191,27,219.9079990386963,dilithium2,1000,loss,15%,8,4,7666,264,0,0,0,0,
1633128992.502227,1633128992.529295,28,27.067899703979492,dilithium2,1000,loss,15%,10,4,7798,264,0,0,0,0,
1633128995.091212,1633128995.304733,29,213.52100372314453,dilithium2,1000,loss,15%,8,4,7666,264,0,0,0,0,
1633128995.565666,1633128995.580296,30,14.63007926940918,dilithium2,1000,loss,15%,10,4,7798,264,0,0,0,0,
1633128996.969901,1633128996.97759,31,7.688999176025391,dilithium2,1000,loss,15%,9,5,7732,330,0,0,0,0,
1633128998.461706,1633128998.465522,32,3.8161277770996094,dilithium2,1000,loss,15%,8,5,7666,330,0,0,0,0,
1633128999.784518,1633128999.789564,33,5.045890808105469,dilithium2,1000,loss,15%,8,4,7666,264,0,0,0,0,
1633129001.398081,1633129001.441748,34,43.666839599609375,dilithium2,1000,loss,15%,16,0,8967,0,0,0,0,0,
1633129002.873242,1633129002.877595,35,4.353046417236328,dilithium2,1000,loss,15%,7,4,7600,264,0,0,0,0,
1633129004.288859,1633129004.293723,36,4.864215850830078,dilithium2,1000,loss,15%,7,4,7600,264,0,0,0,0,
1633129005.725712,1633129005.740727,37,15.014886856079102,dilithium2,1000,loss,15%,12,5,7930,330,0,0,0,0,
1633129007.090329,1633129007.123178,38,32.84907341003418,dilithium2,1000,loss,15%,15,0,8140,0,0,0,0,0,
1633129008.64256,1633129008.65015,39,7.590055465698242,dilithium2,1000,loss,15%,10,4,7798,264,0,0,0,0,
1633129010.990523,1633129011.011471,40,20.947933197021484,dilithium2,1000,loss,15%,9,0,7680,0,0,0,0,0,
1633129011.210231,1633129011.231879,41,21.647930145263672,dilithium2,1000,loss,15%,13,7,8060,462,0,0,0,0,
1633129012.684794,1633129012.900427,42,215.63315391540527,dilithium2,1000,loss,15%,9,4,7732,264,0,0,0,0,
1633129014.101157,1633129014.10651,43,5.352973937988281,dilithium2,1000,loss,15%,8,4,7666,264,0,0,0,0,
1633129015.499931,1633129015.721112,44,221.18091583251953,dilithium2,1000,loss,15%,7,5,7600,330,0,0,0,0,
1633129017.095085,1633129017.114375,45,19.29020881652832,dilithium2,1000,loss,15%,8,7,7666,462,0,0,0,0,
1633129018.609666,1633129018.617828,46,8.161783218383789,dilithium2,1000,loss,15%,9,6,7732,396,0,0,0,0,
1633129021.232586,1633129021.23612,47,3.534078598022461,dilithium2,1000,loss,15%,8,4,7666,276,0,0,0,0,
1633129021.571632,1633129021.670248,48,98.61612319946289,dilithium2,1000,loss,15%,10,4,7798,264,0,0,0,0,
1633129023.001642,1633129023.017439,49,15.796899795532227,dilithium2,1000,loss,15%,13,0,8008,0,0,0,0,0,
1633129024.424383,1633129024.429514,50,5.131006240844727,dilithium2,1000,loss,15%,7,5,7600,330,0,0,0,0,
1633129025.817021,1633129025.821508,51,4.487037658691406,dilithium2,1000,loss,15%,8,4,7666,264,0,0,0,0,
1633129027.056431,1633129027.062988,52,6.556987762451172,dilithium2,1000,loss,15%,10,5,7798,330,0,0,0,0,
1633129028.441545,1633129028.676877,53,235.33201217651367,dilithium2,1000,loss,15%,13,0,8008,0,0,0,0,0,
1633129030.094268,1633129030.106035,54,11.766910552978516,dilithium2,1000,loss,15%,12,4,7930,264,0,0,0,0,
1633129032.65505,1633129032.658604,55,3.5538673400878906,dilithium2,1000,loss,15%,8,5,7666,330,0,0,0,0,
1633129033.008516,1633129033.013153,56,4.637002944946289,dilithium2,1000,loss,15%,7,5,7600,330,0,0,0,0,
1633129034.456485,1633129034.461423,57,4.937887191772461,dilithium2,1000,loss,15%,7,4,7600,264,0,0,0,0,
1633129037.38505,1633129037.610121,58,225.07095336914062,dilithium2,1000,loss,15%,10,6,7798,396,0,0,0,0,
1633129038.600115,1633129038.609555,59,9.439945220947266,dilithium2,1000,loss,15%,11,22,7864,8602,0,0,0,0,
1633129040.149039,1633129040.421235,60,272.19605445861816,dilithium2,1000,loss,15%,11,4,7864,264,0,0,0,0,
1633129041.712442,1633129041.718065,61,5.623102188110352,dilithium2,1000,loss,15%,8,4,7666,264,0,0,0,0,
1633129043.183399,1633129043.197354,62,13.955116271972656,dilithium2,1000,loss,15%,11,4,7864,264,0,0,0,0,
1633129044.551463,1633129044.564428,63,12.965202331542969,dilithium2,1000,loss,15%,12,5,7930,330,0,0,0,0,
1633129046.060928,1633129046.065563,64,4.634857177734375,dilithium2,1000,loss,15%,8,5,7666,330,0,0,0,0,
1633129048.52717,1633129048.738692,65,211.52210235595703,dilithium2,1000,loss,15%,8,4,7666,264,0,0,0,0,
1633129049.012855,1633129049.022694,66,9.839057922363281,dilithium2,1000,loss,15%,11,4,7864,264,0,0,0,0,
1633129050.459989,1633129050.682288,67,222.29886054992676,dilithium2,1000,loss,15%,8,5,7666,330,0,0,0,0,
1633129051.99292,1633129052.005908,68,12.988090515136719,dilithium2,1000,loss,15%,12,4,7930,264,0,0,0,0,
1633129053.437888,1633129053.445596,69,7.708072662353516,dilithium2,1000,loss,15%,11,4,7864,264,0,0,0,0,
1633129054.78286,1633129054.792856,70,9.99593734741211,dilithium2,1000,loss,15%,10,5,7798,330,0,0,0,0,
1633129057.235395,1633129057.698069,71,462.6741409301758,dilithium2,1000,loss,15%,15,0,8901,0,0,0,0,0,
1633129058.968321,1633129058.973137,72,4.815816879272461,dilithium2,1000,loss,15%,6,5,7534,330,0,0,0,0,
1633129060.35041,1633129060.357932,73,7.522106170654297,dilithium2,1000,loss,15%,9,5,7732,330,0,0,0,0,
1633129061.665032,1633129061.678575,74,13.543128967285156,dilithium2,1000,loss,15%,12,4,7930,264,0,0,0,0,
1633129063.094195,1633129063.109618,75,15.423059463500977,dilithium2,1000,loss,15%,9,5,7732,330,0,0,0,0,
1633129064.529495,1633129064.534379,76,4.884004592895508,dilithium2,1000,loss,15%,8,5,7666,330,0,0,0,0,
1633129066.130196,1633129066.141681,77,11.484861373901367,dilithium2,1000,loss,15%,12,6,7930,396,0,0,0,0,
1633129067.57724,1633129067.581603,78,4.363059997558594,dilithium2,1000,loss,15%,9,4,7732,264,0,0,0,0,
1633129069.017869,1633129069.032586,79,14.71710205078125,dilithium2,1000,loss,15%,12,4,7930,264,0,0,0,0,
1633129070.489459,1633129070.493146,80,3.6869049072265625,dilithium2,1000,loss,15%,8,4,7666,264,0,0,0,0,
1633129071.94971,1633129071.957626,81,7.91621208190918,dilithium2,1000,loss,15%,10,16,7798,8194,0,0,0,0,
1633129073.488103,1633129073.72165,82,233.54697227478027,dilithium2,1000,loss,15%,14,0,8835,0,0,0,0,0,
1633129075.019083,1633129075.026005,83,6.922006607055664,dilithium2,1000,loss,15%,9,5,7732,330,0,0,0,0,
1633129076.489498,1633129076.708729,84,219.23112869262695,dilithium2,1000,loss,15%,8,4,7666,264,0,0,0,0,
1633129077.838006,1633129077.84257,85,4.564046859741211,dilithium2,1000,loss,15%,8,4,7666,264,0,0,0,0,
1633129079.335957,1633129079.562066,86,226.10902786254883,dilithium2,1000,loss,15%,8,4,7666,264,0,0,0,0,
1633129080.846376,1633129080.853232,87,6.855964660644531,dilithium2,1000,loss,15%,9,4,7732,264,0,0,0,0,
1633129082.11787,1633129082.146905,88,29.034852981567383,dilithium2,1000,loss,15%,15,0,8140,0,0,0,0,0,
1633129083.874328,1633129083.878001,89,3.673076629638672,dilithium2,1000,loss,15%,8,4,7666,264,0,0,0,0,
1633129085.398168,1633129085.401998,90,3.8299560546875,dilithium2,1000,loss,15%,8,6,7666,408,0,0,0,0,
1633129086.822105,1633129086.841883,91,19.778013229370117,dilithium2,1000,loss,15%,10,4,7798,264,0,0,0,0,
1633129088.267824,1633129088.277498,92,9.674072265625,dilithium2,1000,loss,15%,8,4,7666,264,0,0,0,0,
1633129089.749159,1633129089.767433,93,18.27383041381836,dilithium2,1000,loss,15%,15,0,8140,0,0,0,0,0,
1633129091.268082,1633129091.272381,94,4.299163818359375,dilithium2,1000,loss,15%,8,4,7666,264,0,0,0,0,
1633129092.941548,1633129092.947102,95,5.553960800170898,dilithium2,1000,loss,15%,8,4,7666,264,0,0,0,0,
1633129094.461424,1633129094.468042,96,6.61778450012207,dilithium2,1000,loss,15%,9,5,7732,330,0,0,0,0,
1633129095.860959,1633129095.866036,97,5.076885223388672,dilithium2,1000,loss,15%,8,5,7666,330,0,0,0,0,
1633129098.420727,1633129098.42496,98,4.232883453369141,dilithium2,1000,loss,15%,8,4,7666,264,0,0,0,0,
1633129098.933462,1633129099.17813,99,244.66800689697266,dilithium2,1000,loss,15%,9,5,7732,330,0,0,0,0,
1633129100.22567,1633129100.237163,100,11.49296760559082,dilithium2,1000,loss,15%,10,5,7798,330,0,0,0,0,
1633129101.573127,1633129101.576733,101,3.606081008911133,dilithium2,1000,loss,15%,8,4,7666,264,0,0,0,0,
