Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1633142135.08088,1633142135.089589,0,8.709192276000977,dilithium3,1000,loss,15%,11,5,10250,330,0,0,0,0,
1633142136.497412,1633142136.520491,1,23.07891845703125,dilithium3,1000,loss,15%,13,5,10382,330,0,0,0,0,
1633142139.022945,1633142139.027779,2,4.834175109863281,dilithium3,1000,loss,15%,9,5,10118,330,0,0,0,0,
1633142139.42212,1633142139.65057,3,228.44982147216797,dilithium3,1000,loss,15%,12,5,10316,330,0,0,0,0,
1633142143.408323,1633142143.61978,4,211.4570140838623,dilithium3,1000,loss,15%,9,4,10118,264,0,0,0,0,
1633142143.837663,1633142143.846636,5,8.973121643066406,dilithium3,1000,loss,15%,9,26,10118,11264,0,0,0,0,
1633142145.333054,1633142145.337532,6,4.477977752685547,dilithium3,1000,loss,15%,10,5,10184,330,0,0,0,0,
1633142146.814983,1633142146.820947,7,5.964040756225586,dilithium3,1000,loss,15%,10,5,10184,330,0,0,0,0,
1633142148.262042,1633142148.269582,8,7.539987564086914,dilithium3,1000,loss,15%,10,6,10184,396,0,0,0,0,
1633142149.720218,1633142149.729445,9,9.22703742980957,dilithium3,1000,loss,15%,13,4,10382,264,0,0,0,0,
1633142151.242007,1633142151.464935,10,222.92804718017578,dilithium3,1000,loss,15%,12,5,10316,330,0,0,0,0,
1633142152.741635,1633142152.76992,11,28.28502655029297,dilithium3,1000,loss,15%,17,0,10658,0,0,0,0,0,
1633142155.310801,1633142155.315246,12,4.445075988769531,dilithium3,1000,loss,15%,10,4,10184,264,0,0,0,0,
1633142155.907202,1633142155.917613,13,10.41102409362793,dilithium3,1000,loss,15%,9,5,10118,330,0,0,0,0,
1633142157.372793,1633142157.382162,14,9.369134902954102,dilithium3,1000,loss,15%,11,5,10250,330,0,0,0,0,
1633142158.887823,1633142158.904762,15,16.93892478942871,dilithium3,1000,loss,15%,17,0,10658,0,0,0,0,0,
1633142160.405894,1633142160.634994,16,229.09998893737793,dilithium3,1000,loss,15%,12,5,10316,330,0,0,0,0,
1633142162.002061,1633142162.012617,17,10.556221008300781,dilithium3,1000,loss,15%,12,5,10316,330,0,0,0,0,
1633142163.437162,1633142163.446733,18,9.571075439453125,dilithium3,1000,loss,15%,13,4,10382,264,0,0,0,0,
1633142164.901348,1633142164.909325,19,7.976770401000977,dilithium3,1000,loss,15%,9,4,10118,264,0,0,0,0,
1633142166.185586,1633142166.208099,20,22.51291275024414,dilithium3,1000,loss,15%,10,4,10184,264,0,0,0,0,
1633142167.714304,1633142167.755226,21,40.921926498413086,dilithium3,1000,loss,15%,16,0,10592,0,0,0,0,0,
1633142169.277637,1633142169.293577,22,15.939950942993164,dilithium3,1000,loss,15%,10,6,10184,408,0,0,0,0,
1633142170.678113,1633142170.689827,23,11.713981628417969,dilithium3,1000,loss,15%,13,4,10382,264,0,0,0,0,
1633142172.149664,1633142172.157845,24,8.181095123291016,dilithium3,1000,loss,15%,14,5,10448,330,0,0,0,0,
1633142173.608821,1633142173.620934,25,12.113094329833984,dilithium3,1000,loss,15%,13,4,10382,264,0,0,0,0,
1633142175.167377,1633142175.387921,26,220.54409980773926,dilithium3,1000,loss,15%,14,4,10448,264,0,0,0,0,
1633142177.680532,1633142177.699862,27,19.33002471923828,dilithium3,1000,loss,15%,15,0,10526,0,0,0,0,0,
1633142178.070531,1633142178.07985,28,9.319067001342773,dilithium3,1000,loss,15%,11,5,10250,330,0,0,0,0,
1633142181.968241,1633142182.183267,29,215.0261402130127,dilithium3,1000,loss,15%,10,5,10184,330,0,0,0,0,
1633142182.370543,1633142182.382439,30,11.895895004272461,dilithium3,1000,loss,15%,9,23,10118,11042,0,0,0,0,
1633142183.675368,1633142183.682154,31,6.785869598388672,dilithium3,1000,loss,15%,9,7,10118,462,0,0,0,0,
1633142185.041669,1633142185.049563,32,7.894039154052734,dilithium3,1000,loss,15%,11,4,10250,264,0,0,0,0,
1633142186.460493,1633142186.466133,33,5.6400299072265625,dilithium3,1000,loss,15%,9,4,10118,264,0,0,0,0,
1633142187.854941,1633142187.870403,34,15.462160110473633,dilithium3,1000,loss,15%,14,5,10448,330,0,0,0,0,
1633142190.160613,1633142190.164957,35,4.343986511230469,dilithium3,1000,loss,15%,10,4,10184,264,0,0,0,0,
1633142190.429516,1633142190.476634,36,47.11794853210449,dilithium3,1000,loss,15%,14,0,10460,0,0,0,0,0,
1633142191.720837,1633142191.728711,37,7.873773574829102,dilithium3,1000,loss,15%,14,5,10448,330,0,0,0,0,
1633142193.086912,1633142193.309556,38,222.64409065246582,dilithium3,1000,loss,15%,12,5,10316,330,0,0,0,0,
1633142195.569065,1633142195.573699,39,4.633903503417969,dilithium3,1000,loss,15%,10,4,10184,264,0,0,0,0,
1633142195.92965,1633142196.173137,40,243.48688125610352,dilithium3,1000,loss,15%,15,0,10526,0,0,0,0,0,
1633142197.417768,1633142197.426569,41,8.800983428955078,dilithium3,1000,loss,15%,10,5,10184,330,0,0,0,0,
1633142198.932587,1633142200.400746,42,1468.1591987609863,dilithium3,1000,loss,15%,25,4,20698,264,0,0,0,0,
1633142201.918308,1633142201.927759,43,9.450912475585938,dilithium3,1000,loss,15%,10,5,10184,330,0,0,0,0,
1633142204.368024,1633142204.373546,44,5.5217742919921875,dilithium3,1000,loss,15%,15,0,10526,0,0,0,0,0,
1633142205.807509,1633142206.23034,45,422.83105850219727,dilithium3,1000,loss,15%,15,14,11047,9915,0,0,0,0,
1633142207.766403,1633142207.77803,46,11.626958847045898,dilithium3,1000,loss,15%,9,6,10118,408,0,0,0,0,
1633142209.37726,1633142209.385789,47,8.528947830200195,dilithium3,1000,loss,15%,10,5,10184,330,0,0,0,0,
1633142210.681196,1633142210.690226,48,9.03010368347168,dilithium3,1000,loss,15%,10,4,10184,264,0,0,0,0,
1633142212.105995,1633142212.121846,49,15.851020812988281,dilithium3,1000,loss,15%,12,5,10316,330,0,0,0,0,
