Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1633143599.0869,1633143599.105589,0,18.68891716003418,dilithium3,1000,loss,20%,10,5,10184,330,0,0,0,0,
1633143600.435725,1633143600.476201,1,40.476083755493164,dilithium3,1000,loss,20%,10,4,10184,264,0,0,0,0,
1633143601.988336,1633143601.996003,2,7.666826248168945,dilithium3,1000,loss,20%,13,5,10382,330,0,0,0,0,
1633143603.397369,1633143603.404372,3,7.003068923950195,dilithium3,1000,loss,20%,14,0,10460,0,0,0,0,0,
1633143604.941017,1633143604.945704,4,4.687070846557617,dilithium3,1000,loss,20%,10,5,10184,330,0,0,0,0,
1633143606.226086,1633143606.465114,5,239.0282154083252,dilithium3,1000,loss,20%,16,0,10592,0,0,0,0,0,
1633143608.784866,1633143608.789088,6,4.221916198730469,dilithium3,1000,loss,20%,10,5,10184,330,0,0,0,0,
1633143609.176832,1633143609.410448,7,233.61611366271973,dilithium3,1000,loss,20%,16,0,10592,0,0,0,0,0,
1633143610.775752,1633143610.792587,8,16.83497428894043,dilithium3,1000,loss,20%,15,0,10526,0,0,0,0,0,
1633143612.387424,1633143612.402105,9,14.681100845336914,dilithium3,1000,loss,20%,13,5,10382,330,0,0,0,0,
1633143613.862349,1633143614.293031,10,430.6819438934326,dilithium3,1000,loss,20%,18,0,10724,0,0,0,0,0,
1633143616.401877,1633143616.405861,11,3.9839744567871094,dilithium3,1000,loss,20%,10,5,10184,330,0,0,0,0,
1633143617.96995,1633143618.393252,12,423.30193519592285,dilithium3,1000,loss,20%,12,21,10332,10906,0,0,0,0,
1633143619.856715,1633143620.078946,13,222.2311496734619,dilithium3,1000,loss,20%,9,5,10118,330,0,0,0,0,
1633143621.06489,1633143621.306242,14,241.35208129882812,dilithium3,1000,loss,20%,16,0,10592,0,0,0,0,0,
1633143623.506716,1633143623.52806,15,21.34394645690918,dilithium3,1000,loss,20%,14,0,10460,0,0,0,0,0,
1633143625.043457,1633143625.273764,16,230.30686378479004,dilithium3,1000,loss,20%,9,2,10118,132,0,0,0,0,
1633143626.543425,1633143626.547623,17,4.197835922241211,dilithium3,1000,loss,20%,9,4,10118,264,0,0,0,0,
1633143626.961048,1633143627.18893,18,227.88214683532715,dilithium3,1000,loss,20%,12,5,10316,330,0,0,0,0,
1633143628.458188,1633143628.481417,19,23.228883743286133,dilithium3,1000,loss,20%,10,5,10184,330,0,0,0,0,
1633143629.94512,1633143629.953847,20,8.726835250854492,dilithium3,1000,loss,20%,12,6,10316,396,0,0,0,0,
1633143632.30688,1633143632.747336,21,440.4559135437012,dilithium3,1000,loss,20%,10,4,10184,264,0,0,0,0,
1633143634.253729,1633143634.270159,22,16.429901123046875,dilithium3,1000,loss,20%,9,4,10118,264,0,0,0,0,
1633143635.679962,1633143635.692325,23,12.363195419311523,dilithium3,1000,loss,20%,9,24,10118,11108,0,0,0,0,
1633143637.217161,1633143637.222349,24,5.18798828125,dilithium3,1000,loss,20%,10,5,10184,330,0,0,0,0,
1633143639.664001,1633143640.091687,25,427.6859760284424,dilithium3,1000,loss,20%,11,5,10250,330,0,0,0,0,
1633143640.184763,1633143640.189666,26,4.903078079223633,dilithium3,1000,loss,20%,10,5,10184,330,0,0,0,0,
1633143643.080492,1633143643.111908,27,31.415939331054688,dilithium3,1000,loss,20%,14,0,10460,0,0,0,0,0,
1633143644.507353,1633143644.525226,28,17.873048782348633,dilithium3,1000,loss,20%,13,21,10382,10910,0,0,0,0,
1633143645.831413,1633143646.050336,29,218.92285346984863,dilithium3,1000,loss,20%,12,8,10316,528,0,0,0,0,
1633143647.26695,1633143647.272723,30,5.773067474365234,dilithium3,1000,loss,20%,10,4,10184,264,0,0,0,0,
1633143648.754952,1633143648.772695,31,17.74311065673828,dilithium3,1000,loss,20%,14,0,10460,0,0,0,0,0,
1633143650.093423,1633143650.102516,32,9.093046188354492,dilithium3,1000,loss,20%,11,5,10250,330,0,0,0,0,
1633143651.606693,1633143651.855776,33,249.0830421447754,dilithium3,1000,loss,20%,15,0,10526,0,0,0,0,0,
1633143653.205281,1633143653.209495,34,4.214048385620117,dilithium3,1000,loss,20%,12,5,10316,330,0,0,0,0,
1633143654.597966,1633143654.608198,35,10.231971740722656,dilithium3,1000,loss,20%,8,5,10052,330,0,0,0,0,
1633143657.135046,1633143657.343747,36,208.70089530944824,dilithium3,1000,loss,20%,11,3,10250,198,0,0,0,0,
1633143657.623146,1633143657.641958,37,18.811941146850586,dilithium3,1000,loss,20%,14,6,10448,396,0,0,0,0,
1633143659.322452,1633143659.333023,38,10.571002960205078,dilithium3,1000,loss,20%,9,5,10118,330,0,0,0,0,
1633143660.760712,1633143660.765855,39,5.143165588378906,dilithium3,1000,loss,20%,8,5,10052,330,0,0,0,0,
1633143663.246909,1633143663.251842,40,4.93311882019043,dilithium3,1000,loss,20%,10,5,10184,330,0,0,0,0,
1633143664.750624,1633143664.772112,41,21.487951278686523,dilithium3,1000,loss,20%,15,0,10526,0,0,0,0,0,
1633143665.173829,1633143665.596507,42,422.67799377441406,dilithium3,1000,loss,20%,10,5,10184,330,0,0,0,0,
1633143666.605915,1633143666.620435,43,14.519929885864258,dilithium3,1000,loss,20%,9,4,10118,264,0,0,0,0,
1633143668.177077,1633143668.195885,44,18.80788803100586,dilithium3,1000,loss,20%,12,4,10316,264,0,0,0,0,
1633143669.654771,1633143669.661676,45,6.904840469360352,dilithium3,1000,loss,20%,9,6,10118,396,0,0,0,0,
1633143670.977622,1633143670.98326,46,5.637884140014648,dilithium3,1000,loss,20%,9,5,10118,330,0,0,0,0,
1633143672.542385,1633143672.780492,47,238.10696601867676,dilithium3,1000,loss,20%,14,0,10460,0,0,0,0,0,
1633143674.867909,1633143675.074673,48,206.76398277282715,dilithium3,1000,loss,20%,8,5,10052,330,0,0,0,0,
1633143675.369891,1633143676.120122,49,750.2310276031494,dilithium3,1000,loss,20%,19,0,10790,0,0,0,0,0,
1633143676.888271,1633143676.910558,50,22.28689193725586,dilithium3,1000,loss,20%,14,5,10448,330,0,0,0,0,
1633143678.442613,1633143678.665715,51,223.10209274291992,dilithium3,1000,loss,20%,14,5,10448,330,0,0,0,0,
1633143679.90896,1633143679.913458,52,4.498004913330078,dilithium3,1000,loss,20%,9,5,10118,330,0,0,0,0,
1633143682.657573,1633143682.66501,53,7.436990737915039,dilithium3,1000,loss,20%,10,5,10184,330,0,0,0,0,
1633143684.253595,1633143684.481031,54,227.43582725524902,dilithium3,1000,loss,20%,14,18,10981,10179,0,0,0,0,
1633143685.565023,1633143685.5739,55,8.877038955688477,dilithium3,1000,loss,20%,8,5,10052,330,0,0,0,0,
1633143688.388893,1633143688.393131,56,4.238128662109375,dilithium3,1000,loss,20%,10,5,10184,330,0,0,0,0,
1633143689.826113,1633143689.834262,57,8.148908615112305,dilithium3,1000,loss,20%,10,25,10184,11174,0,0,0,0,
1633143691.281975,1633143691.286506,58,4.530906677246094,dilithium3,1000,loss,20%,10,5,10184,330,0,0,0,0,
1633143693.783829,1633143693.787911,59,4.081964492797852,dilithium3,1000,loss,20%,9,5,10118,330,0,0,0,0,
1633143694.161073,1633143694.402815,60,241.74213409423828,dilithium3,1000,loss,20%,14,0,10460,0,0,0,0,0,
1633143695.608642,1633143695.61997,61,11.327981948852539,dilithium3,1000,loss,20%,13,6,10382,396,0,0,0,0,
1633143696.978607,1633143697.201858,62,223.2511043548584,dilithium3,1000,loss,20%,10,5,10184,330,0,0,0,0,
1633143698.461343,1633143698.489136,63,27.792930603027344,dilithium3,1000,loss,20%,15,0,10526,0,0,0,0,0,
1633143699.789377,1633143700.014215,64,224.8380184173584,dilithium3,1000,loss,20%,11,5,10250,330,0,0,0,0,
1633143701.224134,1633143701.230438,65,6.304025650024414,dilithium3,1000,loss,20%,10,6,10184,396,0,0,0,0,
1633143702.524427,1633143702.534138,66,9.711027145385742,dilithium3,1000,loss,20%,14,5,10448,330,0,0,0,0,
1633143705.013262,1633143705.017571,67,4.308938980102539,dilithium3,1000,loss,20%,10,5,10184,330,0,0,0,0,
1633143705.598046,1633143705.82008,68,222.03397750854492,dilithium3,1000,loss,20%,10,6,10184,408,0,0,0,0,
1633143708.11151,1633143708.330101,69,218.59097480773926,dilithium3,1000,loss,20%,13,4,10382,264,0,0,0,0,
1633143708.473529,1633143708.485513,70,11.983871459960938,dilithium3,1000,loss,20%,10,8,10184,528,0,0,0,0,
1633143709.946525,1633143709.958613,71,12.087821960449219,dilithium3,1000,loss,20%,9,4,10118,276,0,0,0,0,
1633143711.392715,1633143711.634929,72,242.21396446228027,dilithium3,1000,loss,20%,11,4,10250,264,0,0,0,0,
1633143712.619074,1633143712.625252,73,6.1779022216796875,dilithium3,1000,loss,20%,10,4,10184,264,0,0,0,0,
1633143713.988627,1633143713.993719,74,5.092144012451172,dilithium3,1000,loss,20%,8,4,10052,264,0,0,0,0,
1633143715.489119,1633143715.521212,75,32.093048095703125,dilithium3,1000,loss,20%,17,0,10658,0,0,0,0,0,
1633143716.810565,1633143717.026863,76,216.29810333251953,dilithium3,1000,loss,20%,10,5,10184,330,0,0,0,0,
1633143718.168447,1633143718.176949,77,8.502006530761719,dilithium3,1000,loss,20%,15,0,10526,0,0,0,0,0,
1633143719.681124,1633143719.926015,78,244.89092826843262,dilithium3,1000,loss,20%,17,0,10658,0,0,0,0,0,
1633143721.124764,1633143721.145332,79,20.568132400512695,dilithium3,1000,loss,20%,9,4,10118,264,0,0,0,0,
1633143722.500329,1633143722.721073,80,220.74389457702637,dilithium3,1000,loss,20%,10,7,10184,462,0,0,0,0,
1633143723.866367,1633143723.880881,81,14.513969421386719,dilithium3,1000,loss,20%,15,0,10526,0,0,0,0,0,
1633143725.408227,1633143725.427888,82,19.66094970703125,dilithium3,1000,loss,20%,14,0,10460,0,0,0,0,0,
1633143726.83611,1633143727.075461,83,239.3507957458496,dilithium3,1000,loss,20%,15,0,10526,0,0,0,0,0,
1633143728.252116,1633143728.482247,84,230.1311492919922,dilithium3,1000,loss,20%,10,5,10184,330,0,0,0,0,
1633143729.768966,1633143729.98521,85,216.24398231506348,dilithium3,1000,loss,20%,10,4,10184,264,0,0,0,0,
1633143731.157254,1633143731.166251,86,8.996963500976562,dilithium3,1000,loss,20%,10,5,10184,330,0,0,0,0,
1633143732.650001,1633143732.657624,87,7.622957229614258,dilithium3,1000,loss,20%,9,5,10118,330,0,0,0,0,
1633143734.072664,1633143734.081802,88,9.137868881225586,dilithium3,1000,loss,20%,9,5,10118,330,0,0,0,0,
1633143735.538778,1633143735.977162,89,438.3838176727295,dilithium3,1000,loss,20%,13,5,10382,330,0,0,0,0,
1633143737.038693,1633143737.066658,90,27.965068817138672,dilithium3,1000,loss,20%,15,0,10526,0,0,0,0,0,
1633143740.13739,1633143740.361505,91,224.11513328552246,dilithium3,1000,loss,20%,13,6,10382,396,0,0,0,0,
1633143741.578646,1633143741.595018,92,16.371965408325195,dilithium3,1000,loss,20%,13,21,10382,10922,0,0,0,0,
1633143743.000548,1633143743.269081,93,268.53322982788086,dilithium3,1000,loss,20%,12,6,10567,396,0,0,0,0,
1633143744.461229,1633143744.689092,94,227.86283493041992,dilithium3,1000,loss,20%,10,5,10184,330,0,0,0,0,
1633143746.991409,1633143746.999453,95,8.044004440307617,dilithium3,1000,loss,20%,8,4,10052,264,0,0,0,0,
1633143747.394023,1633143747.401681,96,7.6580047607421875,dilithium3,1000,loss,20%,10,4,10184,264,0,0,0,0,
1633143748.873775,1633143748.880734,97,6.958961486816406,dilithium3,1000,loss,20%,15,0,10526,0,0,0,0,0,
1633143750.377128,1633143750.412523,98,35.395145416259766,dilithium3,1000,loss,20%,17,0,10658,0,0,0,0,0,
1633143753.01726,1633143753.02194,99,4.67991828918457,dilithium3,1000,loss,20%,10,5,10184,330,0,0,0,0,
1633143753.373438,1633143753.404398,100,30.9600830078125,dilithium3,1000,loss,20%,13,5,10382,330,0,0,0,0,
1633143754.865728,1633143754.871062,101,5.334138870239258,dilithium3,1000,loss,20%,10,4,10184,264,0,0,0,0,
1633143757.490919,1633143757.512659,102,21.739959716796875,dilithium3,1000,loss,20%,15,0,10526,0,0,0,0,0,
1633143757.877674,1633143758.109951,103,232.27691650390625,dilithium3,1000,loss,20%,10,6,10184,408,0,0,0,0,
1633143759.185518,1633143759.612522,104,427.0038604736328,dilithium3,1000,loss,20%,9,4,10118,264,0,0,0,0,
1633143760.66486,1633143760.68894,105,24.08003807067871,dilithium3,1000,loss,20%,14,4,10448,264,0,0,0,0,
1633143763.311509,1633143763.331934,106,20.425081253051758,dilithium3,1000,loss,20%,13,0,10394,0,0,0,0,0,
1633143763.848051,1633143763.852745,107,4.6939849853515625,dilithium3,1000,loss,20%,9,4,10118,264,0,0,0,0,
1633143766.383063,1633143766.595655,108,212.59188652038574,dilithium3,1000,loss,20%,9,4,10118,264,0,0,0,0,
1633143766.809674,1633143766.829761,109,20.087003707885742,dilithium3,1000,loss,20%,18,0,10724,0,0,0,0,0,
1633143768.106272,1633143768.741031,110,634.7589492797852,dilithium3,1000,loss,20%,16,0,10592,0,0,0,0,0,
1633143769.701206,1633143769.709168,111,7.96198844909668,dilithium3,1000,loss,20%,11,5,10250,330,0,0,0,0,
1633143771.096405,1633143771.101428,112,5.023002624511719,dilithium3,1000,loss,20%,9,5,10118,330,0,0,0,0,
1633143772.448011,1633143772.498389,113,50.37808418273926,dilithium3,1000,loss,20%,15,0,10777,0,0,0,0,0,
1633143774.865477,1633143775.071146,114,205.66892623901367,dilithium3,1000,loss,20%,11,5,10250,330,0,0,0,0,
1633143775.402372,1633143775.622069,115,219.6969985961914,dilithium3,1000,loss,20%,8,6,10052,396,0,0,0,0,
1633143776.796378,1633143776.801487,116,5.109071731567383,dilithium3,1000,loss,20%,10,6,10184,396,0,0,0,0,
1633143778.211445,1633143778.220395,117,8.949995040893555,dilithium3,1000,loss,20%,13,4,10382,264,0,0,0,0,
1633143779.701565,1633143779.732949,118,31.383991241455078,dilithium3,1000,loss,20%,17,0,10658,0,0,0,0,0,
1633143781.179876,1633143781.185776,119,5.899906158447266,dilithium3,1000,loss,20%,9,4,10118,264,0,0,0,0,
1633143782.511241,1633143782.520192,120,8.950948715209961,dilithium3,1000,loss,20%,8,5,10052,330,0,0,0,0,
1633143783.896667,1633143783.900933,121,4.266023635864258,dilithium3,1000,loss,20%,9,5,10118,330,0,0,0,0,
1633143785.442376,1633143785.450141,122,7.765054702758789,dilithium3,1000,loss,20%,10,5,10184,330,0,0,0,0,
1633143786.782885,1633143786.799284,123,16.398906707763672,dilithium3,1000,loss,20%,12,4,10316,264,0,0,0,0,
1633143788.368446,1633143788.597076,124,228.62982749938965,dilithium3,1000,loss,20%,10,4,10184,264,0,0,0,0,
1633143789.88788,1633143789.893736,125,5.855798721313477,dilithium3,1000,loss,20%,9,5,10118,330,0,0,0,0,
1633143791.249448,1633143791.255226,126,5.777835845947266,dilithium3,1000,loss,20%,10,5,10184,330,0,0,0,0,
1633143792.753083,1633143792.758067,127,4.9839019775390625,dilithium3,1000,loss,20%,10,4,10184,264,0,0,0,0,
1633143794.128507,1633143794.562084,128,433.5770606994629,dilithium3,1000,loss,20%,12,5,10316,330,0,0,0,0,
1633143795.562449,1633143795.573821,129,11.372089385986328,dilithium3,1000,loss,20%,11,4,10250,264,0,0,0,0,
1633143797.090424,1633143797.334847,130,244.42291259765625,dilithium3,1000,loss,20%,19,0,10790,0,0,0,0,0,
1633143799.694857,1633143799.69975,131,4.893064498901367,dilithium3,1000,loss,20%,10,6,10184,396,0,0,0,0,
1633143800.118964,1633143800.134048,132,15.084028244018555,dilithium3,1000,loss,20%,14,6,10448,408,0,0,0,0,
1633143802.544005,1633143802.549058,133,5.053043365478516,dilithium3,1000,loss,20%,9,4,10118,264,0,0,0,0,
