Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1633147990.137209,1633147991.227302,0,1090.0931358337402,dilithium3,1000,loss,35%,16,0,10592,0,0,0,0,0,
1633147991.697654,1633147991.707578,1,9.923934936523438,dilithium3,1000,loss,35%,9,24,10118,11120,0,0,0,0,
1633147993.186419,1633147993.193605,2,7.185935974121094,dilithium3,1000,loss,35%,11,4,10250,264,0,0,0,0,
1633147994.771262,1633147995.012065,3,240.80300331115723,dilithium3,1000,loss,35%,13,6,10382,396,0,0,0,0,
1633147997.295196,1633147997.506529,4,211.3330364227295,dilithium3,1000,loss,35%,10,4,10184,264,0,0,0,0,
1633147997.670287,1633147997.920337,5,250.05006790161133,dilithium3,1000,loss,35%,18,0,10724,0,0,0,0,0,
1633148000.820351,1633148000.85742,6,37.069082260131836,dilithium3,1000,loss,35%,13,0,10394,0,0,0,0,0,
1633148002.287914,1633148002.314179,7,26.26490592956543,dilithium3,1000,loss,35%,12,6,10332,925,0,0,0,0,
1633148003.87779,1633148004.061808,8,184.01813507080078,dilithium3,1000,loss,35%,14,19,10448,10257,0,0,0,0,
1633148006.479502,1633148006.499244,9,19.74201202392578,dilithium3,1000,loss,35%,13,0,10394,0,0,0,0,0,
1633148006.944633,1633148007.17458,10,229.94709014892578,dilithium3,1000,loss,35%,9,4,10118,264,0,0,0,0,
1633148009.519203,1633148009.739859,11,220.656156539917,dilithium3,1000,loss,35%,15,0,10462,0,0,0,0,0,
1633148009.843927,1633148010.897248,12,1053.321123123169,dilithium3,1000,loss,35%,21,0,10986,0,0,0,0,0,
1633148011.766208,1633148012.289814,13,523.6060619354248,dilithium3,1000,loss,35%,11,0,10437,0,0,0,0,0,
1633148012.475525,1633148012.524819,14,49.29399490356445,dilithium3,1000,loss,35%,15,5,10578,330,0,0,0,0,
1633148014.735012,1633148016.660395,15,1925.3828525543213,dilithium3,1000,loss,35%,15,13,11047,10112,0,0,0,0,
1633148016.705126,1633148018.317721,16,1612.5948429107666,dilithium3,1000,loss,35%,18,0,10724,0,0,0,0,0,
1633148019.593477,1633148020.010938,17,417.4609184265137,dilithium3,1000,loss,35%,13,18,10915,10191,0,0,0,0,
1633148021.999285,1633148022.003807,18,4.522085189819336,dilithium3,1000,loss,35%,9,5,10118,330,0,0,0,0,
1633148023.507938,1633148023.719185,19,211.24720573425293,dilithium3,1000,loss,35%,9,5,10118,330,0,0,0,0,
1633148023.88138,1633148023.890131,20,8.75091552734375,dilithium3,1000,loss,35%,10,5,10184,330,0,0,0,0,
1633148025.469347,1633148025.473765,21,4.417896270751953,dilithium3,1000,loss,35%,9,5,10118,330,0,0,0,0,
1633148027.919093,1633148027.92557,22,6.477117538452148,dilithium3,1000,loss,35%,9,5,10118,330,0,0,0,0,
1633148029.361419,1633148029.593312,23,231.89306259155273,dilithium3,1000,loss,35%,16,0,10592,0,0,0,0,0,
1633148029.81316,1633148030.772218,24,959.0580463409424,dilithium3,1000,loss,35%,12,5,10316,330,0,0,0,0,
1633148031.093619,1633148031.318015,25,224.3959903717041,dilithium3,1000,loss,35%,10,5,10184,330,0,0,0,0,
1633148032.444527,1633148033.713293,26,1268.766164779663,dilithium3,1000,loss,35%,16,0,10592,0,0,0,0,0,
1633148035.449479,1633148035.454397,27,4.91786003112793,dilithium3,1000,loss,35%,8,19,10052,10778,0,0,0,0,
1633148039.631718,1633148039.638807,28,7.089138031005859,dilithium3,1000,loss,35%,9,5,10118,330,0,0,0,0,
1633148040.03779,1633148040.312887,29,275.0968933105469,dilithium3,1000,loss,35%,18,0,10724,0,0,0,0,0,
