Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1633139190.577419,1633139190.997717,0,420.29786109924316,dilithium3,1000,loss,5%,10,5,10184,330,0,0,0,0,
1633139192.005702,1633139192.011867,1,6.165027618408203,dilithium3,1000,loss,5%,10,5,10184,330,0,0,0,0,
1633139193.48203,1633139193.49643,2,14.400005340576172,dilithium3,1000,loss,5%,15,0,10526,0,0,0,0,0,
1633139194.906645,1633139194.920884,3,14.238834381103516,dilithium3,1000,loss,5%,10,4,10184,264,0,0,0,0,
1633139196.273175,1633139196.280346,4,7.170915603637695,dilithium3,1000,loss,5%,10,5,10184,330,0,0,0,0,
1633139197.653915,1633139197.881354,5,227.43916511535645,dilithium3,1000,loss,5%,10,5,10184,330,0,0,0,0,
1633139199.029983,1633139199.050563,6,20.580053329467773,dilithium3,1000,loss,5%,10,6,10184,396,0,0,0,0,
1633139200.533245,1633139200.537381,7,4.135847091674805,dilithium3,1000,loss,5%,10,5,10184,330,0,0,0,0,
1633139201.923717,1633139201.929991,8,6.273984909057617,dilithium3,1000,loss,5%,10,5,10184,330,0,0,0,0,
1633139203.254188,1633139203.260878,9,6.690025329589844,dilithium3,1000,loss,5%,10,5,10184,330,0,0,0,0,
1633139204.785972,1633139204.801458,10,15.485763549804688,dilithium3,1000,loss,5%,13,5,10382,330,0,0,0,0,
1633139206.375501,1633139206.389113,11,13.612031936645508,dilithium3,1000,loss,5%,14,5,10448,330,0,0,0,0,
1633139207.866348,1633139207.875849,12,9.500980377197266,dilithium3,1000,loss,5%,14,4,10448,264,0,0,0,0,
1633139209.362707,1633139209.377646,13,14.939069747924805,dilithium3,1000,loss,5%,12,4,10316,264,0,0,0,0,
1633139210.692802,1633139210.702615,14,9.813070297241211,dilithium3,1000,loss,5%,10,4,10184,264,0,0,0,0,
1633139212.185993,1633139212.197798,15,11.805057525634766,dilithium3,1000,loss,5%,10,5,10184,330,0,0,0,0,
1633139213.821935,1633139213.839121,16,17.18616485595703,dilithium3,1000,loss,5%,13,5,10382,330,0,0,0,0,
1633139215.40954,1633139215.418251,17,8.711099624633789,dilithium3,1000,loss,5%,12,4,10316,264,0,0,0,0,
1633139216.950436,1633139217.177935,18,227.49876976013184,dilithium3,1000,loss,5%,13,6,10382,396,0,0,0,0,
1633139218.434373,1633139218.466482,19,32.10902214050293,dilithium3,1000,loss,5%,14,4,10448,264,0,0,0,0,
1633139220.032388,1633139220.302117,20,269.7291374206543,dilithium3,1000,loss,5%,18,0,10724,0,0,0,0,0,
1633139221.560556,1633139221.58491,21,24.353981018066406,dilithium3,1000,loss,5%,14,4,10448,264,0,0,0,0,
1633139222.982336,1633139222.98944,22,7.103919982910156,dilithium3,1000,loss,5%,10,4,10184,264,0,0,0,0,
1633139224.154754,1633139224.165398,23,10.643959045410156,dilithium3,1000,loss,5%,13,5,10382,330,0,0,0,0,
1633139225.640357,1633139225.647964,24,7.606983184814453,dilithium3,1000,loss,5%,10,5,10184,330,0,0,0,0,
1633139227.133976,1633139227.141239,25,7.262945175170898,dilithium3,1000,loss,5%,12,4,10316,264,0,0,0,0,
1633139228.689484,1633139228.917696,26,228.2121181488037,dilithium3,1000,loss,5%,10,5,10184,330,0,0,0,0,
1633139230.990963,1633139230.99553,27,4.56690788269043,dilithium3,1000,loss,5%,10,4,10184,264,0,0,0,0,
1633139231.402024,1633139231.409502,28,7.477998733520508,dilithium3,1000,loss,5%,10,5,10184,330,0,0,0,0,
1633139232.816593,1633139232.820908,29,4.31513786315918,dilithium3,1000,loss,5%,9,5,10118,330,0,0,0,0,
1633139234.333865,1633139234.373673,30,39.808034896850586,dilithium3,1000,loss,5%,16,0,10843,0,0,0,0,0,
1633139235.802246,1633139235.809767,31,7.520914077758789,dilithium3,1000,loss,5%,10,5,10184,330,0,0,0,0,
1633139237.148799,1633139237.381759,32,232.95998573303223,dilithium3,1000,loss,5%,10,5,10184,330,0,0,0,0,
1633139238.465277,1633139238.488311,33,23.034095764160156,dilithium3,1000,loss,5%,10,5,10184,330,0,0,0,0,
1633139239.801624,1633139239.810029,34,8.404970169067383,dilithium3,1000,loss,5%,10,5,10184,330,0,0,0,0,
1633139241.177119,1633139241.181972,35,4.853010177612305,dilithium3,1000,loss,5%,10,4,10184,264,0,0,0,0,
1633139242.767273,1633139242.78563,36,18.357038497924805,dilithium3,1000,loss,5%,10,4,10184,264,0,0,0,0,
1633139244.168565,1633139244.17428,37,5.714893341064453,dilithium3,1000,loss,5%,10,5,10184,330,0,0,0,0,
1633139245.6269,1633139245.648057,38,21.157026290893555,dilithium3,1000,loss,5%,15,0,10526,0,0,0,0,0,
1633139246.854615,1633139246.861794,39,7.179021835327148,dilithium3,1000,loss,5%,10,5,10184,330,0,0,0,0,
1633139248.387533,1633139248.3988,40,11.266946792602539,dilithium3,1000,loss,5%,14,5,10448,330,0,0,0,0,
1633139249.708127,1633139249.714254,41,6.126880645751953,dilithium3,1000,loss,5%,10,4,10184,264,0,0,0,0,
1633139251.22537,1633139251.238262,42,12.892007827758789,dilithium3,1000,loss,5%,9,4,10118,264,0,0,0,0,
1633139252.77087,1633139252.786381,43,15.511035919189453,dilithium3,1000,loss,5%,12,5,10316,330,0,0,0,0,
1633139254.288605,1633139254.296008,44,7.403135299682617,dilithium3,1000,loss,5%,10,5,10184,330,0,0,0,0,
1633139255.790386,1633139255.826794,45,36.4079475402832,dilithium3,1000,loss,5%,14,5,10448,330,0,0,0,0,
1633139257.334296,1633139257.342951,46,8.655071258544922,dilithium3,1000,loss,5%,10,4,10184,264,0,0,0,0,
1633139258.873894,1633139258.890323,47,16.42894744873047,dilithium3,1000,loss,5%,10,5,10184,330,0,0,0,0,
1633139260.177918,1633139260.186808,48,8.890151977539062,dilithium3,1000,loss,5%,10,5,10184,330,0,0,0,0,
1633139261.647077,1633139261.655371,49,8.293867111206055,dilithium3,1000,loss,5%,13,4,10382,264,0,0,0,0,
1633139264.206701,1633139264.210646,50,3.944873809814453,dilithium3,1000,loss,5%,10,5,10184,330,0,0,0,0,
1633139264.688881,1633139264.701622,51,12.7410888671875,dilithium3,1000,loss,5%,12,4,10316,264,0,0,0,0,
1633139266.991734,1633139266.996465,52,4.730939865112305,dilithium3,1000,loss,5%,10,4,10184,264,0,0,0,0,
1633139267.520874,1633139267.525805,53,4.930973052978516,dilithium3,1000,loss,5%,10,5,10184,330,0,0,0,0,
1633139268.982905,1633139268.993634,54,10.729074478149414,dilithium3,1000,loss,5%,14,5,10448,330,0,0,0,0,
1633139270.180043,1633139270.185168,55,5.1250457763671875,dilithium3,1000,loss,5%,9,5,10118,330,0,0,0,0,
1633139271.717445,1633139271.727882,56,10.43701171875,dilithium3,1000,loss,5%,12,4,10316,264,0,0,0,0,
1633139273.178244,1633139273.189666,57,11.421918869018555,dilithium3,1000,loss,5%,14,4,10448,264,0,0,0,0,
