Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1633153856.53849,1633153856.557029,0,18.538951873779297,dilithium5,1000,loss,10%,15,4,13758,264,0,0,0,0,
1633153858.019926,1633153858.037095,1,17.16899871826172,dilithium5,1000,loss,10%,10,5,13428,330,0,0,0,0,
1633153859.614123,1633153859.841081,2,226.9577980041504,dilithium5,1000,loss,10%,15,4,13758,264,0,0,0,0,
1633153861.094244,1633153861.102584,3,8.339881896972656,dilithium5,1000,loss,10%,12,4,13560,264,0,0,0,0,
1633153862.568741,1633153862.582184,4,13.4429931640625,dilithium5,1000,loss,10%,9,5,13362,330,0,0,0,0,
1633153863.966735,1633153863.986271,5,19.53601837158203,dilithium5,1000,loss,10%,11,4,13494,264,0,0,0,0,
1633153865.447692,1633153865.692457,6,244.765043258667,dilithium5,1000,loss,10%,15,0,13770,0,0,0,0,0,
1633153866.88986,1633153866.911011,7,21.151065826416016,dilithium5,1000,loss,10%,16,7,13824,462,0,0,0,0,
1633153868.278212,1633153868.290445,8,12.23301887512207,dilithium5,1000,loss,10%,9,5,13362,330,0,0,0,0,
1633153869.866125,1633153870.128945,9,262.8200054168701,dilithium5,1000,loss,10%,15,0,13770,0,0,0,0,0,
1633153871.31838,1633153871.327619,10,9.238958358764648,dilithium5,1000,loss,10%,11,4,13494,264,0,0,0,0,
1633153872.650578,1633153872.685885,11,35.30693054199219,dilithium5,1000,loss,10%,17,0,13902,0,0,0,0,0,
1633153874.143114,1633153874.378177,12,235.062837600708,dilithium5,1000,loss,10%,11,5,13494,330,0,0,0,0,
1633153875.628338,1633153875.650586,13,22.247791290283203,dilithium5,1000,loss,10%,10,6,13428,396,0,0,0,0,
1633153877.136005,1633153877.141569,14,5.563974380493164,dilithium5,1000,loss,10%,10,7,13428,462,0,0,0,0,
1633153878.673763,1633153878.6799,15,6.136894226074219,dilithium5,1000,loss,10%,10,4,13428,264,0,0,0,0,
1633153880.12135,1633153880.158128,16,36.77797317504883,dilithium5,1000,loss,10%,17,0,13902,0,0,0,0,0,
1633153881.553954,1633153881.561039,17,7.085084915161133,dilithium5,1000,loss,10%,10,4,13428,264,0,0,0,0,
1633153882.911304,1633153882.918241,18,6.9370269775390625,dilithium5,1000,loss,10%,10,5,13428,330,0,0,0,0,
1633153884.541641,1633153884.575349,19,33.70809555053711,dilithium5,1000,loss,10%,16,0,13836,0,0,0,0,0,
1633153886.053002,1633153886.057839,20,4.836797714233398,dilithium5,1000,loss,10%,10,5,13428,330,0,0,0,0,
1633153887.728032,1633153887.946448,21,218.4159755706787,dilithium5,1000,loss,10%,10,5,13428,330,0,0,0,0,
1633153889.081004,1633153889.086185,22,5.181074142456055,dilithium5,1000,loss,10%,12,5,13560,330,0,0,0,0,
1633153890.645985,1633153890.654421,23,8.436203002929688,dilithium5,1000,loss,10%,12,4,13560,264,0,0,0,0,
1633153892.11282,1633153892.121958,24,9.138107299804688,dilithium5,1000,loss,10%,11,6,13494,396,0,0,0,0,
1633153893.648601,1633153893.654391,25,5.789995193481445,dilithium5,1000,loss,10%,10,5,13428,330,0,0,0,0,
1633153894.991991,1633153894.997834,26,5.842924118041992,dilithium5,1000,loss,10%,10,5,13428,330,0,0,0,0,
1633153896.397213,1633153896.40249,27,5.276918411254883,dilithium5,1000,loss,10%,10,5,13428,330,0,0,0,0,
1633153897.720325,1633153897.730318,28,9.99307632446289,dilithium5,1000,loss,10%,15,5,13758,330,0,0,0,0,
1633153899.29847,1633153899.311684,29,13.213872909545898,dilithium5,1000,loss,10%,15,4,13758,264,0,0,0,0,
1633153900.816602,1633153900.821544,30,4.9419403076171875,dilithium5,1000,loss,10%,9,5,13362,330,0,0,0,0,
1633153902.313129,1633153902.541803,31,228.67393493652344,dilithium5,1000,loss,10%,10,5,13428,330,0,0,0,0,
1633153903.894584,1633153903.914348,32,19.763946533203125,dilithium5,1000,loss,10%,14,5,13692,330,0,0,0,0,
1633153905.537336,1633153905.804052,33,266.71600341796875,dilithium5,1000,loss,10%,18,0,13968,0,0,0,0,0,
1633153906.924017,1633153906.932947,34,8.929967880249023,dilithium5,1000,loss,10%,9,5,13362,330,0,0,0,0,
1633153908.273519,1633153908.278623,35,5.10406494140625,dilithium5,1000,loss,10%,10,5,13428,330,0,0,0,0,
1633153909.766578,1633153909.786153,36,19.575119018554688,dilithium5,1000,loss,10%,14,5,13692,330,0,0,0,0,
1633153911.174534,1633153911.209898,37,35.36391258239746,dilithium5,1000,loss,10%,15,0,13770,0,0,0,0,0,
1633153912.590349,1633153912.613895,38,23.54598045349121,dilithium5,1000,loss,10%,20,0,14100,0,0,0,0,0,
1633153915.154333,1633153915.16101,39,6.676912307739258,dilithium5,1000,loss,10%,15,0,13770,0,0,0,0,0,
1633153915.644144,1633153915.662994,40,18.849849700927734,dilithium5,1000,loss,10%,14,4,13692,264,0,0,0,0,
1633153917.025155,1633153917.029896,41,4.74095344543457,dilithium5,1000,loss,10%,10,5,13428,330,0,0,0,0,
1633153918.453626,1633153918.462316,42,8.690118789672852,dilithium5,1000,loss,10%,10,5,13428,330,0,0,0,0,
1633153919.984726,1633153919.994517,43,9.791135787963867,dilithium5,1000,loss,10%,16,4,13824,264,0,0,0,0,
1633153921.357107,1633153921.371899,44,14.79196548461914,dilithium5,1000,loss,10%,11,5,13494,330,0,0,0,0,
1633153922.708475,1633153922.716556,45,8.08095932006836,dilithium5,1000,loss,10%,10,5,13428,330,0,0,0,0,
1633153924.010232,1633153924.018477,46,8.244991302490234,dilithium5,1000,loss,10%,16,5,13824,330,0,0,0,0,
1633153926.574958,1633153926.603234,47,28.27596664428711,dilithium5,1000,loss,10%,15,0,13770,0,0,0,0,0,
1633153927.951788,1633153927.955828,48,4.040002822875977,dilithium5,1000,loss,10%,10,4,13428,264,0,0,0,0,
1633153928.501655,1633153928.538458,49,36.80300712585449,dilithium5,1000,loss,10%,21,0,14166,0,0,0,0,0,
1633153930.029431,1633153930.042258,50,12.826919555664062,dilithium5,1000,loss,10%,15,5,13758,330,0,0,0,0,
