Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1633156799.392936,1633156799.617604,0,224.66802597045898,dilithium5,1000,loss,20%,10,4,13428,264,0,0,0,0,
1633156802.005735,1633156802.01013,1,4.395008087158203,dilithium5,1000,loss,20%,9,6,13362,408,0,0,0,0,
1633156802.291011,1633156802.296262,2,5.2509307861328125,dilithium5,1000,loss,20%,10,5,13428,330,0,0,0,0,
1633156803.737288,1633156803.746421,3,9.133100509643555,dilithium5,1000,loss,20%,13,4,13626,264,0,0,0,0,
1633156805.212534,1633156805.230926,4,18.392086029052734,dilithium5,1000,loss,20%,15,4,13758,264,0,0,0,0,
1633156806.738226,1633156806.745543,5,7.317066192626953,dilithium5,1000,loss,20%,9,5,13362,330,0,0,0,0,
1633156808.234339,1633156809.079886,6,845.5469608306885,dilithium5,1000,loss,20%,10,4,13428,264,0,0,0,0,
1633156810.863955,1633156810.877344,7,13.388872146606445,dilithium5,1000,loss,20%,16,5,13824,330,0,0,0,0,
1633156811.275439,1633156811.927851,8,652.411937713623,dilithium5,1000,loss,20%,19,0,14034,0,0,0,0,0,
1633156812.720675,1633156812.726063,9,5.388021469116211,dilithium5,1000,loss,20%,10,5,13428,330,0,0,0,0,
1633156814.179907,1633156814.188865,10,8.957862854003906,dilithium5,1000,loss,20%,14,5,13692,330,0,0,0,0,
1633156815.457311,1633156815.478285,11,20.974159240722656,dilithium5,1000,loss,20%,14,4,13692,264,0,0,0,0,
1633156816.888443,1633156816.893452,12,5.008935928344727,dilithium5,1000,loss,20%,11,5,13494,330,0,0,0,0,
1633156818.177141,1633156818.182731,13,5.589962005615234,dilithium5,1000,loss,20%,10,6,13428,396,0,0,0,0,
1633156819.628278,1633156819.851169,14,222.89109230041504,dilithium5,1000,loss,20%,10,4,13428,264,0,0,0,0,
1633156821.030288,1633156821.037962,15,7.673978805541992,dilithium5,1000,loss,20%,11,5,13494,330,0,0,0,0,
1633156822.639592,1633156822.6455,16,5.908012390136719,dilithium5,1000,loss,20%,11,4,13494,264,0,0,0,0,
1633156824.100107,1633156824.111227,17,11.120080947875977,dilithium5,1000,loss,20%,8,4,13296,264,0,0,0,0,
1633156826.710592,1633156826.717114,18,6.521940231323242,dilithium5,1000,loss,20%,12,5,13560,330,0,0,0,0,
1633156827.290603,1633156827.35324,19,62.6370906829834,dilithium5,1000,loss,20%,20,0,14100,0,0,0,0,0,
1633156828.818464,1633156828.826298,20,7.833957672119141,dilithium5,1000,loss,20%,12,5,13560,330,0,0,0,0,
1633156830.185789,1633156830.212861,21,27.07195281982422,dilithium5,1000,loss,20%,20,0,14100,0,0,0,0,0,
1633156831.780867,1633156831.793919,22,13.051986694335938,dilithium5,1000,loss,20%,20,0,14100,0,0,0,0,0,
1633156833.126964,1633156833.135665,23,8.700847625732422,dilithium5,1000,loss,20%,8,4,13296,264,0,0,0,0,
1633156836.916075,1633156837.127934,24,211.85898780822754,dilithium5,1000,loss,20%,9,4,13362,264,0,0,0,0,
1633156837.273236,1633156837.281655,25,8.419036865234375,dilithium5,1000,loss,20%,10,26,13428,14484,0,0,0,0,
1633156838.766823,1633156838.77824,26,11.416912078857422,dilithium5,1000,loss,20%,15,4,13758,264,0,0,0,0,
1633156840.30243,1633156840.530367,27,227.9369831085205,dilithium5,1000,loss,20%,13,6,13626,396,0,0,0,0,
1633156841.605306,1633156841.617875,28,12.569189071655273,dilithium5,1000,loss,20%,12,4,13560,264,0,0,0,0,
1633156844.079117,1633156844.083526,29,4.408836364746094,dilithium5,1000,loss,20%,10,4,13428,264,0,0,0,0,
1633156844.583774,1633156844.596866,30,13.091802597045898,dilithium5,1000,loss,20%,9,6,13362,408,0,0,0,0,
