Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1633178845.278416,1633178845.310794,0,32.378196716308594,falcon1024,1000,loss,5%,10,4,5965,264,0,0,0,0,
1633178846.9563,1633178846.998278,1,41.977882385253906,falcon1024,1000,loss,5%,10,4,5969,264,0,0,0,0,
1633178848.429071,1633178848.441821,2,12.75014877319336,falcon1024,1000,loss,5%,8,5,5831,330,0,0,0,0,
1633178849.915199,1633178849.938491,3,23.292064666748047,falcon1024,1000,loss,5%,8,4,5835,264,0,0,0,0,
1633178851.503095,1633178851.517423,4,14.3280029296875,falcon1024,1000,loss,5%,8,4,5830,264,0,0,0,0,
1633178852.996913,1633178853.022025,5,25.112152099609375,falcon1024,1000,loss,5%,8,4,5827,264,0,0,0,0,
1633178854.523559,1633178854.549674,6,26.114940643310547,falcon1024,1000,loss,5%,8,4,5829,264,0,0,0,0,
1633178856.117132,1633178856.132868,7,15.736103057861328,falcon1024,1000,loss,5%,8,5,5836,330,0,0,0,0,
1633178857.652875,1633178857.670272,8,17.397165298461914,falcon1024,1000,loss,5%,8,4,5836,264,0,0,0,0,
1633178859.16069,1633178859.186163,9,25.47287940979004,falcon1024,1000,loss,5%,10,4,5965,264,0,0,0,0,
1633178860.628263,1633178860.641942,10,13.679027557373047,falcon1024,1000,loss,5%,8,5,5836,330,0,0,0,0,
1633178862.153956,1633178862.185811,11,31.855106353759766,falcon1024,1000,loss,5%,10,4,5967,264,0,0,0,0,
1633178863.657534,1633178863.692523,12,34.989118576049805,falcon1024,1000,loss,5%,10,4,5964,264,0,0,0,0,
1633178865.2708,1633178865.294741,13,23.9408016204834,falcon1024,1000,loss,5%,10,5,5968,330,0,0,0,0,
1633178866.798046,1633178866.819416,14,21.36993408203125,falcon1024,1000,loss,5%,10,5,5967,330,0,0,0,0,
1633178868.254321,1633178868.270448,15,16.12687110900879,falcon1024,1000,loss,5%,8,4,5831,264,0,0,0,0,
1633178869.684329,1633178869.707384,16,23.055076599121094,falcon1024,1000,loss,5%,10,5,5967,330,0,0,0,0,
1633178871.151481,1633178871.17369,17,22.20916748046875,falcon1024,1000,loss,5%,8,4,5827,264,0,0,0,0,
1633178873.585398,1633178873.597885,18,12.486934661865234,falcon1024,1000,loss,5%,8,5,5835,330,0,0,0,0,
1633178874.114976,1633178874.346492,19,231.51612281799316,falcon1024,1000,loss,5%,8,5,5837,330,0,0,0,0,
