Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1633167071.749001,1633167071.761366,0,12.364864349365234,falcon512,1000,loss,10%,8,5,3707,330,0,0,0,0,
1633167073.120185,1633167073.168511,1,48.32601547241211,falcon512,1000,loss,10%,13,0,4050,0,0,0,0,0,
1633167074.475966,1633167074.521756,2,45.78995704650879,falcon512,1000,loss,10%,8,5,3708,330,0,0,0,0,
1633167076.069794,1633167076.080971,3,11.17706298828125,falcon512,1000,loss,10%,8,5,3704,330,0,0,0,0,
1633167078.638752,1633167078.646098,4,7.345914840698242,falcon512,1000,loss,10%,8,4,3711,264,0,0,0,0,
1633167079.133855,1633167079.149471,5,15.61594009399414,falcon512,1000,loss,10%,8,5,3706,330,0,0,0,0,
1633167080.477153,1633167080.486597,6,9.443998336791992,falcon512,1000,loss,10%,8,5,3707,330,0,0,0,0,
1633167081.80938,1633167081.822273,7,12.892961502075195,falcon512,1000,loss,10%,8,5,3708,330,0,0,0,0,
1633167083.267265,1633167083.277959,8,10.694026947021484,falcon512,1000,loss,10%,8,6,3704,396,0,0,0,0,
1633167084.773066,1633167084.785374,9,12.307882308959961,falcon512,1000,loss,10%,7,5,3637,330,0,0,0,0,
1633167086.322604,1633167086.553585,10,230.98111152648926,falcon512,1000,loss,10%,8,5,3706,330,0,0,0,0,
1633167087.902042,1633167087.928113,11,26.07107162475586,falcon512,1000,loss,10%,13,0,4049,0,0,0,0,0,
1633167090.482305,1633167090.49003,12,7.725000381469727,falcon512,1000,loss,10%,8,4,3708,264,0,0,0,0,
1633167090.868592,1633167090.876833,13,8.240938186645508,falcon512,1000,loss,10%,8,4,3706,264,0,0,0,0,
1633167092.357283,1633167092.366427,14,9.143829345703125,falcon512,1000,loss,10%,8,5,3706,330,0,0,0,0,
1633167093.825646,1633167093.836053,15,10.406970977783203,falcon512,1000,loss,10%,8,4,3707,264,0,0,0,0,
1633167095.14655,1633167095.187214,16,40.663957595825195,falcon512,1000,loss,10%,12,0,3985,0,0,0,0,0,
1633167096.648426,1633167096.665053,17,16.626834869384766,falcon512,1000,loss,10%,8,4,3704,264,0,0,0,0,
1633167098.161163,1633167098.169512,18,8.348941802978516,falcon512,1000,loss,10%,8,5,3708,330,0,0,0,0,
1633167099.603043,1633167099.623982,19,20.938873291015625,falcon512,1000,loss,10%,8,4,3708,264,0,0,0,0,
1633167102.223542,1633167102.230964,20,7.421970367431641,falcon512,1000,loss,10%,8,5,3708,330,0,0,0,0,
1633167102.532442,1633167102.545897,21,13.454914093017578,falcon512,1000,loss,10%,8,5,3703,330,0,0,0,0,
1633167104.042118,1633167104.065761,22,23.643016815185547,falcon512,1000,loss,10%,8,4,3708,264,0,0,0,0,
1633167105.539505,1633167105.554742,23,15.237092971801758,falcon512,1000,loss,10%,8,4,3707,264,0,0,0,0,
1633167106.862462,1633167106.880237,24,17.77505874633789,falcon512,1000,loss,10%,8,5,3706,330,0,0,0,0,
1633167108.272663,1633167108.281379,25,8.71586799621582,falcon512,1000,loss,10%,8,4,3707,264,0,0,0,0,
1633167109.45035,1633167109.476748,26,26.3979434967041,falcon512,1000,loss,10%,7,5,3644,330,0,0,0,0,
1633167110.928062,1633167110.937539,27,9.47713851928711,falcon512,1000,loss,10%,8,5,3704,330,0,0,0,0,
1633167112.412375,1633167112.422401,28,10.025978088378906,falcon512,1000,loss,10%,8,4,3708,264,0,0,0,0,
1633167113.8821,1633167113.921799,29,39.69883918762207,falcon512,1000,loss,10%,13,0,4046,0,0,0,0,0,
1633167115.240696,1633167115.465603,30,224.90715980529785,falcon512,1000,loss,10%,6,6,3576,396,0,0,0,0,
1633167116.6979,1633167116.756671,31,58.77089500427246,falcon512,1000,loss,10%,13,0,4050,0,0,0,0,0,
1633167118.197155,1633167118.205327,32,8.172035217285156,falcon512,1000,loss,10%,8,5,3708,330,0,0,0,0,
1633167119.783427,1633167119.809644,33,26.216983795166016,falcon512,1000,loss,10%,8,4,3709,264,0,0,0,0,
1633167121.405691,1633167121.441596,34,35.90512275695801,falcon512,1000,loss,10%,8,5,3707,330,0,0,0,0,
1633167123.954785,1633167123.966769,35,11.983871459960938,falcon512,1000,loss,10%,7,4,3641,264,0,0,0,0,
1633167124.325335,1633167124.354988,36,29.653072357177734,falcon512,1000,loss,10%,10,4,4991,264,0,0,0,0,
1633167125.887667,1633167125.899588,37,11.921167373657227,falcon512,1000,loss,10%,6,5,3577,330,0,0,0,0,
1633167127.306904,1633167127.317552,38,10.648012161254883,falcon512,1000,loss,10%,8,5,3705,330,0,0,0,0,
1633167128.602154,1633167128.613773,39,11.619091033935547,falcon512,1000,loss,10%,8,6,3710,396,0,0,0,0,
1633167131.369458,1633167131.380607,40,11.148929595947266,falcon512,1000,loss,10%,8,5,3708,330,0,0,0,0,
1633167132.729979,1633167132.968177,41,238.19804191589355,falcon512,1000,loss,10%,19,7,7563,526,0,0,0,0,
1633167134.153108,1633167134.165634,42,12.52603530883789,falcon512,1000,loss,10%,8,5,3707,330,0,0,0,0,
1633167135.524908,1633167135.741625,43,216.71700477600098,falcon512,1000,loss,10%,8,5,3706,330,0,0,0,0,
1633167136.994328,1633167137.016786,44,22.45807647705078,falcon512,1000,loss,10%,8,4,3708,264,0,0,0,0,
1633167138.411357,1633167138.419318,45,7.961034774780273,falcon512,1000,loss,10%,7,5,3646,330,0,0,0,0,
1633167139.903922,1633167139.929923,46,26.0009765625,falcon512,1000,loss,10%,8,5,3709,330,0,0,0,0,
1633167141.35546,1633167141.381143,47,25.683164596557617,falcon512,1000,loss,10%,8,5,3707,330,0,0,0,0,
1633167142.73977,1633167142.75414,48,14.369964599609375,falcon512,1000,loss,10%,8,5,3706,330,0,0,0,0,
1633167144.208939,1633167144.424924,49,215.98482131958008,falcon512,1000,loss,10%,7,4,3640,264,0,0,0,0,
1633167145.5727,1633167145.589541,50,16.84093475341797,falcon512,1000,loss,10%,7,4,3643,264,0,0,0,0,
1633167147.039795,1633167147.061994,51,22.199153900146484,falcon512,1000,loss,10%,8,5,3711,330,0,0,0,0,
1633167148.500107,1633167148.508542,52,8.43501091003418,falcon512,1000,loss,10%,8,5,3707,330,0,0,0,0,
1633167149.991683,1633167150.008799,53,17.116069793701172,falcon512,1000,loss,10%,8,5,3707,330,0,0,0,0,
1633167151.330214,1633167151.349017,54,18.802881240844727,falcon512,1000,loss,10%,8,6,3708,396,0,0,0,0,
1633167153.870747,1633167154.085142,55,214.39480781555176,falcon512,1000,loss,10%,8,5,3705,330,0,0,0,0,
1633167154.408854,1633167154.421168,56,12.314081192016602,falcon512,1000,loss,10%,7,4,3645,264,0,0,0,0,
1633167155.945782,1633167155.956285,57,10.503053665161133,falcon512,1000,loss,10%,8,5,3707,330,0,0,0,0,
1633167157.530286,1633167157.541295,58,11.008977890014648,falcon512,1000,loss,10%,8,4,3707,264,0,0,0,0,
1633167158.974844,1633167159.001436,59,26.592016220092773,falcon512,1000,loss,10%,12,0,3984,0,0,0,0,0,
1633167160.562401,1633167160.804466,60,242.0649528503418,falcon512,1000,loss,10%,8,6,3712,408,0,0,0,0,
1633167162.102322,1633167162.124803,61,22.48096466064453,falcon512,1000,loss,10%,8,5,3705,330,0,0,0,0,
