Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1633168539.431208,1633168539.442229,0,11.021137237548828,falcon512,1000,loss,15%,8,5,3711,330,0,0,0,0,
1633168540.962055,1633168540.973106,1,11.050939559936523,falcon512,1000,loss,15%,8,4,3704,264,0,0,0,0,
1633168543.384693,1633168543.601572,2,216.87912940979004,falcon512,1000,loss,15%,8,5,3705,330,0,0,0,0,
1633168543.719256,1633168543.736913,3,17.657041549682617,falcon512,1000,loss,15%,7,6,3642,408,0,0,0,0,
1633168544.968089,1633168545.009642,4,41.55278205871582,falcon512,1000,loss,15%,13,0,4049,0,0,0,0,0,
1633168546.449172,1633168546.465606,5,16.4339542388916,falcon512,1000,loss,15%,13,0,4051,0,0,0,0,0,
1633168547.886364,1633168547.904727,6,18.362998962402344,falcon512,1000,loss,15%,8,5,3707,330,0,0,0,0,
1633168549.113266,1633168549.131168,7,17.901897430419922,falcon512,1000,loss,15%,8,4,3709,264,0,0,0,0,
1633168551.631309,1633168551.638753,8,7.443904876708984,falcon512,1000,loss,15%,8,5,3708,330,0,0,0,0,
1633168552.154208,1633168552.188345,9,34.13701057434082,falcon512,1000,loss,15%,13,0,4049,0,0,0,0,0,
1633168553.534169,1633168553.542042,10,7.873058319091797,falcon512,1000,loss,15%,8,5,3713,330,0,0,0,0,
1633168554.968636,1633168554.978301,11,9.66501235961914,falcon512,1000,loss,15%,8,4,3710,264,0,0,0,0,
1633168556.354658,1633168556.366998,12,12.340068817138672,falcon512,1000,loss,15%,8,5,3704,330,0,0,0,0,
1633168557.717958,1633168557.738602,13,20.643949508666992,falcon512,1000,loss,15%,8,5,3706,330,0,0,0,0,
1633168559.314213,1633168559.325312,14,11.098861694335938,falcon512,1000,loss,15%,8,5,3706,330,0,0,0,0,
1633168560.712495,1633168560.731815,15,19.320011138916016,falcon512,1000,loss,15%,8,5,3709,330,0,0,0,0,
1633168562.198831,1633168562.241007,16,42.176008224487305,falcon512,1000,loss,15%,11,0,3918,0,0,0,0,0,
1633168563.751916,1633168563.774262,17,22.346019744873047,falcon512,1000,loss,15%,8,4,3704,264,0,0,0,0,
1633168566.556738,1633168566.793845,18,237.1070384979248,falcon512,1000,loss,15%,8,4,3706,264,0,0,0,0,
1633168568.03809,1633168568.073813,19,35.722970962524414,falcon512,1000,loss,15%,8,18,3706,4365,0,0,0,0,
1633168569.66849,1633168570.116794,20,448.3041763305664,falcon512,1000,loss,15%,8,5,3709,330,0,0,0,0,
1633168571.197233,1633168571.209987,21,12.753963470458984,falcon512,1000,loss,15%,8,6,3711,396,0,0,0,0,
1633168572.597736,1633168572.606203,22,8.46719741821289,falcon512,1000,loss,15%,7,5,3643,330,0,0,0,0,
1633168575.150665,1633168575.159248,23,8.58306884765625,falcon512,1000,loss,15%,7,6,3642,396,0,0,0,0,
1633168575.620307,1633168575.630609,24,10.302066802978516,falcon512,1000,loss,15%,8,5,3709,330,0,0,0,0,
1633168576.94183,1633168576.95746,25,15.630006790161133,falcon512,1000,loss,15%,8,5,3706,330,0,0,0,0,
1633168578.498474,1633168578.526247,26,27.773141860961914,falcon512,1000,loss,15%,8,4,3707,264,0,0,0,0,
1633168581.071951,1633168581.079746,27,7.795095443725586,falcon512,1000,loss,15%,8,4,3710,264,0,0,0,0,
1633168581.469541,1633168581.501863,28,32.321929931640625,falcon512,1000,loss,15%,13,0,4048,0,0,0,0,0,
1633168582.77357,1633168582.785258,29,11.687994003295898,falcon512,1000,loss,15%,8,4,3709,264,0,0,0,0,
1633168584.216857,1633168584.656568,30,439.7110939025879,falcon512,1000,loss,15%,8,2,3707,132,0,0,0,0,
1633168585.692603,1633168585.710416,31,17.81296730041504,falcon512,1000,loss,15%,8,4,3706,264,0,0,0,0,
1633168587.129263,1633168587.137578,32,8.315086364746094,falcon512,1000,loss,15%,8,5,3708,330,0,0,0,0,
1633168588.660979,1633168588.702396,33,41.41688346862793,falcon512,1000,loss,15%,13,0,4050,0,0,0,0,0,
1633168591.1513,1633168591.158795,34,7.49516487121582,falcon512,1000,loss,15%,8,4,3708,264,0,0,0,0,
1633168591.450377,1633168591.461829,35,11.451959609985352,falcon512,1000,loss,15%,8,4,3710,264,0,0,0,0,
1633168592.865427,1633168592.878256,36,12.829065322875977,falcon512,1000,loss,15%,8,5,3709,330,0,0,0,0,
1633168594.204907,1633168594.217551,37,12.644052505493164,falcon512,1000,loss,15%,8,6,3708,408,0,0,0,0,
1633168596.723987,1633168596.731363,38,7.375955581665039,falcon512,1000,loss,15%,7,4,3643,264,0,0,0,0,
1633168598.637719,1633168598.863594,39,225.8751392364502,falcon512,1000,loss,15%,7,4,3641,264,0,0,0,0,
1633168600.211109,1633168600.287668,40,76.55906677246094,falcon512,1000,loss,15%,8,0,1077,0,0,0,0,0,
1633168601.633848,1633168601.980097,41,346.2491035461426,falcon512,1000,loss,15%,8,19,4220,6545,0,0,0,0,
1633168602.885018,1633168602.905108,42,20.08986473083496,falcon512,1000,loss,15%,8,5,3705,330,0,0,0,0,
1633168605.42666,1633168605.434672,43,8.012056350708008,falcon512,1000,loss,15%,8,4,3710,264,0,0,0,0,
1633168606.962861,1633168606.971026,44,8.16488265991211,falcon512,1000,loss,15%,8,4,3707,264,0,0,0,0,
1633168607.303818,1633168607.315941,45,12.12310791015625,falcon512,1000,loss,15%,7,4,3642,264,0,0,0,0,
1633168608.731907,1633168608.745803,46,13.89622688293457,falcon512,1000,loss,15%,8,5,3709,330,0,0,0,0,
1633168610.009608,1633168610.022078,47,12.470006942749023,falcon512,1000,loss,15%,8,6,3707,408,0,0,0,0,
1633168611.537833,1633168611.549606,48,11.773109436035156,falcon512,1000,loss,15%,8,5,3708,330,0,0,0,0,
