Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1640639022.213433,1640639022.375914,1,162.48106956481934,dilithium3,1000,delay,50ms,11,5,13425,1329,15,5,13099,983,
1640639023.646966,1640639023.80901,2,162.04404830932617,dilithium3,1000,delay,50ms,11,7,13419,1475,15,7,13093,1045,
1640639025.094583,1640639025.285925,3,191.34187698364258,dilithium3,1000,delay,50ms,11,5,13425,1329,15,5,13099,983,
1640639026.566027,1640639026.723393,4,157.3660373687744,dilithium3,1000,delay,50ms,11,5,13423,1329,15,5,13097,983,
1640639028.003399,1640639028.160457,5,157.0580005645752,dilithium3,1000,delay,50ms,11,5,13422,1329,15,5,13096,983,
1640639029.434967,1640639029.59256,6,157.5930118560791,dilithium3,1000,delay,50ms,11,5,13430,1329,15,5,13104,983,
1640639030.859293,1640639031.017419,7,158.1261157989502,dilithium3,1000,delay,50ms,11,5,13429,1329,15,5,13103,983,
1640639032.29775,1640639032.454731,8,156.9809913635254,dilithium3,1000,delay,50ms,11,5,13425,1329,15,5,13099,983,
1640639033.725364,1640639033.880845,9,155.48110008239746,dilithium3,1000,delay,50ms,11,5,13424,1329,15,5,13098,983,
1640639035.16287,1640639035.321681,10,158.81109237670898,dilithium3,1000,delay,50ms,11,5,13425,1329,15,5,13099,983,
1640639036.599273,1640639036.756458,11,157.18507766723633,dilithium3,1000,delay,50ms,11,5,13429,1329,15,5,13103,983,
1640639038.033415,1640639038.188725,12,155.30991554260254,dilithium3,1000,delay,50ms,11,5,13422,1329,15,5,13096,983,
1640639039.472918,1640639039.629456,13,156.5380096435547,dilithium3,1000,delay,50ms,11,5,13421,1329,15,5,13095,983,
1640639040.912124,1640639041.067685,14,155.56097030639648,dilithium3,1000,delay,50ms,11,5,13431,1329,15,5,13105,983,
1640639042.340666,1640639042.497526,15,156.8598747253418,dilithium3,1000,delay,50ms,11,5,13424,1329,15,5,13098,983,
1640639043.769899,1640639043.929221,16,159.32202339172363,dilithium3,1000,delay,50ms,11,5,13424,1329,15,5,13098,983,
1640639045.19696,1640639045.354203,17,157.243013381958,dilithium3,1000,delay,50ms,11,5,13430,1329,15,5,13104,983,
1640639048.072719,1640639048.22734,19,154.62088584899902,dilithium3,1000,delay,50ms,11,5,13426,1329,15,5,13100,983,
1640639049.511672,1640639049.67048,20,158.80799293518066,dilithium3,1000,delay,50ms,11,5,13427,1329,15,5,13101,983,
1640639050.950457,1640639051.105578,21,155.120849609375,dilithium3,1000,delay,50ms,11,5,13427,1329,15,5,13101,983,
1640639052.377102,1640639052.536676,22,159.57403182983398,dilithium3,1000,delay,50ms,11,5,13425,1329,15,5,13099,983,
1640639053.839599,1640639053.999201,23,159.60216522216797,dilithium3,1000,delay,50ms,11,5,13420,1329,15,5,13094,983,
1640639055.278409,1640639055.447473,24,169.06404495239258,dilithium3,1000,delay,50ms,11,5,13421,1329,15,5,13095,983,
1640639056.741669,1640639056.902182,25,160.51316261291504,dilithium3,1000,delay,50ms,11,5,13423,1329,15,5,13097,983,
1640639058.193689,1640639058.357438,26,163.74897956848145,dilithium3,1000,delay,50ms,11,5,13430,1329,15,5,13104,983,
1640639059.627294,1640639059.792245,27,164.95084762573242,dilithium3,1000,delay,50ms,11,5,13422,1329,15,5,13096,983,
1640639061.072272,1640639061.228961,28,156.68892860412598,dilithium3,1000,delay,50ms,11,5,13424,1329,15,5,13098,983,
1640639062.495991,1640639062.656797,29,160.80594062805176,dilithium3,1000,delay,50ms,11,5,13425,1329,15,5,13099,983,
1640639063.946032,1640639064.106599,30,160.567045211792,dilithium3,1000,delay,50ms,11,5,13426,1329,15,5,13100,983,
1640639065.391441,1640639065.554443,31,163.00177574157715,dilithium3,1000,delay,50ms,11,5,13429,1329,15,5,13103,983,
1640639066.82801,1640639066.98672,32,158.71000289916992,dilithium3,1000,delay,50ms,11,5,13426,1329,15,5,13100,983,
1640639068.266466,1640639068.425464,33,158.9980125427246,dilithium3,1000,delay,50ms,11,5,13429,1329,15,5,13103,983,
1640639069.705342,1640639069.864066,34,158.7238311767578,dilithium3,1000,delay,50ms,11,5,13426,1329,15,5,13100,983,
1640639071.132764,1640639071.292199,35,159.43479537963867,dilithium3,1000,delay,50ms,11,5,13429,1329,15,5,13103,983,
1640639072.563901,1640639072.722997,36,159.09600257873535,dilithium3,1000,delay,50ms,11,5,13422,1329,15,5,13096,983,
1640639074.004439,1640639074.164619,37,160.17985343933105,dilithium3,1000,delay,50ms,11,5,13419,1329,15,5,13093,983,
